date,quarterlyNetOtherInvestingChanges,quarterlyDilutedEPS,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyAccountsPayable,quarterlyStockBasedCompensation,quarterlyTaxProvision,quarterlyNetPPE,quarterlyEbitda,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyCommonStockIssuance,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyPurchaseOfBusiness,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyGoodwill,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyChangeInInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCurrentDebt,quarterlyRepurchaseOfCapitalStock,quarterlyLongTermDebt,quarterlyInterestExpense,quarterlyDeferredIncomeTax,quarterlyOtherCurrentAssets,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyCurrentDeferredRevenue,quarterlyChangesInAccountReceivables
2018-03-31,,-0.984841,,382147000,381958000,136579000,,,,,1178919000,,,1996000,406000,,-244241000,-3088000,,,,-233933000,,,-79623000,10000,-245379000,,63192000,55542000,397188000,155112000,0,,,,,-82711000,-843260000,,,1138000,260609000,,-234339000,-234339000,258861000,,-0.984841,237946000.0,-1198192000,-55000,,,-234339000,-13270000.0,-819133000,335659000,237946000.0,,,,,,,,,,,,,,,,,,
2018-06-30,,-0.751864,,1599633000,405360000,211726000,,,,,335659000,,,1501000,231000,,-191936000,-10321000,,,,-178672000,,,-31967000,288000,-193634000,,64415000,756178000,504912000,147602000,0,,,,,-42288000,636968000,,,1698000,293186000,,-178903000,-178903000,273579000,,-0.751864,237946000.0,-1676464000,-289000,,,-178903000,11168000.0,-87152000,972627000,237946000.0,,,,,,,,,,,,,,,,,,
2018-09-30,,-1.047133,,1773137000,531012000,262337000,,,,,972627000,,,2846000,510000,,-266092000,-17221000,,0.0,,-248651000,,,-35990000,-2000,-268675000,,77168000,39418000,584951000,214880000,0,,,,,-53211000,255180000,,,2583000,322614000,,-249161000,-249161000,361363000,,-1.047133,237946000.0,-1476192000,409000,,,-249161000,,251724000,1227807000,237946000.0,,,,,,,,,,,,,,,,,,
2018-12-31,,,117733000.0,983908000,572597000,302574000,133000.0,3000.0,517690000.0,2037870000.0,1227807000,1832363000.0,32343000.0,2234000,-409000,109257000.0,-256690000,-40238000,-11712000.0,,2320442000.0,-249341000,120969000.0,-3630177000.0,-133093000,693000,-270023000,,96061000,1100000,669565000,107882000,-257591000,1897222000.0,1439601000.0,152085000.0,1520180000.0,-173331000,-521321000,30458000.0,3760043000.0,13333000,366991000,1054606000.0,-248932000,-248932000,357886000,30458000.0,,,-1103270000,587000,863713000.0,-400000.0,-248932000,,-389191000,706486000,,1927680000.0,196813000.0,,,,,,,,,,,,,,,,
2019-03-31,,-48.53,108572000.0,1304351000,1470060000,313170000,2186000.0,0.0,329515000.0,1034886000.0,706486000,-3931618000.0,39394000.0,859486000,1383000,425078000.0,-1133755000,-25126000,,,1380412000.0,-1137090000,425078000.0,-4083803000.0,-84827000,103000,-1156890000,73676000.0,630960000,-788167000,776027000,180979000,-1711000,1752063000.0,1860495000.0,150650000.0,705371000.0,-109953000,-202568000,4660000.0,3240907000.0,23135000,462857000,702009000.0,-1138473000,-1138473000,651865000,5420462000.0,-48.53,23459000.0,-607190000,146000,993335000.0,-789768000.0,-1138473000,1161000.0,670324000,503918000,23459000.0,7172525000.0,182860000.0,,,,,,,,,,,,,,,,
2019-06-30,,-2.23,99612000.0,734147000,910045000,237129000,5493000.0,3000.0,417393000.0,3310310000.0,503918000,3277132000.0,12690000.0,293238000,991000,485176000.0,-641836000,-43159000,,,3677797000.0,-643248000,485176000.0,-4728042000.0,15316000,7360000,-672916000,,309833000,2410983000,867265000,339026000,-90000,2125816000.0,2026679000.0,150926000.0,2892917000.0,-27843000,38582000,6364000.0,5704476000.0,31080000,630136000,813288000.0,-644239000,-644239000,448237000,301528000.0,-2.23,288372000.0,-3079589000,-311000,1165299000.0,-74187000.0,-644239000,-23564000.0,-2387911000,542500000,288372000.0,2427344000.0,125666000.0,,,,,,,,,,,,,,,,
2019-09-30,3227000.0,-1.57,90218000.0,1511180000,865744000,374884000,4629000.0,3000.0,543871000.0,3116439000.0,542500000,2989514000.0,36210000.0,242176000,1909000,571948000.0,-460723000,-60146000,,-129000.0,3542823000.0,-461568000,571948000.0,-5191519000.0,10000000,-6662000,-490860000,,288272000,-66581000,955598000,193155000,0,2380789000.0,2192338000.0,150781000.0,2572568000.0,-50146000,143177000,5698000.0,5735161000.0,30137000,580714000,880769000.0,-463477000,-463477000,427678000,364858000.0,-1.57,294784000.0,-1254403000,641000,1237314000.0,-78825000.0,-463477000,,199858000,685677000,294784000.0,2745647000.0,142077000.0,,,,,,,,,,,,,,,,
