date,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyOtherNonCashItems,quarterlyStockholdersEquity,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyBasicAverageShares,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyOperatingExpense,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyDilutedEPS,quarterlyInventory,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyChangesInAccountReceivables,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyPurchaseOfInvestment,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyStockBasedCompensation,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable
1984-03-31,1078700000,,,1078700000,,,,,,,0.67,,,,,1078700000,,,,,,,,,78805970.0,,,,,,,,,,,,,,,,0.67,,52800000,52800000,,,,,,,,,,,,,,,,,,,,78805970.0,,52800000,,,,,,,,,,,
1984-06-30,-2909300000,,,1143100000,,,,,,2219900000.0,,4595300000.0,517000000.0,,171200000.0,-2909300000,849500000.0,,,1048900000.0,,,,,,,,,690200000.0,,,,,30900000.0,,,171200000.0,,,,,35200000.0,71700000,71700000,56100000.0,-1899600000.0,,672700000.0,,,,,,,2695700000.0,,,,,,2751800000.0,3268800000.0,32900000.0,,,71700000,,,,,,,32900000.0,,,,
1984-09-30,1109800000,,,1109800000,,,,,,,0.76,,,,,1109800000,,,,,,,,,79210526.0,,,,,,,,,,,,,,,,0.76,,60200000,60200000,,,,,,,,,,,,,,,,,,,,79210526.0,,60200000,,,,,,,,,,,
1984-12-31,1127200000,,,1127200000,,,,,,,0.93,,,,,1127200000,,,,,,,,,79462366.0,,,,,,,,,,,,,,,,0.93,,73900000,73900000,,,,,,,,,,,,,,,,,,,,79462366.0,,73900000,,,,,,,,,,,
1985-03-31,1170100000,,,1170100000,,,,,,,0.52,,,,,1170100000,,,,,,,,,79230769.0,,,,,,,,,,,,,,,,0.52,,41200000,41200000,,,,,,,,,,,,,,,,,,,,79230769.0,,41200000,,,,,,,,,,,
1985-06-30,-3041100000,,,1277000000,,,,,,2339700000.0,,5021200000.0,614200000.0,,940500000.0,-3041100000,1081100000.0,,,1287100000.0,,,,,,,,,535200000.0,,,,,52400000.0,,,171300000.0,,,,,35300000.0,84200000,84200000,30100000.0,-2038700000.0,,447900000.0,,769200000.0,,,,,2982500000.0,,,,,,3012600000.0,3626800000.0,37200000.0,,,84200000,,,,,,,37200000.0,,,,
1985-09-30,1123200000,,,1123200000,,,,,,,0.37,,,,,1123200000,,,,,,,,,79729730.0,,,,,,,,,,,,,,,,0.37,,29500000,29500000,,,,,,,,,,,,,,,,,,,,79729730.0,,29500000,,,,,,,,,,,
1985-12-31,1119900000,,,1119900000,,,,,,,0.03,,,,,1119900000,,,,,,,,,63333333.0,,,,,,,,,,,,,,,,0.03,,1900000,1900000,,,,,,,,,,,,,,,,,,,,63333333.0,,1900000,,,,,,,,,,,
1986-03-31,1109800000,,,1109800000,,,,,,,-0.08,,,,,1109800000,,,,,,,,,80000000.0,,,,,,,,,,,,,,,,-0.08,,-6400000,-6400000,,,,,,,,,,,,,,,,,,,,80000000.0,,-6400000,,,,,,,,,,,
1986-06-30,-3405900000,,,1019600000,,,,,,2483600000.0,,5464000000.0,582900000.0,,746000000.0,-3405900000,1088300000.0,,,1301900000.0,,,,,,,,,868600000.0,,,,,60200000.0,,,61000000.0,,,,,35500000.0,22200000,22200000,68100000.0,-2329500000.0,,427300000.0,,685000000.0,,,,,3134500000.0,,,,,,3202600000.0,3785500000.0,61300000.0,,,22200000,,,,,,,61300000.0,,,,
