date,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInvestmentsAndAdvances,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentAssets,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyNonCurrentDeferredRevenue,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyEbitda,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyCurrentDeferredRevenue,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyTaxProvision,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyDilutedEPS,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyNetOtherInvestingChanges,quarterlyChangeInWorkingCapital,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInventory,quarterlySaleOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfBusiness,quarterlyCashDividendsPaid,quarterlyFreeCashFlow,quarterlyStockBasedCompensation,quarterlyNetOtherFinancingCharges,quarterlyCurrentDebt,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyGoodwill
2017-03-31,,-41679000,-41679000,42392000,,,382762000,,,,,,,,,-41679000,,,,,110576148.0,,,,,,,,110576148.0,,-42155000,16137000,58292000,,,,25421000,-0.376926,0,,-41679000,-0.376926,,,-42155000,398899000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,,-14963000,-14963000,35136000,,,403891000,,,,,,,,,-14963000,,,,,110576148.0,,,,,,,,110576148.0,,-16835000,57473000,74308000,,,,39182000,-0.135319,0,,-14963000,-0.135319,,,-16835000,461364000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-09-30,,-29304000,-29304000,48908000,,,510297000,,,,,,,,,-39258000,,,,,110576148.0,,,,,,,,110576148.0,,-34071000,73237000,107308000,,,,58498000,-0.355031,0,,-29304000,-0.355031,,,-34071000,583534000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,,4978000,4978000,43724000,23741000.0,593241000.0,632914000,385027000.0,29847000.0,,,10299000.0,442532000.0,1035773000.0,81000.0,14932000,730674000.0,2000000.0,5620000.0,1300541000.0,,50234000.0,49786000.0,,5796000.0,3533000.0,45024000.0,308000.0,,569867000.0,-1805000,108105000,109910000,247381000.0,1250307000.0,685650000.0,66186000,,0,45024000.0,5129000,,32315000.0,-80968000.0,-1805000,741019000,-17471000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-31,3029437000.0,31407000,31407000,51458000,899116000.0,3365235000.0,712533000,490099000.0,32803000.0,,-11868000.0,375000.0,706391000.0,4071626000.0,67000.0,-496169000,4783090000.0,33200000.0,5272000.0,4376508000.0,100000000.0,81635000.0,38324000.0,,263000.0,,48649000.0,5329000.0,100000000.0,-406582000.0,28151000,131049000,102898000,277437000.0,4294873000.0,1705004000.0,61723000,-4.96169,-4464000,3078086000.0,26867000,-4.96169,38324000.0,-411978000.0,28151000,843582000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,,-2125447000,-2125447000,59964000,,4920863000.0,871965000,573338000.0,38420000.0,16665000.0,-2273355000.0,211727000.0,593788000.0,5514651000.0,133000.0,-2166494000,978110000.0,4647000.0,,6158344000.0,158138248.0,333008000.0,69532000.0,,6774000.0,,57887000.0,186369000.0,158138248.0,5180234000.0,-17293000,166367000,183660000,298453000.0,5825336000.0,903558000.0,130155000,-13.7,-6070000,74552000.0,-2248204000,-13.7,69532000.0,-2545899000.0,-17293000,1038332000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-30,,56772000,56772000,74625000,,5080337000.0,1082857000,684241000.0,52189000.0,,98000.0,212938000.0,793230000.0,5873567000.0,133000.0,56772000,1169427000.0,,,6660939000.0,221763259.0,421567000.0,83736000.0,,18793000.0,,68880000.0,376646000.0,203797058.0,5491512000.0,-2716000,193740000,196456000,355981000.0,6239372000.0,1100547000.0,132903000,0.28,-8562000,68880000.0,48200000,0.26,83736000.0,-2489127000.0,-2716000,1276597000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,,99579000,99579000,79105000,55484000.0,5283987000.0,1266292000,852771000.0,43849000.0,,-47000.0,219827000.0,709019000.0,5993006000.0,133000.0,99579000,1461180000.0,,51979000.0,7106187000.0,220209738.0,511000000.0,87419000.0,,9221000.0,11704000.0,80734000.0,401201000.0,203797819.0,5645007000.0,18520000,238637000,220117000,483781000.0,6595187000.0,1380446000.0,152136000,0.49,-31847000,80734000.0,71176000,0.45,87419000.0,-2424182000.0,18520000,1504929000,-43508000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-03-31,66856000.0,63460000,63460000,90044000,20947000.0,4345812000.0,1358105000,862404000.0,70446000.0,,-374000.0,328570000.0,1983258000.0,6329070000.0,134000.0,63460000,1789158000.0,87510000.0,,7481760000.0,221440050.0,701195000.0,189038000.0,22733000.0,19619000.0,,115013000.0,306827000.0,203923069.0,5692602000.0,28218000,273373000,245155000,608407000.0,6780565000.0,1607289000.0,163975000,0.31,18968000,181869000.0,82429000,0.29,189038000.0,-2360722000.0,28218000,1631478000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,,121801000,121801000,105411000,,7777020000.0,1674793000,1035484000.0,56911000.0,,787000.0,367726000.0,1335923000.0,9112943000.0,143000.0,121801000,2188270000.0,,,10300429000.0,234004023.0,785830000.0,220118000.0,20710000.0,18003000.0,,134593000.0,455180000.0,216857816.0,8112159000.0,67669000,335668000,267999000,763917000.0,9514599000.0,1970557000.0,193920000,0.56,21632000,217713000.0,143477000,0.52,220118000.0,-2238921000.0,67669000,2010461000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
