date,quarterlyStockholdersEquity,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyIncomeTaxPayable,quarterlyOperatingCashFlow,quarterlyCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyBasicAverageShares,quarterlyDeferredIncomeTax,quarterlyChangeInCashSupplementalAsReported,quarterlyChangeInWorkingCapital,quarterlyOtherNonCashItems,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyResearchAndDevelopment,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyDilutedAverageShares,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyOperatingExpense
1986-12-31,4826000000.0,,,,,,,,,,0.0,4172000000.0,4172000000.0,,,-10729000000,,,-10729000000,4982000000,-2875000000.0,,,,5659000000.0,,,,8478000000.0,5156000000.0,,,,,,,,2281000000.0,3497000000.0,,,,5645000000.0,,,,2590000000.0,,,11068000000.0,,263000000.0,,191000000,,,583000000.0,101000000.0,,14000000.0,,,,309000000.0,,,6242000000.0,,,,3105000000.0,,,,219000000.0,,
1987-03-31,,,,,,,,0.17,,,,,,,,3763000000,,,3763000000,3763000000,,,,,,,,,,,,697230000.0,,,,,,,,,,,,,,,,0.17,,,,,,118000000,,,,,,,,,,,,,,,,,,,,697230000.0,,,
1987-06-30,,,,,,,,0.17,,,,,,,,3478000000,,,3478000000,3478000000,,,,,,,,,,,,697490000.0,,,,,,,,,,,,,,,,0.17,,,,,,117000000,,,,,,,,,,,,,,,,,,,,697490000.0,,,
1987-09-30,,,,,,,,0.15,,,,,,,,3515000000,,,3515000000,3515000000,,,,,,,,,,,,697782000.0,,,,,,,,,,,,,,,,0.15,,,,,,104000000,,,,,,,,,,,,,,,,,,,,697782000.0,,,
1987-12-31,4987000000.0,,,,,,,,,,823000000.0,3435000000.0,3435000000.0,,,-10547000000,,,-10547000000,4599000000,-3259000000.0,,,,7064000000.0,,,,9313000000.0,5813000000.0,,,,,,,,2554000000.0,3760000000.0,,,,7050000000.0,,,,3253000000.0,,,12566000000.0,,256000000.0,,141000000,,,515000000.0,259000000.0,,14000000.0,,,,699000000.0,,,7579000000.0,,,,3509000000.0,,,,,,
1988-03-31,,,,,,,,0.2,,,,,,,,3642000000,,,3642000000,3642000000,,,,,,,,,,,,684842000.0,,,,,,,,,,,,,,,,0.2,,,,,,136000000,,,,,,,,,,,,,,,,,,,,684842000.0,,,
1988-06-30,,,,,,,,0.24,,,,,,,,4726000000,,,4726000000,4726000000,,,,,,,,,,,,684842000.0,,,,,,,,,,,,,,,,0.24,,,,,,160000000,,,,,,,,,,,,,,,,,,,,684842000.0,,,
1988-09-30,,,,,,,,0.21,,,,,,,,3722000000,,,3722000000,3722000000,,,,,,,,,,,,687586000.0,,,,,,,,,,,,,,,,0.21,,,,,,144000000,,,,,,,,,,,,,,,,,,,,687586000.0,,,
1988-12-31,5404000000.0,,,,,,,,,,92000000.0,3963000000.0,3963000000.0,,,-11642000000,,,-11642000000,4872000000,-3682000000.0,,,,6705000000.0,,,,8561000000.0,6385000000.0,,,,,,,,2703000000.0,4137000000.0,,,,6698000000.0,,,,4047000000.0,,,12608000000.0,,251000000.0,,174000000,,,499000000.0,43000000.0,,7000000.0,,,,1344000000.0,,,7204000000.0,,,,2947000000.0,,,,205000000.0,,
1989-03-31,,,,,,,,0.24,,,,,,,,4001000000,,,4001000000,4001000000,,,,,,,,,,,,688666000.0,,,,,,,,,,,,,,,,0.24,,,,,,161000000,,,,,,,,,,,,,,,,,,,,688666000.0,,,
