date,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDilutedAverageShares,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCashAndCashEquivalents,quarterlyCommonStockIssuance,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyBasicEPS,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyOperatingIncome,quarterlyBasicAverageShares,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyTotalNonCurrentAssets,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyStockholdersEquity,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyNetIncome,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyDilutedEPS,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
1984-01-31,,833536000.0,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,36400000,,,,,,,,36400000,833536000.0,,,,,,,,36400000,,,,,,,,,,,,,,,,,2700000,,,,0.005,,
1984-04-30,,833536000.0,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,39200000,,,,,,,,39200000,833536000.0,,,,,,,,39200000,,,,,,,,,,,,,,,,,3100000,,,,0.005,,
1984-07-31,,833536000.0,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,42400000,,,,,,,,42400000,833536000.0,,,,,,,,42400000,,,,,,,,,,,,,,,,,3600000,,,,0.005,,
1984-10-31,4100000.0,,,,,26900000.0,26400000.0,,,26400000.0,5900000.0,,,,,,,5300000.0,,-10800000.0,,35700000.0,139500000.0,,,,,,,,,,,,,,-93800000,,22400000.0,,,,,,-93800000,,,,32200000.0,37700000.0,107300000.0,41600000.0,,50400000,65200000.0,18600000.0,,8600000.0,,,,900000.0,74300000.0,,,23600000.0,,32000000.0,,,4100000,,,,,,
1985-01-31,,833536000.0,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,48400000,,,,,,,,48400000,833536000.0,,,,,,,,48400000,,,,,,,,,,,,,,,,,3700000,,,,0.005,,
1985-04-30,,835584000.0,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,49500000,,,,,,,,49500000,835584000.0,,,,,,,,49500000,,,,,,,,,,,,,,,,,3900000,,,,0.005,,
1985-07-31,,835584000.0,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,41400000,,,,,,,,41400000,835584000.0,,,,,,,,41400000,,,,,,,,,,,,,,,,,1400000,,,,0.005,,
1985-10-31,4700000.0,,,,,35700000.0,35700000.0,,,35700000.0,10000000.0,,,,,,,5200000.0,,-15100000.0,,30600000.0,149600000.0,,,,,,,,,,,,,,-123200000,,31700000.0,,,,,,-123200000,,,,40900000.0,50800000.0,108700000.0,40600000.0,,35300000,63200000.0,16900000.0,,10200000.0,,,,1000000.0,86400000.0,,,22600000.0,,30900000.0,,,300000,,,,,,
1986-01-31,,840832000.0,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,33900000,,,,,,,,33900000,840832000.0,,,,,,,,33900000,,,,,,,,,,,,,,,,,300000,,,,0.005,,
1986-04-30,,841344000.0,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,36000000,,,,,,,,36000000,841344000.0,,,,,,,,36000000,,,,,,,,,,,,,,,,,500000,,,,0.005,,
1986-07-31,,833344000.0,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,39200000,,,,,,,,39200000,833344000.0,,,,,,,,39200000,,,,,,,,,,,,,,,,,200000,,,,0.005,,
1986-10-31,8200000.0,,,,,43400000.0,21800000.0,,,21800000.0,8700000.0,,,,,,,6500000.0,,-21600000.0,,23700000.0,154100000.0,,,,,,,,,,,,,,-105000000,,32900000.0,,,,,,-105000000,,,,49900000.0,65000000.0,104200000.0,32400000.0,,40300000,61300000.0,19600000.0,,8800000.0,,,,1100000.0,92800000.0,,,28900000.0,,34000000.0,,,200000,,,,,,
1987-01-31,,840448000.0,,,,,,,,,,,,,,,,,,,-0.005,,,,,,,,,,,,,,,,36100000,,,,,,,,36100000,840448000.0,,,,,,,,36100000,,,,,,,,,,,,,,,,,-1500000,,,,-0.005,,
1987-04-30,,840448000.0,,,,,,,,,,,,,,,,,,,-0.005,,,,,,,,,,,,,,,,40900000,,,,,,,,40900000,840448000.0,,,,,,,,40900000,,,,,,,,,,,,,,,,,-1300000,,,,-0.005,,
1987-07-31,,840448000.0,,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,44100000,,,,,,,,44100000,840448000.0,,,,,,,,44100000,,,,,,,,,,,,,,,,,100000,,,,0.005,,
1987-10-31,8500000.0,,,,,47000000.0,70700000.0,,,70700000.0,4700000.0,,,,,,,6400000.0,,-27000000.0,,43400000.0,232600000.0,,,,,,,,,,,,,,-119100000,,34200000.0,,,,,,-119100000,,,,53400000.0,74000000.0,179200000.0,48100000.0,,53300000,79000000.0,21100000.0,,11900000.0,,,,1300000.0,153600000.0,,,30900000.0,,47100000.0,,,3100000,,,,,,
1988-01-31,,990272000.0,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,64000000,,,,,,,,64000000,990272000.0,,,,,,,,64000000,,,,,,,,,,,,,,,,,5700000,,,,0.01,,
1988-04-30,,1047232000.0,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,82600000,,,,,,,,82600000,1047232000.0,,,,,,,,82600000,,,,,,,,,,,,,,,,,8700000,,,,0.01,,
1988-07-31,,1042240000.0,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,103400000,,,,,,,,103400000,1042240000.0,,,,,,,,103400000,,,,,,,,,,,,,,,,,11700000,,,,0.015,,
1988-10-31,7000000.0,,,,,56000000.0,100800000.0,,,100800000.0,10500000.0,,,,,,,7000000.0,,-33700000.0,,106500000.0,339200000.0,,,,,,,,,,,,,,-179400000,,74300000.0,,,,,,-179400000,,,,63000000.0,89700000.0,276200000.0,117000000.0,,112800000,138400000.0,11300000.0,,23000000.0,,,,3100000.0,200800000.0,,,21400000.0,,53800000.0,,,13800000,,,,,,
1989-01-31,,1014912000.0,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,106700000,,,,,,,,106700000,1014912000.0,,,,,,,,106700000,,,,,,,,,,,,,,,,,13500000,,,,0.015,,
1989-04-30,,1067072000.0,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,122800000,,,,,,,,122800000,1067072000.0,,,,,,,,122800000,,,,,,,,,,,,,,,,,13900000,,,,0.015,,
1989-07-31,,1071232000.0,,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,130200000,,,,,,,,130200000,1071232000.0,,,,,,,,130200000,,,,,,,,,,,,,,,,,12500000,,,,0.015,,
1989-10-31,6100000.0,,,,,82100000.0,57400000.0,,,57400000.0,14300000.0,,,,,,,8900000.0,,-39000000.0,,5700000.0,433900000.0,,,,,,,,,122900000.0,,,,,-276200000,,125800000.0,,,,,,-276200000,,,,91000000.0,121100000.0,342900000.0,142900000.0,,142100000,179500000.0,29400000.0,,76900000.0,,,,1100000.0,254400000.0,,,36600000.0,,77000000.0,,,11600000,,,,,,
1990-01-31,7200000.0,740000000.0,6800000.0,,17900000.0,104400000.0,51200000.0,600000.0,1300000.0,51200000.0,38800000.0,100000.0,,,,-17000000.0,-27100000.0,8700000.0,29200000.0,-39000000.0,0.015,9100000.0,471400000.0,,,,18300000.0,,-6200000.0,,57400000.0,116700000.0,47300000.0,11100000.0,-18300000.0,0.0,22000000,,136900000.0,3400000.0,-11000000.0,100000.0,,-44100000.0,18600000,740000000.0,,-31600000.0,113100000.0,143400000.0,358300000.0,164600000.0,,138800000,205300000.0,33500000.0,-5900000.0,76300000.0,69500000.0,,,0.0,266100000.0,,69300000.0,40700000.0,,82900000.0,11100000.0,50700000.0,11100000,,0.0,600000.0,0.015,,
1990-04-30,7300000.0,1050000000.0,6400000.0,,16900000.0,115500000.0,43200000.0,2700000.0,1800000.0,43200000.0,29600000.0,0.0,,,,10500000.0,-19200000.0,8800000.0,-2600000.0,-39000000.0,0.01,8000000.0,478800000.0,,,,18500000.0,,-8000000.0,,0.0,124400000.0,49900000.0,10500000.0,-16900000.0,0.0,21700000,,147300000.0,3500000.0,-17500000.0,-200000.0,,-8700000.0,18200000,1050000000.0,,-3300000.0,124300000.0,154500000.0,354500000.0,162000000.0,,143100000,201000000.0,31700000.0,-11200000.0,74900000.0,71600000.0,,,0.0,277800000.0,,71500000.0,39000000.0,,92900000.0,10500000.0,53300000.0,10500000,,0.0,400000.0,0.01,,
1990-07-31,7300000.0,950000000.0,5000000.0,,14500000.0,141400000.0,39900000.0,500000.0,1800000.0,39900000.0,48200000.0,0.0,,,,-12100000.0,-29800000.0,9100000.0,33000000.0,-39000000.0,0.01,8800000.0,512300000.0,,,,13100000.0,,-3300000.0,,0.0,113000000.0,53300000.0,9500000.0,-24200000.0,0.0,19500000,,156800000.0,3800000.0,-8000000.0,,,-41900000.0,15600000,950000000.0,,-25500000.0,150500000.0,180400000.0,361800000.0,170000000.0,,144200000,223200000.0,45900000.0,-900000.0,72200000.0,71400000.0,,,0.0,289100000.0,,72800000.0,53200000.0,,94800000.0,9500000.0,57200000.0,9500000,,0.0,600000.0,0.01,,
1990-10-31,7800000.0,,1700000.0,,4700000.0,181500000.0,57100000.0,700000.0,1900000.0,57100000.0,27400000.0,-100000.0,,,,61000000.0,-35000000.0,9600000.0,-30700000.0,-55300000.0,,13300000.0,558000000.0,,,,21400000.0,,17200000.0,,0.0,154500000.0,55700000.0,3000000.0,-12000000.0,0.0,11700000,,159800000.0,5300000.0,0.0,,,26000000.0,6400000,,,59100000.0,191100000.0,236800000.0,366900000.0,195200000.0,,141000000,257700000.0,53600000.0,-1900000.0,60200000.0,73600000.0,,,1100000.0,300300000.0,,67400000.0,62500000.0,,102300000.0,3000000.0,61000000.0,3000000,,0.0,300000.0,,,
1991-01-31,10700000.0,840000000.0,2500000.0,,6700000.0,188500000.0,41700000.0,,2400000.0,41700000.0,48800000.0,0.0,,,,-33400000.0,-13000000.0,9500000.0,19500000.0,-55300000.0,0.005,8600000.0,569100000.0,-1400000.0,,,10900000.0,,-15400000.0,,57100000.0,145800000.0,51600000.0,4200000.0,-1400000.0,0.0,14400000,,164100000.0,5400000.0,,200000.0,,-46400000.0,9000000,840000000.0,,-43200000.0,198000000.0,243800000.0,371100000.0,203200000.0,,144600000,266900000.0,53100000.0,6300000.0,51000000.0,78600000.0,,,-100000.0,302200000.0,,66000000.0,63700000.0,,95900000.0,4200000.0,57000000.0,4200000,,0.0,200000.0,0.005,,
1991-04-30,11400000.0,840000000.0,4300000.0,,11600000.0,193400000.0,119000000.0,,3200000.0,119000000.0,43600000.0,0.0,,,,28500000.0,-19000000.0,8500000.0,77600000.0,-55300000.0,0.01,12900000.0,641800000.0,1000000.0,,,4000000.0,,77300000.0,,0.0,141000000.0,55000000.0,7300000.0,-32200000.0,0.0,21200000,,171400000.0,6400000.0,,,,9500000.0,14800000,840000000.0,,15000000.0,201900000.0,248700000.0,439900000.0,197500000.0,,166100000,336100000.0,127300000.0,-2700000.0,68800000.0,90000000.0,,,-100000.0,305700000.0,,76100000.0,138600000.0,,96300000.0,7300000.0,61300000.0,7300000,,0.0,-100000.0,0.01,,
1991-07-31,12300000.0,840000000.0,3900000.0,,12300000.0,207100000.0,121100000.0,,4500000.0,121100000.0,26700000.0,0.0,,,,28300000.0,-20600000.0,11500000.0,-14200000.0,-55300000.0,0.01,16800000.0,650600000.0,,,,18300000.0,,2100000.0,,0.0,152800000.0,53200000.0,8400000.0,-11200000.0,0.0,22000000,,179700000.0,6000000.0,-9500000.0,,,7700000.0,15900000,840000000.0,,13900000.0,218600000.0,262400000.0,432000000.0,196300000.0,,167300000,334900000.0,126500000.0,-3000000.0,54500000.0,92100000.0,,,-200000.0,315700000.0,,75200000.0,138600000.0,,98600000.0,8400000.0,59300000.0,8400000,,0.0,800000.0,0.01,,
1991-10-31,6500000.0,,3400000.0,,9700000.0,213200000.0,125200000.0,3400000.0,4000000.0,125200000.0,36700000.0,100000.0,,,,15600000.0,-14900000.0,13400000.0,11000000.0,-72600000.0,,16200000.0,660800000.0,,,,9500000.0,,4100000.0,,0.0,147100000.0,56100000.0,6300000.0,-17900000.0,0.0,19800000,,186100000.0,6700000.0,-14900000.0,,,700000.0,13100000,,,3700000.0,226600000.0,285800000.0,434200000.0,200000000.0,,160600000,335300000.0,124000000.0,-2900000.0,54700000.0,84700000.0,,,4800000.0,325500000.0,,75900000.0,135300000.0,,101500000.0,6300000.0,62800000.0,6300000,,-5400000.0,600000.0,,,
1992-01-31,11700000.0,1093472000.0,3300000.0,,9700000.0,221700000.0,129600000.0,1700000.0,4200000.0,129600000.0,40800000.0,0.0,,,,1800000.0,-10400000.0,13900000.0,3100000.0,-72600000.0,0.01,16100000.0,674000000.0,,,,13000000.0,,4500000.0,,125200000.0,141800000.0,53700000.0,6400000.0,-1300000.0,0.0,20000000,,192500000.0,6800000.0,-5000000.0,,,-8600000.0,13200000,1093472000.0,,-11400000.0,235600000.0,294300000.0,438400000.0,198700000.0,,167000000,336400000.0,126100000.0,8700000.0,50000000.0,93300000.0,,,-100000.0,337600000.0,,73700000.0,137700000.0,,94700000.0,6400000.0,60500000.0,6400000,,-100000.0,600000.0,0.01,,
1992-04-30,12100000.0,940000000.0,4500000.0,,13900000.0,227900000.0,115000000.0,3200000.0,3800000.0,115000000.0,33000000.0,-6000000.0,,,,13200000.0,-16900000.0,12600000.0,-5600000.0,-72600000.0,0.01,18900000.0,698900000.0,,,,7000000.0,,-14700000.0,,0.0,162900000.0,55600000.0,9400000.0,-22200000.0,0.0,23900000,,201800000.0,6900000.0,-14100000.0,,,-3700000.0,17000000,940000000.0,,-3100000.0,240500000.0,300500000.0,458400000.0,214800000.0,,180100000,350200000.0,123300000.0,-2900000.0,62600000.0,100600000.0,,,0.0,348700000.0,,79500000.0,135400000.0,,96600000.0,9400000.0,62500000.0,9400000,,0.0,700000.0,0.01,,
1992-07-31,12600000.0,1070000000.0,5300000.0,,16000000.0,237800000.0,136300000.0,700000.0,3600000.0,136300000.0,20800000.0,6000000.0,,,,33100000.0,-12100000.0,12700000.0,-15000000.0,-72600000.0,0.01,21200000.0,705900000.0,,,,14100000.0,,21300000.0,,0.0,162600000.0,60400000.0,10700000.0,3100000.0,0.0,28600000,,212500000.0,7100000.0,-300000.0,,,21000000.0,19500000,1070000000.0,,15300000.0,250500000.0,310400000.0,455400000.0,204600000.0,,193800000,341300000.0,124100000.0,-11300000.0,45800000.0,104800000.0,,,0.0,364600000.0,,89000000.0,136700000.0,,110600000.0,10700000.0,69500000.0,10700000,,0.0,100000.0,0.01,,
1992-10-31,6100000.0,,6400000.0,,19400000.0,258500000.0,159500000.0,97000000.0,3600000.0,159500000.0,33900000.0,0.0,,,,11100000.0,-27200000.0,13500000.0,101000000.0,-85600000.0,,28600000.0,853800000.0,,,,300000.0,,23200000.0,,0.0,185700000.0,65900000.0,13000000.0,-88800000.0,0.0,30900000,,225500000.0,8100000.0,-63200000.0,,,-16100000.0,22800000,,,-200000.0,272000000.0,344100000.0,581800000.0,248200000.0,,210500000,379700000.0,118400000.0,-700000.0,120100000.0,113700000.0,,,7000000.0,474100000.0,,96800000.0,131500000.0,,110700000.0,13000000.0,74000000.0,13000000,,0.0,200000.0,,,
1993-01-31,13400000.0,980000000.0,7200000.0,,21900000.0,261800000.0,114600000.0,,3600000.0,114600000.0,30900000.0,0.0,,,,-5400000.0,-14500000.0,12900000.0,-3000000.0,-85600000.0,0.015,26000000.0,834900000.0,-100000.0,,,8200000.0,,-44900000.0,,159500000.0,163100000.0,67900000.0,14700000.0,-36200000.0,0.0,32400000,,240200000.0,8600000.0,-30000000.0,,,-19900000.0,23800000,980000000.0,,-28700000.0,274700000.0,347400000.0,560200000.0,220000000.0,,215600000,350000000.0,116500000.0,-14000000.0,144100000.0,115300000.0,,,100000.0,484900000.0,,100300000.0,130000000.0,,122400000.0,14700000.0,76500000.0,14700000,,-100000.0,1800000.0,0.015,,
1993-04-30,14400000.0,1115000000.0,11000000.0,,33300000.0,279500000.0,98000000.0,,3300000.0,98000000.0,42500000.0,0.0,,,,28200000.0,-19400000.0,14000000.0,4600000.0,-85600000.0,0.02,27900000.0,906000000.0,-200000.0,,,47900000.0,,-16500000.0,,0.0,193200000.0,74200000.0,22300000.0,-49400000.0,0.0,45700000,,262500000.0,9400000.0,-79500000.0,,,8800000.0,36300000,1115000000.0,,-3600000.0,293500000.0,365100000.0,612500000.0,263600000.0,,255700000,394700000.0,116800000.0,-3000000.0,177100000.0,135800000.0,,,-100000.0,511300000.0,,119900000.0,131100000.0,,127900000.0,22300000.0,83600000.0,22300000,,100000.0,300000.0,0.02,,
1993-07-31,14900000.0,1128000000.0,13900000.0,,42100000.0,298000000.0,78100000.0,,3400000.0,78100000.0,33400000.0,0.0,,,,31300000.0,-26000000.0,14100000.0,-4800000.0,-85600000.0,0.025,31800000.0,981200000.0,,,,58100000.0,,-20000000.0,,0.0,236300000.0,80700000.0,28200000.0,-46400000.0,0.0,54800000,,290700000.0,9500000.0,-80300000.0,-200000.0,,5300000.0,45300000,1128000000.0,,-6200000.0,312100000.0,383600000.0,669100000.0,301500000.0,,281400000,439300000.0,122900000.0,-18800000.0,204500000.0,146000000.0,,,0.0,541900000.0,,135400000.0,137800000.0,,146900000.0,28200000.0,90100000.0,28200000,,0.0,100000.0,0.025,,
1993-10-31,7200000.0,,18600000.0,,53100000.0,327700000.0,119600000.0,20500000.0,3900000.0,119600000.0,48700000.0,0.0,,,,62900000.0,-39500000.0,16600000.0,31000000.0,-121900000.0,,49100000.0,1120200000.0,,,,41500000.0,,41500000.0,,0.0,282700000.0,89900000.0,34500000.0,-52600000.0,0.0,69100000,,325200000.0,11400000.0,-49200000.0,,,23400000.0,57700000,,,36700000.0,344300000.0,449600000.0,775900000.0,380500000.0,,327400000,521400000.0,121100000.0,-6900000.0,245700000.0,168400000.0,,,12600000.0,598800000.0,,159000000.0,140900000.0,,154600000.0,34500000.0,101300000.0,34500000,,-5900000.0,-700000.0,,,
1994-01-31,23400000.0,1331920000.0,21200000.0,,60700000.0,334300000.0,94800000.0,300000.0,3600000.0,222500000.0,41500000.0,0.0,39200000.0,,,-16100000.0,-24100000.0,13600000.0,-6400000.0,-121900000.0,0.035,48700000.0,1142200000.0,,,13700000.0,45600000.0,127700000.0,-24800000.0,800000.0,119600000.0,268800000.0,53700000.0,44400000.0,-2100000.0,94800000.0,73800000,,369600000.0,11500000.0,-26700000.0,,,-40200000.0,62300000,1331920000.0,,-67100000.0,347900000.0,456200000.0,794300000.0,359000000.0,,340400000,501400000.0,119000000.0,-25000000.0,36100000.0,184500000.0,,292000000.0,0.0,640800000.0,,155900000.0,142400000.0,,177600000.0,44400000.0,93600000.0,37400000,,0.0,-2800000.0,0.035,,
