date,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyGoodwill,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyRepurchaseOfCapitalStock,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOperatingExpense,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyTaxProvision,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyBasicAverageShares,quarterlyDeferredIncomeTax,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue
1984-03-31,,,,,,,,,,,0.01,,,,,1900000,,,,,,,,356416000.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,22000000,356416000.0,,,,,,,,22000000,,,,22000000,,,,,
1984-06-30,,,,,,,,,,,0.005,,,,,1700000,,,,,,,,356416000.0,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,21000000,356416000.0,,,,,,,,21000000,,,,21000000,,,,,
1984-09-30,,,,,,,,,,,0.005,,,,,1700000,,,,,,,,356416000.0,,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,21300000,356416000.0,,,,,,,,21300000,,,,21300000,,,,,
1984-12-31,3700000.0,,13500000.0,56600000.0,,,,,,-100000.0,,4600000.0,,,,1500000,,,1000000.0,,16400000.0,,,,11000000.0,,,11000000.0,,,,16900000.0,2000000.0,,1400000.0,,,2400000.0,,,,,,,,,,,,39700000.0,,,-6500000.0,,10100000.0,,,,-52500000,,,,,,,35600000.0,,20000000,16600000.0,43100000.0,12300000.0,-52500000,,,,,
1985-03-31,,,,,,,,,,,0.01,,,,,2300000,,,,,,,,358144000.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,25500000,358144000.0,,,,,,,,25500000,,,,25500000,,,,,
1985-06-30,,,,,,,,,,,0.01,,,,,2100000,,,,,,,,358144000.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,24600000,358144000.0,,,,,,,,24600000,,,,24600000,,,,,
1985-09-30,,,,,,,,,,,0.01,,,,,2100000,,,,,,,,358672000.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,25900000,358672000.0,,,,,,,,25900000,,,,25900000,,,,,
1985-12-31,4200000.0,16600000.0,16600000.0,70700000.0,,,,,,0.0,,5500000.0,,,,1900000,,,1300000.0,,22200000.0,,,,12100000.0,,,12100000.0,100000.0,,,22200000.0,700000.0,,1300000.0,,,2500000.0,,,,,,,,,,,,48500000.0,,,-9000000.0,,14600000.0,,,,-61400000,,,,,,,44000000.0,,25600000,23600000.0,54100000.0,16700000.0,-61400000,,,,,
1986-03-31,,,,,,,,,,,0.01,,,,,2800000,,,,,,,,359056000.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,30700000,359056000.0,,,,,,,,30700000,,,,30700000,,,,,
1986-06-30,,,,,,,,,,,0.01,,,,,2500000,,,,,,,,359056000.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,30400000,359056000.0,,,,,,,,30400000,,,,30400000,,,,,
1986-09-30,,,,,,,,,,,0.01,,,,,2500000,,,,,,,,361312000.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,30400000,361312000.0,,,,,,,,30400000,,,,30400000,,,,,
1986-12-31,4000000.0,20400000.0,22300000.0,86000000.0,,,,,,0.0,,5500000.0,,,,2300000,,,1500000.0,,28200000.0,,,,8400000.0,,,8400000.0,400000.0,,,26300000.0,500000.0,,4900000.0,,,3200000.0,,,,,,,,,,,,59700000.0,,,-12400000.0,,16900000.0,,,,-73100000,,,,,,,54100000.0,,29700000,29300000.0,63700000.0,20800000.0,-73100000,,,,,
1987-03-31,,,,,,,,,,,0.01,,,,,3500000,,,,,,,,361360000.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,37200000,361360000.0,,,,,,,,37200000,,,,37200000,,,,,
1987-06-30,,,,,,,,,,,0.01,,,,,3000000,,,,,,,,373728000.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,36900000,373728000.0,,,,,,,,36900000,,,,36900000,,,,,
1987-09-30,,,,,,,,,,,0.01,,,,,3200000,,,,,,,,373664000.0,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,36900000,373664000.0,,,,,,,,36900000,,,,36900000,,,,,
1987-12-31,3700000.0,17800000.0,24100000.0,105000000.0,,,,,,100000.0,,5300000.0,,,,2900000,,,1500000.0,,36300000.0,,,,6000000.0,,,6000000.0,6700000.0,,,29800000.0,500000.0,,5900000.0,,,4000000.0,,,,,,,,,,,,75200000.0,,,-16700000.0,,17700000.0,,,,-88900000,,,,,,,67400000.0,,37200000,34400000.0,80900000.0,24500000.0,-88900000,,,,,
1988-03-31,,,,,,,,,,,0.015,,,,,4200000,,,,,,,,374096000.0,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,42700000,374096000.0,,,,,,,,42700000,,,,42700000,,,,,
1988-06-30,,,,,,,,,,,0.015,,,,,3800000,,,,,,,,374544000.0,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,43900000,374544000.0,,,,,,,,43900000,,,,43900000,,,,,
1988-09-30,,,,,,,,,,,0.015,,,,,3900000,,,,,,,,374544000.0,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,44400000,374544000.0,,,,,,,,44400000,,,,44400000,,,,,
1988-12-31,3100000.0,25200000.0,26000000.0,124800000.0,,,,,,-100000.0,,5000000.0,,,,3900000,,,2000000.0,,49700000.0,,,,4600000.0,,,4600000.0,3600000.0,,,33800000.0,400000.0,,4900000.0,,,5800000.0,,,,,,,,,,,,91000000.0,,,-20600000.0,,20700000.0,,,,-104500000,,,,,,,83300000.0,,47700000,41300000.0,98800000.0,28800000.0,-104500000,,,,,
1989-03-31,,,,,,,,,,,0.015,,,,,5100000,,,,,,,,374784000.0,,,,,,,,,,,,,,,,,,0.015,,,,,,,,,,,,,,,,,53900000,374784000.0,,,,,,,,53900000,,,,53900000,,,,,
1989-06-30,3000000.0,13000000.0,26500000.0,135500000.0,,,,25700000.0,,100000.0,0.015,5100000.0,,4600000.0,,4600000,21700000.0,4600000.0,2000000.0,-400000.0,55000000.0,,,306666667.0,4400000.0,,,4400000.0,5200000.0,,,34800000.0,600000.0,,4200000.0,,,6700000.0,,,,0.015,,,,31100000.0,,11500000.0,23300000.0,100700000.0,,,-20600000.0,2700000.0,21700000.0,,,,9400000,306666667.0,,,,,7300000.0,93000000.0,,56800000,42300000.0,109000000.0,29700000.0,7800000,,,,,
