date,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyInventory,quarterlyAccumulatedDepreciation,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOperatingCashFlow,quarterlyOperatingExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyInterestExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyPurchaseOfInvestment,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyChangeInAccountPayable,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyCurrentAccruedExpenses,quarterlyNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyChangeInInventory,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyBasicAverageShares,quarterlyDilutedEPS,quarterlyBasicEPS,quarterlySaleOfInvestment,quarterlyNonCurrentDeferredRevenue,quarterlyDilutedAverageShares
2013-03-31,0.0,,,,,,-93000.0,-22239000,-14239000,,,14625000,17868000,14305000,-4464000,14000,,,,,7023000,17775000,,5030000,,6559000,,384000,,,,,20039000,,2095000,,-93000,14611000,14998000,99296000,-8339000.0,9275000,29303000,,,,,,,,-1635000,,1471000,,,,,0.0,69993000,3411000,,,14611000,14611000,-17500000,,,,,,,,,,,,
2013-06-30,0.0,,,,,,-260000.0,-17094000,-18094000,,,-931000,19701000,13721000,2347000,14000,,,,,3854000,19441000,,4284000,,2095000,,286000,,,,,3639000,,4442000,,-260000,-945000,-646000,65481000,8206000.0,9437000,13075000,,,,,,,,13456000,,-661000,,,,,0.0,52406000,-2608000,,,-945000,-945000,-3500000,,,,,,,,,,,,
2013-09-30,0.0,,,,,,-633000.0,2278000,-5722000,,,-1583000,-3794000,10967000,-2149000,14000,,,,,12388000,-4427000,,3390000,,4442000,,597000,,,,,2404000,,2292000,,-633000,-1597000,-1110000,69899000,,7577000,9857000,,,,,,,,-4781000,,1066000,,,,,0.0,60042000,-2854000,,,-1597000,-1597000,-22500000,,,,,,,,,,,,
2013-12-31,0.0,4817000.0,4322000.0,-23278000.0,0.0,2959000.0,-495000.0,-5314000,-21814000,,,19358000,10705000,12242000,4896000,14000,,1833000.0,7782000.0,109073000.0,-3558000,10210000,0.0,3511000,,2292000,36971000.0,447000,7189000.0,27500000.0,7189000.0,,23316000,,7189000,,-495000,19344000,19587000,82414000,,8731000,31829000,73160000.0,28095000.0,73142000.0,,,101291000.0,,-6359000,,-2916000,0.0,69472000.0,,6838000.0,0.0,50585000,1452000,35913000.0,,19344000,19344000,-19000000,18000.0,0.0,11205000.0,,,,,,,,,
2014-03-31,0.0,4614000.0,0.0,-24268000.0,0.0,3497000.0,-787000.0,-7856000,-14356000,,,6540000,6209000,11072000,-2434000,32000,,3541000.0,8113000.0,127833000.0,-25792000,5422000,,2959000,,7189000,54796000.0,313000,4755000.0,34000000.0,4755000.0,,9812000,,4755000,,-787000,6508000,6783000,105976000,17825000.0,8113000,17855000,99768000.0,28882000.0,99684000.0,,,119720000.0,,-8673000,,10197000,0.0,94697000.0,,7347000.0,0.0,88121000,4322000,28065000.0,,6508000,6508000,-18000000,84000.0,0.0,14174000.0,,,,,,,,,
2014-06-30,0.0,4310000.0,4011000.0,-25189000.0,0.0,4085000.0,-617000.0,-22100000,-29150000,,,333000,19449000,12999000,-3268000,132000,,6114000.0,8469000.0,86458000.0,38058000,18832000,,3252000,,4755000,35025000.0,222000,1487000.0,41050000.0,1487000.0,,3807000,,1487000,,-617000,201000,554000,65940000,-19771000.0,9747000,13553000,87342000.0,29499000.0,87339000.0,,,77989000.0,,10343000,,59000,0.0,48385000.0,,4889000.0,0.0,52387000,-4011000,-884000.0,,201000,201000,-17000000,3000.0,0.0,21508000.0,,,,,,,,,
2014-09-30,0.0,4437000.0,9659000.0,-25953000.0,0.0,5940000.0,-810000.0,15499000,-43121000,,,1032000,-13693000,14747000,996000,613000,,3066000.0,33387000.0,122074000.0,-2525000,-14503000,,4113000,,1487000,33694000.0,615000,6606000.0,20500000.0,6606000.0,138000.0,5760000,,2483000,,-810000,1061000,1607000,68217000,,10634000,16354000,83556000.0,30390000.0,62460000.0,,,88687000.0,,-19701000,1061000.0,-3004000,0.0,48963000.0,,4349000.0,0.0,51863000,-5649000,10197000.0,107000.0,1061000,419000,-3330000,21096000.0,20915000.0,20772000.0,,,,,,,,,
2014-12-31,0.0,4221000.0,8032000.0,-26933000.0,0.0,3125000.0,-826000.0,8793000,-2986000,,,-13062000,-6091000,29283000,1876000,-1668000,0.0,13394000.0,32408000.0,138397000.0,-21024000,-6917000,,11897000,1015000.0,2483000,38210000.0,428000,14928000.0,33000000.0,14928000.0,138000.0,-737000,496000.0,4359000,,-826000,-1115000,-12786000,82742000,,17386000,16497000,114280000.0,31154000.0,92816000.0,,-1702000.0,105989000.0,,-22654000,-775000.0,-3773000,0.0,63797000.0,,7195000.0,0.0,66245000,1627000,8659000.0,,-1115000,-11394000,-5720000,21464000.0,20986000.0,15842000.0,,,,,,,,,
2015-03-31,0.0,4263000.0,511000.0,-27313000.0,,3647000.0,-441000.0,-17985000,-3897000,,,13490000,19246000,18982000,820000,561000,,11013000.0,33369000.0,125691000.0,1924000,18805000,,4278000,1253000.0,4359000,31534000.0,381000,13307000.0,20000000.0,13307000.0,138000.0,18149000,550000.0,5179000,,-441000,2409000,13736000,101803000,,14704000,32718000,93291000.0,31576000.0,71722000.0,,-159000.0,92322000.0,-1088000.0,1537000,546000.0,-4191000,0.0,58926000.0,,7743000.0,0.0,69085000,7521000,10319000.0,,2409000,12929000,-16000000,21569000.0,315000.0,17288000.0,,,,,,,,,
2015-06-30,0.0,4448000.0,2945000.0,-27743000.0,,4532000.0,-416000.0,-16160000,-4038000,,,5084000,15634000,18209000,-942000,459000,,9498000.0,35042000.0,108540000.0,17684000,15218000,,5230000,2292000.0,5179000,26504000.0,207000,9572000.0,9000000.0,9572000.0,139000.0,10522000,609000.0,4237000,,-416000,708000,5104000,65433000,,12978000,23313000,75674000.0,32191000.0,52823000.0,,436000.0,73498000.0,-1122000.0,3752000,132000.0,-4356000,0.0,40011000.0,,7032000.0,0.0,42120000,-2434000,10765000.0,,708000,4625000,-14000000,22851000.0,1553000.0,18550000.0,,,,,,,,,
