date,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyFreeCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicAverageShares,quarterlyAccountsReceivable,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyNetOtherFinancingCharges,quarterlyDilutedEPS,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyNetPPE,quarterlyEbitda,quarterlyAccumulatedDepreciation,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyPretaxIncome,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyDeferredIncomeTax,quarterlyCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyNonCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyIncomeTaxPayable
1984-03-31,,,,,,,3000000.0,,,,,,,900000,,,900000,,900000,,,,,,,,,,,,,0.3,,,,,,,,,,,3000000.0,,,,,2700000.0,,,,0.3,,,,,,,,2700000.0,,,,,2700000.0,,,,,,,,,,,,
1984-06-30,,,,,,,3125000.0,,,,,,,1000000,,,1000000,,1000000,,,,,,,,,,,,,0.32,,,,,,,,,,,3125000.0,,,,,,,,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,
1984-09-30,,,,,,,3513514.0,,,,,,,1300000,,,1300000,,1300000,,,,,,,,,,,,,0.37,,,,,,,,,,,3513514.0,,,,,3300000.0,,,,0.37,,,,,,,,3300000.0,,,,,3300000.0,,,,,,,,,,,,
1984-12-31,117100000.0,62300000.0,,,,,,,,,,,,1200000,,,1200000,,1200000,,,,,,,,,,,,,,,69600000.0,,,,,,,,,,47500000.0,,,,8200000.0,,,,,11400000.0,,,,,,,3500000.0,,,,,8200000.0,,,,,,,,,,,,
1985-03-31,,,,,,,2500000.0,,,,,,,900000,,,900000,,900000,,,,,,,,,,,,,0.36,,,,,,,,,,,2500000.0,,,,,4000000.0,,,,0.36,,,,,,,,4000000.0,,,,,4000000.0,,,,,,,,,,,,
1985-06-30,,,,,,,2500000.0,,,,,,,1300000,,,1300000,,1300000,,,,,,,,,,,,,0.35,,,,,,,,,,,2500000.0,,,,,4500000.0,,,,0.35,,,,,,,,4500000.0,,,,,4500000.0,,,,,,,,,,,,
1985-09-30,,,,,,,6571429.0,,,,,,,2300000,,,2300000,,2300000,,,,,,,,,,,,,0.35,,,,,,,,,,,6571429.0,,,,,5200000.0,,,,0.35,,,,,,,,5200000.0,,,,,5200000.0,,,,,,,,,,,,
1985-12-31,193900000.0,15000000.0,,,,,,,,,,,,2100000,,,2100000,,2100000,,,,,,,,,,,,,,,61700000.0,,,,,,,,,,132200000.0,,,,11400000.0,,,,,18100000.0,,,,,,,5600000.0,,,,,11400000.0,,,,,,,,,,,,
1986-03-31,,,,,,,8048780.0,,,,,,,3300000,,,3300000,,3300000,,,,,,,,,,,,,0.41,,,,,,,,,,,8048780.0,,,,,5400000.0,,,,0.41,,,,,,,,5400000.0,,,,,5400000.0,,,,,,,,,,,,
1986-06-30,,,,,,,8484848.0,,,,,,,2800000,,,2800000,,2800000,,,,,,,,,,,,,0.33,,,,,,,,,,,8484848.0,,,,,5500000.0,,,,0.33,,,,,,,,5500000.0,,,,,5500000.0,,,,,,,,,,,,
