date,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyCapitalStock,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyAccountsPayable,quarterlyOtherShortTermInvestments,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyInventory,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2009-12-31,5762381000,5746573000,93219000,,-846853000.0,1121324000,73864000,0.0,21956000,9950000,0.0,,1968177000.0,180480000,4057726000,15808000.0,5275492000,10457090000,3579208000,2249839000.0,2702392000,13159482000,8854700000,0.0,3305509000,1446000.0,4304782000,,46883000,3347386000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,3985031000,3985031000,98011000,,,1325787000,73979000,2033086000.0,1025094000,54964000,0.0,,,176521000,4641859000,,6691007000,10068073000,2624372000,,3843086000,13911159000,9315379000,0.0,2349840000,37114000.0,4562164000,,100411000,4790875000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,3748987000,3729743000,228813000,,-957165000.0,1454445000,74486000,4715534000.0,0,9950000,0.0,,2411610000.0,244047000,4966876000,19244000.0,8232263000,8916767000,5823759000,,9762655000,18679422000,14056022000,0.0,5350899000,14618000.0,4619450000,,117711000,562944000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,7269279000,7269279000,222639000,,,1634593000,89669000,4873571000.0,1118061000,9950000,0.0,,,245175000,5451267000,,7911125000,13439795000,7049079000,,10178106000,23617901000,14960204000,0.0,6581265000,93456000.0,8655427000,,176298000,812876000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,5481302000,5457812000,276014000,699874000.0,-1063121000.0,1870033000,89668000,0.0,1297867000,4936415000,0.0,-901337000.0,2933154000.0,421938000,6457923000,23490000.0,11576848000,14406747000,5659220000,4407012000.0,12326397000,26733144000,17236068000,0.0,4961268000,848000.0,9490352000,,149559000,4736191000,4023131000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,5435149000,5425613000,369956000,,,1989295000,89686000,5856055000.0,156853000,257617000,760947000.0,,,436125000,7345816000,9536000.0,11801027000,16718856000,8898211000,,14458041000,31176897000,20699238000,0.0,8090644000,33661000.0,10139430000,577664000.0,175801000,5128008000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,6725419000,6716913000,362265000,,-1205578000.0,2373242000,97186000,0.0,48780000,5754252000,540655000.0,,3578820000.0,520791000,4507488000,8506000.0,12475474000,20437890000,10884353000,6008074000.0,16774905000,37212795000,23359827000,0.0,9996359000,0.0,13509824000,577664000.0,185374000,12018459000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,12818553000,12807201000,393831000,,,2419003000,97219000,4324379000.0,154893000,6070011000,1602067000.0,,2419003000.0,532217000,4531259000,11352000.0,14731030000,28345833000,17908290000,7173088000.0,19446814000,47792647000,32639320000,0.0,16977819000,11352000.0,14825516000,577664000.0,229552000,13349324000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,8126386000,8115820000,394807000,,-1373787000.0,2526150000,97219000,500000000.0,236449000,6580429000,4723121000.0,,3899937000.0,638802000,5900211000,10566000.0,20964558000,27865616000,13438017000,7965866000.0,22971021000,50836637000,34402575000,0.0,12400128000,162000.0,16180825000,577664000.0,163427000,9729734000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,9304912000,9283695000,381228000,,,2581134000,97310000,0.0,3289547000,6466407000,6720713000.0,,2581134000.0,671674000,9649098000,21217000.0,30734191000,32583593000,12886598000,8943162000.0,28285489000,60869082000,43620789000,-1235346000.0,11829796000,0.0,17010705000,577664000.0,177309000,11824270000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
