date,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyBasicEPS,quarterlyChangeInAccountPayable,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyBasicAverageShares,quarterlyRepurchaseOfCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyOtherNonCashItems,quarterlyDilutedEPS,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyOtherShortTermInvestments,quarterlyResearchAndDevelopment,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyInterestExpense,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherIncomeExpense,quarterlyDilutedAverageShares,quarterlyRepaymentOfDebt,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyCurrentDebt,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyInventory,quarterlyIncomeTaxPayable
2013-03-31,,,14116000,-0.124102,434000.0,-404000,,30885803.0,,25190000,,0,14641000,,436000,-0.124102,-3746000,,0.0,436000,-2812000,,-1561000,-3760000,,3235000,,,3291000,,,,,4994000,19134000,899000,,,,,,,4332000,8000.0,5018000,,0,30885803.0,,,-3746000,-3746000,,,,,17876000,926000,-3833000,29522000,,,-1561000,,-662000,0,,,,,,,,,,,
2013-06-30,,,13035000,-0.290813,-469000.0,-520000,,30885803.0,,29522000,,0,17349000,,632000,-0.290813,-8895000,,0.0,632000,-7874000,,-2152000,-8910000,,4596000,,,5237000,,,,,-80000,18691000,-2015000,,,,,,,-4247000,5000.0,5656000,,10000,30885803.0,,,-8895000,-8895000,,,,,21945000,1016000,-8982000,25275000,,,-2152000,,-4167000,-149000,,,,,,,,,,,
2013-09-30,,,14657000,-0.330896,279000.0,-16033000,,30885803.0,-29000.0,25275000,,0,19681000,,-5000,-0.330896,-10133000,,0.0,639000,-8992000,0.0,-1964000,-10137000,,5113000,,,-7566000,,,,,14000,20499000,-15925000,,,,,,,-17875000,1000.0,5842000,,0,30885803.0,,,-10133000,-10133000,,,,,24794000,1140000,-10220000,7400000,,,-1964000,,-17889000,0,,,,,,,,,,,
2013-12-31,0.0,,18601000,,1650000.0,15370000,,,-1000.0,7400000,5089000.0,-56000,17272000,6023000.0,719000,,-5179000,-99849000.0,0.0,719000,-3911000,,-1903000,-5199000,,6528000,5231000.0,,3770000,11191000.0,9866000.0,20211000.0,-4635000.0,212000,24803000,1359000,0.0,,28652000.0,1835000.0,12025000.0,847000.0,-388000,15000.0,6202000,2418000.0,0,,,,-5179000,-5179000,7012000.0,1266000.0,7012000.0,,23800000,1253000,-5265000,7012000,98055000.0,8904000.0,-1959000,,-544000,0,17461000.0,22629000.0,911000.0,,,,,,,,
2014-03-31,0.0,,20084000,-0.93,4244000.0,1203000,,7698709.0,,7012000,9264000.0,-17000,20677000,485000.0,1197000,-0.93,-7050000,-106899000.0,0.0,1195000,-4983000,,-2621000,-6267000,,5674000,5662000.0,,6356000,9526000.0,10897000.0,26459000.0,-5235000.0,-1149000,26332000,2474000,0.0,,30079000.0,632000.0,9378000.0,1561000.0,-1313000,784000.0,6248000,3135000.0,0,7698709.0,,,-7050000,-7050000,5699000.0,5777000.0,5699000.0,,26351000,1283000,-7137000,5699000,98142000.0,9680000.0,-2638000,,-147000,-1411000,20553000.0,29594000.0,5211000.0,,,,,,,,
2014-06-30,0.0,,17744000,-0.27,-5017000.0,-23000,,39304884.0,,5699000,4085000.0,-4000,22418000,93818000.0,2044000,-0.27,-10595000,-117494000.0,0.0,2044000,-9098000,,-2575000,-10492000,,5818000,5741000.0,,6351000,108190000.0,11597000.0,31834000.0,-5856000.0,102474000,24744000,-832000,0.0,,127860000.0,655000.0,13326000.0,642000.0,99063000,134000.0,7000000,2208000.0,0,39304884.0,,,-10595000,-10595000,104762000.0,12396000.0,104762000.0,,28236000,1363000,-10597000,104762000,40000.0,11034000.0,-2579000,,-3407000,101713000,19670000.0,34042000.0,1745000.0,,,,,,,,
2014-09-30,0.0,,21809000,-0.18,533000.0,-9383000,,40269937.0,0.0,104762000,4677000.0,0,23274000,88927000.0,0,-0.18,-7337000,-124831000.0,0.0,2247000,-5567000,0.0,-2638000,-7191000,,5726000,5841000.0,,-18269000,93842000.0,12296000.0,23895000.0,-6455000.0,199000,28407000,-21765000,0.0,,114112000.0,10038000.0,14720000.0,649000.0,-24204000,176000.0,6598000,1290000.0,0,40269937.0,,,-7337000,-7337000,80558000.0,2100000.0,80558000.0,,29000000,1594000,-7337000,80558000,40000.0,11825000.0,-2638000,,-24403000,0,20270000.0,25185000.0,1191000.0,,,,,,,,
2014-12-31,0.0,,23744000,-0.1,-2325000.0,9688000,,40577087.0,0.0,80558000,2293000.0,-8000,22269000,88011000.0,0,-0.1,-4017000,-128848000.0,0.0,2041000,-3898000,0.0,-3119000,-3928000,,5403000,6755000.0,,9082000,89988000.0,6755000.0,23768000.0,-6986000.0,1060000,30756000,8438000,0.0,,113039000.0,350000.0,17138000.0,621000.0,6371000,119000.0,7012000,1260000.0,0,40577087.0,,,-4017000,-4017000,86929000.0,1906000.0,86929000.0,,27672000,1332000,-4017000,86929000,41000.0,13155000.0,-3127000,,5319000,0,23051000.0,25028000.0,1466000.0,,,,,,,,
2015-03-31,0.0,,27062000,-0.13,4785000.0,-3955000,,40978741.0,,86929000,7078000.0,0,26298000,85381000.0,2048000,-0.13,-5468000,-134316000.0,0.0,2048000,-3629000,,-3355000,-5370000,,6134000,6936000.0,,420000,93252000.0,6936000.0,30451000.0,-7589000.0,790000,34612000,-1287000,0.0,,117049000.0,4305000.0,14406000.0,576000.0,-3852000,126000.0,7550000,1217000.0,0,40978741.0,0.0,,-5468000,-5468000,83077000.0,6152000.0,83077000.0,,32432000,1713000,-5468000,83077000,41000.0,14201000.0,-3355000,,-4642000,-436000,23797000.0,31668000.0,1456000.0,,,,,,,,
2015-06-30,0.0,,27335000,-0.23,-4232000.0,-88000,,41362476.0,,83077000,2846000.0,0,30397000,80619000.0,3867000,-0.23,-9630000,-143946000.0,0.0,3867000,-7827000,,-3183000,-9528000,,6466000,7353000.0,,11415000,96649000.0,15637000.0,41230000.0,-8284000.0,1001000,35238000,7329000,0.0,,123103000.0,4393000.0,21881000.0,612000.0,5147000,126000.0,7903000,1254000.0,0,41362476.0,0.0,,-9630000,-9630000,88224000.0,13426000.0,88224000.0,,36863000,1677000,-9630000,88224000,42000.0,15373000.0,-3183000,,4146000,0,26454000.0,42484000.0,1995000.0,,,,,,,,
2015-09-30,0.0,,29247000,-0.2,1484000.0,-8295000,,41645894.0,,88224000,4330000.0,-250000,30044000,194916000.0,3302000,-0.2,-8235000,-152181000.0,0.0,3302000,-8108000,117463000.0,-3549000,-7879000,,7082000,7791000.0,,-25874000,194366000.0,7791000.0,32646000.0,-8962000.0,119558000,37092000,-28659000,0.0,,228563000.0,12688000.0,20986000.0,594000.0,87100000,127000.0,7845000,1001000.0,-250000,41645894.0,0.0,,-8235000,-8235000,175324000.0,3818000.0,175324000.0,,37126000,1898000,-8235000,175324000,46000.0,16760000.0,-3799000,,-32208000,0,34197000.0,33647000.0,8259000.0,,,,,,,,
2015-12-31,0.0,,34503000,-0.07,214000.0,11713000,,45651475.0,,175324000,4544000.0,-2081000,30295000,195789000.0,3282000,-0.07,-3400000,-155581000.0,,3282000,-1295000,-351000.0,-3527000,-3321000,,7529000,8128000.0,,10652000,192907000.0,8128000.0,32597000.0,-8490000.0,663000,43252000,13350000,0.0,,231041000.0,975000.0,12039000.0,2655000.0,8405000,173000.0,8749000,2655000.0,0,45651475.0,,,-3400000,-3400000,183729000.0,2609000.0,183729000.0,,37824000,1932000,-3400000,183729000,46000.0,18121000.0,-5608000,,9823000,0,38134000.0,35252000.0,3744000.0,,,,,,,,
2016-03-31,0.0,,37932000,-0.07,1806000.0,-287000,,45953082.0,,183729000,6350000.0,-68000,34103000,196623000.0,364000,-0.07,-3380000,-158961000.0,0.0,3544000,-1205000,,-3899000,-3446000,,7275000,3604000.0,,3965000,197273000.0,6786000.0,37516000.0,-3182000.0,670000,47444000,6278000,0.0,,236718000.0,1262000.0,14237000.0,2579000.0,2981000,26000.0,9512000,2579000.0,0,45953082.0,,,-3380000,-3380000,186710000.0,9982000.0,186710000.0,,41378000,2149000,-3380000,186710000,46000.0,24514000.0,-3967000,,2379000,-351000,39445000.0,40095000.0,3858000.0,,,,,,,,
