date,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyCurrentAssets,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyNetIncome,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyDilutedAverageShares,quarterlyPretaxIncome,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyResearchAndDevelopment,quarterlyPurchaseOfBusiness,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyBasicEPS,quarterlySaleOfInvestment,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyBasicAverageShares,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyChangeInInventory,quarterlyNetOtherInvestingChanges,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyInventory
2018-04-30,-23513000,6118000,-229976000,-24882000,1621000,103646000,-38608000,-15000.0,,,,,472000,-26328000,,80919000,18614000,,,,-0.047364,,,10101000,-24882000,97146000,-24876000,70818000,,,,61736000,-274000,,350000,-18402000,,,,525337000.0,-24526000,3433000,,758000,,35410000,0,-88000,,-14969000,,-34417000,2815000,,,-0.047364,209250000,,,,,138063000,,525337000.0,,,,,,,,,,,,,
2018-07-31,-29838000,1638000,-138073000,-31860000,3920000,105166000,-7141000,,,,,,2000,-33686000,,92018000,25811000,,,,-0.060647,,,11361000,-31860000,114343000,-31686000,80657000,,,,79161000,-320000,,85000,-10394000,,,,525337000.0,-31601000,1488000,,7173000,,35182000,-3400000,-6046000,,-8906000,,1520000,3848000,,,-0.060647,144574000,,,,,103646000,,525337000.0,,,,,,,,,,,,,
2018-10-31,-46190000,10515000,-366729000,-47672000,3710000,214475000,-289939000,,,,,,115000,-50754000,,105648000,4127000,,,,-0.090746,,,13540000,-47672000,142862000,-47696000,92108000,,,,101872000,-594000,,318000,-16705000,0.0,,-32000.0,525337000.0,-47378000,-28375000,,427623000,,40990000,-43523000,-6181000,,-45080000,,109309000,4564000,,,-0.090746,136738000,,,,,105166000,,525337000.0,,,,,,,,,,,,,
2019-01-31,-37851000,4861000,-232277000,-36269000,-6405000,201260000,2267000,,332398000.0,118490000.0,-665563000.0,357350000.0,-3647000,-43440000,2048000.0,121967000,10120000,982722000.0,87438000.0,48598000.0,,22904000.0,29809000.0,16299000,-36269000,149108000,-34644000,105668000,239825000.0,24952000.0,831686000.0,103152000,3935000,88359000.0,87000,-13901000,0.0,12334000.0,,,-34557000,-17605000,51740000.0,2123000,-30131000.0,45956000,-666000,-37990000,216234000.0,-31506000,660301000.0,-13215000,5589000,1198956000.0,15203000.0,,248325000,-498000.0,841071000.0,1392114000.0,180770000.0,214475000,16613000.0,,,,,,,,,,,,,,
2019-04-30,-32562000,3639000,-24907000,-33332000,-1039000,294979000,105460000,0.0,324382000.0,126612000.0,-900536000.0,350251000.0,-2606000,-38438000,1781000.0,134821000,10846000,924320000.0,71619000.0,48598000.0,-0.06,24088000.0,28225000.0,18574000,-33332000,154685000,-31881000,116247000,254908000.0,25869000.0,805408000.0,103582000,2387000,94929000.0,520000,-20077000,0.0,15266000.0,,525337000.0,-31361000,-14126000,69747000.0,2385000,-31683000.0,51103000,-3100000,15620000,242710000.0,-34203000,536169000.0,93719000,5876000,1167030000.0,14170000.0,-0.06,150686000,-78000.0,792658000.0,53000.0,256489000.0,201260000,10396000.0,525337000.0,,,,,,,,,,,,,
2019-07-31,-356869000,285787000,-34646000,-359562000,-397000,536765000,239131000,,402267000.0,144944000.0,-1058457000.0,425931000.0,917000,-363650000,1507000.0,144973000,66452000,918174000.0,72538000.0,48598000.0,-0.98,22157000.0,42866000.0,31106000,-359562000,477517000,-359616000,113867000,285016000.0,23664000.0,738466000.0,259748000,3111000,107513000.0,-923000,-8192000,0.0,17496000.0,-5556000.0,368533000.0,-360539000,321000,70796000.0,2334000,-37431000.0,217769000,-2370000,-362000,257540000.0,-7871000,287072000.0,241786000,6781000,1175714000.0,13137000.0,-0.98,284339000,-119000.0,785347000.0,54000.0,498275000.0,294979000,8476000.0,368533000.0,,,,,,,,,,,,,
2019-10-31,-87240000,73861000,-143342000,-89161000,2441000,514964000,-23858000,,405519000.0,145811000.0,-1147618000.0,437621000.0,-1399000,-95002000,1234000.0,168725000,-1557000,917894000.0,84977000.0,48598000.0,-0.16,30868000.0,44641000.0,23140000,-89161000,240587000,-87766000,145585000,302690000.0,32102000.0,732051000.0,145734000,3263000,109806000.0,-101000,-10007000,0.0,24215000.0,2468000.0,544057000.0,-87867000,-9099000,72235000.0,11156000,-36005000.0,94853000,-3813000,-12338000,266958000.0,-19106000,297632000.0,-21801000,7762000,1184852000.0,12104000.0,-0.16,133304000,13000.0,774106000.0,55000.0,476474000.0,536765000,11159000.0,544057000.0,,,,,,,,,,,,,
