date,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashAndCashEquivalents,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyRetainedEarnings,quarterlyAccumulatedDepreciation,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyCostOfRevenue,quarterlyOtherNonCashItems,quarterlyOtherIncomeExpense,quarterlyGrossProfit,quarterlySellingGeneralAndAdministration,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyTaxProvision,quarterlyEbitda,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyDeferredIncomeTax,quarterlyNetIncome,quarterlyDilutedAverageShares,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInvestingCashFlow,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyNetIncomeContinuousOperations,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalRevenue
2010-06-30,35570000,967427000,277119000,1642850000,103584000,0.0,,5603000,11415000,20965000,,97000000,-1710000.0,9112000,17056000.0,539943000,5603000,,262824000,8426000.0,55558000,1513535000,162576000,2693000.0,,,,91397000,675423000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,7463000,806576000,459861000,1770087000,115070000,0.0,,9849000,95000000,8550000,,212929000,-1836000.0,9112000,4602000.0,829371000,9849000,,369510000,8684000.0,51924000,1551501000,197285000,0.0,,-49361000.0,246646000.0,203080000,963511000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,9100000,863357000,547047000,1910508000,95720000,0.0,,9849000,63000000,11895000,,181847000,17880000.0,9112000,3447000.0,598210000,9849000,,51163000,337825000.0,50847000,1722481000,195090000,3622000.0,,,,171998000,1047151000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,6603000,755138000,903354000,1797212000,12691000,0.0,,12055000,113000000,12044000,266613000.0,255510000,298000.0,9103000,2292000.0,949615000,12055000,311532000.0,46261000,5021000.0,28966000,1536185000,183090000,0.0,707454000.0,-71757000.0,254847000.0,243455000,1042074000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,6603000,801796000,628299000,1659417000,69129000,0.0,,12055000,243871000,11408000,,376680000,-694000.0,9103000,1137000.0,757740000,12055000,,129441000,6421000.0,29260000,1276741000,171345000,634000.0,,,,364625000,857621000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,6603000,1031686000,314135000,1672548000,14600000,0.0,,1606000,210575000,9769000,,335199000,328000.0,9103000,167000.0,490467000,1606000,,176332000,79951000.0,7305000,1127631000,163322000,0.0,283132000.0,-108118000.0,271440000.0,333593000,640862000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,6603000,1050402000,606991000,1944824000,51708000,0.0,,1593000,404783000,9794000,,568595000,0.0,9103000,,789800000,1593000,,182809000,0.0,69892000,1148125000,150347000,0.0,302125000.0,,150347000.0,567002000,894422000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,15121000,849945000,660920000,2012517000,16348000,0.0,,3063000,363772000,11552000,,519040000,0.0,9169000,,862169000,3063000,,201249000,17794000.0,12550000,1209166000,171916000,0.0,332765000.0,-136908000.0,308824000.0,515977000,1162572000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,15121000,712024000,611503000,1897949000,18198000,10000000.0,10000000.0,13603000,283467000,11016000,,399902000,46000000.0,45847000,,888980000,3603000,,277477000,31229000.0,16001000,1196375000,151807000,0.0,290812000.0,,151807000.0,386299000,1185925000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,200202000,1228574000,278027000,2824411000,65912000,0.0,,12542000,179446000,16298000,,364293000,6555000.0,54854000,236099000.0,1356585000,12542000,,1078558000,0.0,29044000,2115466000,193533000,0.0,330267000.0,-146051000.0,339584000.0,351751000,1595837000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,424462000,2138306000,111660000,5193871000,107342000,1369000.0,,44097000,143854000,18085000,,590714000,0.0,77613000,409702000.0,2623064000,42728000,,2511404000,0.0,29084000,4546619000,202926000,0.0,745636000.0,,202926000.0,546617000,3055565000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,375891000,2552966000,552459000,5243498000,133865000,0.0,,14300000,143806000,20600000,,650616000,128486000.0,77613000,492428000.0,2379138000,14300000,,1826679000,54952000.0,47712000,4530792000,233317000,0.0,718602000.0,-184306000.0,417623000.0,636316000,2690532000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,385237000,2819882000,61327000,5185760000,127915000,0.0,,14300000,21364000,28533000,,611133000,156627000.0,77613000,488267000.0,1861920000,14300000,,1800593000,13460000.0,44678000,4501188000,246587000,0.0,695805000.0,,246587000.0,596833000,2365878000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,505635000,2434421000,219969000,5162819000,141865000,0.0,,30404000,20835000,22969000,,580860000,18429000.0,77613000,300440000.0,1667725000,30404000,,1447756000,0.0,53166000,4371576000,246724000,0.0,703194000.0,-208737000.0,455461000.0,550456000,2728398000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
