date,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyOperatingCashFlow,quarterlyBasicEPS,quarterlyChangeInCashSupplementalAsReported,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyChangesInAccountReceivables,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyTotalRevenue,quarterlyEbitda,quarterlyOperatingIncome,quarterlyPurchaseOfInvestment,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyDilutedEPS,quarterlyGrossProfit,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyStockBasedCompensation,quarterlyDepreciationAndAmortization,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment
2000-03-31,,,,,,,,,,,,,,6.999944,,,,,,,,,,,,,1647350993.0,,,,,,,,55446579840,55446579840,55446579840,,,,,11531365440,,6.999944,,,,,,,,,,,,,,1647350993.0,,,,,,,,,,11531365440,11531365440,,,,,,,,
2000-06-30,,,,,,,,,,,,,,6.999944,,,,,,,,,,,,,1647350993.0,,,,,,,,55446579840,55446579840,55446579840,,,,,11531365440,,6.999944,,,,,,,,,,,,,,1647350993.0,,,,,,,,,,11531365440,11531365440,,,,,,,,
2000-09-30,,,,,,,,,,,,,,8.990927,,,,,,,,,,,,,1787159676.0,,,,,,,,65480276400,65480276400,65480276400,,,,,16068221400,,8.990927,,,,,,,,,,,,,,1787159676.0,,,,,,,,,,16068221400,16068221400,,,,,,,,
2000-12-31,39022128000.0,,,,,-196780654800.0,4786824600.0,3166414200.0,,,,31473991800.0,,,,,340782228000.0,42593644800.0,,,5803714800.0,,427523788800.0,2579428800.0,348148481400.0,,,18039466800.0,23843181600.0,,10681480800.0,175599576000.0,63989676000.0,,65418387000,-84039670200,-84039670200,,,149937566400.0,,16043938800,,,,,,,79375307400.0,92330323200.0,537562882800.0,,,33011728200.0,33069600.0,,,,272600980200.0,12682191600.0,,53275125600.0,,,,,1165703400.0,16043938800,16043938800,11127920400.0,57607243200.0,,,,,,
2001-03-31,,,,,,,,,,,,,,7.490536,,,,,,,,,,,,,1811258278.0,,,,,,,,61007358300,61007358300,61007358300,,,,,13567295700,,7.490536,,,,,,,,,,,,,,1811258278.0,,,,,,,,,,13567295700,13567295700,,,,,,,,
2001-06-30,17723804800.0,,,,1240005000.0,-213016325600.0,5505622200.0,4389617700.0,,,512535400.0,33711602600.0,,7.48963,,,338926433300.0,54064218000.0,19972347200.0,6572026500.0,12251249400.0,,456743441700.0,3141346000.0,347573401500.0,,1758240000.0,18608341700.0,30859591100.0,,10639242900.0,175584708000.0,64042124900.0,,60999979300,29809720200,20724616900,,,166342537400.0,,13565654700,,7.48963,41598034400.0,,,,109170040200.0,91297434800.0,551942758900.0,,,45690050900.0,8870169100.0,19401944900.0,,1758240000.0,285316883800.0,13135786300.0,,69357613000.0,20873417500.0,,,8316300200.0,1297871900.0,13565654700,13565654700,-8266700.0,75045102600.0,,,,,,
2001-09-30,,,,,,,,,,,,,,5.96367,,,,,,,,,,,,,1644025506.0,,,,,,,,58280940000,58280940000,58280940000,,,,,9804424800,,5.96367,,,,,,,,,,,,,,1644025506.0,,,,,,,,,,9804424800,9804424800,,,,,,,,
2001-12-31,21233275200.0,,,,,-154651090560.0,100048874880.0,4834398720.0,,,,23840870400.0,,,,,261744611520.0,10231706880.0,,,3253285440.0,,447297774720.0,2955274560.0,364748760960.0,,,8153908800.0,11407194240.0,,58269405120.0,175826419200.0,65471334720.0,,58606458240,-107584275840,-107584275840,,,154179240000.0,,9868201920,,,,,,,82549013760.0,89734387200.0,416395702080.0,,,51820780800.0,,,,,293118534720.0,6763191360.0,,58269405120.0,,,,,1341048960.0,9868201920,9868201920,-8278080.0,64444852800.0,,,,,,
2002-03-31,,,,,,,,,,,,,,5.492861,,,,,,,,,,,,,1780553883.0,,,,,,,,53895180600,53895180600,53895180600,,,,,9780334200,,5.492861,,,,,,,,,,,,,,1780553883.0,,,,,,,,,,9780334200,9780334200,,,,,,,,
2002-06-30,18047079300.0,,,,983784900.0,-233595177600.0,5820038400.0,8572982700.0,,,157074900.0,30150113700.0,,5.492661,,,366001051200.0,13202558700.0,14748506400.0,4943725800.0,2637204900.0,,469521677400.0,3902071200.0,375723160800.0,,1758240000.0,13194291600.0,15831496500.0,,52620091500.0,175593204000.0,76470675000.0,,53893224900,25090648500,15666154500,,,160935635700.0,,9779979300,,5.492661,33291611700.0,,,,93798516600.0,83869729500.0,599596228800.0,,,51396560700.0,,20601613200.0,,1758240000.0,303460439700.0,10044526500.0,,66980044200.0,17625457200.0,,,4877589000.0,1512879300.0,9779979300,9779979300,-8267100.0,77065906200.0,,,,,,
2002-09-30,,,,,,,,,,,,,,6.859502,,,,,,,,,,,,,1987951807.0,,,,,,,,68107414860,68107414860,68107414860,,,,,13636359000,,6.859502,,,,,,,,,,,,,,1987951807.0,,,,,,,,,,13636359000,13636359000,,,,,,,,
2002-12-31,20628975360.0,,,,,-244700044800.0,5678762880.0,9925417920.0,,,,28435204800.0,,,,,397703797440.0,10927065600.0,,,2607595200.0,,483034246080.0,4503275520.0,407885835840.0,,,9975086400.0,12582681600.0,,57780998400.0,175785028800.0,81828820800.0,,68509477260,-101414670900,-101414670900,,,161579843520.0,,13713516300,,,,,,,75148410240.0,89337039360.0,642403842240.0,,,58989598080.0,,,,,316603447680.0,6076110720.0,,60636936000.0,,,,,1680450240.0,13713516300,13713516300,0.0,72242804160.0,,,,,,
2003-03-31,,,,,,,,,,,,,,10.968549,,,,,,,,,,,,,1758240000.0,,,,,,,,73981826550,73981826550,73981826550,,,,,19312923950,,10.968549,,,,,,,,,,,,,,1758240000.0,,,,,,,,,,19312923950,19312923950,,,,,,,,
2003-06-30,25132463400.0,,,,678808300.0,-259793181450.0,5745036100.0,10587753850.0,,,355960450.0,28029815900.0,,10.968549,,,400538287750.0,15529809400.0,27061272350.0,7599341700.0,2624173550.0,,509760198850.0,4610929550.0,410894253400.0,,1758240000.0,19337758400.0,21961931950.0,,60629170600.0,175827906000.0,81846069050.0,,73981826550,37955317750,27500014300,,,161539819100.0,,19312923950,,10.968549,51341086300.0,,,,98865945450.0,101291443400.0,660331469200.0,,,85322892050.0,,22640740250.0,,1758240000.0,342996867100.0,5993380600.0,,47773203650.0,23841072000.0,,,9685435500.0,1887418200.0,19312923950,19312923950,8278150.0,60248375700.0,,,,,,
2003-09-30,,,,,,,,,,,,,,9.031462,,,,,,,,,,,,,1715857012.0,,,,,,,,77913947800,77913947800,77913947800,,,,,15496696800,,9.031462,,,,,,,,,,,,,,1715857012.0,,,,,,,,,,15496696800,15496696800,,,,,,,,
