date,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyCurrentDebt,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherIncomeExpense,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyNetIncomeContinuousOperations,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyNetIncomeCommonStockholders,quarterlyCapitalStock,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalAssets,quarterlyBasicAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyOtherNonCashItems,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyPurchaseOfBusiness,quarterlyDilutedAverageShares,quarterlyRepaymentOfDebt,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyEbitda,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyNetPPE,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyInterestExpense,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments
2013-03-31,-42299000,,,,0,334000,,,0,,,-491000,,,-491000,,,,2209000,,-491000,,1090000,3000,,,-42299000,-454000,,-1071000,,27642586.0,,,,,-0.017762,,,3000,-725000,846000,2641000,-725000,1119000,,-2000,-942000,,,0.0,27642586.0,-305000,,-451000,1522000,-0.017762,,,2975000,432000,,-41796000,,-1100000,,,43024000,,,,,,,,,
2013-06-30,733000,,,,0,311000,,,0,,,341000,,,341000,,,,2319000,,341000,,1111000,3000,,,-4683000,-387000,,5870000,,27642586.0,,,,,0.012336,,,3000,-5848000,1199000,4352000,-432000,1208000,,-345000,655000,,,0.0,27642586.0,-755000,,314000,3144000,0.012336,,,4663000,2033000,,-1139000,,765000,,,5115000,,,,,,,,,
2013-09-30,-2545000,,,,402000,511000,,,-3926000,,,74000,,,74000,,,,2776000,,74000,,1341000,3000,,,-1517000,-1296000,,3358000,,27642586.0,,,,,0.002677,,,405000,1039000,1969000,4890000,11000,1435000,,-272000,151000,,,0.0,27642586.0,-1450000,,77000,3455000,0.002677,,,5401000,2114000,,-1649000,,-2039000,,,1908000,,,,,,,,,
2013-12-31,36909000,0.0,34312000.0,-1776000.0,639000,677000,,1505000.0,770000,422803000.0,286687000.0,-206000,,6600000.0,-206000,428000.0,1044000.0,,3206000,22600000.0,-13877000,,1419000,405000,1044000.0,,-164064000,1245000,460519000.0,-35763000,566877000.0,,551425000.0,18166000.0,421617000.0,,,0.0,8688000.0,1044000,-258705000,760000,3753000,-57732000,1787000,2674000.0,-76000,-234000,106358000.0,128622000.0,,,-2131000,,-28000,1966000,,,,4430000,547000,407356000.0,34422000,5376000.0,2121000,-200973000.0,-14261000.0,222435000,,,,,,,,,
2014-03-31,-20611000,0.0,49228000.0,153000.0,221446000,812000,,9771000.0,-595000,768516000.0,630666000.0,-720000,,6149000.0,-1081000,480000.0,222490000.0,,4929000,60958000.0,-3841000,,3241000,1044000,222490000.0,,-119144000,-7507000,691819000.0,21345000,1018118000.0,27642586.0,967673000.0,17802000.0,603353000.0,,-0.14,0.0,27575000.0,222490000,-92889000,18112000,11068000,19855000,1688000,37483000.0,30000,-1538000,326299000.0,199157000.0,-14211000.0,27642586.0,-568000,,-457000,9380000,-0.14,,,11880000,6139000,586032000.0,-22945000,6837000.0,-451000,-98533000.0,-17321000.0,334946000,,,,,,,,,
2014-06-30,30016000,0.0,202744000.0,8419000.0,-206574000,2171000,22462000.0,15380000.0,-3259000,857902000.0,824788000.0,-12909000,,1639000.0,-12438000,21190000.0,16016000.0,,10123000,132029000.0,-12909000,287013000.0,5531000,222490000,16016000.0,,-357207000,-2989000,1325333000.0,176179000,1457800000.0,291765.0,1153996000.0,42487000.0,1148549000.0,573000.0,-44.244512,0.0,22760000.0,16016000,-574982000,-19057000,19797000,-10840000,2500000,287586000.0,13295000,-17756000,132467000.0,296094000.0,-176919000.0,291765.0,-42355000,573000.0,-5318000,15205000,-44.244512,,,21968000,9674000,1126606000.0,33019000,6838000.0,-6424000,-387223000.0,-21943000.0,338392000,,,,,,,,,
2014-09-30,18162000,0.0,270900000.0,-773025000.0,243789000,6979000,27358000.0,50028000.0,-868000,1114425000.0,1033134000.0,2256000,,702000.0,-1521000,7245000.0,259363000.0,,21623000,289209000.0,-4014000,974000.0,15839000,16016000,259363000.0,,-110138000,-22441000,2184402000.0,195519000,2613080000.0,27066000.0,1481795000.0,10477000.0,1882447000.0,-931000.0,-0.15,0.0,60360000.0,259363000,-301721000,29683000,46242000,-301721000,8035000,313511000.0,2597000,1285000,428678000.0,367370000.0,-164406000.0,27066000.0,-474128000,-4014000.0,2806000,40458000,-0.15,,,53221000,24619000,1848635000.0,8777000,35840000.0,2807000,-128300000.0,-33812000.0,527348000,,,,,,,,,
2014-12-31,55011000,0.0,80133000.0,-944080000.0,208852000,8485000,,31986000.0,-16812000,1678194000.0,1517962000.0,-21603000,,7702000.0,-62387000,21989000.0,468393000.0,,49075000,361673000.0,-21603000,1090000.0,20088000,259363000,468393000.0,,-792505000,29505000,2765614000.0,123275000,3378018000.0,,1862097000.0,29419000.0,2377883000.0,-1637000.0,,0.0,81781000.0,468393000,-558433000,-25367000,34081000,903139000,27578000,471392000.0,270000,-63007000,612404000.0,183903000.0,,,-224285000,-25617000.0,-620000,5094000,,4220000.0,336800000.0,42566000,-14994000,2327803000.0,77962000,52081000.0,-705000,-847516000.0,-50080000.0,712274000,,,,,,,,,
2015-03-31,-10609000,0.0,229517000.0,3976000.0,-315130000,20463000,,58258000.0,-49045000,2175703000.0,1965161000.0,-28116000,,5983000.0,-83660000,23242000.0,153423000.0,-31784000.0,47857000,454928000.0,-28116000,1220000.0,31555000,468554000,153423000.0,-10000000.0,-93367000,-20985000,4028432000.0,-190155000,4365618000.0,49694000.0,2509608000.0,92428000.0,3504587000.0,-2609000.0,-0.57,0.0,81146000.0,153423000,-918063000,417000,50052000,-14585000,15966000,703396000.0,8187000,-83705000,337186000.0,333905000.0,-810720000.0,49694000.0,-576410000,-53733000.0,-45000,34086000,-0.57,5144000.0,342192000.0,70515000,2195000,3429630000.0,-10544000,57413000.0,0,-82758000.0,-74957000.0,613542000,,,,,,,,,
2015-06-30,45909000,0.0,322115000.0,5098000.0,237604000,22583000,,96938000.0,19360000,2217920000.0,1944795000.0,17435000,,7108000.0,29134000,13014000.0,390632000.0,-33681000.0,60514000,515688000.0,17435000,1377000.0,43495000,153423000,390632000.0,0.0,-222585000,-33904000,4580122000.0,82702000,5173169000.0,57961000.0,2680943000.0,82728000.0,4040381000.0,-786000.0,0.1,0.0,99832000.0,390632000,-458491000,10856000,107463000,4056000,22378000,1238743000.0,1744000,30348000,593047000.0,463023000.0,-194053000.0,57961000.0,-366045000,-36298000.0,1214000,85085000,0.1,2330000.0,579418000.0,130046000,46949000,3928714000.0,-4018000,76814000.0,1112000,-268494000.0,-111667000.0,650186000,,,,,,,,,
