date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyGoodwill,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyInventory,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyCapitalStock,quarterlyTotalAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccountsPayable,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-12-31,42398866000,4909984000,42657275000,26398612000,4677417000.0,,,20928816000,,14518937000,383413000,107780000,9960813000.0,16000254000,3250661000,5985318000.0,19519348000,0,-799057000.0,3878360000,,14925651000,63698540000,10072099000.0,21041265000,4608708000,4608708000,6563231000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,48682027000,6174407000,48547670000,30639186000,,107780000.0,,21918330000,,16366923000,387411000,0,23221527000.0,18042841000,2631378000,0.0,251038000,0,,20311424000,,14925651000,71163834000,1120633000.0,22616164000,10145876000,10145876000,6739590000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,56663172000,8436305000,56661085000,42330849000,6583464000.0,,,24821421000,,13552640000,671903000,107780000,4758815000.0,14332323000,6565590000,17398573000.0,32046733000,0,-1030981000.0,5552483000,,15392104000,82081247000,1114481000.0,25420162000,5094298000,5094298000,9077248000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,68343418000,9702090000,64123119000,44926694000,,189520000.0,,26057540000,,22531002000,696202000,0,31396486000.0,23416724000,4941830000,21960569000.0,248185000,0,,6644452000,,15392104000,95253495000,1015011000.0,31130376000,7781154000,7781154000,10327400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,77243161000,12240143000,69729152000,53771602000,9375207000.0,,,28990237000,,22496876000,785163000,189520000,4649017000.0,23471559000,6468990000,26551380000.0,41495186000,0,-1319910000.0,8055297000,,15382196000,107310425000,1344574000.0,37581273000,7744362000,7744362000,12810345000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,83684241000,12964309000,92373686000,58465884000,,,,33698369000,13591456000.0,24537447000,491390000,189520000,4155751000.0,25218357000,7090699000,14276464000.0,49657085000,913737000,,8806446000,,1771631000,118423123000,1331769000.0,26049437000,9459892000,9459892000,9327673000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,97637740000,16306430000,95911156000,68707328000,14683928000.0,189520000.0,,37577149000,3625371000.0,27816511000,924381000,189520000,39155431000.0,28930412000,9096149000,25700500000.0,39502945000,0,-1679797000.0,13004131000,,1771631000,136522148000,22632000.0,40610992000,11809031000,11809031000,11653984000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,113228960000,18142310000,109673545000,73112035000,14723211000.0,239520000.0,,40158165000,4123009000.0,38813777000,1063628000,239520000,46440078000.0,40116925000,6823366000,28657404000.0,46862780000,0,,14723211000,,1789737000,154886381000,23527000.0,45212836000,15216311000,15216311000,12373658000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,160228261000,21590518000,146213683000,114904283000,19851154000.0,239520000.0,,43953620000,7165918000.0,43814548000,1269910000,239520000,67473799000.0,45323978000,12434230000,40080095000.0,68046662000,0,-2157796000.0,17693358000,,1789737000,206239428000,43477000.0,60025745000,18909719000,18909719000,18045410000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,187520899000,25506518000,168934384000,138037710000,18871493000.0,239520000.0,,49320775000,7875530000.0,46935372000,2308297000,239520000,89607194000.0,49483189000,10575323000,46772657000.0,90350116000,0,,18871493000,,1789737000,242319736000,21289000.0,73385352000,15887047000,15887047000,22647407000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
