date,quarterlyOtherCurrentLiabilities,quarterlyDilutedEPS,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyOtherShortTermInvestments,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBasicAverageShares,quarterlyCashDividendsPaid,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCurrentDebt,quarterlyFreeCashFlow,quarterlyOtherNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyTotalNonCurrentAssets,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyNonCurrentDeferredRevenue,quarterlyDilutedAverageShares,quarterlyChangeInWorkingCapital,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyBasicEPS,quarterlyStockholdersEquity,quarterlyEbitda,quarterlyGrossProfit,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyPurchaseOfBusiness,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,quarterlyAccumulatedDepreciation,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable
2005-12-31,6731549239,,,8078671119,,,,,,,0.0,3063389632,,13182992319,1090691416,2744162242,2744162242,,,9433210909,,7477497937,,918013874,,,,506023465,,69061959812,46450167333,,61035063199,57294210884,,,,,,107459765,5331381051,,19840022241,,,,,,,,,,,1582711272,8026896613,24235406601,22214760732,,,57294210884,,,,,,,,,,,,,,,,,
2006-06-30,7327519525,,,8444754044,,,,,,,0.0,2930808163,,13488188564,1230633149,2818506676,2818506676,,,9433210909,,9655429068,,867439958,,,,497063114,,72058486640,49620106915,,63519971346,59840565984,,,,,,201120549,6095222318,,19638429393,,,,,,,,,,,1403021570,8538515294,26628902874,22991204041,,,59840565984,,,,,,,,,,,,,,,,,
2006-09-30,8017795795,0.269321,2794320699.0,10381677219,4932732944.0,3299551752.0,4149203004.0,,,10886827242.0,0.0,3491476867,,13658841974,1269432701,7743619489,7743619489,,-248070029.0,12251362273,2624140007.0,8259549650,1639810148.0,47802946,-5422473448.0,151729573.0,3299551752.0,491016370,1155573851.0,87603528236,52475459046,7894500683.0,73265761349,61802631015,543321118.0,22027240.0,,,333868499.0,198904926,6566286464,0.269321,31474526314,5669322823.0,3169802118.0,-6017225557.0,7556872951.0,1722465834.0,-38799552.0,102025811.0,,1383495237.0,212816395.0,4702573322,14337766887,27310891023,25164568023,-10356501704.0,4362019399.0,61802631015,-1154510551.0,1447336284.0,14056629360.0,,,,,,,,,,,,,,
2006-12-31,6967381313,,1562907265.0,11247854864,-3821397349.0,-153274462.0,-65607837.0,,-19605010.0,10423400678.0,0.0,3233145945,,13251205546,1253973381,5517756738,5517756738,,-897833597.0,12251362273,7556872951.0,8509374500,207747281.0,2111564076,-1631869988.0,1024921387.0,-153274462.0,552460495,1237390525.0,87117437291,52199818623,-206518299.0,75659015427,64065508768,-9844539.0,330143762.0,,,2093768922.0,165281917,6272900877,,31239979582,2627499258.0,1842669229.0,-2394674132.0,3121045087.0,1705585600.0,342023250.0,90394722.0,,1452005158.0,430795183.0,4131428229,11458421864,26560523784,25639294839,1725139403.0,365187346.0,64065508768,-1355159984.0,137083629.0,12266069907.0,,,,,,,,,,,,,,
2007-03-31,6313000000,0.03,,60000000,-1655000000.0,423000000.0,403000000.0,,,9123000000.0,153000000.0,2739000000,1322000000.0,14997000000,711000000,3291000000,3444000000,14100000000.0,-465000000.0,12251000000,3201000000.0,8971000000,-737000000.0,0,-3032000000.0,217000000.0,423000000.0,519000000,,82796000000,52132000000,0.0,74322000000,59973000000,35000000.0,62000000.0,,14100000000.0,,0,7168000000,0.03,30482000000,717000000.0,1348000000.0,-5223000000.0,1546000000.0,1095000000.0,,,,841000000.0,97000000.0,4654000000,8474000000,25687000000,26445000000,-4091000000.0,500000000.0,59973000000,-2305000000.0,253000000.0,10471000000.0,,,,,,,,,,,,,,
2007-06-30,6900182000,,,10120669000,857650000.0,877297000.0,820061000.0,,,9988618000.0,212572000.0,3374680000,131945000.0,15493946000,746054000,3935981000,4148553000,,-970177000.0,12251362000,,9600422000,-286254000.0,0,-955000.0,756627000.0,877297000.0,525322000,,83605470000,54203006000,-1576813000.0,73941211000,61180949000,2964495000.0,-2431421000.0,,,,0,7446394000,,29227757000,1956630000.0,2284401000.0,-2010210000.0,,1323222000.0,,,,1031132000.0,379942000.0,4662805000,9664259000,27345304000,26857702000,-1244419000.0,1200003000.0,61180949000,-2592443000.0,961179000.0,12273019000.0,,,,,,,,,,,,,,
2007-09-30,8134642000,0.18,,10268847000,-1059684000.0,2187417000.0,2186879000.0,,,10349626000.0,127508000.0,3367900000,131945000.0,16608139000,787241000,2967859000,3095367000,12152316667.0,,12251362000,,7831160000,887402000.0,0,0.0,245399000.0,2187417000.0,518549000,,85134723000,53678669000,-3146223000.0,76044263000,62971377000,-2584722000.0,2604838000.0,,12152316667.0,,0,5289522000,0.18,31260558000,3132955000.0,4122113000.0,-1484960000.0,,1539119000.0,,,,1179636000.0,700677000.0,6850223000,9090460000,25538495000,28140174000,-5273379000.0,2887556000.0,62971377000,-1557046000.0,2582994000.0,14471739000.0,,,,,,,,,,,,,,
2007-12-31,8484175000,,,191533000,754222000.0,393634000.0,363911000.0,,,10846380000.0,6493000.0,2812327000,131945000.0,15938092000,755340000,3787152000,3793645000,,,12251362000,1343529000.0,6546088000,1026721000.0,0,-2939000.0,1549279000.0,393634000.0,1396620000,,88295239000,56856930000,2179087000.0,79623339000,65968264000,136056000.0,286305000.0,,,,0,6338341000,,31288095000,2164855000.0,1676783000.0,-1418658000.0,3668528000.0,1850298000.0,,,5000000.0,1550789000.0,251665000.0,6888843000,8671900000,26092268000,30764662000,-1375975000.0,615576000.0,65968264000,-2003165000.0,-173515000.0,12523163000.0,,,,,,,,,,,,,,
2008-03-31,9039096000,0.09,,202976000,705928000.0,1044014000.0,1007993000.0,,,11139496000.0,46207000.0,3029666000,499775000.0,18556773000,792424000,4493080000,4539287000,11600155556.0,-414244000.0,12251362000,3668528000.0,6810312000,-622951000.0,0,-826364000.0,459964000.0,1044014000.0,1581235000,,93179455000,60647161000,-1314895000.0,83548904000,70347708000,14405000.0,466902000.0,,,,0,6787788000,0.09,31964545000,1552138000.0,1616782000.0,-3030069000.0,4374456000.0,1359536000.0,,,578081000.0,1044723000.0,84181000.0,7932857000,9630551000,26642048000,34005113000,-4287843000.0,1092174000.0,70347708000,-2709571000.0,257246000.0,12756278000.0,,,,,,,,,,,,,,
2008-06-30,8579487000,,,217168000,75323000.0,238303000.0,200764000.0,,,11994635000.0,104157000.0,2933199000,511309000.0,17170891000,831609000,4558193000,4662350000,,,12251362000,4374456000.0,7606236000,-720329000.0,0,265796000.0,430077000.0,238303000.0,1747235000,,95269678000,63605231000,-1661867000.0,85352479000,73262166000,387762000.0,-208642000.0,,,,0,10362994000,,31135007000,763609000.0,1009325000.0,-130117000.0,4449779000.0,1548024000.0,,,776000000.0,1239041000.0,132768000.0,7068473000,9917199000,29907198000,33698033000,-2347138000.0,333532000.0,73262166000,-1470883000.0,-538699000.0,13003960000.0,,,,,,,,,,,,,,
