date,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyRepaymentOfDebt,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyCashDividendsPaid,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyFreeCashFlow,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyBasicEPS,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyStockholdersEquity,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyOtherNonCashItems,quarterlyAccumulatedDepreciation,quarterlyEbitda,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyInvestmentsAndAdvances,quarterlyPurchaseOfInvestment,quarterlyIncomeTaxPayable,quarterlyChangeInAccountPayable,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
2012-12-31,71800000,18600000.0,-17100000,2800000.0,0.0,1073900000.0,1983800000.0,288200000.0,92700000.0,303500000,2200000.0,400000,234900000.0,166400000.0,-700000,0.0,637900000.0,59200000,63700000,317500000.0,317500000.0,117300000,92000000.0,117300000,-5500000,317500000,59200000,150500000.0,,,11200000,66300000,-75100000,617600000.0,53500000.0,-7700000.0,219400000,,,,1343200000.0,334600000,,0.0,227200000.0,6900000.0,0,0.0,-354800000.0,112800000,-75800000,-5500000,0.0,37500000,232000000.0,101200000,,,,-9200000,586800000.0,382700000.0,909900000.0,102100000,522900000,,,,,,,,,,,,
2013-03-31,400000,,-3700000,,,,,,,287200000,,400000,,,-7600000,,,39400000,41200000,,,117300000,,117300000,-4100000,313800000,39400000,,0.0,96028568.0,11700000,-4900000,16500000,,,,186100000,0.410295,,,,317500000,96028568.0,,,,1200000,,,73000000,18200000,-5300000,,19700000,,60900000,0.410295,0.0,,-52300000,,,,68800000,473300000,,,,,,,,,,,,
2013-06-30,58800000,,8400000,,,,,,,310200000,,500000,,,800000,,,60300000,63300000,,,118500000,,118500000,-2800000,322200000,60300000,,0.0,96028568.0,11200000,55400000,-52800000,,,,218500000,0.627938,,,,313800000,96028568.0,,,,600000,,,112000000,-54100000,-3400000,,37000000,,100300000,0.627938,0.0,,-14600000,,,,100000000,528700000,,,,,,,,,,,,
2013-09-30,98400000,14900000.0,46300000,2700000.0,0.0,922000000.0,1925100000.0,306400000.0,98400000.0,290600000,2100000.0,500000,252500000.0,163200000.0,-137800000,,505400000.0,-78100000,-67600000,368500000.0,368500000.0,122200000,95000000.0,122200000,19300000,368500000,-78100000,145400000.0,,96028568.0,11300000,95100000,-87400000,624100000.0,64600000.0,-56400000.0,238400000,-0.8133,,,1268400000.0,322200000,96028568.0,1324800000.0,209600000.0,46300000.0,22600000,,,-10300000,-88000000,-3300000,,45500000,206600000.0,-22100000,-0.8133,,,38500000,,371600000.0,1003100000.0,116200000,529000000,,,,,,,,,,,,
2013-12-31,66300000,273100000.0,-141100000,1272000000.0,0.0,1056700000.0,1979900000.0,266100000.0,207300000.0,334100000,71900000.0,8800000,1545100000.0,155800000.0,-200000,100000.0,504900000.0,9600000,8700000,227400000.0,227400000.0,126600000,86700000.0,126600000,-31100000,227400000,9600000,146100000.0,,96000000.0,11900000,58100000,-1508900000,2035600000.0,202700000.0,-96600000.0,216500000,0.1,,,-55700000.0,368500000,96400000.0,1000000.0,211300000.0,74900000.0,-40200000,0.0,-366200000.0,89700000,-168500000,-8200000,400000.0,72200000,203000000.0,80900000,0.1,,,59400000,569200000.0,490500000.0,923200000.0,89900000,550600000,,,,,,,,,,,,
2014-03-31,-900000,280300000.0,-22000000,1264400000.0,0.0,1064000000.0,1977900000.0,284100000.0,177400000.0,280600000,70500000.0,13100000,1544700000.0,167200000.0,0,,507100000.0,35600000,37600000,205400000.0,205400000.0,125100000,,125100000,-14300000,205400000,35600000,143500000.0,-7200000.0,96300000.0,12200000,-10100000,11800000,2006200000.0,204500000.0,-109800000.0,191900000,0.37,,,-60400000.0,227400000,97400000.0,1000000.0,213600000.0,73300000.0,200000,,,79200000,-3400000,-9200000,28000000.0,16300000,208900000.0,53900000,0.37,-5300000.0,,-50500000,,461500000.0,913900000.0,66800000,472500000,,,,,,,,,,,,
2014-06-30,64700000,285000000.0,-12200000,1256900000.0,0.0,1080500000.0,1968100000.0,295600000.0,186900000.0,305200000,30700000.0,12500000,1541900000.0,174100000.0,900000,,517800000.0,43500000,55100000,193200000.0,193200000.0,136600000,,136600000,6100000,193200000,43500000,144900000.0,-7700000.0,96300000.0,12200000,47900000,2800000,1979300000.0,207500000.0,-104300000.0,226300000,0.45,,,-42200000.0,205400000,97300000.0,1000000.0,219800000.0,72600000.0,40600000,,,102900000,-82400000,-16800000,55500000.0,23100000,210300000.0,78200000,0.45,-17700000.0,,-1700000,,437400000.0,887600000.0,89700000,531500000,,,,,,,,,,,,
2014-09-30,108200000,272800000.0,58200000,1249200000.0,0.0,1058200000.0,1992200000.0,287300000.0,211000000.0,310600000,30300000.0,12700000,1522000000.0,180700000.0,1900000,,509900000.0,60300000,67700000,251400000.0,251400000.0,130500000,,130500000,-12700000,251400000,60300000,133100000.0,-7700000.0,95900000.0,12100000,94400000,800000,1986200000.0,202700000.0,-129700000.0,236100000,0.63,-20000000.0,,-30700000.0,193200000,96900000.0,1000000.0,222900000.0,61000000.0,1100000,,,119700000,-34800000,-13800000,95400000.0,27200000,212500000.0,94900000,0.62,0.0,,31300000,,464200000.0,934000000.0,105600000,546700000,,,,,,,,,,,,
2014-12-31,83900000,251100000.0,39100000,1215000000.0,1500000.0,1042100000.0,2015900000.0,259900000.0,232200000.0,374600000,49600000.0,15500000,1466100000.0,179500000.0,-7700000,-949200000.0,506000000.0,35400000,22400000,290500000.0,290500000.0,135900000,58000000.0,135900000,-13900000,290500000,35400000,125700000.0,-7400000.0,95800000.0,12300000,72200000,-21200000,1997400000.0,199200000.0,-148200000.0,198900000,0.37,0.0,,18500000.0,251400000,96800000.0,1000000.0,249500000.0,62800000.0,-1700000,-700000.0,-375600000.0,55300000,-29400000,-11700000,142400000.0,17400000,211200000.0,39800000,0.37,-2200000.0,15100000.0,6600000,586800000.0,531300000.0,973800000.0,63000000,573500000,,,,,,,,,,,,
2015-03-31,4400000,241100000.0,-60900000,1202700000.0,0.0,1023700000.0,1927400000.0,255800000.0,201200000.0,271600000,49400000.0,11600000,1443800000.0,184900000.0,-3400000,-12400000.0,498600000.0,45400000,43900000,229600000.0,229600000.0,116100000,,116100000,-14400000,229600000,45400000,111700000.0,-9500000.0,95900000.0,12100000,-5000000,5200000,1925900000.0,207100000.0,-178700000.0,187100000,0.47,-30000000.0,,-19800000.0,290500000,96900000.0,1000000.0,231500000.0,56300000.0,4000000,,,80000000,-46700000,-9400000,152800000.0,12400000,206300000.0,56300000,0.47,-9000000.0,,-51400000,,482100000.0,903700000.0,71000000,458700000,,,,,,,,,,,,
