date,quarterlyGrossProfit,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyEbitda,quarterlyBasicAverageShares,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGoodwill,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedEPS,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyDilutedAverageShares,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetPPE,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyLongTermDebt,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyBasicEPS,quarterlyDepreciationAndAmortization,quarterlyOtherIntangibleAssets,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyFreeCashFlow,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable
2005-03-31,15100000,,,,,,,6300000.0,127400000,6900000,,-1200000,0,9900000,17500000.0,0.0,-200000.0,0.0,,,,8200000,0,,,,0.0,100000.0,,,,,,0.0,7100000,,,17500000.0,-1300000.0,-15000000.0,16200000,7100000,,,,,,,,,,0.0,112300000,,,0.0,3000000.0,,0,,,0,,14900000,,,,-15000000.0,0.0,0.0,0.0,,,,,,
2005-06-30,15400000,,,,,,,-8800000.0,150200000,7600000,,-1600000,0,10500000,17500000.0,0.0,-100000.0,0.0,,,,7800000,0,,,,0.0,0.0,,,,,,0.0,7700000,,,17500000.0,-1600000.0,-100000.0,1700000,7700000,,,,,,,,,,0.0,134800000,,,0.0,2900000.0,,0,,,0,,100000,,,,-100000.0,0.0,0.0,0.0,,,,,,
2005-09-30,11667000,,,,-2400000.0,53900000.0,235600000.0,,123467000,6000000,285000000.0,2800000,0,8933000,17500000.0,,,,,,,5667000,2733000,103600000.0,174200000.0,,,,61400000.0,94600000.0,0.0,-116200000.0,3200000.0,0.2767,4967000,,73200000.0,17500000.0,,,-17900000,4967000,,133000.0,,168800000.0,,7500000.0,,171000000.0,,,111800000,,,0.2767,,2600000.0,0,106000000.0,339200000.0,4967000,244600000.0,-15000000,94600000.0,94600000.0,,,1167000.0,,,,,,,,
2005-12-31,40900000,,,,,87000000.0,306400000.0,,414800000,19900000,287900000.0,-107000000,42200000,22800000,,,,,400000.0,,,21000000,17400000,100900000.0,213000000.0,,,,93400000.0,124500000.0,200000.0,-119000000.0,2900000.0,,23100000,,111800000.0,,,,75500000,23100000,,-700000.0,100000.0,168900000.0,,5600000.0,,210100000.0,,,373900000,800000.0,24400000.0,,,2100000.0,0,100500000.0,407300000.0,23100000,282800000.0,67600000,42200000.0,42200000.0,,,-2700000.0,,,,,,,,
2006-03-31,13600000,,,,,47300000.0,250400000.0,-11200000.0,120000000,6500000,288800000.0,-3800000,13200000,9500000,17500000.0,100000.0,,-1700000.0,-200000.0,,,7100000,4100000,104000000.0,195100000.0,,,100000.0,55300000.0,72100000.0,1700000.0,-119000000.0,5000000.0,0.3,5400000,,110400000.0,17500000.0,-3500000.0,-21700000.0,-3500000,5400000,,,,169800000.0,,7400000.0,,190100000.0,1400000.0,-29000000.0,106400000,600000.0,55800000.0,0.3,3000000.0,2100000.0,42200000,0.0,354400000.0,5400000,282300000.0,-7000000,14600000.0,13200000.0,,0.0,2600000.0,-2337800000.0,2337400000.0,,,,,,
2006-06-30,16300000,,,,-8400000.0,29500000.0,238500000.0,3300000.0,95000000,9800000,288900000.0,-4000000,20300000,12700000,17500000.0,0.0,,-6300000.0,,,,6500000,3600000,106600000.0,198600000.0,,,-100000.0,39900000.0,61400000.0,2500000.0,-119000000.0,8600000.0,0.47,8800000,,111700000.0,17500000.0,-3400000.0,-3200000.0,14300000,8800000,,100000.0,,169900000.0,,9800000.0,,190000000.0,2800000.0,7100000.0,78700000,600000.0,35600000.0,0.47,2900000.0,2100000.0,13200000,115000000.0,345100000.0,8800000,283700000.0,10900000,23100000.0,20300000.0,,3200000.0,2600000.0,-1912000000.0,1911400000.0,,,,,,
2006-09-30,18300000,,,,6300000.0,27100000.0,230900000.0,-6200000.0,102000000,10900000,292600000.0,-4600000,15100000,13900000,17500000.0,0.0,,-6700000.0,,,,7400000,4400000,119000000.0,194200000.0,,,0.0,36700000.0,61500000.0,5100000.0,-119000000.0,4200000.0,0.51,9700000,,112700000.0,17500000.0,-4100000.0,-6600000.0,6000000,9700000,,0.0,,173600000.0,,9200000.0,,190000000.0,4200000.0,-5200000.0,83700000,400000.0,36800000.0,0.51,3000000.0,2100000.0,20300000,112700000.0,349900000.0,9700000,288400000.0,1900000,19300000.0,15100000.0,,100000.0,2900000.0,-1127200000.0,1126700000.0,,,,,,
2006-12-31,23400000,,,,7300000.0,117300000.0,398200000.0,40000000.0,478700000,10700000,328100000.0,-70300000,46200000,14600000,,11500000.0,,-7400000.0,,,,12700000,8900000,103400000.0,271700000.0,29300000.0,,-56700000.0,126500000.0,159600000.0,4500000.0,-133400000.0,3700000.0,,9100000,,115200000.0,,-16200000.0,49300000.0,52100000,9100000,,300000.0,30100000.0,194700000.0,,8100000.0,,268000000.0,600000.0,31100000.0,455300000,1100000.0,78200000.0,,3900000.0,2800000.0,15100000,96100000.0,501600000.0,9100000,342000000.0,35900000,46800000.0,46200000.0,,-21400000.0,3400000.0,-1995400000.0,1997800000.0,,,,,,
2007-03-31,22600000,,-200000.0,,600000.0,96400000.0,378000000.0,-1000000.0,240100000,14400000,327000000.0,-13300000,29400000,17800000,17700000.0,200000.0,,-7800000.0,,,,8200000,4800000,101400000.0,273000000.0,29300000.0,,-9000000.0,105000000.0,140600000.0,11200000.0,-133400000.0,5000000.0,0.58,12200000,,113200000.0,17700000.0,-3400000.0,-17700000.0,14200000,12500000,,200000.0,29900000.0,193600000.0,,7800000.0,,268000000.0,2000000.0,-16800000.0,217500000,800000.0,68100000.0,0.58,3400000.0,2700000.0,46200000,101000000.0,479400000.0,12200000,338800000.0,10800000,31400000.0,29400000.0,,-9700000.0,3800000.0,-5661300000.0,5660400000.0,,,,,,
2007-06-30,15400000,,0.0,,-500000.0,92300000.0,366000000.0,2300000.0,186900000,4000000,504100000.0,-82100000,55000000,8500000,18000000.0,-400000.0,,-8200000.0,,,,11400000,6900000,221000000.0,261600000.0,29300000.0,,9000000.0,104400000.0,159300000.0,3400000.0,-133400000.0,12600000.0,0.01,200000,,12700000.0,18000000.0,-195500000.0,100600000.0,7100000,500000,,300000.0,30300000.0,370700000.0,,11700000.0,,249000000.0,,25600000.0,171500000,400000.0,70600000.0,0.01,4500000.0,15000000.0,29400000,221700000.0,587000000.0,200000,427700000.0,-188400000,55000000.0,55000000.0,,-700000.0,4600000.0,-766400000.0,870700000.0,,,,,,
