date,quarterlyStockholdersEquity,quarterlyChangesInAccountReceivables,quarterlyDilutedEPS,quarterlyOtherIntangibleAssets,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyBasicAverageShares,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyOtherCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyRepurchaseOfCapitalStock,quarterlyDeferredIncomeTax,quarterlyEbitda,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalAssets,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentAssets,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncomeCommonStockholders,quarterlyDepreciationAndAmortization,quarterlyBasicEPS,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1986-09-30,,,1.562827,,,,,,,,,,13466612.0,,,,,421870373.655856,,421870373.655856,,,,,,,,,,,,,,,421870373.655856,,,,,,,,,,,,,13466612.0,,,,,24126900.913766,,,1.562827,,,,,,,,,,,,,,,,,,,,,
1986-12-31,707604200.803329,,,11114201.818366,,,,162407530.12485,,,,5707292.31617,,,,162407530.12485,,-1058750651.86262,,444870726.992708,,-600567425.286023,,,241308352.304859,,,1630383359.192611,577037357.713557,302486527.558256,403315369.835999,,,,-1058750651.86262,,,1029815933.906588,,,,635512078.940881,,,,,1645602807.302467,,1068565449.58891,232997732.117222,199354742.398098,,31250955.282705,,,,,,61178175.253397,,,,,,196751415.976683,,,27635313.863956,,937998606.499137,203159604.425562,,,,,,
1987-03-31,,,2.20951,,,,,,,,,,13466612.0,,,,,460181768.448322,,460181768.448322,,,,,,,,,,,,,,,460181768.448322,,,,,,,,,,,,,13466612.0,,,,,33494871.423673,,,2.20951,,,,,,,,,,,,,,,,,,,,,
1987-06-30,,,2.09345,,,,,,,,,,14320609.0,,,,,492512640.567367,,492512640.567367,,,,,,,,,,,,,,,492512640.567367,,,,,,,,,,,,,14320609.0,,,,,33020393.888506,,,2.09345,,,,,,,,,,,,,,,,,,,,,
1987-09-30,,,1.674228,,,,,,,,,,14320609.0,,,,,495939640.291606,,495939640.291606,,,,,,,,,,,,,,,495939640.291606,,,,,,,,,,,,,14320609.0,,,,,26643034.744388,,,1.674228,,,,,,,,,,,,,,,,,,,,,
1987-12-31,827419762.931034,,,120031880.387931,,,,45412061.268473,,,,12303268.165025,,,,45412061.268473,,-1234827040.172955,,520139078.207586,,-692784003.232759,,,290977283.713054,,,2188281207.666256,563449652.093596,296378718.442118,509535332.512315,,,,-1234827040.172955,,,1495497204.433498,,,,1073685170.874384,,,,,2197483651.477833,,1634033999.384236,560348828.509852,235462539.254926,,30233253.874771,,,,,,5401434.729064,,,,,,244765009.236453,,,18504914.562808,,1370063889.316502,277873803.109606,,,,,,
1988-03-31,,,1.914151,,,,,,,,,,14332109.0,,,,,544496068.024789,,544496068.024789,,,,,,,,,,,,,,,544496068.024789,,,,,,,,,,,,,14332109.0,,,,,29983264.024854,,,1.914151,,,,,,,,,,,,,,,,,,,,,
1988-06-30,,,1.26055,,,,,,,,,,14346609.0,,,,,532976281.353135,,532976281.353135,,,,,,,,,,,,,,,532976281.353135,,,,,,,,,,,,,14346609.0,,,,,19813988.448845,,,1.26055,,,,,,,,,,,,,,,,,,,,,
1988-09-30,,,1.380622,,,,,,,,,,14352442.0,,,,,562225986.847513,,562225986.847513,,,,,,,,,,,,,,,562225986.847513,,,,,,,,,,,,,14352442.0,,,,,22208927.250308,,,1.380622,,,,,,,,,,,,,,,,,,,,,
1988-12-31,946622303.693065,,,146998509.16757,,,,36975085.040441,,,,6813837.444671,,,,36975085.040441,,-1467598414.322468,,623748479.28669,,-809644142.918336,,,300710652.522656,,,2663308375.538589,647615110.741553,440995528.342614,602222932.782355,,,,-1467598414.322468,,,1853664232.620253,,,,1288316180.78128,,,,,2675934013.656865,,2028318902.915312,683688364.787798,257723357.774586,,20860166.37983,,,,,,140284875.819958,,,,,,295600274.649129,,,27656161.127489,,1729311709.9638,346904458.218896,,,,,,
