date,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyGrossProfit,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyDepreciationAndAmortization,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyRepurchaseOfCapitalStock,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyResearchAndDevelopment,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyTaxProvision,quarterlyNetPPE,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyChangeInInventory,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2011-04-30,,,-2620000,24918000,,26227000,,,,,0.0,,,,,,0,,-4440000,22889000,-2707000,-2707000,,,,-7743000,-592000,0.0,,,8270000,,,2231000,31358000,444000,,,-2159000,19517000,,,,,,,4612000,,-2707000,0.0,,,5401000,-7743000,-2029000,,519000,12355000,31159000,11704000,,,87000,,-1585000,2366000,,,5131000,,,,,,,,
2011-07-31,,,-5837000,34254000,2000.0,31358000,40517000.0,45253000.0,-71454000.0,,0.0,2167000.0,-4930000.0,40517000.0,,,895000,,-7977000,28873000,-5980000,-5980000,1666000.0,,162626000.0,-2098000,-456000,0.0,,,11353000,4039000.0,29677000.0,81000,40517000,1058000,,-80765000.0,-5543000,27325000,95525000.0,76840000.0,67101000.0,91172000.0,14332000.0,,8043000,9032000.0,-5980000,-10000.0,5435000.0,,6929000,-2098000,-5381000,2918000.0,1116000,10141000,40226000,13703000,17596000.0,22002000.0,143000,12666000.0,-4323000,923000,,,9159000,,,,,,,,
2011-10-31,,,6438000,35373000,,40517000,,,,0.0,,,,,,,1221000,,-5602000,42273000,4116000,4116000,,,,-2732000,-464000,0.0,,,14840000,,,736000,59826000,1150000,16715000.0,,404000,27525000,,,,,,0.0,17860000,,4116000,-59000.0,,,7848000,-2732000,6900000,,1449000,20592000,57113000,13473000,,,2322000,,8050000,1449000,,,19309000,16715000.0,0.0,,,,,,
2012-01-31,,,712000,39894000,2000.0,59826000,82822000.0,63097000.0,-62556000.0,0.0,,0.0,-7355000.0,82822000.0,,,38000,,11206000,41170000,424000,424000,3943000.0,,199213000.0,-4331000,-566000,0.0,,,15513000,12301000.0,24073000.0,-1901000,82822000,1324000,64328000.0,-76225000.0,5094000,31380000,110029000.0,115650000.0,89184000.0,136657000.0,21007000.0,,22780000,1806000.0,0,-4000.0,4270000.0,,8514000,-4331000,1276000,0.0,216000,27111000,56683000,22759000,24419000.0,34811000.0,288000,17064000.0,2600000,2050000,,,22996000,58421000.0,0.0,,,,,,
2012-04-30,,,-41000,47108000,6000.0,82822000,90283000.0,74795000.0,10903000.0,0.000646,0.0,8231000.0,-9048000.0,90283000.0,,,-104000,,-14723000,47067000,796000,796000,5260000.0,,155586000.0,-4218000,-3000,0.0,,,18633000,7665000.0,38796000.0,6244000,90283000,1719000,66601444.0,-75911000.0,796000,36646000,50017000.0,141616000.0,105569000.0,166489000.0,24873000.0,,6557000,8160000.0,43000,0.0,10514000.0,,10462000,-4218000,-41000,3597000.0,904000,10775000,65700000,4409000,28661000.0,41857000.0,-837000,19613000.0,1678000,3851000,,,7461000,66601444.0,0.000646,,,,,,
2012-07-31,,,-4310000,58319000,7000.0,90283000,322642000.0,86296000.0,229071000.0,,,0.0,-10826000.0,322642000.0,,,918000,,-6846000,54075000,-4599000,-4599000,5168000.0,,178733000.0,-3284000,-77000,0.0,,,21567000,15189000.0,45642000.0,-1300000,322642000,1941000,,-80028000.0,-4599000,46573000,56727000.0,381657000.0,122006000.0,407804000.0,26147000.0,,15606000,7215000.0,-4599000,-19000.0,9214000.0,,11746000,-3284000,-4244000,0.0,216753000,18890000,75642000,15276000,31805000.0,49512000.0,289000,20979000.0,-4244000,6487000,,,232359000,,,,,,,,
2012-10-31,,,-3203000,64875000,7000.0,322642000,174473000.0,101412000.0,235789000.0,-0.05,,0.0,,321557000.0,,,-265000,,-10727000,61744000,-3515000,-3515000,6026000.0,20567000.0,208508000.0,-172490000,-170000,0.0,,,24190000,14743000.0,56369000.0,1076000,174473000,2053000,66813000.0,-83543000.0,8600000,51563000,65892000.0,394739000.0,142616000.0,444297000.0,49558000.0,-168475000.0,19061000,6896000.0,-3515000,-24000.0,10290000.0,-27000.0,13312000,-4015000,-3131000,0.0,1245000,23076000,85934000,15938000,,58996000.0,312000,22965000.0,-1078000,8284000,,147084000.0,-148169000,66813000.0,-0.05,,,,,,
2013-01-31,,,-2101000,71038000,7000.0,174473000,187924000.0,117437000.0,243520000.0,-0.04,,0.0,,337444000.0,,,371000,,-12217000,68881000,-2613000,-2613000,6624000.0,30871000.0,246629000.0,-19738000,-60000,0.0,,,27618000,16567000.0,68586000.0,640000,187924000,2415000,67651000.0,-86156000.0,9252000,55543000,77633000.0,426674000.0,168996000.0,490149000.0,63475000.0,-84158000.0,28286000,6887000.0,-2613000,-2709000.0,10769000.0,-11000.0,15495000,-6221000,-2157000,16567000.0,-1318000,34507000,96499000,25559000,,70746000.0,512000,25980000.0,258000,8746000,,149520000.0,13451000,67651000.0,-0.04,,,,,,
2013-04-30,1415000.0,,-6474000,80049000,7000.0,187924000,213664000.0,133968000.0,263881000.0,-0.1,,0.0,,361697000.0,,,71000,60000000.0,-22903000,73599000,-7282000,-7282000,6786000.0,29767000.0,274896000.0,-4409000,-157000,0.0,,,27690000,15578000.0,91489000.0,1631000,213664000,2753000,69575000.0,-93438000.0,13130000,64001000,92878000.0,472724000.0,182018000.0,538777000.0,66053000.0,-58050000.0,8847000,7542000.0,-7282000,-36000.0,12810000.0,23000.0,16048000,-6359000,-6450000,0.0,14943000,15206000,101289000,6605000,,85336000.0,808000,29500000.0,-3697000,12578000,,148033000.0,25740000,69575000.0,-0.1,,,,,,
2013-07-31,,,-6878000,89010000,7000.0,213664000,310614000.0,153945000.0,272420000.0,-0.22,,0.0,-19476000.0,419621000.0,,,6585000,85560000.0,4028000,82127000,-15836000,-15836000,6507000.0,17314000.0,313186000.0,45072000,-132000,0.0,,,30258000,14609000.0,87461000.0,2483000,310614000,2671000,70936000.0,-109274000.0,8009000,71383000,107084000.0,529699000.0,206102000.0,585606000.0,55907000.0,-34641000.0,35883000,11799000.0,-15836000,-7000.0,15544000.0,-16000.0,17627000,-5847000,-6883000,856000.0,10148000,41730000,112385000,46624000,51562000.0,95285000.0,8958000,32086000.0,-4212000,14096000,0.0,109007000.0,96950000,70936000.0,-0.22,,,,,,
