date,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyResearchAndDevelopment,quarterlyInterestExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyCurrentDebt,quarterlyOtherNonCurrentLiabilities,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyOtherIncomeExpense,quarterlyBasicAverageShares,quarterlyInventory,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyOtherIntangibleAssets,quarterlyOperatingExpense,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlySaleOfInvestment,quarterlyGrossPPE,quarterlyDilutedAverageShares,quarterlyDeferredIncomeTax,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfInvestment,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyTaxProvision,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyChangeInWorkingCapital,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyCashDividendsPaid
2012-09-30,-9568000,,6544000,553000,3947000,,,-0.180297,11232000,,,,48000,53068000.0,,-1575000.0,,,-9568000,,,,27394000,,12786000,-9568000,,1733000,-263000,-4210000,,,-576000,,,,,53068000.0,,18356000,,,-265000,,0.0,-1057000,16733000,,356000.0,0.0,,20850000,,,,,-9543000,-0.180297,,138000,-7257000,29588000,769000,,25000,,,3802000,-1057000,-9038000,8157000,-3153000,,,,,
2012-12-31,-7083000,0.0,6868000,719000,21131000,7636000.0,996000.0,,12370000,13691000.0,,2683000.0,12000,,833000.0,-2416000.0,18004000.0,12428000.0,-7083000,37864000.0,11291000.0,,27096000,74020000.0,16733000,-7083000,37864000.0,1802000,-1507000,-6518000,63354000.0,18559000.0,30487000,1551000.0,63283000.0,,28433000.0,,,20755000,-85000.0,4553000.0,1995000,,0.0,-3552000,37864000,0.0,334000.0,0.0,71000.0,20228000,44795000.0,45279000.0,-83657000.0,,-7048000,,,96000,-4527000,33125000,1118000,,35000,17008000.0,-11425000.0,1131000,-3552000,-6341000,27648000,-2966000,,,,,
2013-03-31,-10262000,,7504000,639000,-15544000,,,-0.193375,13737000,,,,-203000,53068000.0,,-2114000.0,,,-10262000,,,,31196000,,37864000,-10262000,,2156000,-797000,-13427000,,,-68000,,,,,53068000.0,,21788000,,,-1695000,,-130000.0,-4064000,22320000,,-274000.0,0.0,,23692000,,,,,-10250000,-0.193375,,82000,-7455000,35525000,1114000,0.0,12000,,,-2583000,-3934000,-9408000,-1985000,-9493000,,,,,
2013-06-30,-13619000,0.0,8606000,588000,-2954000,9121000.0,1758000.0,-0.224186,14662000,13892000.0,,1698000.0,-44000,60748648.0,1150000.0,-2053000.0,17037000.0,10795000.0,-13619000,19366000.0,13707000.0,,36161000,0.0,22320000,-13619000,19366000.0,2195000,1525000,-4881000,48500000.0,19088000.0,-164000,2038000.0,69225000.0,,32829000.0,60748648.0,,23042000,159000.0,5140000.0,1828000,,0.0,-2017000,19366000,0.0,-44000.0,0.0,-20725000.0,27555000,29412000.0,52188000.0,-107538000.0,,-13751000,-0.224186,,76000,-10968000,37704000,1222000,,-132000,17050000.0,-15779000.0,7307000,-2017000,-13119000,1935000,-2864000,,,,,
2013-09-30,-8852000,0.0,8150000,995000,6086000,9617000.0,1422000.0,-0.36,15968000,20484000.0,,2492000.0,-647000,24452000.0,2034000.0,-2073000.0,33567000.0,27777000.0,-8852000,25452000.0,15573000.0,,34117000,5000.0,19366000,-8852000,25452000.0,2255000,-530000,-11306000,60763000.0,19129000.0,-1541000,1828000.0,86073000.0,,35337000.0,24452000.0,,25966000,-154000.0,6494000.0,1519000,,0.0,-3073000,25452000,288000.0,-884000.0,0.0,-25310000.0,25967000,41634000.0,52506000.0,-116389000.0,,-8798000,-0.36,,254000,-8151000,41934000,2210000,,54000,17301000.0,-18036000.0,-4146000,-3073000,-8151000,17404000,-8233000,,,,,
2013-12-31,-13365000,0.0,9139000,3162000,90926000,10184000.0,1336000.0,-0.22,17151000,20559000.0,,3045000.0,-2990000,62098000.0,2111000.0,-20491000.0,29614000.0,24043000.0,-13365000,116378000.0,16552000.0,,38547000,6000.0,25452000,-13365000,116378000.0,2374000,-553000,-4946000,145185000.0,18437000.0,-1947000,1777000.0,81670000.0,,37071000.0,62098000.0,,28192000,-310000.0,4414000.0,-2105000,,0.0,-1765000,116378000,0.0,-77000.0,0.0,63515000.0,29408000,126748000.0,52056000.0,-129755000.0,,-13345000,-0.22,,1602000,-7981000,45343000,2994000,,20000,16660000.0,-20411000.0,2893000,-1765000,-10355000,95879000,-3181000,,,,,
2014-03-31,-12904000,0.0,9673000,601000,50448000,9714000.0,1786000.0,-0.2,17903000,29826000.0,,3873000.0,-638000,63800000.0,2301000.0,-2443000.0,28120000.0,22257000.0,-12904000,166826000.0,18315000.0,,42597000,7000.0,116378000,-12904000,166826000.0,2119000,-828000,-5972000,200799000.0,21024000.0,-246000,1860000.0,89037000.0,,41490000.0,63800000.0,,30359000,-410000.0,2706000.0,-1353000,,0.0,-3509000,166826000,0.0,-190000.0,0.0,111762000.0,32924000,179775000.0,60917000.0,-142659000.0,,-12876000,-0.2,,73000,-10119000,48262000,3177000,57167000.0,28000,19164000.0,-22326000.0,5068000,-3509000,-12238000,56421000,-2463000,,,,,
2014-06-30,-13330000,0.0,10874000,476000,-15408000,9105000.0,3193000.0,-0.2,19543000,25804000.0,,5118000.0,-383000,67295000.0,2174000.0,-2431000.0,28325000.0,20494000.0,-13330000,151418000.0,20171000.0,,46054000,7000.0,166826000,-13330000,151418000.0,2471000,-1245000,-15516000,194403000.0,26568000.0,-973000,2053000.0,88578000.0,,49281000.0,67295000.0,,33244000,-640000.0,4253000.0,849000,,0.0,-6997000,151418000,0.0,127000.0,0.0,105825000.0,35180000,167835000.0,60253000.0,-155989000.0,,-13193000,-0.2,,49000,-10339000,52787000,3931000,0.0,137000,24515000.0,-24766000.0,-1742000,-6997000,-12810000,129000,-8519000,,,,,
2014-09-30,-11986000,0.0,11931000,505000,-30727000,18489000.0,2771000.0,-0.18,19405000,31659000.0,,7443000.0,-1153000,67800000.0,2012000.0,-2817000.0,16092000.0,8750000.0,-11986000,120691000.0,23415000.0,,48353000,7000.0,151418000,-11986000,149353000.0,2819000,-2325000,-789000,195905000.0,28728000.0,0,2866000.0,95970000.0,,53417000.0,67800000.0,0.0,37539000,-286000.0,5700000.0,1582000,,-28696000.0,-33359000,120691000,0.0,163000.0,0.0,99935000.0,36422000,167177000.0,79878000.0,-167975000.0,,-11967000,-0.18,28662000.0,72000,-7995000,56944000,4198000,0.0,19000,25862000.0,-27555000.0,8771000,-4663000,-10814000,-1283000,3874000,,,,,
2014-12-31,-10120000,0.0,12104000,425000,-7509000,16764000.0,3255000.0,-0.15,19922000,29236000.0,,7651000.0,-864000,68318000.0,1710000.0,-2916000.0,15556000.0,7813000.0,-10120000,113182000.0,25586000.0,,51315000,7000.0,120691000,-10120000,141661000.0,2969000,-208000,-7118000,188337000.0,28548000.0,0,3021000.0,91832000.0,,54030000.0,68318000.0,-114000.0,41972000,-251000.0,4181000.0,-1588000,,0.0,-2796000,113182000,0.0,301000.0,0.0,96505000.0,39211000,159789000.0,76276000.0,-178095000.0,,-10207000,-0.15,28479000.0,65000,-6374000,61894000,4210000,0.0,-87000,25527000.0,-28503000.0,-1408000,-2796000,-9343000,-480000,-4322000,,,,,
