date,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlySaleOfInvestment,quarterlyDilutedEPS,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlySellingGeneralAndAdministration,quarterlyTaxProvision,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyEbitda,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyChangeInWorkingCapital,quarterlyResearchAndDevelopment,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyOperatingIncome,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyTotalRevenue,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyDilutedAverageShares,quarterlyCapitalExpenditure,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyBasicEPS,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyInventory,quarterlyLongTermDebt,quarterlyInvestingCashFlow,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyFreeCashFlow,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyStockBasedCompensation,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyGoodwill,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness
1996-06-30,,-6239320.77,,,,632015000.0,,680256295.48,,,1511347435.88,,,,,,366272256.94,,,,,,,382895847.77,,2756510282.68,1972657333.77,,366272256.94,,,,3508303477.15,751793194.47,,,1247864154.12,1780000.0,128427000.0,,18812246.12,5486461.38,,,,757071735.33,,,,,,,,385863100.0,356505138.33,358285138.33,197474409.95,,1978143795.15,188046527.58,,,,,,,,,,,,,,,,,
1996-12-31,,-4035498.26,,,,655015000.0,,643015784.21,,,1646040180.84,,,,,,439522347.05,,,,,,,328194846.4,,2885652085.72,2002932690.24,,439522347.05,,,,3739797049.99,854144964.27,,,973456267.11,0.0,500000.0,,19159478.91,71664700.0,,,,876666547.15,71664700.0,,,,,,,574459060.0,156710285.33,156710285.33,230880274.7,,2074597390.24,183742342.52,,,,,,,,,,,,,,,,,
1997-06-30,,3028547296.89,,,,655015000.0,,,,,1696423131.25,,,,,,534007025.83,,,,,,,378577796.81,,3028547296.89,2153627863.72,,534007025.83,,,,3959024247.88,930476950.99,,,,,2153627863.72,,90152880.85,90152880.85,,,,,,,,,,,,,,,396469925.16,,2243780744.57,,,,,,,,,,,,,,,,,,
1997-12-31,,-1704935.91,,,,655015000.0,,942117645.67,,,1330574175.44,,,,,,532713661.12,,,,,,,9093514.34,,3137082245.59,2733835719.53,,532713661.12,,,,4080439361.6,943357116.01,,,1517401147.81,0.0,11795713.62,,,0.0,,,,1076671146.38,,,,,,,,928468820.0,127467282.22,127467282.22,243262291.86,,2733835719.53,167381163.03,,,,,,,,,,,,,,,,,
1998-06-30,,-4441538.33,,,,655015000.0,,934293017.74,,,1130900213.05,,,,,,503164712.84,,,,,,,-190580448.05,,2873883793.43,2627880591.0,,503164712.84,,,,3776840696.81,902956903.38,,,1329965927.47,,17906653.03,,,0.0,,,,990221740.14,,,,,,,,953711960.0,106182351.75,106182351.75,0.0,,2627880591.0,159200571.29,,,,,,,,,,,,,,,,,
1998-12-31,,-156444008.35,,,,655015000.0,,997538027.3,,,609072044.53,,,,,,564551902.22,,,,,,,-712500523.69,,2406215481.95,2752054000.09,,564551902.22,,,,3388937098.15,982721616.2,,,1268641438.78,4000.0,5313544.92,,,0.0,,,,969761241.25,,,,,,,,1166312188.0,84954469.33,84958469.33,2084900.88,,2752054000.09,172973639.94,,,,,,,,,,,,,,,,,
1999-06-30,,-156547465.81,,,,655015000.0,,960827941.94,,,491669939.86,,,,,,552759874.25,,,,,,,-829902628.36,,2388494364.17,2908732519.73,,552759874.25,,,,3453072305.13,1064577940.96,,,1311351757.35,,10226882.34,,35161845.54,17508000.0,,,,902248974.85,17508000.0,,,,,,,1291047904.0,140017154.06,140017154.06,2235635.36,,2926240519.73,163400698.91,,,,,,,,,,,,,,,,,
1999-12-31,,-55071729.64,,,,655015000.0,,1199580037.33,,,663319192.09,,,,,,540387199.48,,,,,,,-658254231.04,,1776712561.78,2187971577.39,,540387199.48,,,,2873945299.71,1097232737.93,,,388479978.29,0.0,16500000.0,,60945.0,60945.0,,,,697683676.3,,,,,,,,512047074.01,531687714.61,531687714.61,-998885.95,,2188032522.39,136564055.56,,,,,,,,,,,,,,,,,
2000-06-30,,-71467551.49,,,,655015000.0,,1313410678.9,,,736267404.05,,,,,,525249673.36,,,,,,,-585306019.08,,2087207556.36,2295278197.3,,525249673.36,,,,3073395478.47,986187922.11,,,540574056.57,150000000.0,21426017.79,,284782.8,11834782.8,,,,608544975.67,11550000.0,,,,,,,544035713.62,524968926.21,674968926.21,4650298.58,,2307112980.1,128237947.52,,,,,,,,,,,,,,,,,
2000-12-31,,-29819840.89,,,,655015000.0,,848241115.23,,,796166057.36,11550.64,,,,,396943083.24,,,,,,,-525430817.08,,1263534934.01,1623111824.22,,396943083.24,,,,2456214869.97,1192679935.96,,,142020043.04,120987125.95,7050502.28,,563274.84,14751610.58,,,,165110321.28,,,,,,,,533430000.0,402777088.94,523764214.89,457887.15,,1637863434.8,110384373.37,,,,,,,,,,,,,,,,,
2001-06-30,,0.0,,,,655015000.0,,905499364.59,,,838802817.94,11550.64,,,,,349445959.03,,,,,,,-482907399.77,,1366274868.45,1771706647.23,,349445959.03,,,,2638723775.01,1272448906.56,,,121695460.52,151181226.37,5493994.82,,26202759.2,2011550.64,,,,122613469.23,,,,,,,,590588900.0,806369415.51,957550641.88,0.0,,1773718197.87,102249712.56,,,,,,,,,,,,,,,,,
2001-09-30,,,,,,,,,22870930.72,45060821.39,,,,44702376.63,-941049.27,61020981.38,,62875467.86,,,,,,,-22189890.67,,,199702050.92,,,,,,,,176831120.2,,,,,,,,61962030.65,64825743.49,,,,64825743.49,,,,1854486.48,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,,0.0,,,,655015000.0,,151535045.63,4434850.88,41400698.95,939077089.41,11550.64,,41604467.2,2035790.83,36832366.3,344933759.27,58071807.88,,,,,,-382597950.4,-36965848.07,777319817.02,1089227385.41,106090799.3,344933759.27,,,,2069729224.34,1292409407.32,,101655948.42,127647982.33,171718408.21,9370658.9,,23413198.88,18011550.64,,34796575.47,35483705.88,106836518.13,,,35483705.88,,,,21239441.58,708570000.0,165070274.8,336788683.01,0.0,,1107238936.05,90982514.31,,,,,,,,,,,,,,,,,
