date,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedEPS,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyStockholdersEquity,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyCapitalExpenditure,quarterlyOtherIncomeExpense,quarterlyOtherCurrentLiabilities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyNetPPE,quarterlyLongTermDebt,quarterlyTaxProvision,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyOperatingExpense,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,quarterlyCapitalStock,quarterlyFreeCashFlow,quarterlyBeginningCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfInvestment,quarterlyCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyBasicEPS,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue
1998-03-31,24200000,3700000,,-300000,,2200000,800000,8100000.0,7600000,,100000.0,,0,-9200000,,1400000,17500000,-0.045477,,-6100000,6700000,43104573.0,16800000,,7600000,800000,,0,,1000000.0,-800000.0,1000000,-200000,10000000,1200000,100000.0,700000,,,-9200000,-300000,3000000,200000.0,,7300000,16300000,200000,,5400000,1400000,1600000,,8100000.0,-8500000,800000,,41000000,2400000,,2400000,33400000,,24900000,300000,-0.045477,600000,43104573.0,,,,,,,,,,
1998-06-30,34000000,5100000,,-600000,,3500000,1500000,16000000.0,10900000,,-800000.0,,0,-21900000,,2400000,24600000,-0.023727,1000000.0,-6800000,9400000,43104573.0,45400000,,10300000,1100000,,0,,700000.0,-1400000.0,1000000,0,21600000,3500000,24000000.0,1200000,500000.0,-300000.0,-22000000,-100000,3500000,400000.0,,14600000,23200000,500000,,7400000,2000000,800000,,,-20800000,0,-600000.0,79400000,3200000,,3200000,69100000,800000.0,51000000,400000,-0.023727,900000,43104573.0,,,,,,,,,,
1998-09-30,54700000,6100000,,100000,,5700000,2700000,20600000.0,16800000,0.0,,,0,-15000000,,4100000,42300000,0.019773,1800000.0,-5700000,12400000,50574299.0,59800000,,10900000,1600000,,100000,,800000.0,-2200000.0,1500000,-500000,10400000,3900000,0.0,2500000,1000000.0,1000000.0,-15100000,-100000,5000000,400000.0,,18400000,40400000,800000,,11100000,3000000,-2100000,,,-12600000,0,1000000.0,114500000,1100000,,1100000,103600000,1300000.0,81300000,700000,0.023728,1400000,42145092.0,,,,,,,,,,
1998-12-31,88200000,6600000,,-2600000,,6100000,2900000,35900000.0,18700000,0.0,,,0,-16400000,,4300000,63800000,,2100000.0,-4800000,24400000,,61100000,,15700000,1800000,,-200000,,2200000.0,-2900000.0,2100000,-300000,16300000,1800000,300000.0,1700000,1200000.0,1000000.0,-16200000,0,8300000,1600000.0,,33000000,60100000,900000,,12600000,3200000,1600000,,,-14500000,0,1000000.0,149300000,2700000,,2700000,133600000,9500000.0,98800000,900000,,1400000,,,,,,,,,,,
1999-03-31,134000000,13100000,,2400000,,10800000,5700000,137200000.0,30900000,,,,0,-74900000,,8000000,108400000,-0.055364,-3100000.0,1200000,25600000,79474026.0,131600000,,20500000,2800000,,0,,1600000.0,-5600000.0,2600000,-500000,74100000,2800000,65100000.0,1000000,-4400000.0,-4400000.0,-75000000,-7800000,10600000,2300000.0,,131600000,103500000,1300000,,20100000,5100000,200000,,,-74000000,3200000,-4400000.0,265600000,3400000,,3400000,245100000,1900000.0,110700000,900000,-0.055364,2300000,79474026.0,,,,,,,,,,
1999-06-30,187100000,17500000,,1900000,,15600000,8900000,149800000.0,40200000,,,,0,-34000000,,12200000,153100000,0.031636,5900000.0,-1200000,34000000,101149167.0,137100000,,32000000,3400000,,0,,1900000.0,-2900000.0,5200000,-100000,32400000,4800000,1500000.0,8500000,3200000.0,3200000.0,-34100000,-1000000,14500000,2300000.0,,146900000,145600000,2700000,,24600000,6700000,6900000,,,-25600000,0,3200000.0,324200000,10400000,,10400000,292200000,2000000.0,140500000,2200000,0.035591,3300000,89910090.0,,,,,,,,,,
1999-09-30,291100000,18400000,,-2000000,-200000.0,19400000,11300000,262800000.0,48600000,0.0,,,8800000,-43300000,,15300000,245600000,0.047455,8100000.0,3700000,45500000,103256441.0,210800000,,37600000,4100000,,100000,,3200000.0,-9700000.0,5200000,-1300000,34700000,6600000,0.0,7000000,4900000.0,4900000.0,-43400000,0,18700000,14000000.0,,253100000,226400000,3200000,,29200000,8100000,-1600000,,200000.0,-36400000,0,4900000.0,501900000,8800000,,8800000,464300000,8400000.0,204600000,3200000,0.051409,4000000,95313432.0,,,,,,,,,,
1999-12-31,398800000,20100000,,-8400000,-200000.0,25200000,14500000,366200000.0,61200000,0.0,,,2400000,-104000000,,19900000,354700000,,9000000.0,9300000,44100000,,218500000,,34400000,5300000,,-5000000,,3600000.0,-31400000.0,5300000,-900000,92100000,10700000,0.0,5400000,5400000.0,5400000.0,-99800000,-300000,21300000,74400000.0,,334800000,275000000,3600000,,36000000,10700000,-6500000,,200000.0,-94400000,8800000,5400000.0,617300000,2400000,,2400000,582900000,2700000.0,237400000,5100000,,5400000,,,,,,,,,,,
2000-03-31,423526000,19857000,,-5227000,-109000.0,27342000,15830000,375384000.0,64011000,,,,2657000,-33200000,,21951000,381317000,0.051358,9738000.0,14987000,42209000,111253975.0,224645000,,37421000,5391000,,73000,,3872000.0,-35814000.0,3698000,-53000,26826000,10618000,328000.0,6638000,5690000.0,5690000.0,-4992000,-198000,19623000,74609000.0,,339570000,303010000,4048000,,36669000,11512000,264000,,213000.0,1646000,2393000,5690000.0,648171000,2657000,,2657000,610750000,2729000.0,260562000,5894000,0.053333,6121000,107943181.0,,,,,,,,,,
2000-06-30,503799000,23265000,,-3000,-54000.0,32179000,18919000,388216000.0,76022000,,,,2496000,-83365000,,25724000,453950000,0.053333,10153000.0,20987000,49849000,112064750.0,230707000,,44382000,6455000,,-195000,,4507000.0,-35814000.0,4570000,-1676000,69426000,13144000,1000.0,13778000,5982000.0,5982000.0,-5262000,-938000,24314000,74591000.0,,352402000,374789000,4171000,,43843000,13260000,-161000,,215000.0,8516000,2657000,5982000.0,734506000,2496000,,2496000,690124000,2270000.0,324578000,7828000,0.055309,6805000,108874600.0,,,,,,,,,,
