date,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBasicEPS,quarterlyOtherIntangibleAssets,quarterlyBasicAverageShares,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyOperatingCashFlow,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyNetPPE,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyTaxProvision,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyGoodwill,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyOtherNonCurrentAssets,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyDilutedEPS,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyOtherIncomeExpense,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyInventory,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentDebt,quarterlyChangeInInventory
2015-03-31,,42000000,,156000000,-1298000000.0,1842000000,-687000000.0,,,,,0.742424,,198000000.0,-34000000,39000000,,46000000,-541000000,-66000000,613000000,198000000.0,89000000,,,57000000,,8000000.0,27000000,,7000000,,269000000,,,,23000000,,,,,,,,67000000,147000000,,,,159000000,-38000000,0.742424,147000000,148000000,35000000,145000000,,,102000000,69000000,480000000,,,454000000,,,,,,,,,,,,,
2015-06-30,,69000000,,106000000,-112000000.0,25000000,-51000000.0,,,,,,,,10000000,-12000000,,46000000,7000000,-53000000,719000000,,120000000,,,146000000,,60000000.0,-14000000,,3000000,,224000000,,,,67000000,,,,,,,,72000000,45000000,,,,246000000,28000000,,45000000,46000000,28000000,6000000,,,100000000,55000000,-141000000,,,473000000,,,,,,,,,,,,,
2015-09-30,,55000000,,81000000,-1000000.0,-1000000,-1000000.0,,,,,,,,19000000,35000000,,47000000,-120000000,-43000000,681000000,,164000000,,,122000000,,45000000.0,-1000000,,4000000,,201000000,,,,121000000,,,,,,,,73000000,32000000,,,,212000000,-119000000,,32000000,36000000,17000000,5000000,,,90000000,54000000,-42000000,,-71000000.0,469000000,,,,,,,,,,,,,
2015-12-31,,54000000,2821000000.0,74000000,0.0,-14000000,-144000000.0,-1677000000.0,0.0,72000000.0,72000000.0,,52000000.0,,-2000000,-32000000,171000000.0,47000000,-61000000,-64000000,675000000,,146000000,-63000000.0,8676000000.0,118000000,10353000000.0,5000000.0,18000000,0.0,34000000,,196000000,,6657000000.0,,82000000,617000000.0,319000000.0,333000000.0,98000000.0,0.0,9468000000.0,9787000000.0,75000000,68000000,6990000000.0,104000000.0,19000000.0,209000000,26000000,,68000000,69000000,16000000,3000000,4040000000.0,2502000000.0,91000000,72000000,-67000000,122000000.0,0.0,466000000,,,,,,,,,,,,,
2016-03-31,,72000000,2884000000.0,37000000,0.0,14000000,0.0,-1762000000.0,0.0,116000000.0,116000000.0,0.111111,49000000.0,198000000.0,-15000000,-4000000,178000000.0,46000000,-1000000,-65000000,661000000,198000000.0,95000000,-54000000.0,8662000000.0,95000000,10424000000.0,14000000.0,44000000,0.0,2000000,,156000000,,6650000000.0,,30000000,616000000.0,392000000.0,328000000.0,100000000.0,,9446000000.0,9838000000.0,73000000,22000000,6978000000.0,98000000.0,21000000.0,184000000,-1000000,0.111111,22000000,23000000,16000000,-12000000,4045000000.0,2488000000.0,89000000,116000000,-49000000,133000000.0,,477000000,,,,,,,,,,,,,
2016-06-30,,116000000,2931000000.0,101000000,0.0,0,-2000000.0,-1826000000.0,0.0,198000000.0,198000000.0,0.30303,47000000.0,198000000.0,-13000000,-2000000,189000000.0,46000000,18000000,-63000000,725000000,198000000.0,124000000,-54000000.0,8612000000.0,141000000,10438000000.0,39000000.0,82000000,0.0,5000000,,221000000,,6632000000.0,,61000000,615000000.0,486000000.0,340000000.0,100000000.0,,9393000000.0,9879000000.0,74000000,60000000,6972000000.0,99000000.0,20000000.0,234000000,20000000,0.30303,60000000,62000000,19000000,5000000,4046000000.0,2470000000.0,93000000,198000000,-63000000,155000000.0,,491000000,,,,,,,,,,,,,
2016-09-30,,198000000,4094000000.0,63000000,0.0,0,-993000000.0,-1876000000.0,0.0,346000000.0,346000000.0,0.171717,45000000.0,198000000.0,-24000000,-17000000,177000000.0,49000000,115000000,-42000000,671000000,198000000.0,75000000,-51000000.0,8573000000.0,110000000,10449000000.0,26000000.0,148000000,0.0,8000000,,185000000,,5621000000.0,,33000000,605000000.0,624000000.0,277000000.0,100000000.0,,9345000000.0,9969000000.0,73000000,34000000,5898000000.0,100000000.0,22000000.0,204000000,1108000000,0.171717,34000000,37000000,21000000,2000000,3058000000.0,2448000000.0,94000000,346000000,-42000000,156000000.0,0.0,467000000,,,,,,,,,,,,,
2016-12-31,,346000000,3872000000.0,20000000,0.0,0,-2685000000.0,-1872000000.0,0.0,293000000.0,293000000.0,0.085859,44000000.0,198000000.0,-14000000,-17000000,167000000.0,40000000,-102000000,-57000000,670000000,198000000.0,105000000,-67000000.0,8541000000.0,87000000,10413000000.0,3000000.0,-53000000,0.0,24000000,,140000000,,5543000000.0,,48000000,604000000.0,538000000.0,468000000.0,94000000.0,0.0,9296000000.0,9834000000.0,80000000,17000000,6011000000.0,81000000.0,26000000.0,196000000,-152000000,0.085859,17000000,17000000,29000000,-28000000,3012000000.0,2437000000.0,109000000,293000000,-56000000,130000000.0,-180000000.0,474000000,,,,,,,,,,,,,
2017-03-31,2000000.0,337000000,6020000000.0,69000000,-1000000.0,1000000,,-1943000000.0,28000000.0,318000000.0,318000000.0,11.65,43000000.0,202000000.0,-2288000000,9000000,174000000.0,30000000,-124000000,-37000000,684000000,213000000.0,141000000,-60000000.0,8516000000.0,94000000,10459000000.0,-2281000000.0,-19000000,0.0,1000000,,169000000,,3360000000.0,2258000000.0,104000000,604000000.0,567000000.0,509000000.0,202000000.0,-1000000.0,9273000000.0,9840000000.0,70000000,2350000000,3869000000.0,82000000.0,28000000.0,182000000,-14000000,11.02,2350000000,2350000000,18000000,5000000,2998000000.0,146000000.0,88000000,318000000,-37000000,180000000.0,-110000000.0,502000000,,,,,,,,,,,,,
2017-06-30,2000000.0,318000000,6049000000.0,96000000,0.0,0,,-2017000000.0,22000000.0,306000000.0,306000000.0,0.52,43000000.0,214000000.0,-24000000,-39000000,178000000.0,31000000,-96000000,-49000000,733000000,215000000.0,133000000,-53000000.0,8495000000.0,123000000,10512000000.0,-19000000.0,-12000000,0.0,2000000,,200000000,,3331000000.0,2277000000.0,84000000,605000000.0,565000000.0,485000000.0,194000000.0,0.0,9252000000.0,9817000000.0,73000000,112000000,3816000000.0,87000000.0,22000000.0,215000000,-4000000,0.52,112000000,115000000,19000000,3000000,3014000000.0,123000000.0,92000000,306000000,-49000000,188000000.0,-92000000.0,518000000,,,,,,,,,,,,,
