date,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyBasicAverageShares,quarterlyNetOtherInvestingChanges,quarterlyPurchaseOfBusiness,quarterlyStockholdersEquity,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyChangeInWorkingCapital,quarterlyNetPPE,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyAccumulatedDepreciation,quarterlyGrossPPE,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyFreeCashFlow,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyOtherNonCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyPurchaseOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable
2014-12-31,4500000.0,344844000,,0.0,,1622032000.0,343659000.0,343659000.0,-61876000,11799000.0,-158041000.0,,602827000.0,,139907000,70966000.0,113709000,-63701000,230789000.0,-41597000,0.0,-55768000,1726583000.0,1159160000.0,-4952000,-1312589000.0,3039172000.0,5753732000,98659000,3634000,-1185000,49822000.0,,42663000,-5183000,-513772000.0,2563000,-25000.0,215200000,57062000,5609495000.0,6227201000.0,2829913000.0,1825587000.0,3835477000.0,107473000.0,101491000,9057114000.0,47846000,,-1800000,-277595000,1050898000.0,977946000,0,7435082000.0,36170000.0,864237000,47846000,47846000,4696273000.0,420319000.0,864237000,,71985000,-36143000,343659000,4775786000,,311249000.0,1252738000.0,,,,,,
2015-03-31,,343659000,191248181.0,2771000.0,0.0,,,,-13778000,,,0.036913,,,-78822000,70913000.0,43489000,-2603000,,-57191000,0.0,19464000,,,-34992000,,,5553638000,101693000,3684000,33870000,,192748285.0,-28578000,-35693000,,2466000,-1201000.0,142938000,44502000,,,,,,,99449000,,7115000,-12376000.0,0,178603000,,929064000,-1154000,,,885575000,7115000,7115000,,,885575000,0.037203,-16377000,-65220000,377529000,4624574000,0.0,,,,,,,,
2015-06-30,,377529000,191248181.0,0.0,0.0,,,,-12591000,,,0.855836,,,46036000,,73398000,-6209000,,-53837000,0.0,-180082000,,,65920000,,,5842547000,163625000,5431000,95633000,,192748285.0,239478000,74517000,,2847000,-1245000.0,171181000,109788000,,,,,,,97783000,,164961000,-8278000.0,-651000,-6932000,,992685000,236061000,,,919287000,164961000,164961000,,,919287000,0.862549,-7391000,-61783000,473162000,4849862000,0.0,,,,,,,,
2015-09-30,4500000.0,473162000,191248181.0,0.0,,1904304000.0,698509000.0,698509000.0,-63335000,6305000.0,-56279000.0,0.027948,492529000.0,,-69431000,,102355000,-63930000,246305000.0,-31394000,500000.0,212205000,1708110000.0,1314594000.0,-2733000,,,5796066000,320401000,780000,225347000,185928000.0,192748285.0,3324000,-2063000,-336309000.0,2575000,-2355000.0,203824000,289007000,5563870000.0,6110255000.0,3386474000.0,2028555000.0,3835477000.0,373146000.0,101469000,9496729000.0,5387000,-1260000.0,0,12000000,1151474000.0,1013095000,-29104000,7592425000.0,54627000.0,910740000,5387000,5387000,4676576000.0,471350000.0,910740000,0.028168,-76808000,-31124000,698509000,4782971000,,467656000.0,1308889000.0,,,,,,
2015-12-31,1667000.0,698509000,,0.0,,1873177000.0,517802000.0,517802000.0,-19785000,14991000.0,-74378000.0,,477601000.0,,111817000,,143293000,-37673000,253953000.0,-44987000,0.0,-125499000,1768885000.0,1078865000.0,-10589000,-1516649000.0,3285534000.0,5935281000,-29951000,3196000,-180707000,76826000.0,,-22071000,-12126000,-346254000.0,7944000,-15191000.0,243839000,-74938000,5563359000.0,6178926000.0,3060433000.0,1802823000.0,3875719000.0,144361000.0,100546000,9239359000.0,-9945000,-225000.0,-2922000,-255119000,1112967000.0,1078395000,-91010000,7366182000.0,52923000.0,935102000,-9945000,-9945000,4682149000.0,455794000.0,935102000,,45529000,-113083000,517802000,4856886000,,312803000.0,1233978000.0,,,,,,
2016-03-31,1667000.0,517802000,213640934.0,-7658000.0,-38318000.0,1222095000.0,142108000.0,142108000.0,-303081000,20482000.0,-71745000.0,0.062305,462004000.0,,-84681000,70559000.0,95454000,-432222000,246596000.0,-36884000,2850000.0,17168000,1776780000.0,1337599000.0,-80000,-1571000.0,1778351000.0,5593149000,137465000,-3003000,-375694000,177432000.0,213640934.0,14118000,807000,-332943000.0,4786000,-3659000.0,198262000,100581000,5842149000.0,6189562000.0,2834047000.0,1959365000.0,3885887000.0,382604000.0,102808000,9023609000.0,13311000,-7658000.0,0,257938000,1168109000.0,959768000,-10777000,7801514000.0,64891000.0,864314000,13311000,13311000,4960837000.0,455597000.0,864314000,0.062305,-49987000,-80937000,142108000,4633381000,-666332000.0,375170000.0,1278110000.0,,,,,,
2016-06-30,2206000.0,142108000,190077211.0,0.0,-56620000.0,2347861000.0,115406000.0,115406000.0,-4282122000,14115000.0,-90621000.0,-0.07,450125000.0,,7345000,,111797000,-110913000,249901000.0,-29859000,1113799000.0,22522000,1754684000.0,1365131000.0,314000,-1617000.0,1756301000.0,5806758000,163948000,6205000,-26702000,176824000.0,190077211.0,-13957000,-565000,-346335000.0,4881000,-3758000.0,216936000,134089000,4634049000.0,6166559000.0,2829076000.0,2013725000.0,3898096000.0,380662000.0,105139000,8995635000.0,-13392000,0.0,-25629000,17546000,1182495000.0,1034037000,-55509000,6647774000.0,63654000.0,922240000,-13392000,-13392000,3798189000.0,455198000.0,922240000,-0.07,-12619000,-79737000,115406000,4772721000,0.0,398693000.0,1271192000.0,,,,,,
2016-09-30,2206000.0,115406000,220608821.0,-484624000.0,-7658000.0,2493379000.0,149976000.0,149976000.0,-107345000,9691000.0,-82585000.0,0.59,410036000.0,,-72453000,,129753000,417052000,251241000.0,-38350000,0.0,-39935000,1735495000.0,1422492000.0,-82526000,-1671000.0,1737166000.0,5840963000,138269000,1309000,34570000,176011000.0,225054051.0,54652000,-78359000,-213324000.0,4762000,-291000.0,235791000,99919000,4526862000.0,6136291000.0,2972000000.0,2088050000.0,3899514000.0,374920000.0,106038000,9108291000.0,133011000,-476966000.0,-312000,55334000,1218765000.0,1032537000,-26145000,6614912000.0,63324000.0,902784000,133011000,133011000,3756120000.0,395822000.0,902784000,0.6,-36270000,-520751000,149976000,4808426000,0.0,414317000.0,1346535000.0,,,,,,
2016-12-31,2000000.0,149976000,220711716.0,0.0,-27356000.0,2538000000.0,131000000.0,131000000.0,-825139000,10000000.0,-119000000.0,0.34,387000000.0,,171344000,,130000000,-54127000,219000000.0,-59302000,0.0,-77391000,1768000000.0,1295000000.0,1858000,-1724451000.0,3492062000.0,5678000000,115960000,1077000,-18886000,72470000.0,225522264.0,76000000,-1000000,-136000000.0,3926000,-2883000.0,130000000,56658000,4436000000.0,6155000000.0,2789000000.0,1970000000.0,3908000000.0,349000000.0,107386000,8944000000.0,77000000,0.0,0,-199774000,1223000000.0,1027000000,-15000000,6406000000.0,58000000.0,897000000,77000000,77000000,3706000000.0,381000000.0,897000000,0.35,-1703000,-80719000,131090000,4651000000,0.0,456000000.0,1226000000.0,,,,,,
2017-03-31,2220000.0,131090000,221364013.0,0.0,-62501000.0,2574382000.0,151817000.0,151817000.0,-548041000,10643000.0,-118706000.0,0.12,369122000.0,,-192731000,,78397000,31070000,254552000.0,-70125000,0.0,-34354000,1789437000.0,1473026000.0,12280000,-1786000.0,1791223000.0,5788425000,121559000,1282000,20727000,172318000.0,226323410.0,34638000,7822000,-109644000.0,3342000,-302000.0,186155000,51434000,4508007000.0,6183925000.0,2993671000.0,2095207000.0,3922360000.0,342074000.0,107758000,9177596000.0,26816000,,-9392000,236980000,1197984000.0,991308000,-1873000,6603214000.0,68470000.0,912911000,26816000,26816000,3772270000.0,393663000.0,912911000,0.12,35714000,-131902000,151817000,4797117000,0.0,367629000.0,1371503000.0,,,,,,
2017-06-30,2238000.0,151817000,222754030.0,22139000.0,-72307000.0,2633458000.0,149972000.0,149972000.0,-686890000,9926000.0,-116826000.0,0.29,363237000.0,,4166000,,126278000,-161677000,265684000.0,-37842000,0.0,58994000,1786657000.0,1526190000.0,5795000,-1837000.0,1788494000.0,6158654000,246887000,1076000,-1845000,161781000.0,226791449.0,84571000,19113000,-44186000.0,5211000,-195000.0,232312000,209045000,4361572000.0,6186573000.0,3021523000.0,2213066000.0,3957166000.0,333731000.0,106034000,9208096000.0,65458000,,-21727000,39513000,1236167000.0,1054049000,-704000,6574638000.0,48529000.0,927771000,65458000,65458000,3623397000.0,404444000.0,927771000,0.29,-31535000,-87055000,149972000,5104605000,0.0,421192000.0,1366470000.0,,,,,,
2017-09-30,2245000.0,149972000,223807520.0,0.0,-48015000.0,2745184000.0,147362000.0,147362000.0,-635940000,8193000.0,-113322000.0,0.42,373717000.0,0.0,-53664000,,190732000,-38196000,280079000.0,-55028000,0.0,-63722000,1794313000.0,1519309000.0,13506000,-1899000.0,1796212000.0,6204194000,137937000,1075000,-2610000,174027000.0,225862274.0,146819000,51268000,51365000.0,6507000,-41000.0,271625000,82909000,4366800000.0,6224063000.0,3134171000.0,2246250000.0,3967344000.0,350047000.0,80893000,9358234000.0,95551000,,-4324000,1994000,1304154000.0,1098562000,-702000,6613050000.0,57738000.0,907830000,95551000,95551000,3596647000.0,420106000.0,907830000,0.43,-60100000,-102351000,147362000,5105632000,0.0,446862000.0,1410694000.0,,,,,,
2017-12-31,2000000.0,147362000,221606591.0,0.0,613000.0,2751000000.0,119000000.0,119000000.0,-801425000,8000000.0,-96000000.0,1.15,364000000.0,0.0,175228000,,179000000,-236054000,263000000.0,-58286000,0.0,45907000,1801000000.0,1289000000.0,-154509000,-1925792000.0,3727007000.0,5996000000,242064000,2292000,-28513000,53525000.0,223678006.0,138000000,-118000000,124000000.0,5472000,-280056000.0,179000000,183778000,4283000000.0,6219000000.0,2819000000.0,2003000000.0,3967000000.0,372000000.0,83192000,9037000000.0,256000000,0.0,-702000,-261917000,1208000000.0,1074000000,4000000,6286000000.0,65000000.0,895000000,256000000,256000000,3648000000.0,263000000.0,895000000,1.16,96324000,-34523000,118849000,4923000000,0.0,451000000.0,1302000000.0,,,,,,
2018-03-31,2159000.0,119184000,215080238.0,,-757000.0,2845887000.0,85286000.0,85286000.0,-1041875000,18045000.0,-86112000.0,0.31,353751000.0,,-134803000,42844000.0,104046000,-167952000,295769000.0,-57179000,3819000.0,4929000,1827588000.0,1542624000.0,26922000,-1967000.0,1829555000.0,5822521000,191582000,1030000,-33544000,175032000.0,217212222.0,62780000,-4537000,190831000.0,7066000,-84000.0,185449000,134403000,4109662000.0,6242662000.0,2931112000.0,2218225000.0,3967322000.0,308139000.0,81403000,9173774000.0,67317000,,-769000,282388000,1207080000.0,991927000,1578000,6327887000.0,74292000.0,887881000,67317000,67317000,3509757000.0,291766000.0,887881000,0.31,750000,-57174000,85640000,4830594000,,379832000.0,1370804000.0,,,,,,
2018-06-30,2000000.0,85640000,215827074.0,,458000.0,3020000000.0,100000000.0,100000000.0,-1340509000,24000000.0,-57000000.0,0.58,344000000.0,,36612000,48000000.0,206000000,-45766000,248000000.0,-60217000,6181000.0,-121122000,1823000000.0,1454000000.0,11434000,-2021000.0,1824618000.0,6158000000,119072000,3680000,14909000,1000000.0,217770313.0,161000000,35000000,316000000.0,10258000,-49000.0,206000000,58855000,4015000000.0,6223000000.0,2913000000.0,2100000000.0,3967000000.0,212000000.0,84017000,9135000000.0,126000000,,-7260000,-107809000,1208000000.0,1114000000,3000000,6115000000.0,77000000.0,908000000,126000000,126000000,3498000000.0,305000000.0,908000000,0.58,-1170000,-58397000,100549000,5045000000,,397000000.0,1339000000.0,,,,,,
2018-09-30,2173000.0,100549000,216623903.0,,0.0,3146725000.0,88082000.0,88082000.0,-939277000,26267000.0,-55248000.0,0.52,334017000.0,0.0,-75953000,,178848000,-95961000,273964000.0,-50335000,,-84918000,1810231000.0,1520871000.0,11204000,-2072000.0,1812303000.0,6152784000,133366000,907000,-12127000,173566000.0,218107064.0,140537000,26251000,430650000.0,3133000,-78000.0,263877000,83031000,3918240000.0,6201070000.0,3072832000.0,2208937000.0,3966863000.0,196032000.0,85029000,9273902000.0,114286000,,-131000,89467000,1300585000.0,1108335000,3532000,6127177000.0,83302000.0,929487000,114286000,114286000,3410237000.0,311971000.0,929487000,0.53,-92335000,-49532000,88422000,5044449000,,414102000.0,1390462000.0,,,,,,
2018-12-31,2000000.0,88422000,216916869.0,,299000.0,3229000000.0,104000000.0,104000000.0,-1273339000,30000000.0,-84000000.0,0.46,324000000.0,0.0,103144000,,171000000,-81321000,263000000.0,-67269000,,-33889000,1842000000.0,1359000000.0,-4560000,-2117000000.0,3959000000.0,6041000000,164980000,1383000,16762000,69000000.0,218212582.0,132000000,32000000,531000000.0,7543000,211000.0,171000000,97711000,3881000000.0,6207000000.0,2979000000.0,2076000000.0,3967000000.0,232000000.0,89551000,9186000000.0,100000000,,-3840000,-185046000,1279000000.0,1092000000,3000000,5957000000.0,67000000.0,921000000,100000000,100000000,3351000000.0,298000000.0,921000000,0.46,20755000,-66897000,105000000,4949000000,,454000000.0,1347000000.0,,,,,,
2019-03-31,2000000.0,105000000,217000000.0,,0.0,3310000000.0,92000000.0,92000000.0,-1119000000,21000000.0,-89000000.0,0.32,314000000.0,,-131000000,,131000000,-106000000,261000000.0,-61000000,,-8000000,1849000000.0,1534000000.0,-3000000,-2177000000.0,4026000000.0,6031000000,154000000,1000000,-13000000,,219000000.0,91000000,20000000,602000000.0,6000000,,212000000,93000000,3867000000.0,6310000000.0,3081000000.0,2214000000.0,3967000000.0,299000000.0,81000000,9391000000.0,71000000,,-2000000,183000000,1272000000.0,1052000000,2000000,6081000000.0,173000000.0,921000000,71000000,71000000,3275000000.0,293000000.0,921000000,0.33,7000000,-61000000,92000000,4979000000,,419000000.0,1408000000.0,,,,,,
2019-06-30,2000000.0,92000000,218000000.0,,0.0,3435000000.0,96000000.0,96000000.0,-1199000000,13000000.0,-96000000.0,0.53,304000000.0,,13000000,,194000000,-194000000,243000000.0,-49000000,,23000000,1836000000.0,1535000000.0,-4000000,-2236000000.0,4072000000.0,6443000000,240000000,1000000,5000000,,219000000.0,154000000,38000000,718000000.0,9000000,,286000000,191000000,3688000000.0,6297000000.0,3042000000.0,2216000000.0,3967000000.0,301000000.0,92000000,9339000000.0,116000000,,-7000000,-19000000,1277000000.0,1142000000,2000000,5904000000.0,184000000.0,948000000,116000000,116000000,3101000000.0,286000000.0,948000000,0.53,-5000000,-41000000,97000000,5301000000,,438000000.0,1391000000.0,,,,,,
2019-09-30,2000000.0,97000000,218000000.0,,-1829000000.0,3557000000.0,90000000.0,90000000.0,-1336000000,11000000.0,-94000000.0,0.48,983000000.0,,-44000000,,188000000,1711000000,363000000.0,-47000000,,-54000000,2029000000.0,1645000000.0,14000000,-2288000000.0,4317000000.0,6531000000,165000000,1000000,1000000,27000000.0,220000000.0,144000000,39000000,824000000.0,7000000,,275000000,118000000,5423000000.0,7966000000.0,3560000000.0,2546000000.0,4728000000.0,341000000.0,87000000,11526000000.0,106000000,,-38000000,-4000000,1468000000.0,1156000000,-1000000,7969000000.0,226000000.0,968000000,105000000,106000000,4788000000.0,294000000.0,968000000,0.49,-24000000,-1875000000,98000000,5375000000,,511000000.0,1548000000.0,,,,,,
