date,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyOtherIncomeExpense,quarterlyGoodwill,quarterlyInventory,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyLongTermDebt,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyTotalNonCurrentAssets,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlySaleOfInvestment,quarterlyTotalAssets,quarterlyChangesInAccountReceivables,quarterlyNetIncomeCommonStockholders,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyOperatingIncome,quarterlyBasicEPS,quarterlyChangeInWorkingCapital,quarterlyTotalRevenue,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyGrossPPE,quarterlyEndCashPosition,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyChangeInInventory,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyInvestingCashFlow,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyDilutedEPS,quarterlyOtherNonCurrentLiabilities,quarterlyStockBasedCompensation,quarterlyInvestmentsAndAdvances,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment
1984-03-31,60300000,60300000,,,,,,,,,,,,,,,,,,,,,,,,41707500.0,,,,,,,,,,,60300000,,,,,38831121.0,1271700000,1.552878,,1271700000,,,,,,,1271700000,,,,,,,,,,,,,,,,,,,1.445783,,,,,
1984-06-30,71400000,71400000,,,,,,,,,,,,,,,,,,,,,,,,41027538.0,,,,,,,,,,,71400000,,,,,39802836.0,1362000000,1.793842,,1362000000,,,,,,,1362000000,,,,,,,,,,,,,,,,,,,1.740295,,,,,
1984-09-30,78600000,78600000,,,,,,,,,,,,,,,,,,,,,,,,40773750.0,,,,,,,,,,,78600000,,,,,38627763.0,1369000000,2.034806,,1369000000,,,,,,,1369000000,,,,,,,,,,,,,,,,,,,1.927711,,,,,
1984-12-31,23600000,23600000,266700000.0,,,,1444200000.0,2813600000.0,,,197500000.0,,,1541400000.0,,241400000.0,,,,,,,,,1353700000.0,,1353700000.0,3080300000.0,,,,108600000.0,,,5260900000.0,,2800000,,,,3747500000.0,,-3634200000,,,1351000000,,,,4759200000.0,,,-3634200000,,,,,,2180600000.0,,,755300000.0,,,1513400000.0,,,2194700000.0,1552800000.0,42100000.0,-1945600000.0,,411900000.0,,,,
1985-03-31,60200000,60200000,,,,,,,,,,,,,,,,,,,,,,,,40151250.0,,,,,,,,,,,60200000,,,,,40151250.0,1393300000,1.499331,,1393300000,,,,,,,1393300000,,,,,,,,,,,,,,,,,,,1.499331,,,,,
1985-06-30,173900000,173900000,,,,,,,,,,,,,,,,,,,,,,,,43301100.0,,,,,,,,,,,173900000,,,,,43301100.0,1688400000,4.016064,,1688400000,,,,,,,1688400000,,,,,,,,,,,,,,,,,,,4.016064,,,,,
1985-09-30,87300000,87300000,,,,,,,,,,,,,,,,,,,,,,,,44062905.0,,,,,,,,,,,87300000,,,,,44062905.0,1561100000,1.981258,,1561100000,,,,,,,1561100000,,,,,,,,,,,,,,,,,,,1.981258,,,,,
1985-12-31,24400000,24400000,501600000.0,,,,1659700000.0,3648700000.0,,,224600000.0,,,1830700000.0,,299700000.0,,,,,,,,,1357000000.0,,1357000000.0,4150300000.0,,,,143200000.0,,,6421100000.0,,15300000,,,,4240200000.0,,-4106200000,,,1488200000,,,,5868100000.0,,,-4106200000,,,,,,2270800000.0,,,1092100000.0,,,2180900000.0,,,2437300000.0,1802900000.0,57600000.0,-2219400000.0,,306900000.0,,,,
1986-03-31,4200000,4200000,,,,,,,,,,,,,,,,,,,,,,,,43837381.0,,,,,,,,,,,4200000,,,,,43837381.0,1455100000,0.053548,,1455100000,,,,,,,1455100000,,,,,,,,,,,,,,,,,,,0.053548,,,,,
1986-06-30,128200000,128200000,,,,,,,,,,,,,,,,,,,,,,,,46488058.0,,,,,,,,,,,128200000,,,,,46488058.0,1517700000,2.757697,,1517700000,,,,,,,1517700000,,,,,,,,,,,,,,,,,,,2.757697,,,,,
1986-09-30,111700000,111700000,,,,,,,,,,,,,,,,,,,,,,,,45347772.0,,,,,,,,,,,111700000,,,,,45347772.0,1546800000,2.463186,,1546800000,,,,,,,1546800000,,,,,,,,,,,,,,,,,,,2.463186,,,,,
