date,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyBeginningCashPosition,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyInterestExpense,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedAverageShares,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyNetPPE,quarterlyOtherCurrentLiabilities,quarterlyTaxProvision,quarterlyStockBasedCompensation,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyCurrentLiabilities,quarterlyGoodwill,quarterlyDilutedEPS,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyChangeInAccountPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyBasicAverageShares,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyLongTermDebt,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyAccountsReceivable,quarterlyNonCurrentDeferredRevenue,quarterlyCommonStockIssuance,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1986-10-31,,,,,0.0,,,339900000,,2500000.0,-205600000.0,,1100000.0,84000000.0,84000000.0,,,,,,,,,0.0,552200000,,,,460800000.0,-1333800000,255200000.0,123400000.0,,,,,,-1333800000,,120300000.0,328200000.0,0.0,320700000,,124500000,,,584700000,16100000,264000000.0,0.0,,,,244800000.0,8800000.0,,,-1031800000,16100000,16100000,,0.0,0.0,116500000.0,54600000.0,65700000.0,,,,,,,,,,
1987-01-31,,,,,0.0,,,0,0.0075,,,,,,,,,,,,,,600000000.0,0.0,440500000,,,,,440500000,,,,,,,,440500000,,,,0.0,0,,0,,0.0075,0,4500000,,,,,,,,,,440500000,4500000,4500000,600000000.0,0.0,0.0,,,,,,,,,,,,,
1987-04-30,,,,,0.0,,,0,0.0175,,,,,,,,,,,,,,571428571.0,0.0,556900000,,,,,556900000,,,,,,,,556900000,,,,0.0,0,,0,,0.0175,0,10000000,,,,,,,,,,556900000,10000000,10000000,571428571.0,0.0,0.0,,,,,,,,,,,,,
1987-07-31,,,,,0.0,,,0,0.02,,,,,,,,,,,,,,565000000.0,0.0,574800000,,,,,574800000,,,,,,,,574800000,,,,0.0,0,,0,,0.02,0,11300000,,,,,,,,,,574800000,11300000,11300000,565000000.0,0.0,0.0,,,,,,,,,,,,,
1987-10-31,,46700000.0,,,0.0,,,373100000,,13500000.0,-233700000.0,,51200000.0,64300000.0,64300000.0,,,,,,,,,0.0,741900000,,,,497600000.0,-1484300000,263900000.0,166800000.0,,,,,,-1484300000,,106900000.0,362400000.0,0.0,366000000,,218000000,,,698000000,20100000,332000000.0,3100000.0,,,,324900000.0,21400000.0,,,-1160200000,20100000,20100000,,0.0,0.0,136400000.0,55000000.0,48800000.0,,,,,,,,,,
1988-01-31,,,,,0.0,,,0,0.02,,,,,,,,,,,,,,610000000.0,0.0,554900000,,,,,554900000,,,,,,,,554900000,,,,0.0,0,,0,,0.02,0,12200000,,,,,,,,,,554900000,12200000,12200000,610000000.0,0.0,0.0,,,,,,,,,,,,,
1988-04-30,,,,,0.0,,,0,0.0125,,,,,,,,,,,,,,608000000.0,0.0,535700000,,,,,535700000,,,,,,,,535700000,,,,0.0,0,,0,,0.0125,0,7600000,,,,,,,,,,535700000,7600000,7600000,608000000.0,0.0,0.0,,,,,,,,,,,,,
1988-07-31,,,,,0.0,,,0,0.02,,,,,,,,,,,,,,580000000.0,0.0,546900000,,,,,546900000,,,,,,,,546900000,,,,0.0,0,,0,,0.02,0,11600000,,,,,,,,,,546900000,11600000,11600000,580000000.0,0.0,0.0,,,,,,,,,,,,,
1988-10-31,,45500000.0,,,0.0,,,418700000,,5500000.0,-249900000.0,,26300000.0,68900000.0,68900000.0,,,,,,,,,0.0,655300000,,,,513000000.0,-1538800000,263100000.0,193200000.0,,,,,,-1538800000,,68300000.0,408800000.0,0.0,376000000,,219500000,,,706500000,28800000,330500000.0,6400000.0,,,,287800000.0,21900000.0,,,-1160000000,28800000,28800000,,0.0,0.0,143000000.0,41500000.0,20400000.0,,,,,,,,,,
1989-01-31,,,,,0.0,,,0,0.0225,,,,,,,,,,,,,,608888889.0,0.0,551200000,,,,,551200000,,,,,,,,551200000,,,,0.0,0,,0,,0.0225,0,13700000,,,,,,,,,,551200000,13700000,13700000,608888889.0,0.0,0.0,,,,,,,,,,,,,
