date,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,quarterlyGoodwill,quarterlyInventory,quarterlyAccountsReceivable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherNonCurrentAssets,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyIncomeTaxPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyPurchaseOfInvestment,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2010-06-30,0.0,14604056000,0.0,,,,3764989000,3326465000,2340967000,2340967000,-29695000.0,9093747000,2055591000,1539150000.0,41218112000,21841370000,31696606000,,,33541093000.0,7258000.0,59390000.0,4288535000,19130214000,,710863000,-3383637000.0,30157456000,19130214000,6519193000,9521506000,15322177000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,0.0,17674395000,0.0,0.0,,,2967401000,5186849000,2171865000,2171865000,-30815000.0,9185820000,2296607000,1582164000.0,46747168000,26467223000,36328608000,,,,0.0,61630000.0,5524343000,20008256000,0.0,790506000,,34746444000,9611283000,8002322000,10418560000,18464901000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,0.0,20973492000,0.0,,,,2557583000,5223519000,2597704000,2597704000,-42216000.0,9187231000,3003197000,1750347000.0,50900646000,29879986000,40395192000,,,42937059000.0,0.0,84432000.0,4803799000,20599711000,,905322000,-4308896000.0,38628163000,9839100000,8001172000,10505454000,21878814000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,0.0,23776050000,0.0,0.0,,,3342045000,7143489000,4395322000,4395322000,0.0,9202356000,5443214000,1870058000.0,58269679000,36796083000,43057413000,206278000.0,1179198000.0,,,0.0,6383238000,21057762000,0.0,987303000,,41177297000,10676208000,12032730000,15212266000,24763353000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,0.0,21192466000,0.0,,,,4195911000,2920754000,4364539000,4364539000,0.0,9202356000,5102288000,1787892000.0,58211640000,36229851000,44173418000,,,48148988000.0,13024000.0,3678000.0,5731338000,21550521000,,1137487000,-5788455000.0,42360533000,11166575000,13831468000,14038222000,22398383000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,0.0,25106223000,1198000.0,0.0,,,3177220000,1473539000,7654031000,7654031000,0.0,9202356000,5639077000,1769281000.0,63482410000,41058011000,46899257000,,,46627944000.0,1198000.0,0.0,5184398000,21976602000,0.0,1241568000,,46627944000,11591898000,14603027000,16583153000,26454984000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,343237000.0,25690009000,0.0,,,146694000.0,3778760000,2093027000,6015451000,6015451000,0.0,9204981000,8616073000,79053000.0,64433878000,41153012000,46489544000,,,53768765000.0,0.0,55000000.0,3403535000,22783617000,,1372521000,-7555230000.0,46213535000,12400770000,14046925000,17944334000,27106087000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,313702000.0,23410389000,0.0,0.0,,,3139052000,2113444000,6522338000,6522338000,0.0,9208587000,11199499000,1729999000.0,65278125000,41390918000,47145982000,,,46875500000.0,,0.0,2708757000,23381852000,0.0,1489225000,,46875500000,13000202000,16456862000,18132143000,24934056000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,0.0,23124364000,0.0,,3460000.0,146694000.0,4523339000,2116397000,7901644000,7901644000,0.0,9208587000,12349656000,76551000.0,66983002000,42383526000,47379238000,,,56312144000.0,,36759000.0,3243183000,24072585000,,1628329000,-9233174000.0,47078970000,13689320000,17599376000,19603764000,24784150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,0.0,21231537000,0.0,0.0,0.0,,3500809000,1949931000,7018172000,7018172000,0.0,9208587000,11380918000,1710838000.0,64876397000,39991482000,47040696000,,,46699760000.0,,0.0,3637235000,24470136000,0.0,1775134000,,46699760000,14088680000,16946047000,17835701000,23045435000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
