date,quarterlyNetIncomeCommonStockholders,quarterlyDilutedEPS,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyBasicAverageShares,quarterlyOperatingIncome,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyNetPPE,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyDilutedAverageShares,quarterlyCurrentDebt,quarterlyOperatingExpense,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyBasicEPS,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyTotalNonCurrentAssets,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid
1998-09-30,3200000,0.031154,,,4500000,,0.0,0.0,,,22200000.0,25900000.0,0.0,33300000.0,28300000,102716053.0,4500000,,32300000.0,27700000.0,72700000.0,6000000.0,,100000.0,5500000.0,8200000.0,,,,5600000.0,20100000.0,3200000,3200000,12300000.0,66100000.0,,,,1800000.0,21200000.0,,18000000.0,500000.0,-11100000.0,31400000.0,5500000.0,,102716053.0,7400000.0,15600000.0,200000.0,4200000.0,1400000.0,,,3300000.0,,0.031154,,0.0,5000000.0,,99500000.0,12800000.0,,,26800000.0,,,,7500000.0,-3500000.0,0.0,300000.0,,,
1998-12-31,3700000,,,,3400000,,6300000.0,-11700000.0,,,25800000.0,23800000.0,1100000.0,33600000.0,30100000,,3400000,,43600000.0,28000000.0,74200000.0,6200000.0,,300000.0,5300000.0,2800000.0,,,,5600000.0,27300000.0,3700000,3700000,14400000.0,73000000.0,,,,400000.0,26400000.0,,19900000.0,500000.0,-17200000.0,30100000.0,6300000.0,,,9100000.0,23900000.0,300000.0,4600000.0,1500000.0,,,3700000.0,,,,11600000.0,4100000.0,,106700000.0,9700000.0,,,32500000.0,,,,9200000.0,-2400000.0,0.0,300000.0,,,
1999-03-31,3800000,0.031154,,,7600000,-14000000.0,10300000.0,-3000000.0,-200000.0,-700000.0,29600000.0,23900000.0,2100000.0,46800000.0,34000000,121975313.0,5700000,,54000000.0,31400000.0,80900000.0,7500000.0,800000.0,100000.0,15300000.0,7900000.0,,,,15400000.0,26100000.0,3800000,3800000,14800000.0,76400000.0,0.0,,,2100000.0,36800000.0,,18000000.0,400000.0,-17200000.0,34200000.0,10300000.0,,121975313.0,10600000.0,20400000.0,300000.0,4200000.0,1500000.0,0.0,2200000.0,3700000.0,500000.0,0.031154,-2900000.0,5000000.0,5900000.0,,123400000.0,12900000.0,13900000.0,4000000.0,42500000.0,,,1900000.0,7900000.0,-4000000.0,6300000.0,300000.0,,,
1999-06-30,4000000,0.031154,,,8200000,-12900000.0,15300000.0,-2300000.0,100000.0,500000.0,33600000.0,21700000.0,5100000.0,45300000.0,35200000,128395067.0,6200000,,52800000.0,26700000.0,82400000.0,6300000.0,300000.0,200000.0,18400000.0,8500000.0,,,,18600000.0,26700000.0,4000000,4000000,14500000.0,80000000.0,-100000.0,,,2300000.0,35600000.0,,17200000.0,100000.0,-17200000.0,37000000.0,15300000.0,,128395067.0,6500000.0,20500000.0,300000.0,3900000.0,3700000.0,0.0,500000.0,4000000.0,400000.0,0.031154,-1900000.0,7000000.0,6300000.0,,125600000.0,12200000.0,12600000.0,5000000.0,43200000.0,,,2000000.0,8000000.0,-5000000.0,10300000.0,600000.0,,,
1999-09-30,4480000,0.031154,,,9241000,-6517000.0,14342000.0,-8568000.0,-645000.0,889000.0,38100000.0,28163000.0,4705000.0,44859000.0,35641000,132133931.0,7208000,,51862000.0,28311000.0,93087000.0,7426000.0,-2953000.0,287000.0,16261000.0,6487000.0,,,,16548000.0,29154000.0,4480000,4480000,16126000.0,90192000.0,68000.0,,,3230000.0,34662000.0,,20688000.0,393000.0,-17200000.0,42505000.0,14342000.0,,133640005.0,6677000.0,21946000.0,306000.0,4087000.0,3496000.0,0.0,566000.0,3787000.0,959000.0,0.031154,-2173000.0,6878000.0,7710000.0,,135332000.0,13498000.0,-48000.0,-1001000.0,42245000.0,,,2033000.0,8136000.0,-3557000.0,15300000.0,350000.0,,,
1999-12-31,358000,,,,9359000,-7374000.0,12140000.0,-9860000.0,-787000.0,335000.0,38458000.0,32020000.0,2460000.0,55455000.0,39128000,,7461000,,59482000.0,39918000.0,97131000.0,8110000.0,-1845000.0,324000.0,15213000.0,9176000.0,,,,15537000.0,29952000.0,358000,358000,15802000.0,92393000.0,0.0,,,2682000.0,37974000.0,,22498000.0,-4617000.0,-21508000.0,44160000.0,12140000.0,,,18153000.0,22491000.0,357000.0,8722000.0,4290000.0,0.0,329000.0,4791000.0,806000.0,,-4838000.0,7298000.0,3040000.0,,148117000.0,11297000.0,2356000.0,-2202000.0,50986000.0,,,1898000.0,10468000.0,-4568000.0,14342000.0,351000.0,,,
2000-03-31,5223000,0.041538,,,9683000,-9872000.0,13872000.0,-10994000.0,-1355000.0,1512000.0,43681000.0,36093000.0,775000.0,46144000.0,42234000,135970375.0,7403000,,64861000.0,29712000.0,108456000.0,9927000.0,-564000.0,329000.0,16103000.0,9435000.0,,,,16432000.0,32799000.0,5223000,5223000,18804000.0,118046000.0,-205000.0,,,3136000.0,43353000.0,,22273000.0,671000.0,-21508000.0,49965000.0,13872000.0,,135970375.0,5916000.0,25396000.0,322000.0,8466000.0,4178000.0,0.0,5159000.0,4312000.0,17447000.0,0.041538,-6886000.0,7661000.0,8359000.0,,164453000.0,12329000.0,5844000.0,1732000.0,55997000.0,,,2280000.0,11467000.0,-5787000.0,12140000.0,353000.0,,,
2000-06-30,1427000,0.010385,,,13266000,-1967000.0,30618000.0,-1356000.0,-510000.0,884000.0,47246000.0,32653000.0,4242000.0,65833000.0,49806000,135811486.0,10590000,,70097000.0,43042000.0,131686000.0,12311000.0,-2439000.0,513000.0,22278000.0,12133000.0,,,,22791000.0,37673000.0,1427000,1427000,18732000.0,126887000.0,-86000.0,,,4216000.0,48589000.0,,25147000.0,-5298000.0,-21508000.0,63271000.0,30618000.0,,138815931.0,9458000.0,27083000.0,347000.0,8050000.0,4642000.0,0.0,8897000.0,5675000.0,980000.0,0.010385,-4732000.0,8974000.0,5643000.0,,192967000.0,20376000.0,5427000.0,16493000.0,61281000.0,,,2676000.0,13208000.0,-6109000.0,13872000.0,1347000.0,,,
2000-09-30,6497000,0.051923,,,12692000,-16957000.0,25364000.0,-15516000.0,-1447000.0,-23881000.0,53727000.0,37258000.0,-13174000.0,59225000.0,50505000,136198597.0,10581000,,75521000.0,37888000.0,139224000.0,16287000.0,-2799000.0,521000.0,20816000.0,12558000.0,,,,21337000.0,37947000.0,6497000,6497000,19836000.0,146415000.0,-605000.0,,,4485000.0,54013000.0,,26390000.0,11000.0,-21508000.0,62622000.0,25364000.0,,139015264.0,7900000.0,27366000.0,429000.0,7790000.0,4795000.0,-102000.0,12575000.0,5419000.0,1802000.0,0.051923,-10238000.0,-2936000.0,10982000.0,,205822000.0,16688000.0,12376000.0,-5254000.0,66598000.0,,,2111000.0,13300000.0,-7796000.0,30618000.0,1351000.0,,,
2000-12-31,6584000,,,,24865000,0.0,21534000.0,-17160000.0,-2066000.0,9518000.0,60311000.0,37273000.0,7584000.0,65683000.0,56707000,,21477000,,101679000.0,42576000.0,140516000.0,0.0,-785000.0,541000.0,10273000.0,12623000.0,15664000.0,32799000.0,,23107000.0,44084000.0,6584000,6584000,23739000.0,164385000.0,79000.0,,,4943000.0,70833000.0,549000.0,28899000.0,24000.0,-30846000.0,58807000.0,21534000.0,,,8324000.0,22607000.0,401000.0,7117000.0,11795000.0,102000.0,-11791000.0,5935000.0,528000.0,,-17589000.0,25173000.0,11527000.0,,230261000.0,1706000.0,0.0,-3830000.0,89745000.0,,,3388000.0,16658000.0,-430000.0,25364000.0,1443000.0,,,
