date,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalNonCurrentAssets,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGoodwill,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentLiabilities,quarterlyInterestExpense,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentAssets,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyAccountsReceivable,quarterlyBasicAverageShares,quarterlyCurrentAccruedExpenses,quarterlyBasicEPS,quarterlyBeginningCashPosition,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyDilutedEPS,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyCurrentDebt,quarterlyOperatingIncome,quarterlyAccountsPayable,quarterlyNetPPE,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyNonCurrentDeferredRevenue,quarterlyRepaymentOfDebt,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlySaleOfInvestment,quarterlyStockBasedCompensation,quarterlyRepurchaseOfCapitalStock,quarterlyLongTermDebt,quarterlyPurchaseOfInvestment,quarterlyCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyChangeInWorkingCapital,quarterlyDepreciationAndAmortization,quarterlyResearchAndDevelopment,quarterlyChangesInAccountReceivables
2015-09-30,,391224000,731406440.0,972723000,,,,,,,203752000,,4293000,,,944610000.0,439699000,20245000,,213147000,,213344000,156171000,,,135926000,-438012000,1276923000,,731406440.0,,0.278576,379101000,-438012000.0,,,,,,0.278576,,,,303773000,,,,,1412422000,,944610000.0,391224000,,301779000,,90323000,306072000,897822000,,,,,,,,,,,,,,,,,,,
2015-12-31,,-422484000,,1354735000,85059000.0,7144103000.0,2650943000.0,3438120000.0,4091219000.0,10582223000.0,671065000,0.0,3663000,377431000.0,15720000.0,,833238000,222859000,2736002000.0,703051000,20730000.0,702405000,186384000,85059000.0,298865000.0,187673000,-775012000,2452359000,58494000.0,,417777000.0,,1276923000,915259000.0,7834237000.0,2452359000.0,2452359000.0,0.0,-13749000.0,,821131000.0,1977245000.0,300000000.0,645565000,294199000.0,2573717000.0,2795336000.0,301932000.0,2187973000,-221619000.0,895191000.0,1053380000,603037000.0,875672000,1589420000.0,166214000,879335000,1175436000,,,,,,,,,,,,,,,,,,,
2016-03-31,,263580000,731406440.0,1357100000,,,,,,,300100000,,3644000,,,98000000.0,601448000,9551000,,338814000,,338775000,162631000,,,146991000,-645935000,2428536000,,731406440.0,,0.410305,2718762000,-645935000.0,,,,,,0.410305,,,,454457000,,,,,1958548000,,98000000.0,263580000,,469421000,,122018000,473065000,-290226000,,,,,,,,,,,,,,,,,,,
2016-06-30,,278480000,618384686.0,1458810000,109352000.0,8396556000.0,2630230000.0,3316958000.0,4157111000.0,11713514000.0,386771000,0.0,4742000,389197000.0,19037000.0,,827819000,-7617000,2739582000.0,425802000,49554000.0,427819000,218097000,109352000.0,243345000.0,225714000,-462792000,2269780000,117091000.0,618384686.0,439635000.0,0.625454,2428536000,-462792000.0,8963926000.0,2058231000.0,2058231000.0,0.0,12080000.0,0.625454,1018425000.0,422000.0,406943000.0,602105000,381793000.0,3678732000.0,4010219000.0,248497000.0,2286629000,-331487000.0,0.0,278480000,430041000.0,609117000,2276291000.0,171954000,613859000,-158756000,,,,,,,,,,,,,,,,,,,
2016-09-30,,831709000,618384686.0,1500596000,131255000.0,9300895000.0,2788103000.0,3156434000.0,4157111000.0,12457329000.0,506793000,0.0,3766000,476238000.0,28194000.0,-26754000.0,852476000,17375000,2919358000.0,547177000,49553000.0,547062000,128396000,131255000.0,238274000.0,111021000,-888202000,1977716000,117225000.0,618384686.0,,0.819543,2058231000,-888202000.0,9537868000.0,1977716000.0,1977716000.0,0.0,15781000.0,0.819543,1187005000.0,2097249000.0,300000000.0,741455000,450480000.0,4485828000.0,4485828000.0,228605000.0,2353072000,,-26754000.0,831709000,1473857000.0,747406000,2783083000.0,186468000,751172000,-80515000,,,,,,,,,,,,,,,,,,,
2016-12-31,,1107921000,691734407.0,2029393000,130520000.0,10217700000.0,3522471000.0,13186038000.0,4157111000.0,23403738000.0,726623000,0.0,834000,537175000.0,33959000.0,-49457000.0,1161126000,4955000,3652991000.0,739811000,45953000.0,740200000,196870000,130520000.0,229724000.0,185142000,-1088111000,11287789000,197803000.0,691687671.0,483888000.0,1.04,1977716000,1698714000.0,19745033000.0,11287789000.0,11287789000.0,0.0,294649000.0,1.04,1302869000.0,471000.0,450000000.0,975984000,636422000.0,5368431000.0,5368431000.0,418310000.0,3190519000,-550257000.0,9343847000.0,1107921000,1656590000.0,994368000,3509707000.0,251547000,995202000,9310073000,,,,,,,,,,,,,,,,,,,
2017-03-31,4818240000.0,331508000,721326067.0,1883945000,161333000.0,10931772000.0,3515434000.0,12909850000.0,4157111000.0,23841622000.0,503551000,31548000.0,5708000,525370000.0,31941000.0,250000000.0,730649000,-2972000,3676767000.0,502870000,50953000.0,503551000,161974000,129785000.0,169990000.0,73935000,-5305894000,7074589000,167888000.0,720564604.0,,0.7,11923155000,-5305894000.0,20159822000.0,11146812000.0,6328572000.0,0.0,205636000.0,0.7,1452923000.0,471000.0,700000000.0,656714000,675359000.0,6051998000.0,6051998000.0,253750000.0,2614594000,,250000000.0,331508000,1620808000.0,676658000,4013258000.0,166609000,682366000,-4848566000,,,,,,,,,,,,,,,,,,,
2017-06-30,5186165000.0,903248000,719908261.0,1847525000,204431000.0,11542028000.0,3098727000.0,12255601000.0,4157111000.0,23797629000.0,716835000,75381000.0,5029000,526987000.0,28677000.0,-706390000.0,1123909000,-2872000,3303158000.0,716923000,42953000.0,716835000,202664000,129050000.0,187842000.0,202646000,-1137348000,6064090000,184466000.0,719716569.0,,1.0,7074589000,-1137348000.0,20489350000.0,10900251000.0,5714086000.0,0.0,61227000.0,1.0,1468888000.0,471000.0,250000000.0,921263000,491921000.0,6624681000.0,6624681000.0,329352000.0,2971434000,,-706390000.0,903248000,1687661000.0,952935000,4730093000.0,233323000,957964000,-1010499000,,,,,,,,,,,,,,,,,,,
2017-09-30,5522239000.0,1024381000,716478593.0,2005323000,202295000.0,12373629000.0,3645468000.0,12099099000.0,4157111000.0,24472728000.0,716970000,73980000.0,2479000,556556000.0,28549000.0,-403295000.0,1137768000,-27542000,3847763000.0,717230000,123550000.0,716970000,193422000,128315000.0,247824000.0,193024000,-1128970000,5438289000,198908000.0,716138386.0,,1.0,6064090000,-1128970000.0,20620073000.0,10702583000.0,5180344000.0,0.0,-118759000.0,1.0,1512024000.0,471000.0,250000000.0,944744000,572145000.0,7351215000.0,7351215000.0,290269000.0,3143091000,,-403295000.0,1024381000,2191011000.0,959900000,5447063000.0,237670000,962379000,-625801000,,,,,,,,,,,,,,,,,,,
2017-12-31,5224559000.0,1371547000,712788475.0,2977696000,240307000.0,13449792000.0,4146014000.0,12377846000.0,4241541000.0,25827638000.0,1222305000,60045000.0,2452000,610160000.0,34231000.0,855785000.0,1353257000,-44763000,4386321000.0,1221874000,308986000.0,1222305000,222459000,157320000.0,258965000.0,127546000,-722335000,5773734000,351865000.0,712237048.0,,1.72,5438289000,7594290000.0,21435313000.0,10649583000.0,5425024000.0,109307000.0,-295896000.0,1.71,60424000.0,471000.0,250000000.0,1225711000,889139000.0,8075918000.0,8075918000.0,221926000.0,4330953000,-1060688000.0,-201873000.0,1371547000,2281067000.0,1231446000,6669369000.0,8759000,1233898000,335445000,,,,,,,,,,,,,,,,,,,
