date,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyNetIncomeCommonStockholders,quarterlyCashDividendsPaid,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyCurrentDebt,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentDeferredRevenue,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingCashFlow,quarterlyTaxProvision,quarterlyCommonStockIssuance,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyDilutedEPS,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyDepreciationAndAmortization,quarterlySaleOfInvestment,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyChangeInInventory,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyStockBasedCompensation,quarterlyCurrentLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyEbitda,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentAssets,quarterlyCostOfRevenue,quarterlyOtherCurrentAssets,quarterlyOtherCurrentLiabilities,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentAssets,quarterlyOtherIncomeExpense,quarterlyResearchAndDevelopment
1994-01-31,-2248285479.0,1437658675,-2141940874,,,160646568780,,287425150,-133432382,,,-87282836.0,,,,,2949557924,,,,8129342810,106344605.0,,3462219183,287425150,287425150,,,1444710480.0,0.19895,,,,,-244793243.0,26390517416,,1920222404,,,,60195060,281913530,,,2047635280,,0.19895,1444710480.0,168775911590,281913530,,68221068,,1377463616,2260324491,12711190103,,,,,,,,,,,,,,,,,,,,
1994-04-30,1059290594.0,0,-978064656,446011338.0,1795105766.0,160078943730,,273054058,-132570660,,,-53737487.0,,,,,3085994746,,,,8278031246,-2037355250.0,,3509055717,273054058,273054058,665007604.0,,1464096826.0,0.1865,,,1342043412.0,,-1582249478.0,25796903083,,517770130,,433015347.0,,-262185935,198108591,159961289.0,,2041061800,,0.1865,1464096826.0,168356974976,198108591,,-20246507,,1437658675,2282040647,12805060141,,,,,,,,,,,,,,,,,,,,
1994-07-31,140048684.0,0,-4601985596,447032723.0,1816001109.0,163657099279,,293954520,-133054085,,,19001465.0,,,,,3245978924,,,,8440931780,-4742034280.0,,3513033833,293954520,293954520,641985580.0,,1466765730.0,0.20041,,,1537992235.0,,2285029409.0,25665973378,,4052994709,,438990571.0,,-123993595,424997291,145036051.0,,2022046589,,0.20041,1466765730.0,172098031059,424997291,,112036532,,0,2284941764,15545063783,,,,,,,,,,,,,,,,,,,,
1994-10-31,-2012057451.0,0,-1438025106,441611322.0,1876029037.0,164489922900,,133513875,-132932593,,,632501747.0,,,,,3413093467,,,,8589070743,827109580.0,,3477072907,301510629,301510629,679119142.0,,,,,,1655087268.0,,1848925255.0,27695117003,,700004235,,471564800.0,,139997726,878018597,170054171.0,,1975111592,,,,173078993643,624941362,,175035573,,0,2266062492,16449073448,,,,,,,,,,,,,,,,,,,,
1995-01-31,-1011118930.0,0,-336101337,488951442.0,1764109781.0,166540042224,,276002815,-133990148,,,116959887.0,,,,,3599014778,,,,8805066854,675017593.0,,3736101337,319071077,319071077,628008445.0,,1220495335.0,0.22614,,,1822097115.0,,-1609148487.0,28697114708,,-331034483,,489092189.0,,31104856,698099930,170021112.0,,1949049965,,0.22614,1220495335.0,175345109078,698099930,,262068966,,1187051372,2295988740,17113019001,,,,,,,,,,,,,,,,,,,,
1995-04-30,-1608948867.0,0,228033540,508881356.0,1754983051.0,166546847458,,259525424,-134077649,,,477074011.0,,,,,3765966102,,,,8944135593,1836982407.0,,3680000000,304000000,304000000,608949153.0,,1230503172.0,0.21091,,,2033084745.0,,-1887800665.0,30304000000,,-1204965517,,504000000.0,,-113138754,863933968,200000000.0,,1917016949,,0.21091,1230503172.0,175490983051,863933968,,82880187,,0,2268067797,15891932203,,,,,,,,,,,,,,,,,,,,
1995-07-31,97995910.0,0,-2137934663,514008474.0,1843241766.0,167905972393,,319119858,-131959537,,,-375091709.0,,,,,3953122865,,,,8863058631,-2235930573.0,,3687986880,319119858,319119858,652043187.0,,1453319328.0,0.21958,,,2090064234.0,,2233999856.0,30218122181,,1611987427,,514145142.0,,76977181,603061086,195025284.0,,1902009020,,0.21958,1453319328.0,176769031024,603061086,,659150888,,0,2000000000,16019133525,,,,,,,,,,,,,,,,,,,,
1995-10-31,-630919680.0,0,-5702063395,510097328.0,1895093941.0,174619863472,,151910571,-134974674,,,-1467235590.0,,,,,4132110829,,,,9032124214,-4816023918.0,,3534065052,320027289,320027289,674085138.0,,,,,,2103929975.0,,871970846.0,32705126489,,6467045634,,509957842.0,,-70033632,-835018689,189930553.0,,1870030786,,,,183651987686,-1090138486,,-644041147,,0,1990095034,17710212823,,,,,,,,,,,,,,,,,,,,
1996-01-31,-514018692.0,643210555,-3856514568,595107201.0,1891148982.0,195108576141,,320230896,-134689390,,,71467839.0,,,-63221550.0,45354590.0,4278449698,,,,9193238043,-3255909840.0,,3540406817,355964816,355964816,673446949.0,,1242740000.0,0.25456,,-86586036.0,2212754261.0,,463166575.0,35258383727,,5261132490,,585486531.0,,-464540957,-1867784497,229521715.0,,1878779549,,0.25456,1242740000.0,204301814184,-1954370533,,76965366,,1106377130,2005222650,20595107202,,,,,,,,,,,,,,,,,,,,
1996-04-30,-2971345501.0,1298842750,-8018230156,563648741.0,1896528250.0,200457454050,,304969367,-144412040,,,155897716.0,,,-270338695.0,59478630.0,4476514636,,,,9385976855,-5555526511.0,,3636487406,340367597,340367597,679373724.0,,1233152000.0,0.24506,,-65898647.0,2035398230.0,,593334447.0,38253233492,,8074469961,,550034037.0,,656508282,600255566,209666440.0,,1866575902,,0.24506,1233152000.0,209843430905,534356919,,79603729,,643210555,1998638530,23667801225,,,,,,,,,,,,,,,,,,,,
