date,quarterlyCurrentLiabilities,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyCurrentDebt,quarterlyOtherCurrentLiabilities,quarterlyBasicEPS,quarterlyOtherIntangibleAssets,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNetPPE,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyInventory,quarterlyLongTermDebt,quarterlyStockholdersEquity,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCapitalExpenditure,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,quarterlyCashDividendsPaid,quarterlyInvestmentsAndAdvances,quarterlyTotalRevenue,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,quarterlyEbitda,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyIncomeTaxPayable,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyRepaymentOfDebt,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares
2010-12-31,218249000,,1493935000,0,,11425000,,1505360000,218249000,22783000,,143033000,,0.0,,,100000000,1066526000,1066526000,11425000,-11358000.0,0,2846000,0,,269042000,148520000,,1287111000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,269981000,,1729159000,0,,11024000,0.0,1740183000,269981000,11024000,,199089000,,0.0,0.0,,103773000,1051830000,1051830000,11024000,,0,12072000,0,,431459000,226942000,,1470202000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,404884000,,1994994000,0,,11044000,,2006038000,404884000,25611000,,249570000,,0.0,,,103773000,1152291000,1152291000,10809000,-14802000.0,235000,16017000,0,,503715000,305666000,,1601154000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,239373000,701202000.0,1915266000,0,,10004000,0.0,1925270000,239373000,10004000,-349354000.0,170036000,,45392000.0,0.0,,103773000,957286000,957286000,10004000,,0,596680000,0,,452270000,361300000,,1685897000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,382926000,800785000.0,2183266000,0,10057000.0,10494000,,2193760000,382926000,25709000,,224879000,,131301000.0,,,0,1368483000,1358426000,10494000,-15215000.0,0,16173000,0,,413810000,243801000,,1810834000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,388517000,891564000.0,2307080000,0,8887000.0,9189000,0.0,2316269000,388517000,9189000,,255021000,,100589000.0,0.0,,0,1253188000,1244301000,9189000,,0,16462000,0,,619133000,261925000,,1927752000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,745686000,1027325000.0,2824424000,0,0.0,8384000,,2832808000,745686000,26793000,,445541000,,211638000.0,,,0,1698407000,1698407000,8384000,-18409000.0,0,16613000,0,,547963000,465114000,,2087122000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,752002000,1225543000.0,3061862000,0,99999000.0,6907000,0.0,3068769000,752002000,6907000,,431341000,,291437000.0,0.0,,0,1539991000,1439992000,6907000,,0,99999000,0,,752034000,601061000,,2316767000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,786133000,1419131000.0,3322664000,0,,11649000,,3334313000,786133000,32203000,,423754000,,284864000.0,,,0,1918729000,1918729000,11649000,-20554000.0,0,16112000,0,,662043000,475461000,,2548180000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,734246000,1728170000.0,3583716000,0,50000000.0,29522000,0.0,3613238000,734246000,10694000,,581084000,,110652000.0,0.0,,0,1686811000,1636811000,10694000,,15900000,12819000,0,,912756000,734875000,,2878992000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
