date,quarterlyNetOtherInvestingChanges,quarterlyBasicAverageShares,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlySaleOfInvestment,quarterlyCapitalStock,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyStockholdersEquity,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyAccountsPayable,quarterlyOtherCurrentAssets,quarterlyTaxProvision,quarterlyNetPPE,quarterlyEbitda,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyDilutedEPS,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyChangeInWorkingCapital,quarterlyAccountsReceivable,quarterlyDilutedAverageShares,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyDepreciationAndAmortization,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestingCashFlow,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInventory,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyOperatingExpense,quarterlyNetOtherFinancingCharges,quarterlyCashDividendsPaid,quarterlyBasicEPS,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangesInAccountReceivables,quarterlyGoodwill,quarterlyStockBasedCompensation,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyChangeInInventory,quarterlyDeferredIncomeTax,quarterlyPurchaseOfBusiness,quarterlyCurrentDeferredRevenue
1984-03-31,,6264000000.0,,,,,,,,,,,,,,,23243000000,,,,,0.22,,,,,,,,23243000000,,23243000000,,,,,,6264000000.0,,,,,,,,,,,1475000000,,,,,,,,,,,,,,,0.22,,,,,,,,,,,,,
1984-06-30,,6264000000.0,,,,,,,,,,,,,,,22776000000,,,,,0.205,,,,,,,,22776000000,,22776000000,,,,,,6264000000.0,,,,,,,,,,,1350000000,,,,,,,,,,,,,,,0.205,,,,,,,,,,,,,
1984-09-30,,6264000000.0,,,,,,,,,,,,,,,21964000000,,,,,0.2,,,,,,,,21964000000,,21964000000,,,,,,6264000000.0,,,,,,,,,,,1275000000,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,
1984-12-31,,,326000000.0,,,,,3290000000.0,28851000000.0,3290000000.0,,,,1881000000.0,,42776000000.0,-58191000000,-22091000000.0,,17239000000.0,32302000000.0,,64867000000.0,,,,,,,-58191000000,13988000000.0,22871000000,,15265000000.0,,,,,5109000000.0,,,5105000000.0,,,46039000000.0,63278000000.0,,,1428000000,,19162000000.0,,,,4702000000.0,,1277000000.0,,8948000000.0,,,,,,,2937000000.0,34427000000.0,,,,,,,,,,
1985-03-31,,6264000000.0,,,,,,,,,,,,,,,21646200000,,,,,0.215,,,,,,,,21646200000,,21646200000,,,,,,6264000000.0,,,,,,,,,,,1325000000,,,,,,,,,,,,,,,0.215,,,,,,,,,,,,,
1985-06-30,,6150152000.0,,,,,,,,,,,,,,,21458200000,,,,,0.125,,,,,,,,21458200000,,21458200000,,,,,,6150152000.0,,,,,,,,,,,745000000,,,,,,,,,,,,,,,0.125,,,,,,,,,,,,,
1985-09-30,,6019224000.0,,,,,,,,,,,,,,,20862300000,,,,,0.17,,,,,,,,20862300000,,20862300000,,,,,,6019224000.0,,,,,,,,,,,995000000,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,
1985-12-31,,,,,,,,2474000000.0,29096000000.0,2474000000.0,,,,2558000000.0,,48262000000.0,-53843700000,-25501000000.0,,17355000000.0,34565000000.0,,73763000000.0,,,,,,,-53843700000,16000000000.0,22706300000,,19089000000.0,,,,,5113000000.0,,,4820000000.0,,,51805000000.0,69160000000.0,,,1805000000,,20975000000.0,,,,4796000000.0,,3089000000.0,,11042000000.0,,,,,,,3543000000.0,40064000000.0,,,,,,,,,,
1986-03-31,,5848000000.0,,,,,,,,,,,,,,,20366000000,,,,,0.295,,,,,,,,20366000000,,20366000000,,,,,,5848000000.0,,,,,,,,,,,1710000000,,,,,,,,,,,,,,,0.295,,,,,,,,,,,,,
1986-06-30,,5791432000.0,,,,,,,,,,,,,,,16427000000,,,,,0.195,,,,,,,,16427000000,,16427000000,,,,,,5791432000.0,,,,,,,,,,,1115000000,,,,,,,,,,,,,,,0.195,,,,,,,,,,,,,
