date,quarterlyTaxProvision,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyInventory,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyPretaxIncome,quarterlyNetOtherFinancingCharges,quarterlyBasicEPS,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyFreeCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyTotalNonCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyDilutedAverageShares,quarterlyNetIncomeCommonStockholders,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyDilutedEPS,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherShortTermInvestments,quarterlyTotalRevenue,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyChangeInWorkingCapital,quarterlyIncomeTaxPayable,quarterlyCurrentAssets,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyChangeInAccountPayable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyGrossProfit,quarterlyNetIncome,quarterlyInvestmentsAndAdvances,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1984-03-31,,,,,,,,,,,,,,,0.13,,,112952000.0,,,,,,,,,,,,,,,,,112952000.0,,243600000,,0.13,,,,,,,,,,,243600000,,,243600000,,,,,,,,,,,,,,,,,,14100000,,,,,,
1984-06-30,,,,,,,,,,,,,,,0.16,,,115360000.0,,,,,,,,,,,,,,,,,115360000.0,,282400000,,0.16,,,,,,,,,,,282400000,,,282400000,,,,,,,,,,,,,,,,,,18200000,,,,,,
1984-09-30,,,,,,,,,,,,,,,0.16,,,115368000.0,,,,,,,,,,,,,,,,,115368000.0,,270200000,,0.16,,,,,,,,,,,270200000,,,270200000,,,,,,,,,,,,,,,,,,18200000,,,,,,
1984-12-31,,,239500000.0,217000000.0,-109600000.0,62300000.0,23200000.0,62300000.0,12200000.0,,,,,,,15400000.0,,,,,,,654000000.0,132900000.0,,,,,254900000.0,,,,,,,,-662400000,,,,,,,,,407700000.0,,190100000.0,,263200000,145100000.0,349100000.0,-662400000,,,399100000.0,7700000.0,,21900000.0,-100000.0,,,,,45000000.0,,,,463900000.0,,18500000,,,,,,
1985-03-31,,,,,,,,,,,,,,,0.13,,,115408000.0,,,,,,,,,,,,,,,,,115408000.0,,261900000,,0.13,,,,,,,,,,,261900000,,,261900000,,,,,,,,,,,,,,,,,,14800000,,,,,,
1985-06-30,,,,,,,,,,,,,,,0.17,,,115656000.0,,,,,,,,,,,,,,,,,115656000.0,,294500000,,0.17,,,,,,,,,,,294500000,,,294500000,,,,,,,,,,,,,,,,,,18900000,,,,,,
1985-09-30,,,,,,,,,,,,,,,0.16,,,115628000.0,,,,,,,,,,,,,,,,,115628000.0,,286600000,,0.16,,,,,,,,,,,286600000,,,286600000,,,,,,,,,,,,,,,,,,18700000,,,,,,
1985-12-31,,,218200000.0,233600000.0,-92800000.0,100700000.0,35300000.0,100700000.0,12700000.0,,,,,,,40100000.0,,,,,,,717800000.0,122200000.0,,,,,258300000.0,,,,,,,,-712100000,,,,,,,,,459300000.0,,199600000.0,,248500000,134900000.0,311000000.0,-712100000,,,459500000.0,6900000.0,,29400000.0,0.0,,,,,64700000.0,,,,518200000.0,,15500000,,,,,,
1986-03-31,,,,,,,,,,,,,,,0.14,,,115676000.0,,,,,,,,,,,,,,,,,115676000.0,,260600000,,0.14,,,,,,,,,,,260600000,,,260600000,,,,,,,,,,,,,,,,,,16200000,,,,,,
1986-06-30,,,,,,,,,,,,,,,0.17,,,115860000.0,,,,,,,,,,,,,,,,,115860000.0,,298500000,,0.17,,,,,,,,,,,298500000,,,298500000,,,,,,,,,,,,,,,,,,18800000,,,,,,
1986-09-30,,,,,,,,,,,,,,,0.16,,,115840000.0,,,,,,,,,,,,,,,,,115840000.0,,305100000,,0.16,,,,,,,,,,,305100000,,,305100000,,,,,,,,,,,,,,,,,,18500000,,,,,,
