date,quarterlyNetPPE,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyAccumulatedDepreciation,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyOtherShortTermInvestments,quarterlyAccountsPayable,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyOtherNonCurrentLiabilities,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyGoodwill,quarterlyInventory,quarterlyStockholdersEquity,quarterlyLongTermDebt,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyChangeInAccountPayable,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCapitalExpenditure,quarterlyChangeInCashSupplementalAsReported,quarterlyDilutedEPS,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2008-12-31,8266058000,5220132000,4894435000,4894435000,12029000.0,28489000,-2924352000.0,11197867000,28266528000,11977000.0,,359391000,,2071654000,12321097000,114486000,,17068661000,10778767000,11190410000.0,112046000.0,1853560000,131946000,1542330000,,644631000,5248678000,11259413000,1155922000,,139976000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,9155508000,8723252000,5861753000,5861753000,-35408000.0,28674000,,13107552000,33378558000,0.0,,385753000,,2305433000,15358269000,110690000,,20271006000,13712636000,,77708000.0,4237502000,0,1645633000,,1022569000,7612716000,15162386000,1182539000,,222891000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,9572103000,11712861000,5515280000,5515280000,-118307000.0,36134000,-3551226000.0,13838351000,36091614000,36165000.0,,385858000,,1270984000,17696077000,111092000,4890428000.0,22253263000,16136308000,13123329000.0,260398000.0,1921473000,0,1559769000,,1020635000,7031225000,15830046000,1116411000,,196742000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,10411721000,13168890000,4940391000,4963316000,-194093000.0,35861000,,14956122000,42165666000,22672000.0,,386028000,22925000.0,6837590000,21918786000,249934000,,27209544000,20112560000,,477323000.0,4150973000,0,1806226000,,1020635000,11760388000,17119241000,1044200000,,310650000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,13349306000,19767214000,7404309000,7404309000,-275874000.0,37349000,-4389058000.0,18871732000,56719663000,0.0,,403837000,,3426523000,35543972000,423115000,6023977000.0,37847931000,28628373000,17738364000.0,669967000.0,2398510000,203523000,6915599000,,1020635000,15966257000,19086423000,6075795000,,213166000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,16536314000,30657089000,8342103000,8342103000,-328845000.0,37431000,,22971779000,72444708000,0.0,,403837000,,3350354000,48922367000,536673000,7175020000.0,49472929000,41252411000,,688559000.0,4416082000,205482000,7669956000,,1071869000,23285165000,20916415000,6627259000,,300542000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,19877668000,24071217000,9175653000,9175653000,244729000.0,84161000,-5570154000.0,26289505000,70036207000,6391372000.0,,403837000,514878000.0,3585895000,44926182000,666406000,7712596000.0,43746702000,34933301000,25447822000.0,14052000.0,5760131000,0,9992881000,,1074240000,19038228000,21963753000,8843829000,,274937000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,21246620000,27173812000,9152849000,9152849000,492705000.0,50360000,,27960817000,74988690000,164860000.0,7407185000.0,403837000,0.0,9625023000,49565648000,689113000,7964687000.0,47027873000,38877546000,,9866000.0,4601765000,0,10688102000,2198482000.0,1076038000,22792379000,22224673000,9602842000,64793000.0,188927000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,25851277000,26433886000,9387222000,10503305000,160696000.0,53785000,-6646840000.0,30446514000,74604434000,6262168000.0,,524988000,1116083000.0,3434745000,44120425000,723666000,,44157920000,37228779000,32498117000.0,1116083000.0,4163086000,0,6891646000,,1076038000,19517095000,27054979000,5755039000,,205248000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,26814533000,30711237000,13864688000,14366853000,163581000.0,53637000,,31958231000,81881061000,6108605000.0,,524988000,502165000.0,6752853000,50125184000,738883000,8945894000.0,49922830000,45734702000,26814533000.0,502165000.0,3950130000,0,4390482000,,1079502000,21932387000,27969796000,3153374000,,288948000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
