date,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyAccumulatedDepreciation,quarterlyDilutedEPS,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyOtherShortTermInvestments,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyBasicEPS,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2014-12-31,96254000000,93000000,0.0,1618000000,10354000000,10354000000,-853000000.0,,82796000000,86633000000,996000000.0,,143000000,89879000000.0,5991000000.0,96583000000,1549000000,183216000000,350000000,1349000000,0.0,250000000,0.0,999000000,73259000000,84145000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,258371000000,3860000000,0.0,13272000000,46102000000,46102000000,,0.0,53280000000,221861000000,,,18644000000,65615000000.0,13272000000.0,160983000000,9725000000,382844000000,53074000000,61560000000,0.0,21379000000,0.0,8365000000,166034000000,114840000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,263096000000,3860000000,0.0,5056000000,45861000000,45861000000,-3017000000.0,,36627000000,211497000000,6919000000.0,,3902000000,,14785000000.0,160308000000,12335000000,371805000000,55217000000,65491000000,0.0,5772000000,0.0,10096000000,153301000000,102118000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,265627000000,3846000000,0.0,13023000000,50332000000,50332000000,,0.0,37346000000,208471000000,,,20687000000,,13023000000.0,163885000000,10233000000,372356000000,52767000000,62966000000,0.0,4450000000,0.0,10013000000,147906000000,100312000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,270199000000,3824000000,0.0,5865000000,62601000000,62601000000,-3229000000.0,,43757000000,212804000000,22270000000.0,,19041000000,88380000000.0,17396000000.0,184032000000,9147000000,396836000000,65798000000,76805000000,0.0,4378000000,0.0,10824000000,137548000000,120562000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,287293000000,3708000000,132118000000.0,16240000000,82744000000,82744000000,,0.0,85720000000,221187000000,,,32777000000,,0.0,210720000000,6325000000,431907000000,41190000000,52823000000,0.0,43977000000,0.0,11440000000,132118000000,138543000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,303222000000,3698000000,1493000000.0,4924000000,56410000000,54917000000,-4136000000.0,,73406000000,196978000000,25217000000.0,1493000000.0,21081000000,,4020000000.0,256361000000,4979000000,453339000000,57650000000,70753000000,,14342000000,,11655000000,135589000000,144159000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,323925000000,3698000000,,13546000000,55222000000,55222000000,,0.0,58270000000,208373000000,,,37074000000,,,250266000000,5476000000,458639000000,59347000000,70581000000,,1889000000,,10951000000,137445000000,128851000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-31,335190000000,3694000000,,5049000000,56725000000,56725000000,-4977000000.0,,54447000000,220925000000,27976000000.0,,22999000000,,,255020000000,599000000,475945000000,67663000000,80470000000,,1829000000,,12474000000,143373000000,134917000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-06-30,344382000000,3694000000,,16837000000,59402000000,59402000000,,0.0,56490000000,217529000000,,,39872000000,,,259043000000,5192000000,476572000000,57443000000,69889000000,,3720000000,,11969000000,142806000000,126379000000,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
