date,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyLongTermDebt,quarterlyGoodwill,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyAccumulatedDepreciation,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNetPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyGrossPPE,quarterlyCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInvestmentsAndAdvances,quarterlyStockholdersEquity,quarterlyAccountsReceivable,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredRevenue,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyOtherShortTermInvestments,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyInventory,quarterlyTotalRevenue,quarterlyEbitda,quarterlyIncomeTaxPayable,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2010-11-30,3930000000.0,0.0,597000000,126000000.0,87943000000.0,1773000000.0,,105241000000.0,107865000000,-533000000.0,2595000000,2595000000,318000000,287000000.0,2624000000.0,13924000000,0.0,851000000.0,12044000000.0,88230000000,,126000000,1754000000,85105000000,19555000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-31,3435000000.0,0.0,556000000,,94244000000.0,2290000000.0,,112261000000.0,115782000000,,3465000000,3465000000,442000000,308000000.0,3521000000.0,15238000000,0.0,,12044000000.0,94552000000,,265000000,1803000000,94911000000,21141000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-11-30,2567000000.0,0.0,559000000,,92756000000.0,2544000000.0,,110070000000.0,114461000000,-567000000.0,4303000000,4303000000,359000000,290000000.0,4391000000.0,15354000000,0.0,926000000.0,12044000000.0,93046000000,,276000000,1810000000,92315000000,21313000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-05-31,4517000000.0,0.0,622000000,,96052000000.0,2641000000.0,,116346000000.0,119494000000,,3110000000,3110000000,391000000,319000000.0,3148000000.0,16459000000,0.0,,12044000000.0,96371000000,,297000000,1866000000,92544000000,23012000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-11-30,2665000000.0,0.0,766000000,126000000.0,104885000000.0,5000000.0,,129484000000.0,134439000000,,2948000000,2948000000,412000000,2726000000.0,4955000000.0,17843000000,0.0,,12044000000.0,107611000000,182000000.0,146000000,2229000000,105247000000,26697000000,468000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-31,5661000000.0,0.0,2032000000,1115000000.0,119284000000.0,3202000000.0,167000000.0,144813000000.0,146926000000,,2036000000,2036000000,457000000,321000000.0,2113000000.0,19397000000,0.0,457000000.0,12044000000.0,119605000000,,194000000,2699000000,114927000000,27172000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-30,2631000000.0,0.0,1950000000,1129000000.0,119135000000.0,233000000.0,176000000.0,141960000000.0,146585000000,-578000000.0,2228000000,2228000000,933000000,2619000000.0,4625000000.0,20070000000,0.0,1511000000.0,12044000000.0,121754000000,2439000000.0,192000000,2036000000,113257000000,24686000000,870000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-05-31,6789000000.0,0.0,2932000000,1129000000.0,130027000000.0,3816000000.0,,156451000000.0,158553000000,,2039000000,2039000000,464000000,347000000.0,2102000000.0,21174000000,0.0,464000000.0,13961000000.0,130374000000,,986000000,2482000000,123432000000,28030000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-30,7834000000.0,0.0,2934000000,1129000000.0,135766000000.0,3763000000.0,,165030000000.0,166919000000,-610000000.0,1835000000,1835000000,541000000,198000000.0,1889000000.0,22831000000,0.0,1151000000.0,13962000000.0,135964000000,3321000000.0,1023000000,3079000000,131286000000,30806000000,998000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-31,4508000000.0,0.0,3193000000,1129000000.0,139795000000.0,3937000000.0,,170367000000.0,172060000000,,1655000000,1655000000,517000000,367000000.0,1693000000.0,24486000000,0.0,517000000.0,13967000000.0,140162000000,,1007000000,3154000000,136329000000,31752000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
