date,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyDepreciationAndAmortization,quarterlyGoodwill,quarterlyAccountsReceivable,quarterlyCashDividendsPaid,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyDilutedEPS,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyPurchaseOfInvestment,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyOtherNonCurrentAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyDilutedAverageShares,quarterlyCapitalStock,quarterlyStockholdersEquity,quarterlyBasicEPS,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyBasicAverageShares,quarterlySaleOfInvestment,quarterlyNetOtherInvestingChanges,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyIncomeTaxPayable,quarterlyStockBasedCompensation,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyResearchAndDevelopment
2005-04-30,,,,,,,,,,0.0825,,,,,762000,,,,,,,,3992000,3992000,,,,,,,,48196240.0,,,0.185,,,,,,,4094233.0,,,,,,,,,,,,,,144769000,144769000,,,,,,,,,144769000,,,,,,,,,,,
2005-07-31,,,,,,,,,,0.0825,,,,,762000,,,,,,,,3992000,3992000,,,,,,,,48196240.0,,,0.185,,,,,,,4094233.0,,,,,,,,,,,,,,144769000,144769000,,,,,,,,,144769000,,,,,,,,,,,
2005-10-31,,,,,,,,,,0.0825,,,,,762000,,,,,,,,3992000,3992000,,,,,,,,48196240.0,,,0.185,,,,,,,4094233.0,,,,,,,,,,,,,,144769000,144769000,,,,,,,,,144769000,,,,,,,,,,,
2006-01-31,90622000.0,145451000.0,34543000.0,,,15757000.0,,,137164000.0,,,45381000.0,40449000.0,,761000,282615000.0,,,,199000.0,,,3993000,3993000,,,109374000.0,,159600000.0,,,,208534000.0,123015000.0,,,,,,,,,,,2839000.0,2839000.0,0.0,-853000.0,,34435000.0,,,,,,-404883000,144768000,,-94146000.0,,,,68978000.0,227149000.0,,-404883000,,,,,133003000.0,-91199000.0,,,0.0,,
2006-04-30,,,,,,,,,,0.06,,,,,1250000,,,,,,,,4700000,4700000,,,,,,,,76617578.0,,,0.18,,,,,,,6960640.0,,,,,,,,,,,,,,159468000,159468000,,,,,,,,,159468000,,,,,,,,,,,
2006-07-31,,,,,,,,,,0.13,,,,,1043000,,,,,,,,4564000,4564000,,,,,,,,48850350.0,,,0.3,,,,,,,4823169.0,,,,,,,,,,,,,,162558000,162558000,,,,,,,,,162558000,,,,,,,,,,,
2006-10-31,,,,,,,,,,0.05,,,,,2833000,,,,,,,,6640000,6640000,,,,,,,,49920577.0,,,0.2,,,,,,,5770601.0,,,,,,,,,,,,,,216544000,216544000,,,,,,,,,216544000,,,,,,,,,,,
2007-01-31,105896000.0,172046000.0,40870000.0,,,18476000.0,,,166551000.0,,,50737000.0,50367000.0,,2833000,338597000.0,,,,346000.0,,,6639000,6639000,,,129237000.0,,189837000.0,,,,223164000.0,148760000.0,,,,,,,,,,,3645000.0,3645000.0,0.0,-4448000.0,,43071000.0,,,,,,-498482000,216543000,,-117410000.0,,,,83941000.0,279490000.0,,-498482000,,,,,162080000.0,-83240000.0,,,0.0,,
2007-04-30,112463000.0,197900000.0,33055000.0,9840000.0,,17137000.0,,134600000.0,179952000.0,0.07,-31928000.0,55038000.0,52633000.0,49638000.0,1575000,377852000.0,,0.0,,308000.0,28053000.0,996000.0,5319000,5319000,3161000.0,59513000.0,152867000.0,0.0,224493000.0,-23630000.0,-17384000.0,80652941.0,225109000.0,153359000.0,0.14,,49638000.0,,,,,11368805.0,,373000.0,3161000.0,3161000.0,0.0,-4174000.0,3645000.0,50922000.0,-28932000.0,-822000.0,,31071000.0,-17757000.0,9875000,194113000,-14171000.0,-117410000.0,-484000.0,,,112030000.0,292326000.0,-1830000.0,19715000,8879000.0,,3560000.0,289000.0,174916000.0,-81665000.0,,547000.0,0.0,,
2007-07-31,116481000.0,194787000.0,45308000.0,9263000.0,,14295000.0,,141417000.0,202807000.0,-0.15,-10904000.0,55038000.0,56651000.0,54102000.0,-1671000,397594000.0,,918000.0,,1763000.0,33788000.0,1162000.0,2206000,2206000,3165000.0,59032000.0,148559000.0,0.0,236587000.0,4308000.0,-21038000.0,7289310.0,228987000.0,161007000.0,-0.15,,54102000.0,,,,,7289310.0,,4094000.0,3165000.0,3165000.0,0.0,-76000.0,3161000.0,41010000.0,2790000.0,,,6814000.0,-25132000.0,4930000,200449000,14228000.0,-117410000.0,4000.0,,,120106000.0,314329000.0,-77000.0,14193000,3768000.0,,1562000.0,-653000.0,196919000.0,-83336000.0,,238000.0,0.0,,
