date,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyDilutedEPS,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyBasicAverageShares,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyNetOtherFinancingCharges,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyEbitda,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyStockBasedCompensation,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyOtherNonCashItems,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyTotalRevenue,quarterlyFreeCashFlow,quarterlyInvestmentsAndAdvances,quarterlyGrossProfit,quarterlyBasicEPS,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlyOtherIncomeExpense,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyInvestingCashFlow,quarterlyRepaymentOfDebt,quarterlyEndCashPosition,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,quarterlyOperatingExpense,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyLongTermDebt,quarterlyCurrentAccruedExpenses,quarterlyCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCommonStockIssuance,quarterlyInventory,quarterlyTaxProvision,quarterlyNonCurrentDeferredRevenue,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyGoodwill
2012-03-31,-50819000,,-0.16967,157606000,,,,,-3977000,223492460.0,-28068000,-38721000.0,,,,-29871000,-322000,,,,45136000,-2768000,96460000,3317000.0,180468000,,-31218000,,,123025000,,223492460.0,,,0,,,-4260000,-37920000,,,40644000,280607000,40644000,,207230000,-0.16967,,,4217000.0,505000,,-7235000.0,73377000,-43794000,-27746000,126388000,-50819000,,162094000,-37920000,24263000,,,,,,,,,,,,,,,
2012-06-30,-41703000,,,126388000,,,,,2819000,,-25564000,-40317000.0,,,,-1857000,-456000,,,,54521000,2768000,97109000,-2467000.0,181034000,,12913000,,,115581000,,,,,0,,,-4771000,-34114000,,,67476000,276752000,67476000,,206944000,,,,-20005000.0,885000,,7233000.0,69808000,-28999000,-25108000,139301000,-41703000,,152423000,-34114000,23993000,,,,,,,,,,,,,,,
2012-09-30,-33122000,-21000.0,-0.126841,139301000,,,,,-7613000,223492460.0,-117421000,-51181000.0,,,,1315000,-10919000,,,,65618000,-2433000,97385000,,185757000,,-73563000,,,110752000,,223492460.0,,,-9456000,,,-3620000,-28348000,,,77228000,280492000,77228000,,210621000,-0.126841,,,-9861000.0,-1355000,,3406000.0,69871000,-33370000,-457046000,65738000,-33122000,,145003000,-28348000,20506000,,,,,,,,,,,,,,,
2012-12-31,-26690000,-57000.0,,65738000,1000.0,103098000.0,127981000.0,9098130000.0,-3022000,,-33600000,-52994000.0,19358000.0,-796296000.0,7327375000.0,1685000,-3405000,632112000.0,-39000.0,9894426000.0,65159000,-19683000,95984000,,194496000,,37360000,0.0,,110196000,6695263000.0,,-26559000.0,375085000.0,-9753000,632112000.0,24883000.0,-2391000,53829000,9603729000.0,9228644000.0,83499000,290651000,83499000,16038000.0,215270000,,195907000.0,0.0,,4135000,156944000.0,14278000.0,75381000,-12539000,-20442000,103098000,-26690000,1721495000.0,150111000,-22189000,21839000,6499356000.0,,,,,,,,,,,,,,
2013-03-31,-22506000,,-0.087247,103098000,1000.0,106392000.0,131723000.0,9002120000.0,-13905000,223492460.0,-7483000,-35278000.0,19085000.0,-908051000.0,7290269000.0,-43751000,-4824000,596110000.0,0.0,9910171000.0,69043000,-412000,92022000,0.0,184996000,,3294000,0.0,,103360000,6694159000.0,223492460.0,-55514000.0,396217000.0,-9456000,596110000.0,25331000.0,-5173000,-19499000,9529999000.0,9133782000.0,33628000,287073000,33628000,16175000.0,211212000,-0.087247,195661000.0,0.0,-4528000.0,473000,170548000.0,1827000.0,75861000,-22851000,-50203000,106392000,-22506000,1693793000.0,142169000,-19499000,24029000,6498498000.0,,,,,,,,,,,,,,
2013-06-30,-20167000,,-0.193573,106392000,1000.0,142006000.0,165599000.0,8855876000.0,-11324000,223492460.0,-27292000,-30808000.0,24509000.0,-1008059000.0,7279949000.0,-2270000,-3367000,604882000.0,-49000.0,9863935000.0,79647000,-7773000,94373000,9465000.0,182828000,,35614000,0.0,,99387000,6675067000.0,223492460.0,-108232000.0,451174000.0,-9457000,604882000.0,23593000.0,-1341000,-43262000,9449961000.0,8998787000.0,76117000,278220000,76117000,16446000.0,209566000,-0.193573,194698000.0,0.0,-10541000.0,-5441000,181554000.0,-4790000.0,68654000,-13211000,-14468000,142006000,-20167000,1641025000.0,129919000,-43262000,18724000,6480369000.0,,,,,,,,,,,,,,
2013-09-30,-23463000,-2000.0,-0.084294,142006000,1822000.0,137376000.0,160338000.0,8836459000.0,3734000,223492460.0,-68674000,-62333000.0,33621000.0,-1085671000.0,7277865000.0,15650000,-23168000,,-7732000.0,9922130000.0,82944000,-2477000,86134000,3144000.0,173253000,,-4630000,0.0,,96581000,6671702000.0,223492460.0,-136524000.0,420765000.0,-9455000,606163000.0,22962000.0,-2404000,-18839000,9404875000.0,8984110000.0,104898000,293368000,104898000,9155000.0,220445000,-0.084294,172978000.0,0.0,-10219000.0,-20273000,178304000.0,7201000.0,72923000,-40854000,-2415159000,137376000,-23463000,1606606000.0,137501000,-18839000,23605000,6477257000.0,,,,,,,,,,,,,,
2013-12-31,-13629000,-22000.0,-0.06,137376000,2297000.0,113915000.0,136019000.0,9647558000.0,4440000,213675000.0,-131357000,-28419000.0,19650000.0,-1190170000.0,6887396000.0,-280000,-22862000,,-6812000.0,10837728000.0,64249000,-2075000,72739000,2929000.0,170997000,,-23461000,0.0,,99572000,6177867000.0,213675000.0,-196707000.0,389981000.0,-19074000,709529000.0,22104000.0,-2389000,-12099000,10171916000.0,9781935000.0,117347000,312027000,117347000,9205000.0,234637000,-0.06,175111000.0,0.0,,-5139000,178505000.0,3870000.0,77390000,-9451000,-1137209000,113915000,-13629000,2342468000.0,170388000,-11937000,55396000,5981289000.0,,,,,,,,,,,,,,
2014-03-31,22527000,,0.07,113915000,2297000.0,55696000.0,81110000.0,9413417000.0,9327000,228113000.0,-105021000,-40475000.0,13605000.0,-1260355000.0,6779654000.0,-35947000,-30667000,,-6608000.0,10673772000.0,92559000,-8156000,67966000,4851000.0,203761000,,-58219000,0.0,2117000.0,102119000,6118828000.0,229365000.0,-227323000.0,314307000.0,-29170000,660826000.0,25414000.0,-2998000,14985000,9850809000.0,9536502000.0,86576000,307696000,86576000,5087000.0,228362000,0.07,121470000.0,0.0,-4598000.0,-2066000,167780000.0,1096000.0,79334000,-39774000,-1335058000,55696000,22527000,2320313000.0,135803000,15401000,19658000,5975891000.0,,,,,,,,,,,,,,
2014-06-30,31298000,,0.1,55696000,2451000.0,61830000.0,83477000.0,9351362000.0,-3263000,228978000.0,-83829000,-48319000.0,13138000.0,-1360647000.0,6757784000.0,2654000,-15281000,,-8365000.0,10712009000.0,99747000,-11448000,65953000,15234000.0,206917000,,6134000,0.0,3006000.0,98064000,6090105000.0,230469000.0,-252967000.0,319535000.0,-45939000,667679000.0,21647000.0,-3006000,23205000,9800203000.0,9480668000.0,132064000,308077000,132064000,5104000.0,232340000,0.1,121470000.0,0.0,-12269000.0,-2496000,171131000.0,2377000.0,75737000,-42101000,-135078000,61830000,31298000,2450430000.0,132593000,23473000,19939000,5947168000.0,,,,,,,,,,,,,,
