date,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyDilutedAverageShares,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlyGoodwill,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyInvestmentsAndAdvances,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyBasicEPS,quarterlyOperatingExpense,quarterlyCashAndCashEquivalents,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCapitalStock,quarterlyRepaymentOfDebt,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyInterestExpense,quarterlyCapitalExpenditure,quarterlyDilutedEPS,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyChangeInCashSupplementalAsReported,quarterlySaleOfInvestment,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyCommonStockIssuance,quarterlyIncomeTaxPayable,quarterlyOtherNonCurrentAssets,quarterlyCurrentAssets,quarterlyOtherIncomeExpense,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepurchaseOfCapitalStock,quarterlyCurrentLiabilities,quarterlyCurrentDebt,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentLiabilities,quarterlyInventory,quarterlyTotalNonCurrentAssets,quarterlyDeferredIncomeTax,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCostOfRevenue,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOtherShortTermInvestments,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyResearchAndDevelopment,quarterlyAccountsReceivable,quarterlyGrossProfit,quarterlyEbitda,quarterlyAccumulatedDepreciation
1994-06-30,,,,,9336180.24,,,,,,,1052859143.81,924073060.64,,,,128786083.17,,,,,,,,,,77889079.9,,,50188400.0,,,,,,,,,,,,77889079.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-31,,,,,17551000.0,,,,,,,1005449000.0,864031000.0,,,,141418000.0,,,,,,,,,135246000.0,66108000.0,,,50188000.0,,,,,,,72623000.0,,,,,66108000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-06-30,,,,,5805019.18,,,,,,,1069355932.35,922296999.15,,,,147058933.2,,,,,,,,,,89734492.17,,,65244920.0,,,,,,,28772616.67,,,,,89734492.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-31,,,,,1618599.35,,,,,,,1044325670.3,901123785.57,,,,143201884.73,,,,7139818.98,,,,,188040591.04,81957183.59,,,65244920.0,,,,,,,37336000.15,,,,,81957183.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-06-30,,,,,5803343.6,,,,,,,988215264.02,840828635.04,,,,147386628.98,,,,,,,,,,78086170.25,,,65244920.0,,,,,,,38144572.9,,,,,78086170.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31,,,,,-24263834.83,,,,,,,1045138807.77,927819357.22,,,,117319450.55,,,,8288730.81,,,,,162804968.29,62056425.4,,,65244920.0,,,,,,,26441213.82,,,,,62056425.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-06-30,,,,,-20519399.46,,,,,,,1145698756.65,1024634870.73,,,,121063885.92,,,,,,,,,,108626511.47,,,65244920.0,,,,,,,,,,,,108626511.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,,,,,-133787463.34,,,,,,,1315793343.09,1307997521.05,,,,7795822.04,,,,7218471.73,,,,,104649942.06,141551373.93,,,65244920.0,,,,,,,27192980.59,,,,,141551373.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-06-30,,,,,-178872792.23,,,,,,,1208462716.01,1245752222.86,,,,-37289506.85,,,,48182829.78,,,,,39614496.1,135785299.67,,,65244920.0,,,,,,,25124157.49,,,,,135785299.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31,,,,,-243461757.84,,,,,,,1116967607.24,1218846079.7,,,,-101878472.46,,,,44914257.0,,,,,37221897.26,129739832.45,,,65244920.0,,,,,,,24369173.26,,,,,129739832.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-06-30,,,,,-314792952.25,,,,,,,1117745521.35,1288599782.29,,,,-173209666.87,,,,30768594.36,,,,,28307581.63,116789583.46,,,65244920.0,,,,,,,21981440.97,,,,,116789583.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31,,,,,-645899206.43,,,,,,,706927598.42,1205470936.93,,,,-504315921.05,,,,29205098.04,,,,,45458149.62,97470860.09,,,65244920.0,,,,,,,20632092.95,,,,,97470860.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-06-30,,,,,-676175089.37,,,,,,,696171148.54,1225042693.22,,,,-534591803.99,,,,29205098.04,,,,,38741241.52,90818053.4,,,65244920.0,,,,,,,20489788.84,,,,,90818053.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-30,5004575.31,,,,,,2529198.99,82952515.87,,,3102766.44,,,2750089.67,3102766.44,,,,,,,,,,5197177.02,,,2911046.46,,,,,160956.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-31,28340742.76,,,,-714796787.56,,-42192189.08,47216838.91,,,-41724464.63,569106208.46,1137128727.84,-41442922.04,-41724464.63,,-573213502.18,,,,26835243.86,,,,50952312.62,47772642.1,18916563.76,-41024865.5,,65244920.0,,,418056.54,,,,17326278.67,,,,,18916563.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-06-30,,,,,5687099.94,,,,,,,461601823.54,233534216.55,,,,213458146.99,,,,121489253.21,,,,,32887448.98,219701965.23,,,65244920.0,,,,,,,144247.11,,,,,219701965.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-30,8425903.83,,,,12205686.91,,7783614.02,35242103.79,,,6518586.97,482561962.62,246772448.54,7721907.09,6518586.97,,219976733.96,,,,132250490.46,,,,8009623.38,45402650.67,218149475.32,7867320.09,,65244920.0,,,145413.0,,,,159703.43,,,,,218149475.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31,8829752.5,,,,19545912.27,,15366996.62,83944706.56,,,14334352.93,475575362.18,221875788.46,14572696.69,14334352.93,,234623832.79,,,,146056852.71,,,,11867609.18,34437559.74,212487757.5,14476735.3,,65244920.0,,,-95961.39,,,,669454.0,,,,,212487757.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-31,6969690.94,,,,27831141.64,,9619266.37,36952438.75,,,8285229.37,486065260.63,222952388.16,9413298.74,8285229.37,,242909062.16,,,,148738698.34,,,0.008894,9002569.35,48648313.25,214333172.1,9548736.08,,65244920.0,,,135437.34,,,0.008894,651804.0,,,,,214333172.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-06-30,5224346.54,,,,19886463.82,,5727901.67,30383269.07,,,5104306.18,482197833.8,213004144.45,6080816.89,5104306.18,,248013368.34,,,,161905189.1,,,,7871337.37,32824735.11,205426349.87,6063338.6,,78293904.0,,,-17478.29,,,,634154.0,,,,,205426349.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-09-30,6043948.12,,,,20886288.35,,-330313.28,27638215.46,,,999825.53,482931920.8,211082159.93,-53184.8,999825.53,,249066043.67,,,,164756036.21,,,,7653256.3,36025153.19,205635721.22,91990.84,,78293905.0,,,145175.64,,,,646504.0,,,,,205635721.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-31,11569610.09,,,,21858308.9,,9238457.65,41484004.08,,,9994227.61,485787960.92,199871165.0,10764480.58,9994227.61,,260565598.48,,,,58711812.78,,,,13452484.33,28867014.12,203516087.5,11466919.79,,78293905.0,,,702439.21,,,,719770.55,,,,,203516087.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-31,8120582.01,,,,25840247.71,,3891947.02,49629392.54,,,3981938.81,477964581.89,188351557.3,3696228.67,3981938.81,,264547537.29,,,,63372131.56,,,0.004275,10257793.47,36282151.22,208631531.55,3973313.66,,78293905.0,,,277084.99,,,0.004275,689546.5,,,,,208631531.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-06-30,8615700.52,,,,29725915.3,,20772645.18,31258251.8,,,19544448.59,484045890.83,173267872.17,21333594.07,19544448.59,,284091985.88,,,,84195557.19,,,,8971866.83,34891826.82,201959459.85,21653517.87,,156587810.0,,,319923.8,,,,64335.7,,,,,201959459.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
