date,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyAccumulatedDepreciation,quarterlyOtherIncomeExpense,quarterlyNetPPE,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyCashAndCashEquivalents,quarterlyOperatingExpense,quarterlyInterestExpense,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyPretaxIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyPurchaseOfBusiness,quarterlyTotalAssets,quarterlyOtherCurrentLiabilities,quarterlyBasicAverageShares,quarterlySaleOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyNetIncomeCommonStockholders,quarterlyStockBasedCompensation,quarterlyOtherNonCashItems,quarterlyPurchaseOfInvestment,quarterlyEndCashPosition,quarterlyEbitda,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyFreeCashFlow,quarterlyTotalRevenue,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlyNetOtherInvestingChanges,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyDilutedAverageShares,quarterlyChangeInInventory,quarterlyCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCurrentAccruedExpenses
1998-03-31,-9429000,,,,2740048000.0,,,0.32,,-32038000,11841000.0,,,153689000,,153316000,,,34820000,-161449000.0,,2798190000,,85875000.0,,,-11384000,,-4512000.0,,,39968000,859000,27906000,,865000,,28584000,118940000,-199520000,11117000,-373000,1003722000,-5068000,,,0.33,,,-126629000,75785000,,,,,107823000,,,922111000,,,1978000.0,,,,27906000,27906000,-38071000.0,1670705000,2718000,,86285000.0,,,,,
1998-06-30,-445116000,,,,2967621000.0,,,0.32,,-35768000,15720000.0,,,189846000,,158802000,,,40890000,-131970000.0,,3033106000,,85875000.0,,,583000,,-2446000.0,,,28584000,859000,27978000,,-99000,,29167000,133693000,-199119000,12911000,-31044000,1213938000,100000,,,0.33,,,-91080000,85014000,,,,,120782000,,,1129430000,,,2496000.0,,,,27978000,27978000,0.0,1669417000,3144000,,86253000.0,,,,,
1998-09-30,-99371000,,,,3247217000.0,,,0.32,,-39883000,19544000.0,,,198369000,,146884000,,,61523000,-205369000.0,0.0,3327273000,,85875000.0,,,4039000,,-4837000.0,,,29167000,859000,27358000,,-19105000,,33206000,148227000,-204358000,14283000,-51485000,1416208000,37472000,,,0.32,,,-143846000,94061000,,,,,133944000,,,1306600000,,,23573000.0,,,,28872000,28872000,1011000.0,1766676000,2832000,,86252000.0,,,,,
1998-12-31,474536000,,-58404000.0,,3425706000.0,25137000.0,,,25137000.0,273156000,22565000.0,,,-572604000,,145200000,,-96100000.0,39947000,-65516000.0,-227000.0,3562885000,,,,,-8069000,,2418000.0,,,33206000,96959000,25711000,,14428000,,25137000,-149976000,-193216000,19153000,-31796000,1472501000,-21470000,,,,,0.0,-25569000,104027000,,,,3484110000.0,-169129000,,,1368196000,,,-7636000.0,,,57655000.0,24197000,27836000,-127473000.0,1765360000,3235000,,,,,,,
1999-03-31,-8316000,,,,2677904000.0,,,0.3,,-47958000,22967000.0,,,-92000,,39715000,,391000.0,64512000,-101308000.0,,3696618000,,86001000.0,,,4028000,,-2834000.0,,,25137000,860000,25889000,,-14513000,,29165000,175227000,-100199000,17697000,-34571000,1610225000,33314000,,,0.3,,,-36796000,109572000,,,,,157530000,,,1486429000,,,19491000.0,,,,28014000,28014000,1109000.0,1761533000,4072000,,86021000.0,,,,,
1999-06-30,-253501000,,,11525000.0,2902018000.0,,,0.48,,-46062000,23591000.0,,,-12000,,-40936000,,158000.0,52351000,-215775000.0,,3732544000,,86287000.0,,,10965000,,6558000.0,,,29165000,865000,41192000,,-12354000,,40130000,187456000,-450000,14492000,-40043000,1539273000,6896000,,,0.48,,6690000.0,-163424000,126902000,,,,,172964000,,,1418587000,,,-3110000.0,,,,44826000,43317000,215325000.0,1783609000,4278000,,86469000.0,,,,,
1999-09-30,-262043000,,,21532000.0,2983177000.0,,,0.58,,-42475000,21147000.0,,,11384000,,-163602000,,183000.0,68734000,-120689000.0,,3647947000,,86536918.0,,,30691000,,-1966000.0,,,40130000,865000,50454000,,-30213000,,70821000,190741000,125559000,14950000,-47161000,1416931000,31418000,,,0.58,,26842000.0,-51955000,133316000,,,,,175791000,,,1278571000,,,17675000.0,,,,53926000,52579000,246248000.0,1802795000,6107000,,86637330.0,,,,,
1999-12-31,-71603000,,-103558000.0,20696000.0,3327095000.0,33312000.0,,,33312000.0,332487000,20976000.0,,,-28354000,,-75898000,,0.0,4794000,-142051000.0,,3621550000,,,,,-32282000,,3441000.0,,28993000.0,70821000,96951000,50068000,,19656000,,33312000,-233728000,38822000,20366000,-38791000,1359408000,-81363000,,,,,47089000.0,-137257000,78393000,,,,3430653000.0,-254094000,,,1270037000,,,-48990000.0,,,66357000.0,51827000,52193000,-557375000.0,1829259000,6107000,,,,,,,
2000-03-31,-91912000,,-120193000.0,-11000.0,3400249000.0,26662000.0,,0.34,26662000.0,49516000,20342000.0,,,-6551000,,1886000,,269000.0,44764000,-107111000.0,,3656627000,,83849157.0,,,-6650000,,-17487000.0,,10798000.0,33312000,96938000,28920000,,3686000,,26662000,79999000,-53300000,19192000,-2125000,1390931000,-9159000,,,0.34,,44988000.0,-62347000,110323000,,,,3520442000.0,60807000,,,1262211000,,,8328000.0,,,67414000.0,28920000,31045000,53811000.0,1782336000,5351000,,83863198.0,,,,,
2000-06-30,-29224000,,-142037000.0,832000.0,3658066000.0,14743000.0,,0.33,14743000.0,53703000,20002000.0,,,81130000,,141255000,,0.0,75605000,-262701000.0,,3853021000,,83848883.0,,,-11919000,,9419000.0,,9961000.0,26662000,96939000,27882000,,6111000,,14743000,82407000,-228779000,22631000,-33145000,1514259000,16857000,,,0.33,,41840000.0,-187096000,113479000,,,,3800103000.0,59776000,,,1378091000,,,7438000.0,,,77959000.0,30007000,30007000,33922000.0,1778800000,5984000,,84125277.0,,,,,
2000-09-30,-155463000,,-160880000.0,11630000.0,3776413000.0,18804000.0,,0.39,18804000.0,56693000,22562000.0,,,102281000,,116613000,,1472000.0,41277000,-143149000.0,,4103042000,,84115613.0,,,4061000,,-26856000.0,,-23000.0,14743000,96941000,32721000,,2128000,,18804000,87990000,-153829000,23312000,-33157000,1657581000,-19010000,,,0.39,,43438000.0,-101872000,121371000,,,,3937293000.0,64678000,,,1513477000,,,7846000.0,,,77981000.0,34846000,34846000,-10680000.0,1773011000,5987000,,84725109.0,,,,,
2000-12-31,196599000,,-177467000.0,1648000.0,4046276000.0,20358000.0,,,20358000.0,67826000,27364000.0,,,-73561000,,192616000,,439000.0,99529000,-286018000.0,,4425626000,,,,,1554000,,782000.0,,-3732000.0,18804000,96941000,23759000,,7681000,,20358000,95831000,-290591000,31123000,-62253000,1983318000,34841000,,,,,36066000.0,-186489000,132534000,,,,4223743000.0,64708000,,,1836276000,,69874000.0,34059000.0,,,248097000.0,25884000,25884000,-89918000.0,1767930000,6428000,,,,,,,
2001-03-31,-247092000,,-202188000.0,,4119357000.0,98627000.0,,0.5,98627000.0,72612000,31552000.0,,,183335000,,160075000,,1020000.0,76551000,-123713000.0,,4638144000,,83895993.0,,,78269000,,-24005000.0,,0.0,20358000,96950000,42315000,,-1612000,,98627000,99076000,-158357000,26854000,-2125000,2040969000,6869000,,,0.5,,44814000.0,-47162000,144834000,,,,4321545000.0,72222000,,,1863054000,,67482000.0,30874000.0,,,269242000.0,42315000,44440000,-34644000.0,1796892000,8183000,,84720917.0,,,,,
2001-06-30,-186657000,,-213923000.0,,4243784000.0,135101000.0,,0.33,135101000.0,86267000,30206000.0,,,-104008000,,6665000,,118000.0,89290000,-172004000.0,,4722165000,,84461544.0,,,36474000,,27039000.0,,0.0,98627000,96950000,27808000,,-17271000,,135101000,87082000,-59481000,27323000,-35692000,2112378000,48867000,,,0.33,,39039000.0,-82714000,146026000,,,,4457707000.0,59759000,,,1911347000,,68982000.0,-6040000.0,,,176115000.0,30371000,29933000,131642000.0,1789884000,9201000,,85378727.0,,,,,
