date,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccumulatedDepreciation,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetOtherFinancingCharges,quarterlyOperatingExpense,quarterlyOtherIntangibleAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyCommonStockIssuance,quarterlyOtherCurrentLiabilities,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyPurchaseOfBusiness,quarterlyOtherCurrentAssets,quarterlyLongTermDebt,quarterlyNetOtherInvestingChanges,quarterlyGoodwill,quarterlyOtherNonCurrentLiabilities,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,quarterlyDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyDilutedAverageShares,quarterlySellingGeneralAndAdministration,quarterlyEbitda,quarterlyPurchaseOfInvestment,quarterlyCashDividendsPaid,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyRepurchaseOfCapitalStock,quarterlyOtherNonCashItems,quarterlyOtherShortTermInvestments,quarterlyCurrentLiabilities,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyRetainedEarnings,quarterlyBasicEPS,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicAverageShares,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyCashAndCashEquivalents,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation
2009-09-30,,103000000,,,,27000000,,,448000000,,,,,,,,271000000,,,,,,,,10467000000,,,,1971000000,,168000000,168000000,,0.234637,,168000000,716000000.0,220000000,445000000,,,,,,,,,,,,12438000000,,1523000000,,,,0.235955,,712000000.0,,,,,,,,,,7000000.0,,,,,,,,
2009-12-31,-4000000.0,-64000000,1251000000.0,992000000.0,-4448000000.0,15000000,3324000000.0,-68000000.0,460000000,,-73000000.0,-603000000.0,220000000.0,685000000.0,,129000000.0,-116000000,11897000000.0,,41000000.0,2601000000.0,36000000.0,872000000.0,0.0,11817000000,243000000.0,3526000000.0,102000000.0,1604000000,365000000.0,-52000000,-52000000,9172000000.0,,5445000000.0,-52000000,,219000000,76000000,-5127000000.0,,128000000.0,-602000000.0,-68000000.0,605000000.0,12082000000.0,,-34000000.0,864000000.0,6637000000.0,13421000000,,1144000000,16345000000.0,7900000000.0,,,10000000.0,,5092000000.0,,82000000.0,13354000000.0,21254000000.0,5507000000.0,,194000000.0,118000000.0,-2000000.0,11000000.0,128000000.0,-520000000.0,,,,,
2010-03-31,-407000000.0,-128000000,,,,26000000,,-514000000.0,494000000,,142000000.0,-337000000.0,,-149000000.0,,,-417000000,,,,,3000000.0,,,12104000000,,,-176000000.0,1287000000,,-289000000,-289000000,,-0.405899,,-289000000,716000000.0,206000000,-193000000,-4528000000.0,,146000000.0,25000000.0,-113000000.0,14000000.0,,,-6000000.0,,,13391000000,,793000000,,,,-0.405899,18000000.0,712000000.0,4887000000.0,,-486000000.0,,,,,220000000.0,128000000.0,4000000.0,,,,,,,,
2010-06-30,-4723000000.0,235000000,,,,21000000,,14000000.0,560000000,,-239000000.0,-297000000.0,,444000000.0,,,640000000,,,,,2000000.0,,,14629000000,,,-62000000.0,1178000000,,405000000,405000000,,0.565,,405000000,716000000.0,228000000,887000000,-1512000000.0,,154000000.0,-197000000.0,234000000.0,-461000000.0,,,96000000.0,,,15807000000,,618000000,,,,0.57,8000000.0,712000000.0,1610000000.0,,147000000.0,,,,,269000000.0,146000000.0,,,,,,,,,
2010-09-30,-5596000000.0,162000000,1355000000.0,383000000.0,-4526000000.0,20000000,3623000000.0,-487000000.0,519000000,,258000000.0,-287000000.0,726000000.0,-5000000.0,,119000000.0,439000000,11632000000.0,,384000000.0,263000000.0,5000000.0,840000000.0,0.0,13615000000,217000000.0,,-369000000.0,2313000000,309000000.0,277000000,277000000,8485000000.0,0.386872,3049000000.0,277000000,716000000.0,226000000,679000000,-19000000.0,,117000000.0,-290000000.0,161000000.0,-578000000.0,13483000000.0,,-108000000.0,266000000.0,10434000000.0,15928000000,,1794000000,16158000000.0,8461000000.0,,0.389045,-37000000.0,712000000.0,11000000.0,,-292000000.0,13507000000.0,21968000000.0,5514000000.0,,234000000.0,154000000.0,6000000.0,3525000000.0,117000000.0,-466000000.0,,,,,
2010-12-31,-6830000000.0,131000000,1367000000.0,2522000000.0,-4900000000.0,20000000,3071000000.0,-343000000.0,535000000,,-243000000.0,-296000000.0,303000000.0,1927000000.0,,168000000.0,361000000,11724000000.0,,65000000.0,3231000000.0,753000000.0,837000000.0,0.0,15238000000,266000000.0,,531000000.0,2223000000,312000000.0,230000000,230000000,8244000000.0,,6368000000.0,230000000,,260000000,577000000,-3695000000.0,,118000000.0,-1683000000.0,26000000.0,1351000000.0,14988000000.0,,69000000.0,2404000000.0,8620000000.0,17461000000,,1688000000,16624000000.0,10056000000.0,,,1000000.0,,1555000000.0,,1631000000.0,13176000000.0,23232000000.0,6453000000.0,,218000000.0,117000000.0,-2000000.0,666000000.0,118000000.0,-623000000.0,,,,,
2011-03-31,-7972000000.0,293000000,1355000000.0,2984000000.0,-5160000000.0,26000000,2735000000.0,250000000.0,501000000,,-330000000.0,-243000000.0,339000000.0,915000000.0,,192000000.0,822000000,11708000000.0,,106000000.0,3263000000.0,125000000.0,834000000.0,0.0,15342000000,221000000.0,,336000000.0,2529000000,316000000.0,529000000,529000000,9036000000.0,0.742978,6459000000.0,529000000,712000000.0,217000000,1052000000,-3378000000.0,,219000000.0,-484000000.0,-12000000.0,176000000.0,14741000000.0,,-38000000.0,2765000000.0,8282000000.0,17871000000,,2028000000,16868000000.0,10580000000.0,,0.742978,101000000.0,712000000.0,3012000000.0,,672000000.0,13197000000.0,23777000000.0,6766000000.0,,216000000.0,118000000.0,14000000.0,64000000.0,219000000.0,-611000000.0,,,,,
2011-06-30,-3400000000.0,531000000,1383000000.0,1622000000.0,-5431000000.0,35000000,3679000000.0,-1007000000.0,565000000,,-1062000000.0,-274000000.0,351000000.0,37000000.0,,247000000.0,1333000000,11935000000.0,,170000000.0,3262000000.0,13000000.0,842000000.0,0.0,18904000000,222000000.0,5041000000.0,-949000000.0,1873000000,323000000.0,802000000,802000000,8977000000.0,1.12,6438000000.0,802000000,716000000.0,288000000,1526000000,-6990000000.0,,1622000000.0,2428000000.0,46000000.0,-966000000.0,14987000000.0,,1261000000.0,0.0,8549000000.0,20777000000,,1308000000,17366000000.0,10513000000.0,0.0,1.125,1403000000.0,712000000.0,9753000000.0,,-237000000.0,13451000000.0,23964000000.0,7313000000.0,4000000.0,218000000.0,219000000.0,,12000000.0,1622000000.0,-596000000.0,,,,,
2011-09-30,-3000000.0,611000000,1473000000.0,2957000000.0,-5634000000.0,15000000,3615000000.0,-2000000.0,589000000,,-75000000.0,-327000000.0,367000000.0,1719000000.0,,125000000.0,1744000000,12026000000.0,0.0,183000000.0,3285000000.0,11000000.0,842000000.0,0.0,18305000000,983000000.0,,64000000.0,2333000000,321000000.0,1133000000,1133000000,10049000000.0,1.58,6564000000.0,1133000000,714000000.0,299000000,1986000000,-11000000.0,,2957000000.0,-309000000.0,95000000.0,255000000.0,15176000000.0,,1128000000.0,0.0,8612000000.0,20638000000,,1744000000,17660000000.0,11669000000.0,1062000000.0,1.59,1335000000.0,712000000.0,18000000.0,,1392000000.0,13556000000.0,25225000000.0,6974000000.0,4000000.0,227000000.0,1622000000.0,15000000.0,14000000.0,2957000000.0,-601000000.0,,,,,
2011-12-31,-3000000.0,-105000000,1310000000.0,3079000000.0,-5845000000.0,9000000,3320000000.0,-84000000.0,581000000,,-176000000.0,-341000000.0,372000000.0,638000000.0,0.0,180000000.0,-180000000,12228000000.0,0.0,141000000.0,3292000000.0,4000000.0,842000000.0,0.0,19018000000,558000000.0,5459000000.0,294000000.0,414000000,302000000.0,-75000000,-75000000,9505000000.0,,6649000000.0,-75000000,,302000000,72000000,-3000000.0,-89000000.0,3079000000.0,-340000000.0,-6000000.0,605000000.0,16240000000.0,,-22000000.0,0.0,9591000000.0,19432000000,,-167000000,18073000000.0,12001000000.0,898000000.0,,122000000.0,,0.0,,297000000.0,13744000000.0,25745000000.0,8169000000.0,4000000.0,230000000.0,2957000000.0,22000000.0,15000000.0,3079000000.0,-879000000.0,,,,,
