date,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyTotalAssets,quarterlyLongTermDebt,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyOtherCurrentAssets,quarterlyGoodwill,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyAccountsReceivable,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccumulatedDepreciation,quarterlyStockholdersEquity,quarterlyCurrentDebt,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentLiabilities,quarterlyAccountsPayable,quarterlyGrossPPE,quarterlyNetPPE,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyOtherShortTermInvestments,quarterlyChangeInInventory,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyIncomeTaxPayable,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2009-12-31,,3529804000,3474430000,3203591000,5368217000,1699471000,8571808000,1691800000,7004234000,44273000.0,19262000.0,352088000,132644000,,243075000,2226689000,2226689000,138533000,-358560000.0,1031385000,1039653000,141442000,632061000,,1022000,2375066000,3108095000.0,2749535000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,6017419000,3189817000,4246579000,7094144000,1711928000,11340723000,4054508000,9207236000,1303224000.0,10839000.0,629158000,311970000,,285702000,2975187000,2975187000,250983000,,1338740000,171058000,141442000,623910000,,29587000,1152098000,,4192785000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,5648526000,5930997000,8756344000,10402538000,182182000,19158882000,5132770000,11579523000,7820000.0,14875000.0,890511000,236968000,126970000.0,1924259000,6521335000,6521335000,333574000,-755904000.0,5684595000,493068000,183109000,674121000,5501486000.0,6645000,4877711000,8566295000.0,7810391000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,5315492000,6555657000,8264627000,11865320000,224866000,20129947000,4760059000,11871149000,60124000.0,8909000.0,658422000,316867000,,2307837000,5598166000,5598166000,330567000,,6243274000,486417000,183109000,687193000,,5082000,5940832000,,7975096000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,2510671000.0,5618256000,9168825000,10777493000,14628135000,263835000,25405628000,4963513000,14787081000,29564000.0,17891000.0,589579000,412178000,1671221000.0,3332155000,6889999000,6889999000,390908000,-1036466000.0,8102453000,1536083000,199227000,728953000,2477799000.0,1181000,7221879000,11591103000.0,10554637000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,12198059000,9937971000,18018776000,15627641000,264720000,33646417000,11427012000,22136030000,77674000.0,57600000.0,460002000,857047000,,2743346000,14324024000,14324024000,506327000,,9076255000,1107604000,206401000,738389000,,760000,8666389000,,11715903000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,4929515000.0,12667093000,14927744000,18406343000,23992520000,321173000,42398863000,11621677000,27594837000,352555000.0,95480000.0,1676018000,747339000,,2063190000,12285555000,12285555000,724243000,-1836953000.0,11704273000,239314000,222401000,855615000,,9545000,2721104000,20765821000.0,18928868000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,,14611505000,13120616000,15355942000,29385206000,223594000,44741148000,13924873000,27732121000,305119000.0,78511000.0,731433000,1019257000,,4471831000,8970445000,8970445000,463038000,,12830348000,106852000,222401000,565677000,,10832000,7261501000,16544110000.0,16544110000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,6519471000.0,13910132000,17955821000,18219187000,32262604000,333645000,50481791000,13015530000,31865953000,304181000.0,219149000.0,409952000,791955000,,2977606000,9584178000,9584178000,560957000,-1504479000.0,14182935000,858749000,222401000,758244000,,12154000,5255802000,21241817000.0,19737338000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,7320224000.0,12385580000,20865253000,19571542000,33418977000,367551000,52990519000,11463262000,33250833000,454150000.0,73051000.0,402647000,868525000,,6524001000,8805360000,8805360000,554767000,,14898279000,2865134000,222401000,722508000,,4646000,11976260000,20947904000.0,20947904000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,8224663000.0,12701532000,23784139000,20463931000,37053106000,314790000,57517037000,11632641000,36485671000,634204000.0,3142831000.0,1042033000,639576000,,3955378000,7552519000,7552519000,754101000,-2349469000.0,16065098000,3296513000,222401000,790569000,,32394000,4676332000,25227737000.0,22878268000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
