date,quarterlyNetPPE,quarterlyTaxProvision,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyOtherIntangibleAssets,quarterlyNetOtherFinancingCharges,quarterlyPretaxIncome,quarterlyDilutedEPS,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingCashFlow,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyOtherCurrentLiabilities,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyDilutedAverageShares,quarterlyInvestingCashFlow,quarterlyBasicEPS,quarterlyEndCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyEbitda,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyBasicAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyFreeCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNetOtherInvestingChanges,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyGrossProfit,quarterlyOperatingExpense,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyRepurchaseOfCapitalStock,quarterlyResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyPurchaseOfInvestment,quarterlyDepreciationAndAmortization,quarterlyChangeInInventory,quarterlyCashDividendsPaid,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyCurrentAccruedExpenses,quarterlyRepaymentOfDebt,quarterlyChangeInAccountPayable
2009-06-30,,199973000,,,653000.0,,,,,,1401721000,0.1294,,,,,,,,,,,,,,9207905000.0,,0.1324,,1192410000,1402374000,,,9004795000.0,,,,,,,1371402000,2878423000,,,934613000,,,1943810000,572408000,,,,,,,1192410000,1201748000,570216000,,,,,,,,,,,,,,,,,,,
2010-06-30,3001736000.0,448525000,,,2976000.0,13908394000.0,6486312000.0,2755116000.0,498209000.0,,2379718000,0.2062,,0.0,,,24601924000.0,7348891000.0,7422082000.0,0.0,,198000.0,,,1028726000.0,9293465000.0,,0.2108,,1916502000,2382694000,13449624000.0,17253033000.0,9088385000.0,8961381000.0,3001736000.0,8479864000.0,,,,2317355000,4669180000,,1710749000.0,1482939000,1214493000.0,0.0,3186241000,868886000,,481517000.0,,481517000.0,,,1916502000,1931193000,896301000,15580369000.0,,,,,,,,,,,,,,,,,,
2011-03-31,,531983000,,33557000.0,,,,,,1692995000.0,3416191000,0.308,,,1692995000.0,3165208000.0,,,,,10408257000.0,,511290000.0,,,9318510000.0,-4346913000.0,0.315,10882954000.0,2870374000,3285841000,,,9113630000.0,,,,,,3165208000.0,3285841000,6338420000,-4346913000.0,,2193729000,,,4144691000,858850000,,,,,,,2870374000,2884208000,1197919000,,,,,,,,,,,,,,,,,,,
2011-06-30,4793421000.0,405163000,,-37235000.0,13132000.0,21152708000.0,21152708000.0,8150065000.0,3708530000.0,48481000.0,2748435000,0.252,,0.0,48481000.0,2268907000.0,47050205000.0,18159804000.0,,33900000.0,10882954000.0,198000.0,-2883257000.0,2375929000.0,2028941000.0,9319185000.0,-5200645000.0,0.2578,7963090000.0,2349246000,2761567000,22166555000.0,28890401000.0,9115255000.0,21707699000.0,,18503027000.0,,506474000.0,2268907000.0,2677353000,6739044000,-5200645000.0,2255439000.0,2331637000,0.0,0.0,4407407000,1730054000,7449858000.0,3204672000.0,3899882000.0,945833000.0,,,2349246000,2343272000,1732863000,25120173000.0,,,,,,,,,,,,,,,,,,
2011-09-30,,506760000,,,,,,,,-1339860000.0,2952908000,0.2628,,,,3658076000.0,,,,,7963090000.0,,-944436000.0,,,9309170000.0,-3262652000.0,0.268,6978825000.0,2446148000,2865096000,,,9125950000.0,,,,,,3658076000.0,2865096000,7496157000,-3262652000.0,,2661407000,,,4834750000,1969654000,,,,,,,2446148000,2446148000,1976530000,,,,,,,,,,,,,,,,,,,
2011-12-31,6043608000.0,430332000,,,,26328180000.0,12612140000.0,,4010891000.0,-485577000.0,2981535000,,-2659454000.0,0.0,,4265916000.0,56804365000.0,21300877000.0,13716040000.0,7999440000.0,6978825000.0,198000.0,5692776000.0,,2244114000.0,,-2544548000.0,,12612140000.0,2529455000,2969797000,26710368000.0,35503488000.0,,27716021000.0,8703062000.0,21183348000.0,,,-574655000.0,2969797000,7922451000,10754724000.0,2020796000.0,2741535000,4942595000.0,0.0,5180916000,2211119000,,6532673000.0,,939534000.0,,,2529455000,2551203000,2296695000,28463834000.0,,,,,,,,,,,,,,,,,,
2012-03-31,6162529000.0,650673000,191949000.0,-8373000.0,,29257706000.0,29257706000.0,5676325000.0,4401764000.0,-2298544000.0,3613003000,0.3174,,0.0,-2298544000.0,4863761000.0,59692655000.0,22545967000.0,,40853000.0,12612140000.0,198000.0,737715000.0,990850000.0,2935710000.0,9294215000.0,-1827502000.0,0.3236,13348679000.0,2949510000,3524625000,29659904000.0,37146688000.0,9115010000.0,26735507000.0,,20731277000.0,,992151000.0,4863761000.0,3524625000,9647858000,-1827502000.0,2344835000.0,3836317000,0.0,0.0,5811541000,2286916000,10492387000.0,6004230000.0,6584815000.0,987585000.0,,3731549000.0,2949510000,2962330000,2223274000,32338472000.0,,,,,,,,,,,,,,,,,,
2012-06-30,6524965000.0,707824000,202106000.0,,,27617181000.0,10602451000.0,3609323000.0,4542926000.0,-2207864000.0,3818395000,0.333,,0.0,,4082096000.0,61731822000.0,25818929000.0,17014730000.0,0.0,13348679000.0,198000.0,-2754044000.0,,3368438000.0,9306665000.0,-4628276000.0,0.3396,10602451000.0,3100075000,3740809000,31652090000.0,35912893000.0,9130355000.0,27017450000.0,6524965000.0,19981134000.0,,,4082096000.0,3740809000,10527244000,-4628276000.0,2500207000.0,4311379000,2317431000.0,0.0,6215865000,2475056000,,7036316000.0,,893822000.0,,948735000.0,3100075000,3110571000,2471837000,34063674000.0,,,,,,,,,,,,,,,,,,
2012-09-30,7158224000.0,756465000,424273000.0,,,27723169000.0,27723169000.0,3011975000.0,5086173000.0,4191097000.0,3997610000,0.3454,,8591724000.0,,5171987000.0,71999722000.0,35643904000.0,,5403161000.0,10602451000.0,198000.0,2804630000.0,,3960242000.0,9316370000.0,-6558454000.0,0.3518,13441768000.0,3241145000,3527862000,34870783000.0,36355818000.0,9146720000.0,33707091000.0,,21350014000.0,,,5171987000.0,3527862000,11565556000,-6558454000.0,2683965000.0,4787093000,0.0,0.0,6778463000,3250601000,,12357077000.0,,1016454000.0,,9810543000.0,3241145000,3241145000,2845088000,37415681000.0,,,,,,,,,,,,,,,,,,
2012-12-31,8730896000.0,151201000,568084000.0,,,27189073000.0,13383398000.0,1077108000.0,1790156000.0,116062000.0,3622007000,,-4213798000.0,367158000.0,,5311613000.0,75255811000.0,38746663000.0,13805675000.0,6301449000.0,13441768000.0,199000.0,-15030000.0,,4211733000.0,,-3255976000.0,,13383398000.0,3417825000,4595406000,38269085000.0,36509148000.0,,33107545000.0,12944694000.0,20664996000.0,,,472887000.0,4286818000,12153053000,16076808000.0,2353959000.0,5272571000,2312976000.0,0.0,6880482000,2593664000,,12442549000.0,,1311562000.0,2928919000.0,9622409000.0,3417825000,3470806000,3218510000,41297507000.0,,,,,,,,,,,,,,,,,,
