date,quarterlyBasicEPS,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTotalAssets,quarterlyAccountsReceivable,quarterlyBasicAverageShares,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyFreeCashFlow,quarterlyOtherShortTermInvestments,quarterlyCapitalExpenditure,quarterlyInterestExpense,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyNetOtherFinancingCharges,quarterlyTotalNonCurrentAssets,quarterlyCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCashItems,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyTaxProvision,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyCapitalStock,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyCurrentDebt,quarterlyBeginningCashPosition,quarterlyAccountsPayable,quarterlyDilutedEPS,quarterlyChangeInInventory,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfBusiness,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyCurrentDeferredRevenue,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyRepaymentOfDebt,quarterlyOperatingExpense,quarterlyDilutedAverageShares,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyStockholdersEquity,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyGrossProfit,quarterlyNetOtherInvestingChanges,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyInvestmentsAndAdvances,quarterlyRepurchaseOfCapitalStock,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable
2008-12-31,,54528000.0,48019000.0,51699000.0,3320000.0,,-8746000,6884000.0,-22498000,,-144000,1099000,0.0,11826000,0,20272000.0,31427000.0,-6826000.0,1479000.0,-22354000,14752000,3019000,9277000.0,9277000.0,87935000.0,-25474000,-25498000,,24000,18793000.0,-204914000.0,1294000,,21000.0,-23081000,219000,,18023000,14184000.0,,-3005000,0.0,,-3075000,,-23224000,14162000,-143000,0.0,,251413000.0,25619000.0,4073000.0,,-73000,21522000,,-1144000,9277000,-199714000.0,11145000.0,15864000,163478000.0,3421000.0,-1194000,16650000.0,-1702000,-1000000.0,-25498000,,-25498000,9696000,,,,,
2009-03-31,-0.205402,,,,,77973831.0,2468000,,-17065000,,-902000,1402000,,7941000,0,,,,,-16163000,19533000,292000,,,,-16008000,-16016000,,8000,,,1372000,,,-13234000,90000,,9277000,,-0.205402,-4943000,,,2789000,,-16594000,20886000,-1875000,,,,,,,-121000,14548000,77973831.0,-902000,11745000,,,22932000,,1464000.0,1972000,,-2046000,0.0,-16016000,,-16016000,6607000,,,,,
2009-06-30,-0.139367,,,,,77973831.0,38955000,,-14693000,,-2527000,1086000,,1941000,-215000,,,,,-12166000,55229000,2492000,,,,-10859000,-10867000,,8000,,,1685000,,,-8088000,153000,,11745000,,-0.139367,-3820000,,,-4015000,,-8087000,26945000,-4902000,,,,,,,-94000,10188000,77973831.0,-4108000,50700000,,,24844000,,815000.0,-1715000,,2101000,-1581000.0,-10867000,,-10867000,8247000,,,,,
2009-09-30,-0.059187,0.0,24812000.0,155916000.0,1386000.0,77973831.0,55847000,4598000.0,-25745000,,-2256000,18000,,1257000,215000,23966000.0,131950000.0,-11139000.0,4493000.0,-23489000,82371000,306000,106547000.0,106547000.0,60999000.0,-4834000,-4615000,,-219000,19473000.0,-236412000.0,1948000,,21000.0,-2868000,206000,,50700000,17357000.0,-0.059187,5760000,0.0,,3160000,,-4291000,45527000,-20619000,1028000.0,,386561000.0,30612000.0,3371000.0,,-60000,11990000,77973831.0,-3035000,106547000,-230645000.0,11066000.0,37828000,325562000.0,894000.0,-577000,19653000.0,7699000,-779000.0,-4615000,,-4615000,10733000,,,,,
2009-12-31,,0.0,26048000.0,130424000.0,3488000.0,,-36920000,5193000.0,-35206000,,-6199000,25000,,8143000,-2046000,29865000.0,100559000.0,-12730000.0,6330000.0,-29007000,-1714000,-609000,69627000.0,69627000.0,57489000.0,-24013000,-24242000,,229000,23535000.0,-260654000.0,1935000,,7000.0,-22053000,985000,,106547000,15086000.0,,-4922000,0.0,,-2102000,,-22925000,18585000,-10147000,1240000.0,,383947000.0,36265000.0,1377000.0,,-47000,24706000,,-6199000,69627000,-253523000.0,14532000.0,16804000,326458000.0,-2271000.0,-1125000,23222000.0,1781000,0.0,-24242000,,-24242000,16563000,,,,,
2010-03-31,-0.35,29920000.0,25989000.0,145320000.0,5931000.0,77973831.0,-8081000,9970000.0,-32801000,,-5472000,230000,,13265000,-1574000,44718000.0,100602000.0,-14689000.0,17852000.0,-27329000,28627000,2473000,61546000.0,61546000.0,59105000.0,-29401000,-29519000,,118000,26866000.0,-290173000.0,2141000,,78000.0,-27030000,3387000,,69627000,18190000.0,-0.35,-5507000,0.0,,-2443000,,-25998000,20812000,-5811000,1427000.0,,101141000.0,41555000.0,6711000.0,,-77000,29850000,77973831.0,-9379000,61546000,44179000.0,7922000.0,16960000,42036000.0,3104000.0,-3221000,28588000.0,3852000,-3907000.0,-29519000,,-29519000,16585000,,,,,
2010-06-30,-5.04,45419000.0,0.0,147974000.0,6467000.0,7643465.0,-14242000,60000.0,-30062000,,-12200000,464000,,15416000,-1949000,57940000.0,90034000.0,-17211000.0,24784000.0,-17862000,13694000,6209000,47304000.0,47304000.0,68634000.0,-38508000,-38517000,,9000,33156000.0,-328689000.0,2483000,,8000.0,-35561000,6115000,,61546000,25634000.0,-5.04,-1140000,0.0,,-535000,,-31362000,28405000,5497000,2116000.0,,457749000.0,50367000.0,8099000.0,,-78000,37623000,7643465.0,-10074000,47304000,-309775000.0,3304000.0,22144000,389115000.0,2854000.0,-6729000,29518000.0,6261000,2126000.0,-38517000,,-38517000,22207000,,,,,
2010-09-30,-0.38,56557000.0,0.0,361621000.0,8062000.0,92270721.0,49259000,188000.0,-53725000,,-5383000,298000,,26698000,-168000,120488000.0,241133000.0,-19289000.0,77592000.0,-48342000,249895000,-3072000,96563000.0,96563000.0,69328000.0,-34852000,-34935000,,83000,42896000.0,-363624000.0,3109000,,93000.0,-31445000,3811000,,47304000,26990000.0,-0.38,-10290000,0.0,,-1597000,,-37834000,31241000,-17557000,2514000.0,,141698000.0,62185000.0,3477000.0,,-78000,47130000,92270721.0,-152294000,96563000,219923000.0,4392000.0,21945000,72370000.0,2035000.0,3180000,39508000.0,9296000,-146911000.0,-34935000,,-34935000,20432000,,,,,
2010-12-31,,71828000.0,0.0,386082000.0,6710000.0,,2995000,5663000.0,-51432000,,-17148000,0,30000000.0,37617000,31000,150196000.0,235886000.0,-21993000.0,27597000.0,-34284000,45829000,-588000,99558000.0,99558000.0,85565000.0,-51395000,-51358000,,-37000,122599000.0,-414982000.0,2890000,,95000.0,-48505000,7843000,,96563000,28951000.0,,-3178000,0.0,,1353000,,-51645000,36286000,6696000,2783000.0,,179034000.0,144592000.0,4635000.0,,-82000,62966000,,-8550000,99558000,207048000.0,11755000.0,24965000,93469000.0,-8205000.0,187000,45182000.0,11321000,8598000.0,-51358000,,-51358000,25349000,,,,,
2011-03-31,-0.51,102484000.0,0.0,407289000.0,20260000.0,95187345.0,1097000,5958000.0,-63773000,,-20476000,0,,41162000,-79000,180383000.0,226906000.0,-24818000.0,27870000.0,-43297000,34283000,11000,100655000.0,100655000.0,112976000.0,-48791000,-48941000,,150000,152513000.0,-463922000.0,3517000,,96000.0,-45274000,5926000,,99558000,49660000.0,-0.51,-5481000,0.0,,-13550000,,-47346000,49030000,-5614000,3089000.0,,239551000.0,177331000.0,43232000.0,,-79000,65374000,95187345.0,10111000,100655000,167738000.0,13935000.0,31002000,126575000.0,,-1485000,50823000.0,18028000,30587000.0,-48941000,,-48941000,24212000,,,,,
