date,quarterlyFreeCashFlow,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyGoodwill,quarterlyLongTermDebt,quarterlyOtherNonCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyBasicAverageShares,quarterlyDepreciationAndAmortization,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyChangeInAccountPayable,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyEndCashPosition,quarterlyGrossProfit,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyDilutedEPS,quarterlyStockholdersEquity,quarterlyChangesInAccountReceivables,quarterlyNetOtherInvestingChanges,quarterlyOperatingExpense,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyRepaymentOfDebt,quarterlySaleOfInvestment,quarterlyBasicEPS,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashAndCashEquivalents,quarterlyOperatingIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyOtherIntangibleAssets,quarterlyInvestmentsAndAdvances,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable
1984-03-31,,,,,,,,,,,,,14244000.0,,,,,,,,,,,,4300000,,,,,,,0.27,,,,,14244000.0,,,,0.27,,,,,,,46500000,,,,,,46500000,,,,,,,,,,,,,,46500000,,,,,,,,,
1984-06-30,,,,,,,,,,,,,14392000.0,,,,,,,,,,,,2200000,,,,,,,0.13,,,,,14392000.0,,,,0.13,,,,,,,29100000,,,,,,29100000,,,,,,,,,,,,,,29100000,,,,,,,,,
1984-09-30,,,,,,,,,,,,,14592000.0,,,,,,,,,,,,2400000,,,,,,,0.14,,,,,14592000.0,,,,0.14,,,,,,,22600000,,,,,,22600000,,,,,,,,,,,,,,22600000,,,,,,,,,
1984-12-31,,,,,,,,,,,,,,,,,,,,,,,,,2600000,,,,,,,,,,,,,,,,,,,,,,,30400000,,,,,,30400000,,,,,,,,,,,,,,30400000,,,,,,,,,
1985-03-31,,,,,,,,,,,,,14840000.0,,,,,,,,,,,,5100000,,,,,,,0.32,,,,,14840000.0,,,,0.32,,,,,,,45300000,,,,,,45300000,,,,,,,,,,,,,,45300000,,,,,,,,,
1985-06-30,,,,,,,,,,,,,14980000.0,,,,,,,,,,,,2400000,,,,,,,0.13,,,,,14980000.0,,,,0.13,,,,,,,24700000,,,,,,24700000,,,,,,,,,,,,,,24700000,,,,,,,,,
1985-09-30,,,,,,,,,,,,,15100000.0,,,,,,,,,,,,2200000,,,,,,,0.12,,,,,15100000.0,,,,0.12,,,,,,,22000000,,,,,,22000000,,,,,,,,,,,,,,22000000,,,,,,,,,
1985-12-31,,,,,,,,,,,,,,,,,,,,,,,,,3600000,,,,,,,,,,,,,,,,,,,,,,,34000000,,,,,,34000000,,,,,,,,,,,,,,34000000,,,,,,,,,
1986-03-31,,,,,,,,,,,,,15352000.0,,,,,,,,,,,,6000000,,,,,,,0.37,,,,,15352000.0,,,,0.37,,,,,,,42600000,,,,,,42600000,,,,,,,,,,,,,,42600000,,,,,,,,,
1986-06-30,,,,,,,,,,,,,15356000.0,,,,,,,,,,,,2100000,,,,,,,0.12,,,,,15356000.0,,,,0.12,,,,,,,25000000,,,,,,25000000,,,,,,,,,,,,,,25000000,,,,,,,,,
1986-09-30,,,,,,,,,,,,,15356000.0,,,,,,,,,,,,2800000,,,,,,,0.16,,,,,15356000.0,,,,0.16,,,,,,,21800000,,,,,,21800000,,,,,,,,,,,,,,21800000,,,,,,,,,
