date,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyInvestmentsAndAdvances,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyBasicAverageShares,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyOperatingExpense,quarterlyCurrentDebt,quarterlyEndCashPosition,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyDilutedEPS,quarterlyOtherCurrentAssets,quarterlyDilutedAverageShares,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyBasicEPS,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyCommonStockIssuance,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyPretaxIncome,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyIncomeTaxPayable
1984-02-29,,,,,,,,,,,,732832000.0,38700000,,,,,,,,,,,,,,,,,,,,,,,,0.055,,732832000.0,,,,,,,,,,,,,,0.055,,,,,1341800000,,,,,,,,1341800000,,,,,,,,1341800000,,,
1984-05-31,2858100000.0,49000000.0,,362600000.0,834100000.0,,1468200000.0,,,,488100000.0,,40500000,,,,,,76500000.0,661700000.0,66000000.0,66000000.0,,,,311300000.0,,146000000.0,,,,,1633500000.0,92800000.0,,,,111600000.0,,,,,,,,,,,,1224600000.0,,,,-599800000.0,1229400000.0,,,-3787300000,,,,,1375000000.0,,,1361100000,,,,,1389900000.0,1145400000.0,1829200000.0,-3787300000,,,
1984-08-31,,,,,,,,,,,,724224000.0,54100000,,,,,,,,,,,,,,,,,,,,,,,,0.075,,724224000.0,,,,,,,,,,,,,,0.075,,,,,1386400000,,,,,,,,1386400000,,,,,,,,1386400000,,,
1984-11-30,,,,,,,,,,,,723200000.0,55600000,,,,,,,,,,,,,,,,,,,,,,,,0.08,,723200000.0,,,,,,,,,,,,,,0.08,,,,,1559400000,,,,,,,,1559400000,,,,,,,,1559400000,,,
1985-02-28,,,,,,,,,,,,708656000.0,31200000,,,,,,,,,,,,,,,,,,,,,,,,-0.105,,708656000.0,,,,,,,,,,,,,,-0.105,,,,,1098100000,,,,,,,,1098100000,,,,,,,,1098100000,,,
1985-05-31,2662600000.0,42000000.0,,449500000.0,618000000.0,,1376000000.0,,,,582100000.0,,2800000,,,,,,90600000.0,377700000.0,66800000.0,66800000.0,,,,439200000.0,,50800000.0,,,,,1639300000.0,369200000.0,,,,557600000.0,,,,,,,,,,,,1023300000.0,,,,-530000000.0,956000000.0,,,-2968700000,,,,,1201700000.0,,,984600000,,,,,1286600000.0,1057200000.0,1486000000.0,-2968700000,,,
1985-08-31,,,,,,,,,,,,711056000.0,48900000,,,,,,,,,,,,,,,,,,,,,,,,0.07,,711056000.0,,,,,,,,,,,,,,0.07,,,,,1067900000,,,,,,,,1067900000,,,,,,,,1067900000,,,
1985-11-30,,,,,,,,,,,,712752000.0,46000000,,,,,,,,,,,,,,,,,,,,,,,,0.065,,712752000.0,,,,,,,,,,,,,,0.065,,,,,1203500000,,,,,,,,1203500000,,,,,,,,1203500000,,,
1986-02-28,,,,,,,,,,,,713776000.0,46400000,,,,,,,,,,,,,,,,,,,,,,,,0.065,,713776000.0,,,,,,,,,,,,,,0.065,,,,,1153900000,,,,,,,,1153900000,,,,,,,,1153900000,,,
1986-05-31,2086200000.0,54800000.0,,458300000.0,752300000.0,,1281800000.0,,,,640900000.0,,42200000,,,,,,127800000.0,350900000.0,190300000.0,190300000.0,,,,10500000.0,,53400000.0,,,,,1403700000.0,143500000.0,,,,43200000.0,,,,,,,,,,,,682500000.0,,,,-626100000.0,1084900000.0,,,-3061400000,,,,,812900000.0,,,1161300000,,,,,804400000.0,762800000.0,1711000000.0,-3061400000,,,
1986-08-31,,,,,,,,,,,,717344000.0,60300000,,,,,,,,,,,,,,,,,,,,,,,,0.08,,717344000.0,,,,,,,,,,,,,,0.08,,,,,1186400000,,,,,,,,1186400000,,,,,,,,1186400000,,,
1986-11-30,,,,,,,,,,,,717344000.0,60200000,,,,,,,,,,,,,,,,,,,,,,,,0.1,,717344000.0,,,,,,,,,,,,,,0.1,,,,,1334700000,,,,,,,,1334700000,,,,,,,,1334700000,,,
1987-02-28,,,,,,,,,,,,705480000.0,56900000,,,,,,,,,,,,,,,,,,,,,,,,0.08,,705480000.0,,,,,,,,,,,,,,0.08,,,,,1311300000,,,,,,,,1311300000,,,,,,,,1311300000,,,
1987-05-31,2280400000.0,58900000.0,,285500000.0,828600000.0,,1414500000.0,,,,627000000.0,,44600000,,,,,,282600000.0,388600000.0,179700000.0,179700000.0,,,,94400000.0,,56400000.0,,,,,1550000000.0,108600000.0,,,,60900000.0,,,,,,,,,,,,730400000.0,,,,-689600000.0,1249500000.0,,,-3371800000,,,,,924100000.0,,,1350300000,,,,,865900000.0,923000000.0,1939100000.0,-3371800000,,,
1987-08-31,,,,,,,,,,,,705856000.0,77200000,,,,,,,,,,,,,,,,,,,,,,,,0.11,,705856000.0,,,,,,,,,,,,,,0.11,,,,,1375300000,,,,,,,,1375300000,,,,,,,,1375300000,,,
1987-11-30,,,,,,,,,,,,705856000.0,79600000,,,,,,,,,,,,,,,,,,,,,,,,0.115,,705856000.0,,,,,,,,,,,,,,0.115,,,,,1511700000,,,,,,,,1511700000,,,,,,,,1511700000,,,
1988-02-29,,,,,,,,,,,,705856000.0,71400000,,,,,,,,,,,,,,,,,,,,,,,,0.105,,705856000.0,,,,,,,,,,,,,,0.105,,,,,1443700000,,,,,,,,1443700000,,,,,,,,1443700000,,,
1988-05-31,2671900000.0,63400000.0,,361500000.0,819800000.0,,1686000000.0,,,,832000000.0,,37200000,,,,,,407100000.0,423500000.0,14600000.0,14600000.0,,,,371600000.0,,72900000.0,,,,,2023400000.0,236700000.0,,,,317800000.0,,,,,,,,,,,,648500000.0,,,,-762600000.0,1376400000.0,,,-3850200000,,,,,1067900000.0,,,848100000,,,,,985900000.0,1191400000.0,2139000000.0,-3850200000,,,
1988-08-31,,,,,,,,,,,,669240000.0,90800000,,,,,,,,,,,,,,,,,,,,,,,,0.445,,669240000.0,,,,,,,,,,,,,,0.445,,,,,1379300000,,,,,,,,1379300000,,,,,,,,1379300000,,,
1988-11-30,,,,,,,,,,,,656360000.0,79600000,,,,,,,,,,,,,,,,,,,,,,,,0.125,,656360000.0,,,,,,,,,,,,,,0.125,,,,,1415800000,,,,,,,,1415800000,,,,,,,,1415800000,,,
1989-02-28,,,,,,,,,,,,657296000.0,82300000,,,,,,,,,,,,,,,,,,,,,,,,0.125,,657296000.0,,,,,,,,,,,,,,0.125,,,,,1455700000,,,,,,,,1455700000,,,,,,,,1455700000,,,
1989-05-31,2888100000.0,182200000.0,,536300000.0,467800000.0,,2046800000.0,,,,1117800000.0,,62600000,,,,,,399300000.0,370100000.0,10600000.0,10600000.0,,,,133800000.0,,57200000.0,,,,,2156200000.0,401500000.0,,,,206000000.0,,,,,,436800000.0,,,,,,731900000.0,,,,-815900000.0,1588100000.0,,,-3705800000,,,,,1327800000.0,,,1369800000,,,,,841300000.0,1038400000.0,2404000000.0,-3705800000,,,
1989-08-31,3009300000.0,189400000.0,6300000.0,558700000.0,472100000.0,805300000.0,2046300000.0,,,,1151500000.0,638333333.0,107200000,,114900000.0,471100000.0,114900000.0,7700000.0,403400000.0,443900000.0,16900000.0,16900000.0,,,511500000.0,159800000.0,0.0,64900000.0,8200000.0,-71400000.0,40400000.0,-45700000.0,2246300000.0,341100000.0,1700000.0,19000000.0,0.18,222600000.0,638333333.0,,,-51000000.0,,462900000.0,,,696500000.0,,10600000.0,763000000.0,-1600000.0,,0.18,-844400000.0,1640300000.0,69600000.0,-15600000.0,225400000,,-21800000.0,7700000.0,-36100000.0,1398000000.0,,104200000.0,1501800000,113800000.0,-94800000.0,176800000.0,,963000000.0,1094800000.0,2484700000.0,185000000,,,
1989-11-30,3174000000.0,205000000.0,35500000.0,576600000.0,466200000.0,873700000.0,2158400000.0,,,,1183200000.0,652857143.0,91400000,,91400000.0,550000000.0,91400000.0,0.0,401600000.0,421800000.0,52400000.0,52400000.0,,,594700000.0,203700000.0,0.0,64600000.0,8000000.0,-134600000.0,44700000.0,-45300000.0,2362000000.0,361700000.0,-4900000.0,14900000.0,0.14,223700000.0,652857143.0,,,-1900000.0,,508900000.0,,,752900000.0,,0.0,812000000.0,-4900000.0,,0.14,-874000000.0,1732100000.0,58800000.0,-4300000.0,202900000,,28800000.0,800000.0,14300000.0,1444600000.0,,5300000.0,1626600000,155800000.0,-140900000.0,150200000.0,,1015600000.0,1178800000.0,2606100000.0,158200000,,,
1990-02-28,3279700000.0,195500000.0,-35100000.0,607700000.0,526000000.0,875800000.0,2268300000.0,,,,1203400000.0,643870968.0,99800000,,99800000.0,519000000.0,99800000.0,0.0,400200000.0,420400000.0,17300000.0,17300000.0,,,564100000.0,257500000.0,0.0,64800000.0,8400000.0,-152600000.0,45100000.0,-45400000.0,2507700000.0,372800000.0,-2700000.0,-9700000.0,0.155,223000000.0,643870968.0,,,-62100000.0,,520800000.0,,,736400000.0,,0.0,772000000.0,30500000.0,,0.155,-915300000.0,1830700000.0,64100000.0,12200000.0,217400000,,,-200000.0,-19700000.0,1499000000.0,,4200000.0,1612200000,137200000.0,-146900000.0,163900000.0,,1011400000.0,1304300000.0,2746000000.0,172300000,,,
1990-05-31,3289500000.0,190500000.0,-16600000.0,688500000.0,471400000.0,930300000.0,2379400000.0,,,,1306600000.0,,75300000,,75300000.0,597900000.0,75300000.0,0.0,427600000.0,394400000.0,700000.0,700000.0,,,647800000.0,183600000.0,0.0,64400000.0,7800000.0,-171600000.0,49900000.0,-44400000.0,2479800000.0,380500000.0,3000000.0,63600000.0,,256300000.0,,,,-34900000.0,,518200000.0,,,777400000.0,,0.0,809700000.0,-58900000.0,,,-948700000.0,1934500000.0,46500000.0,-22500000.0,179500000,,,4200000.0,-66000000.0,1530600000.0,,55200000.0,1707700000,221000000.0,-157400000.0,121800000.0,,910100000.0,1173200000.0,2883200000.0,129600000,,,
