date,quarterlyBasicAverageShares,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyRepaymentOfDebt,quarterlyBasicEPS,quarterlyBeginningCashPosition,quarterlyTaxProvision,quarterlyNetPPE,quarterlyChangesInAccountReceivables,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyNetOtherFinancingCharges,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentAssets,quarterlyCapitalExpenditure,quarterlyDilutedEPS,quarterlyDeferredIncomeTax,quarterlyOperatingCashFlow,quarterlyGrossPPE,quarterlySaleOfInvestment,quarterlyChangeInCashSupplementalAsReported,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyInterestExpense,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyCommonStockIssuance,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyCashDividendsPaid,quarterlyOtherNonCashItems,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyPurchaseOfInvestment,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyGoodwill,quarterlyDepreciationAndAmortization,quarterlyRepurchaseOfCapitalStock,quarterlyOtherShortTermInvestments,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalStock,quarterlyResearchAndDevelopment,quarterlyChangeInInventory,quarterlyCurrentDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyInventory,quarterlyIncomeTaxPayable
2013-12-31,76200000,14470000,5286000,,,0.0,0.039213,0,,,-9426000,0,,,,-4083000.0,0.039213,,4845000,,,762000,8729000,,5741000.0,-3342000,,0.0,25410000,0.0,,,,0.0,,2988000,,,0.0,14987000,76200000,,762000,2988000,14470000,,,0.0,0,762000,-4083000,972000,,,87000,,5828000.0,14015000,,,,,,,,,,,,,,,,,,,
2014-03-31,76200000,14589000,5711000,0.0,0.0,,0.051,762000,,440195000.0,2795000,-28000,-28000.0,-10766000.0,0.0,-6878000.0,0.051,,6543000,450961000.0,,-363000,9221000,0.0,5368000.0,-2877000,0.0,,25524000,,28000.0,119763000.0,,,0.0,3853000,440195000.0,440223000.0,,15853000,76200000,119763000.0,-335000,3853000,14589000,,28000.0,0.0,0,399000,-6878000,921000,0.0,412000.0,144000,0.0,-5828000.0,14932000,0.0,,,,,,,,,,,,,,,,,,
2014-06-30,76200000,14883000,6361000,7029000.0,7029000.0,,0.01,399000,,436479000.0,-537000,-2494000,-1144000.0,-16830000.0,0.0,1603000.0,0.01,,7521000,453309000.0,,6630000,9496000,0.0,5387000.0,-2780000,1327000.0,,26334000,,14213000.0,14021000.0,,,0.0,3168000,436479000.0,450692000.0,,17249000,76200000,14021000.0,9124000,3168000,14883000,,16000.0,0.0,0,7029000,1603000,1392000,7168000.0,1434000.0,297000,0.0,-2071000.0,15857000,0.0,,,,,,,,,,,,,,,,,,
2014-09-30,76618000,11186000,10114000,13504000.0,13504000.0,-78000000.0,0.14,7029000,,486196000.0,-2797000,82445000,-1806000.0,-24801000.0,35076000.0,-57688000.0,0.14,,15569000,510997000.0,,6475000,11175000,0.0,0.0,-4201000,0.0,95511000.0,19157000,883000.0,24036000.0,1789000.0,-11260000.0,883000.0,0.0,10869000,521272000.0,545308000.0,,22767000,77235000,1789000.0,-42119000,10869000,11186000,,567000.0,-33851000.0,11000,13504000,-91539000,1478000,9965000.0,1789000.0,2143000,0.0,-853000.0,21289000,0.0,,,,,,,,,,,,,,,,,,
2014-12-31,79705000,10973000,9787000,15110000.0,15110000.0,0.0,0.14,13504000,,478285000.0,1726000,-20573000,-647000.0,-32800000.0,35015000.0,-2000.0,0.14,,22180000,511085000.0,,1606000,10525000,0.0,0.0,2222000,6000.0,0.0,18972000,1091000.0,24102000.0,2051000.0,-19926000.0,65000.0,0.0,10803000,513300000.0,537402000.0,1000.0,21898000,79715000,2051000.0,22178000,10803000,10973000,,253000.0,0.0,448000,15110000,-1000,1586000,8239000.0,2045000.0,1788000,0.0,682000.0,20312000,0.0,,,,,,,,,,,,,,,,,,
2015-03-31,79708000,5250000,10453000,9821000.0,9821000.0,,0.06,15110000,,469299000.0,1155000,-19927000,-19927000.0,-41700000.0,34950000.0,,0.06,,14553000,510999000.0,,-5289000,4764000,0.0,0.0,-434000,6000.0,,14151000,939000.0,17897000.0,701000.0,-19927000.0,65000.0,0.0,5082000,504249000.0,522146000.0,,16545000,79711000,701000.0,14553000,5082000,5250000,,492000.0,85000.0,486000,9821000,85000,1328000,7084000.0,695000.0,1552000,0.0,-1589000.0,15217000,,,,,,,,,,,,,,,,,,,
2015-06-30,79710000,8252000,10256000,9988000.0,9988000.0,,0.1,9821000,,460358000.0,-2818000,-15445000,-15445000.0,-50650000.0,35175000.0,,0.1,,15620000,511008000.0,,167000,7946000,0.0,0.0,-2389000,0.0,,17201000,939000.0,20857000.0,1105000.0,-15144000.0,76000.0,0.0,8045000,495533000.0,516390000.0,,19619000,79710000,1105000.0,15620000,8045000,8252000,,467000.0,-8000.0,306000,9988000,-8000,1417000,9902000.0,1105000.0,1307000,0.0,643000.0,18202000,,,,,,,,,,,,,,,,,,,
2015-09-30,79721000,6713000,10546000,4951000.0,4951000.0,0.0,0.08,9988000,,483918000.0,-694000,11460000,-2000.0,-59386000.0,35866000.0,,0.08,,15800000,543304000.0,,-5037000,6545000,0.0,0.0,-453000,0.0,0.0,15450000,1078000.0,16500000.0,2104000.0,-17538000.0,83000.0,29000000.0,6355000,519784000.0,536284000.0,,18777000,79730000,31104000.0,-16420000,6355000,6713000,0.0,453000.0,-77000.0,168000,4951000,-32297000,1686000,10596000.0,2104000.0,1809000,0.0,999000.0,17091000,29000000.0,,,,,,,,,,,,,,,,,,
2015-12-31,79726000,5314000,10275000,539000.0,539000.0,0.0,0.06,4951000,,483333000.0,1227000,-10584000,-138000.0,-71659000.0,35514000.0,-11687000.0,0.06,,17859000,554992000.0,,-4412000,8543000,0.0,0.0,-413000,5000.0,0.0,14163000,973000.0,10884000.0,87000.0,-15946000.0,90000.0,34500000.0,4937000,518847000.0,529731000.0,0.0,19918000,79729000,34587000.0,6172000,4937000,5314000,0.0,476000.0,0.0,-3229000,539000,-11687000,1100000,9369000.0,82000.0,1426000,0.0,-2017000.0,18818000,34500000.0,,,,,,,,,,,,,,,,,,
2016-03-31,79726000,-23335000,9985000,4663000.0,4663000.0,,-0.29,539000,,451268000.0,2915000,-9680000,-2000.0,-105820000.0,35424000.0,-2082000.0,-0.29,,15886000,557088000.0,,4124000,2907000,0.0,430000.0,3995000,0.0,,11057000,973000.0,11822000.0,910000.0,-18178000.0,92000.0,43000000.0,-23335000,486692000.0,498514000.0,,14194000,79726000,43910000.0,13804000,-23335000,-23335000,0.0,205000.0,0.0,-25812000,4663000,-2082000,1302000,6454000.0,910000.0,1835000,0.0,823000.0,12892000,43000000.0,,,,,,,,,,,,,,,,,,
2016-06-30,79728000,-14020000,7882000,6144000.0,6144000.0,,-0.18,4663000,,432504000.0,-1497000,-3397000,-18000.0,-133862000.0,35348000.0,-9237000.0,-0.18,,14115000,566366000.0,,1481000,7747000,0.0,456000.0,-958000,25000.0,,14331000,957000.0,14725000.0,1415000.0,-11879000.0,94000.0,51500000.0,-14020000,467852000.0,482577000.0,,17032000,79728000,52915000.0,4878000,-14020000,-14020000,0.0,130000.0,0.0,-21311000,6144000,-9237000,1403000,7951000.0,1390000.0,1298000,0.0,482000.0,15629000,51500000.0,,,,,,,,,,,,,,,,,,
2016-09-30,84996000,10202000,7974000,7758000.0,7758000.0,,0.12,6144000,,552203000.0,-1967000,111528000,-459000.0,-140613000.0,34897000.0,-126467000.0,0.12,,16553000,692816000.0,,1614000,10594000,0.0,658000.0,-1538000,37000.0,,17345000,1044000.0,18269000.0,1790000.0,-16593000.0,94000.0,54500000.0,10202000,587100000.0,605369000.0,,19997000,85003000,56290000.0,-109914000,10202000,10202000,0.0,93000.0,0.0,266000,7758000,-126467000,1429000,9918000.0,1753000.0,1223000,0.0,398000.0,18568000,54500000.0,,,,,,,,,,,,,,,,,,
2016-12-31,87800000,18709000,9603000,9213000.0,9213000.0,0.0,0.19,7758000,,611870000.0,-3595000,47317000,-509000.0,-148948000.0,35266000.0,-67935000.0,0.19,,22073000,760818000.0,,1455000,16910000,0.0,911000.0,-3478000,1780000.0,0.0,-21357000,841000.0,23413000.0,2151000.0,-18174000.0,121000.0,120500000.0,16254000,647136000.0,670549000.0,,27923000,87804000,122651000.0,-45862000,16254000,18709000,0.0,187000.0,0.0,255000,9213000,-67935000,1410000,13513000.0,371000.0,1268000,0.0,238000.0,26513000,120500000.0,,,,,,,,,,,,,,,,,,
2017-03-31,94969000,20652000,10132000,28563000.0,28563000.0,-120500000.0,0.22,9213000,,612598000.0,-2655000,1864000,-187000.0,-156795000.0,35053000.0,-8579000.0,0.22,,26065000,769393000.0,,19350000,21450000,0.0,612000.0,-3386000,31000.0,147725000.0,29297000,819000.0,44939000.0,872000.0,-25174000.0,133000.0,0.0,20652000,647651000.0,692590000.0,,33652000,94979000,872000.0,17486000,20652000,20652000,,208000.0,0.0,-186000,28563000,-8579000,2070000,16168000.0,841000.0,2285000,0.0,-1187000.0,31582000,0.0,,,,,,,,,,,,,,,,,,
2017-06-30,97677000,22149000,11370000,1614000.0,1614000.0,-22500000.0,0.23,28563000,,720070000.0,1846000,51769000,-210000.0,-166467000.0,35083000.0,-114100000.0,0.23,,35382000,886537000.0,,-26949000,22479000,0.0,643000.0,2696000,4000.0,0.0,32151000,718000.0,16127000.0,1697000.0,-29521000.0,147000.0,81500000.0,22149000,755153000.0,771280000.0,,36622000,97677000,83197000.0,-78718000,22149000,22149000,0.0,191000.0,0.0,313000,1614000,-114100000,2773000,14322000.0,1693000.0,1698000,0.0,852000.0,33849000,81500000.0,,,,,,,,,,,,,,,,,,
2017-09-30,110377000,26607000,12641000,4438000.0,4438000.0,-162500000.0,0.24,1614000,,887858000.0,-6523000,148668000,-216000.0,-177534000.0,34929000.0,-178454000.0,0.24,,32610000,1065392000.0,,2824000,27067000,0.0,859000.0,-5721000,110000.0,232687000.0,38135000,502000.0,25430000.0,2857000.0,-37803000.0,154000.0,35500000.0,26607000,922787000.0,948217000.0,,42533000,110424000,38357000.0,-145844000,26607000,26607000,0.0,147000.0,0.0,399000,4438000,-178454000,2825000,20845000.0,2747000.0,1573000,0.0,702000.0,39708000,35500000.0,,,,,,,,,,,,,,,,,,
2017-12-31,113882000,42070000,13461000,24197000.0,24197000.0,0.0,0.37,4438000,,914431000.0,-10051000,17543000,-2079000.0,-189466000.0,43158000.0,-42946000.0,0.37,,45162000,1103897000.0,,19759000,42825000,0.0,1050000.0,-9351000,2960000.0,0.0,54757000,356000.0,55448000.0,5629000.0,-38378000.0,155000.0,93500000.0,42070000,957589000.0,1013037000.0,,59226000,113923000,99129000.0,2216000,42070000,42070000,0.0,355000.0,0.0,295000,24197000,-42946000,2940000,30896000.0,2669000.0,1529000,0.0,931000.0,56286000,93500000.0,,,,,,,,,,,,,,,,,,
2018-03-31,113901000,42896000,14451000,18151000.0,18151000.0,0.0,0.38,24197000,,1057335000.0,-4482000,94611000,-3000.0,-200992000.0,18824000.0,-149994000.0,0.38,,49212000,1258327000.0,125000.0,-6046000,43703000,,2098000.0,-5753000,576000.0,0.0,55228000,1288000.0,53890000.0,2494000.0,-52386000.0,155000.0,240500000.0,42896000,1076159000.0,1130049000.0,,62393000,113991000,242994000.0,-100782000,42896000,42896000,,361000.0,,1291000,18151000,-149869000,4239000,35378000.0,1918000.0,2976000,0.0,,58154000,240500000.0,,,,,,,,,,,,,,,,,,
2018-06-30,73336000,56586000,15555000,32886000.0,32886000.0,,1.36,18151000,-71878000.0,1146345000.0,-3842000,54356000,-471000.0,-214252000.0,25560000.0,-103062000.0,1.35,,63000000,1360597000.0,0.0,14735000,54926000,,3252000.0,-2829000,9000.0,,68186000,452000.0,72401000.0,3057000.0,-54673000.0,167000.0,350000000.0,99404000,1243954000.0,1316355000.0,,75348000,73427000,353057000.0,-40062000,99404000,128464000,,295000.0,,4912000,32886000,-102621000,4867000,39220000.0,3048000.0,2353000,0.0,,70481000,350000000.0,,,,,,,,,,,,,,,,,,
2018-09-30,48234000,51576000,18718000,16829000.0,16829000.0,,0.05,32886000,764000.0,1387329000.0,-6556000,177215000,-785000.0,-230784000.0,23346000.0,-252786000.0,0.05,865000.0,64202000,1618113000.0,-1000.0,-16057000,54846000,,,-4831000,4000.0,,71378000,426000.0,62751000.0,4710000.0,-74413000.0,199000.0,296500000.0,2346000,1506226000.0,1568977000.0,,78591000,48304000,301210000.0,-188584000,2346000,50812000,,146000.0,-4687000.0,441000,16829000,-257474000,5027000,45776000.0,4706000.0,2198000,0.0,1755000.0,73564000,296500000.0,,,,,,,,,,,,,,,,,,
2018-12-31,51654000,39454000,17931000,22676000.0,22676000.0,-20000000.0,-0.01,16829000,-1251000.0,1474105000.0,3464000,42057000,-432000.0,-248296000.0,17831000.0,-108976000.0,-0.01,-1332000.0,68079000,1722401000.0,0.0,5847000,49512000,,,4665000,0.0,0.0,67025000,597000.0,65245000.0,6022000.0,-72011000.0,216000.0,411000000.0,-688000,1588819000.0,1654064000.0,,72358000,51724000,417022000.0,-40897000,-688000,40705000,,257000.0,4687000.0,-5270000,22676000,-104289000,4915000,42312000.0,6022000.0,428000,0.0,1230000.0,67443000,411000000.0,,,,,,,,,,,,,,,,,,
2019-03-31,55448000,39703000,17892000,10133000.0,10133000.0,-313500000.0,0.61,22676000,-34608000.0,1539872000.0,-3147000,22929000,-615000.0,-264495000.0,21257000.0,-81923000.0,0.61,-34655000.0,46451000,1804367000.0,0.0,-12543000,40004000,,,-6433000,8000.0,340860000.0,56203000,405000.0,55850000.0,2780000.0,-63316000.0,216000.0,157000000.0,33779000,1711592000.0,1767442000.0,,61588000,55475000,159780000.0,-35472000,33779000,74311000,,258000.0,,4248000,10133000,-81923000,3692000,45459000.0,2772000.0,1695000,0.0,-3289000.0,57896000,157000000.0,,,,,,,,,,,,,,,,,,
