date,quarterlyRetainedEarnings,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNonCurrentDeferredRevenue,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyGoodwill,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyStockholdersEquity,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyNetPPE,quarterlyInventory,quarterlyInvestmentsAndAdvances,quarterlyOtherCurrentLiabilities,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyTotalNonCurrentAssets,quarterlyOtherShortTermInvestments,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyTotalAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyAccountsPayable,quarterlyDeferredIncomeTax,quarterlyChangeInWorkingCapital,quarterlyNetOtherInvestingChanges,quarterlyCashDividendsPaid,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyRepurchaseOfCapitalStock,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyNetIncomeCommonStockholders,quarterlyNetIncomeContinuousOperations,quarterlyEbitda,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyInvestingCashFlow,quarterlyFreeCashFlow,quarterlyNetIncome,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCommonStockIssuance,quarterlyEndCashPosition,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlySellingGeneralAndAdministration,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyBasicAverageShares,quarterlyResearchAndDevelopment,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyBeginningCashPosition,quarterlyDilutedAverageShares,quarterlyOperatingIncome,quarterlyOperatingExpense,quarterlyBasicEPS,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlySaleOfInvestment,quarterlyRepaymentOfDebt,quarterlyInterestExpense,quarterlyCapitalExpenditure
2008-12-31,,15386272000,389815000.0,12956248000,9979422000,24206613000.0,,8537759000,121438000,202512000.0,279859000,,4411296000,1631059000.0,22953426000,5406850000,3172636000,17988216000,3067436000,,0.0,1740621000.0,-6218397000.0,38740494000,,113700000,14969000,51696742000,,6666940000,6666940000,5987782000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-06-30,,18867468000,,16808162000,10069122000,,,8542124000,398026000,1653032000.0,307601000,,7699184000,73237000.0,30520244000,8798346000,3117440000,18744070000,2925263000,,0.0,1933911000.0,,39817260000,61843000.0,113728000,13625000,56625422000,,10182499000,10244342000,1131208000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-31,4278180000.0,20088309000,147811000.0,16177050000,10884944000,26524613000.0,,8649068000,196055000,1812311000.0,413139000,,7985725000,118245000.0,31305082000,9203365000,3037948000,19045485000,2995039000,,5436612000.0,1697362000.0,-7479128000.0,42928260000,0.0,113737000,26911000,59105310000,,9486026000,9486026000,6893057000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,26385545000,446419000.0,21943175000,15500234000,,,8659464000,194043000,2940936000.0,418563000,,9584634000,90390000.0,32497619000,10885311000,6400246000,19955864000,3302802000,,0.0,1618074000.0,,45663936000,693259000.0,113737000,25186000,67607111000,,11669594000,12362853000,2052479000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,5513731000.0,26092533000,129748000.0,21780074000,14790566000,31328060000.0,626774000.0,7245773000,27333000,2249637000.0,364053000,,9877742000,2679475000.0,34267909000,11301967000,2320309000,22244006000,3726623000,10217503000.0,9182703000.0,12356043000.0,-9084054000.0,45248720000,,113737000,1270110000,67028794000,7395229000.0,14446800000,14446800000,11475556000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,,33115155000,500720000.0,26848049000,16700375000,,,7415485000,7853356000,2030494000.0,363776000,,7311418000,1346244000.0,36240425000,16414780000,5054891000,24005806000,4244423000,,0.0,567586000.0,,49482130000,362312000.0,113757000,21316000,76330179000,,16834139000,17196451000,2632327000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,371521000.0,32158704000,522390000.0,23497978000,16286667000,,,7453561000,239320000,1633069000.0,371353000,,14481034000,1177992000.0,37609667000,15872037000,5704951000,26317184000,5285611000,,3446916000.0,636015000.0,,53857455000,36631000.0,113757000,23681000,77355433000,,12579439000,12616070000,1904594000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,,39522953000,,28380485000,18095781000,,372324000.0,7493495000,239240000,3742394000.0,428617000,2780302000.0,19989133000,101830000.0,38452116000,21427172000,5681316000,28473494000,5705575000,14886765000.0,5413951000.0,1183928000.0,,57881626000,109756000.0,113757000,80562000,86262111000,38053966000.0,15220938000,15330694000,8241599000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,572286000.0,41868265000,115475000.0,27292086000,20327315000,46886511000.0,,7549326000,128585000,2403154000.0,375979000,,20337602000,60953000.0,39609465000,21540950000,6276941000,34445662000,5913959000,,6951842000.0,419238000.0,-12440849000.0,62215865000,,113757000,438888000,89507951000,,12236964000,12236964000,2616491000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,10316157000.0,43808562000,,27877190000,23211267000,37935064000.0,,7616124000,363408000,3796409000.0,194144000,,19465390000,63172000.0,43795222000,20597295000,5570850000,37935064000,6207424000,,3538153000.0,429852000.0,,69319584000,126582000.0,116649000,490813000,97196774000,,12936781000,13063363000,3378397000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
