date,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyNetPPE,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherCurrentLiabilities,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalAssets,quarterlyCurrentDebt,quarterlyAccountsPayable,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyAccountsReceivable,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyInventory,quarterlyStockholdersEquity,quarterlyOperatingIncome,quarterlyRepurchaseOfCapitalStock,quarterlyBasicEPS,quarterlyCurrentAccruedExpenses,quarterlyPurchaseOfBusiness,quarterlyNetIncomeContinuousOperations,quarterlyOperatingCashFlow,quarterlyChangeInInventory,quarterlyCommonStockIssuance,quarterlyDepreciationAndAmortization,quarterlyNetOtherInvestingChanges,quarterlyChangeInCashSupplementalAsReported,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyStockBasedCompensation,quarterlyGoodwill,quarterlyCashDividendsPaid,quarterlySellingGeneralAndAdministration,quarterlyNonCurrentDeferredRevenue,quarterlyFreeCashFlow,quarterlyDilutedAverageShares,quarterlyBasicAverageShares,quarterlyInterestExpense,quarterlyPurchaseOfInvestment,quarterlyDilutedEPS,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyTotalRevenue,quarterlyEbitda,quarterlyOtherIncomeExpense,quarterlyNetIncome,quarterlyGrossProfit,quarterlyPretaxIncome,quarterlyCostOfRevenue,quarterlyChangesInAccountReceivables,quarterlyChangeInWorkingCapital,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyRepaymentOfDebt,quarterlyDeferredIncomeTax,quarterlyNetOtherFinancingCharges,quarterlyResearchAndDevelopment,quarterlyEndCashPosition,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyBeginningCashPosition,quarterlyCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingExpense
2013-12-31,3715931000,3698141000,14347000,1193000,919613000,0.0,-131615000.0,0.0,2118086000.0,15976669000,484804000,586875000,7521991000,17790000.0,11028055000,2699547000,4948614000,1051228000,1595547000,8263000.0,1104000000,3662000.0,0.0,813202000,1104000000,9806938000.0,184917000,12801011000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,3073209000,2305419000,14347000,1005000,1029849000,0.0,,0.0,,16455739000,328804000,639832000,8290861000,767790000.0,12106565000,2390505000,4349174000,1029849000,1650505000,,740000000,3190000.0,0.0,793443000,740000000,,167085000,13616495000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,2707583000,2057583000,14347000,830000,1209983000,0.0,-186475000.0,0.0,,17206867000,670000000,660418000,9665958000,650000000.0,13206837000,1906416000,4000030000,1396458000,1776416000,,130000000,650000000.0,0.0,811522000,130000000,,145659000,14853647000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,2953002000,2653002000,14347000,664000,1209366000,0.0,,0.0,,18806236000,1310000000,757269000,10755161000,300000000.0,14432490000,2942640000,4373746000,1209366000,2592640000,,350000000,0.0,0.0,772675000,350000000,,198787000,15453564000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-31,2332268000,2332268000,14347000,84023000,1202242000,0.0,-255728000.0,0.0,,18499709000,50000000,847937000,11573444000,,14843259000,1750315000,3656450000,1457970000,1270315000,,480000000,1745000.0,0.0,679012000,480000000,,246116000,16258446000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-30,2342073000,1892073000,14347000,88956000,1228175000,0.0,,0.0,,19284119000,74783000,760320000,12350900000,450000000.0,15630658000,2153201000,3653461000,1228175000,1617884000,,535317000,450000000.0,0.0,724410000,535317000,,190655000,16604214000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-31,2165640000,2165640000,14347000,279198000,1233100000,0.0,-328755000.0,0.0,,20213073000,59833000,874024000,13491835000,,16871960000,1866483000,3341113000,1561855000,1331216000,,535267000,18175000.0,0.0,683659000,535267000,,164064000,17747317000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30,2019450000,2019450000,14347000,431429000,1258709000,0.0,,0.0,,21676369000,368392000,1031724000,14904472000,,18450311000,2406928000,3226058000,1258709000,2203620000,,203308000,30495000.0,0.0,719458000,203308000,,122879000,18664759000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-12-31,1482745000,1457745000,14347000,704408000,1489056000,,-408160000.0,,,23176217000,482300000,1011033000,16846764000,25000000.0,20551861000,1964902000,2624356000,1897216000,1920402000,,44500000,,,660166000,44500000,,128193000,20577751000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-06-30,1318896000,1236647000,14347000,970887000,1732288000,,,,,25930899000,191300000,1025274000,19354947000,82249000.0,23440063000,2972478000,2490836000,1732288000,2361128000,,611350000,,,669521000,611350000,,171245000,22323482000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
