date,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyAccountsReceivable,quarterlyOtherShortTermInvestments,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyInvestmentsAndAdvances,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherIncomeExpense,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyNetOtherFinancingCharges,quarterlyBasicEPS,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlyOtherIntangibleAssets,quarterlyOtherNonCurrentAssets,quarterlyChangeInInventory,quarterlyBasicAverageShares,quarterlyOtherCurrentAssets,quarterlyChangesInAccountReceivables,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyRepurchaseOfCapitalStock,quarterlySaleOfInvestment,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyGrossProfit,quarterlyAccountsPayable,quarterlyChangeInAccountPayable,quarterlyOperatingExpense,quarterlyNetOtherInvestingChanges,quarterlyCurrentDeferredRevenue,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyTaxProvision,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyStockBasedCompensation,quarterlyDilutedEPS,quarterlyOperatingIncome,quarterlyResearchAndDevelopment,quarterlyRetainedEarnings,quarterlyPurchaseOfBusiness,quarterlyChangeInWorkingCapital,quarterlyGrossPPE,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyIncomeTaxPayable,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyDeferredIncomeTax,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyNonCurrentDeferredRevenue
1997-03-31,,200000,1400000,3700000,100000.0,,,,-700000,,,1581169.0,3100000.0,,-300000,-300000,200000.0,-300000,0,0,100000.0,2300000,2300000,,,,-200000.0,-0.419999,3500000,-500000,500000.0,400000,,1581169.0,0,,,,,,3000000,200000.0,200000,,800000,100000.0,,200000,200000,,,,500000,-500000,-200000.0,,,-0.419999,-600000,500000,-13000000,,,2500000,2300000,400000,,100000,-400000,-200000,-2000000,-100000.0,,,,,
1997-06-30,,400000,900000,18500000,200000.0,,,,15200000,,,1666670.0,,,-1300000,-1300000,100000.0,-1300000,0,-200000,200000.0,17600000,17600000,,,,,-0.779998,900000,-500000,600000.0,-100000,,1666670.0,0,,,,,,0,300000.0,500000,,1500000,-200000.0,,17600000,400000,,,,400000,-1000000,,,,-0.779998,-1200000,900000,-14300000,,,2500000,17600000,900000,,100000,-500000,15800000,-2100000,0.0,,,,,
1997-09-30,,300000,900000,19400000,,,,,900000,,,1666670.0,,,-900000,-900000,200000.0,-900000,0,0,0.0,18500000,18500000,,100000.0,,0.0,-0.539999,800000,-1000000,600000.0,-100000,,1666670.0,0,,,,,,0,100000.0,500000,,1000000,0.0,,18600000,300000,,,,400000,-900000,,2200000.0,,-0.539999,-900000,700000,-15200000,,-100000.0,2600000,18500000,800000,,100000,-1000000,1900000,-2200000,0.0,,,,,
1997-12-31,,300000,1100000,18800000,200000.0,,,,-800000,,,,,,-800000,-800000,100000.0,-800000,0,-300000,200000.0,17600000,17600000,,,,0.0,,500000,-1300000,600000.0,100000,,,100000,,,0.0,,,0,200000.0,200000,,1200000,-100000.0,,18300000,400000,,,,400000,-800000,,700000.0,,,-1000000,600000,-16000000,,-400000.0,2700000,17700000,500000,,0,-1100000,700000,-2300000,-200000.0,,,,,
1998-03-31,,200000,1200000,17500000,100000.0,,,,-1800000,,,1794875.0,,,-1400000,-1400000,200000.0,-1400000,0,-100000,100000.0,15800000,15800000,,,,0.0,-0.779998,500000,-1900000,600000.0,200000,,1794875.0,500000,,,,,,17600000,200000.0,300000,,1700000,-100000.0,,17000000,300000,,,,400000,-1400000,-100000.0,200000.0,,-0.779998,-1500000,1300000,-17500000,,-500000.0,2700000,16300000,500000,,100000,-1900000,200000,-2300000,,,,,,
1998-06-30,,0,1300000,15800000,100000.0,,,,-2600000,,,1888893.0,,,-1700000,-1700000,100000.0,-1700000,0,-300000,0.0,13200000,13200000,,,,0.0,-0.899998,400000,-2400000,600000.0,300000,,1888893.0,1300000,,,,,,0,200000.0,400000,,1900000,-200000.0,,15400000,500000,,,,400000,-1600000,,0.0,,-0.899998,-1700000,1300000,-19100000,,-700000.0,2700000,14500000,400000,,100000,-2300000,0,-2300000,,,,,,
1998-09-30,,300000,1100000,12600000,100000.0,,,,-2300000,,,1929352.0,,,-21300000,-21300000,-19400000.0,-21300000,0,-2000000,100000.0,10900000,10900000,,,,0.0,-11.039978,1200000,-2400000,700000.0,0,,1929352.0,600000,,,,,,0,200000.0,900000,,2000000,100000.0,,11400000,400000,,,,400000,-1700000,,0.0,,-11.039978,-1800000,1500000,-40400000,,1400000.0,2800000,11500000,1200000,,100000,-300000,0,-2400000,-2100000.0,,,,,
1998-12-31,,300000,1200000,10200000,0.0,,,,-2400000,,,,,,-2400000,-2400000,100000.0,-2400000,0,-200000,0.0,8500000,8500000,,,,0.0,,1200000,-2300000,700000.0,100000,,,500000,,,,,,0,100000.0,900000,,2600000,-100000.0,,9000000,400000,,,,400000,-2500000,,0.0,,,-2500000,2200000,-42800000,,0.0,2800000,9000000,1200000,,100000,-2200000,0,-2400000,-100000.0,,,,,
1999-03-31,,200000,1300000,8000000,100000.0,,,,-1800000,,,2179492.0,,,-1700000,-1700000,,-1700000,0,-200000,100000.0,6700000,6700000,,,,,-0.779998,700000,-1700000,700000.0,100000,,2179492.0,0,,,,,,8500000,200000.0,500000,,1800000,-100000.0,,7300000,400000,,,,500000,-1500000,-100000.0,,,-0.779998,-1600000,1300000,-44500000,,0.0,2900000,6700000,700000,,100000,-1600000,0,-2400000,-100000.0,,,,,
1999-06-30,,200000,1300000,5700000,,,,,-2300000,,,2222227.0,,,-2000000,-2000000,,-2000000,4400000,-100000,0.0,4400000,4400000,,,,,-0.899998,400000,-2200000,800000.0,0,,2222227.0,0,,,,,0.0,0,100000.0,200000,,2000000,-100000.0,,5300000,400000,,,,500000,-1900000,,,,-0.899998,-1900000,1600000,-46500000,,-300000.0,3000000,4400000,400000,,100000,-2200000,0,-2500000,0.0,,,,,
