date,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyOtherIntangibleAssets,quarterlyChangesInAccountReceivables,quarterlyDilutedAverageShares,quarterlyOperatingExpense,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCapitalStock,quarterlyCurrentDeferredRevenue,quarterlyCashAndCashEquivalents,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyOtherCurrentAssets,quarterlyStockBasedCompensation,quarterlyNetPPE,quarterlyTaxProvision,quarterlyEbitda,quarterlyAccumulatedDepreciation,quarterlyBasicEPS,quarterlyCurrentAssets,quarterlyPretaxIncome,quarterlyGrossPPE,quarterlyRetainedEarnings,quarterlyOperatingCashFlow,quarterlyOtherNonCashItems,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyBasicAverageShares,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyTotalRevenue,quarterlyIncomeTaxPayable,quarterlyCurrentLiabilities,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyGoodwill,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyDepreciationAndAmortization,quarterlyTotalAssets,quarterlyCurrentAccruedExpenses,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,quarterlyOtherIncomeExpense,quarterlyPurchaseOfInvestment,quarterlyInventory,quarterlyDilutedEPS,quarterlyNetOtherFinancingCharges,quarterlyInvestmentsAndAdvances,quarterlyInterestExpense,quarterlyNetIncomeCommonStockholders,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyCashDividendsPaid,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyAccountsPayable,quarterlyRepaymentOfDebt,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyCurrentDebt,quarterlyGrossProfit,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness
2017-09-30,-2000000,-100000000,,-65000000.0,620000000.0,1568000000,,,,,,,19000000,,,,,211000000,659000000,,0.629032,,611000000,,,265000000,2000000,620000000,,-594000000,-29000000,620000000.0,-239000000,49000000,2188000000,,,,,,236000000,,-6000000,,41000000,,,390000000,400000000,263000000,,13000000,-2000000,0.0,,0.629032,-584000000,,7000000,390000000,-74000000,323000000,-10000000.0,,,,,,,,,,,,,,
2017-12-31,-1000000,-143000000,,-509000000.0,620000000.0,2747000000,,,,,,,13000000,,,,,-570000000,360000000,,1.401613,,312000000,,,-300000000,93000000,361000000,,427000000,-83000000,620000000.0,-708000000,-629000000,3108000000,,,,,,-383000000,,43000000,,42000000,,,869000000,882000000,359000000,,56000000,-43000000,0.0,,1.401613,454000000,,6000000,869000000,-56000000,-84000000,-27000000.0,,,,,,,,,,,,,,
2018-03-31,-6000000,-57000000,,456000000.0,620000000.0,1812000000,,,,,,,56000000,,,,,188000000,704000000,,0.737097,,654000000,,,820000000,-9000000,651000000,,947000000,-36000000,620000000.0,292000000,17000000,2463000000,,,,,,784000000,,1725000000,,43000000,,,457000000,466000000,325000000,,1781000000,10000000,0.0,,0.737097,975000000,,7000000,457000000,-107000000,-42000000,-28000000.0,,,,,,,,,,,,,,
2018-06-30,-2000000,72000000,2866000000.0,-48000000.0,,1811000000,81000000.0,,147000000.0,2500000000.0,2500000000.0,1071000000.0,1781000000,9594000000.0,67000000.0,,1169000000.0,113000000,661000000,-1658000000.0,,5580000000.0,593000000,2827000000.0,,532000000,-31000000,583000000,149000000.0,256000000,-67000000,,68000000,-40000000,2394000000,553000000.0,1759000000.0,7541000000.0,1833000000.0,2747000000.0,465000000,,719000000,178000000.0,45000000,13121000000.0,530000000.0,471000000,480000000,315000000,1768000000.0,2500000000,33000000,,1180000000.0,,268000000,275000000.0,23000000,279000000,44000000,-69000000,-12000000.0,3527000000.0,484000000.0,,,,,,,,,,,,
2018-09-30,-65000000,-202000000,2862000000.0,-100000000.0,620000000.0,1833000000,-61000000.0,11106000000.0,134000000.0,2756000000.0,2756000000.0,1146000000.0,2500000000,11045000000.0,67000000.0,,1164000000.0,216000000,890000000,,0.93,6155000000.0,831000000,,,247000000,-139000000,708000000,128000000.0,216000000,-42000000,620000000.0,-354000000,72000000,2541000000,122000000.0,1328000000.0,7923000000.0,1912000000.0,2747000000.0,205000000,,256000000,225000000.0,43000000,14078000000.0,529000000.0,604000000,615000000,299000000,1696000000.0,2756000000,139000000,-100000000.0,1420000000.0,0.93,229000000,558000000.0,16000000,578000000,-52000000,-207000000,-13000000.0,3024000000.0,592000000.0,,,,,,,,,,,,
2018-12-31,2000000,34000000,2859000000.0,-487000000.0,620595275.0,3198000000,-202000000.0,10596000000.0,129000000.0,1951000000.0,1951000000.0,1106000000.0,2756000000,10394000000.0,66000000.0,,1150000000.0,7000000,97000000,,0.012891,5877000000.0,31000000,,,-211000000,339000000,385000000,114000000.0,-550000000,-46000000,620595275.0,-619000000,-15000000,3583000000,127000000.0,1241000000.0,7589000000.0,2438000000.0,2747000000.0,-257000000,,-805000000,230000000.0,51000000,13466000000.0,428000000.0,8000000,24000000,329000000,1819000000.0,1951000000,-339000000,0.0,1422000000.0,0.012891,-541000000,289000000.0,15000000,8000000,-166000000,-44000000,-9000000.0,3060000000.0,544000000.0,,,,,,,,,,,,
2019-03-31,-1000000,305000000,2855000000.0,391000000.0,621000000.0,2054000000,-214000000.0,7000000.0,103000000.0,2818000000.0,2818000000.0,0.0,1951000000,8600000000.0,123000000.0,,1286000000.0,167000000,845000000,,0.85,5964000000.0,706000000,,101000000.0,1588000000,-70000000,698000000,192000000.0,-661000000,-59000000,621000000.0,781000000,265000000,2752000000,0.0,1297000000.0,11693000000.0,1949000000.0,2691000000.0,1529000000,6750000000.0,867000000,863000000.0,58000000,17657000000.0,598000000.0,529000000,539000000,336000000,7749000000.0,2818000000,70000000,0.0,1074000000.0,0.85,-921000000,714000000.0,81000000,529000000,85000000,-60000000,-6490000000.0,9046000000.0,1176000000.0,,,,,,,,,,,,
2019-06-30,0,60000000,2851000000.0,,624000000.0,1873000000,-308000000.0,7000000.0,169000000.0,3234000000.0,3234000000.0,0.0,2818000000,9947000000.0,148000000.0,31000000.0,1313000000.0,191000000,807000000,-1767000000.0,0.73,6478000000.0,656000000,3080000000.0,357000000.0,900000000,-85000000,640000000,188000000.0,-158000000,-88000000,624000000.0,356000000,64000000,2513000000,6000000.0,1712000000.0,13031000000.0,1967000000.0,2691000000.0,812000000,6751000000.0,416000000,899000000.0,60000000,19509000000.0,835000000.0,454000000,465000000,455000000,7839000000.0,3234000000,85000000,-238000000.0,1129000000.0,0.73,18000000,865000000.0,91000000,454000000,266000000,-326000000,-176000000.0,9551000000.0,1525000000.0,,,,,,,,,,,,
2019-09-30,-1000000,-358000000,2848000000.0,,624000000.0,1870000000,-304000000.0,7000000.0,217000000.0,3340000000.0,3340000000.0,,3234000000,10320000000.0,138000000.0,27000000.0,1874000000.0,187000000,840000000,,0.8,7049000000.0,700000000,1874000000.0,696000000.0,202000000,24000000,797000000,141000000.0,-56000000,-39000000,622000000.0,-586000000,165000000,2667000000,,1890000000.0,13485000000.0,2108000000.0,2707000000.0,163000000,6752000000.0,106000000,347000000.0,50000000,20534000000.0,911000000.0,499000000,513000000,352000000,8314000000.0,3340000000,-24000000,0.0,1463000000.0,0.8,-56000000,905000000.0,90000000,499000000,-149000000,-40000000,,10204000000.0,666000000.0,,,,,,,,,,,,
