date,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherNonCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCommonStockIssuance,quarterlyDilutedEPS,quarterlyGoodwill,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetIncomeCommonStockholders,quarterlyFreeCashFlow,quarterlyTotalNonCurrentAssets,quarterlyTotalAssets,quarterlyNetOtherFinancingCharges,quarterlyIncomeTaxPayable,quarterlyGrossPPE,quarterlyRepurchaseOfCapitalStock,quarterlyNonCurrentDeferredRevenue,quarterlyBasicEPS,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherCurrentAssets,quarterlyStockBasedCompensation,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyChangeInAccountPayable,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyOperatingExpense,quarterlyGrossProfit,quarterlyChangeInInventory,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyCurrentDeferredRevenue,quarterlySellingGeneralAndAdministration,quarterlyRepaymentOfDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyPretaxIncome,quarterlyTaxProvision,quarterlyRetainedEarnings,quarterlyNetPPE,quarterlyTotalRevenue,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOperatingIncome,quarterlyCapitalExpenditure,quarterlyAccumulatedDepreciation,quarterlyDilutedAverageShares,quarterlyResearchAndDevelopment,quarterlyOtherIntangibleAssets,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments
1984-03-31,,,,,1000000,,,,,,0.021122,,,,,,,,,,,,,12185908.0,,,,,,,,,,,,,,,,0.021122,,,,,,,,,13700000,,,,,,,,,,,,,,,,,,,13700000,,13700000,,,12185908.0,,,,
1984-06-30,,,,,1200000,,,,,,0.023345,,,,,,,,,,,,,12413794.0,,,,,,,,,,,,,,,,0.024457,,,,,,,,,16600000,,,,,,,,,,,,,,,,,,,16600000,,16600000,,,12413794.0,,,,
1984-09-30,,,,,2300000,,,,,,0.052248,,,,,,,,,,,,,12443778.0,,,,,,,,,,,,,,,,0.054472,,,,,,,,,20300000,,,,,,,,,,,,,,,,,,,20300000,,20300000,,,12443778.0,,,,
1984-12-31,,,,,1100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16800000,,,,,,,,,,,,,,,,,,,16800000,,16800000,,,,,,,
1985-03-31,,,,,900000,,,,,,0.015563,,,,,,,,,,,,,12491754.0,,,,,,,,,,,,,,,,0.015563,,,,,,,,,14300000,,,,,,,,,,,,,,,,,,,14300000,,14300000,,,12491754.0,,,,
1985-06-30,,,,,1100000,,,,,,0.022233,,,,,,,,,,,,,12731634.0,,,,,,,,,,,,,,,,0.022233,,,,,,,,,16900000,,,,,,,,,,,,,,,,,,,16900000,,16900000,,,12731634.0,,,,
1985-09-30,,,,,2400000,,,,,,0.055583,,,,,,,,,,,,,12923538.0,,,,,,,,,,,,,,,,0.055583,,,,,,,,,21700000,,,,,,,,,,,,,,,,,,,21700000,,21700000,,,12923538.0,,,,
1985-12-31,,,,,1800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18100000,,,,,,,,,,,,,,,,,,,18100000,,18100000,,,,,,,
1986-03-31,,,,,1300000,,,,,,0.024457,,,,,,,,,,,,,13031484.0,,,,,,,,,,,,,,,,0.025568,,,,,,,,,15600000,,,,,,,,,,,,,,,,,,,15600000,,15600000,,,13031484.0,,,,
1986-06-30,,,,,1000000,,,,,,0.018898,,,,,,,,,,,,,14878560.0,,,,,,,,,,,,,,,,0.018898,,,,,,,,,17400000,,,,,,,,,,,,,,,,,,,17400000,,17400000,,,14878560.0,,,,
1986-09-30,,,,,2600000,,,,,,0.047802,,,,,,,,,,,,,15076462.0,,,,,,,,,,,,,,,,0.051137,,,,,,,,,22100000,,,,,,,,,,,,,,,,,,,22100000,,22100000,,,15076462.0,,,,
1986-12-31,,,,,2200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18600000,,,,,,,,,,,,,,,,,,,18600000,,18600000,,,,,,,
1987-03-31,,,,,900000,,,,,,0.016675,,,,,,,,,,,,,18536732.0,,,,,,,,,,,,,,,,0.016675,,,,,,,,,16200000,,,,,,,,,,,,,,,,,,,16200000,,16200000,,,18536732.0,,,,
1987-06-30,,,,,2000000,,,,,,0.035573,,,,,,,,,,,,,18560720.0,,,,,,,,,,,,,,,,0.035573,,,,,,,,,20400000,,,,,,,,,,,,,,,,,,,20400000,,20400000,,,18560720.0,,,,
1987-09-30,,,,,3100000,,,,,,0.055583,,,,,,,,,,,,,18578710.0,,,,,,,,,,,,,,,,0.055583,,,,,,,,,23000000,,,,,,,,,,,,,,,,,,,23000000,,23000000,,,18578710.0,,,,
1987-12-31,,,,,2300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000000,,,,,,,,,,,,,,,,,,,18000000,,18000000,,,,,,,
1988-03-31,,,,,1400000,,,,,,0.024457,,,,,,,,,,,,,18608696.0,,,,,,,,,,,,,,,,0.024457,,,,,,,,,17800000,,,,,,,,,,,,,,,,,,,17800000,,17800000,,,18608696.0,,,,
1988-06-30,,,,,1700000,,,,,,0.030015,,,,,,,,,,,,,18608696.0,,,,,,,,,,,,,,,,0.030015,,,,,,,,,20500000,,,,,,,,,,,,,,,,,,,20500000,,20500000,,,18608696.0,,,,
1988-09-30,,,,,2700000,,,,,,0.048913,,,,,,,,,,,,,18608696.0,,,,,,,,,,,,,,,,0.048913,,,,,,,,,23900000,,,,,,,,,,,,,,,,,,,23900000,,23900000,,,18608696.0,,,,
1988-12-31,,,,,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18000000,,,,,,,,,,,,,,,,,,,18000000,,18000000,,,,,,,
1989-03-31,,,,,1200000,,,,,,0.021122,,,,,,,,,,,,,18680660.0,,,,,,,,,,,,,,,,0.021122,,,,,,,,,18000000,,,,,,,,,,,,,,,,,,,18000000,,18000000,,,18680660.0,,,,
1989-06-30,,,,,1600000,,,,,,0.027792,,,,,,,,,,,,,18680660.0,,,,,,,,,,,,,,,,0.027792,,,,,,,,,21900000,,,,,,,,,,,,,,,,,,,21900000,,21900000,,,18680660.0,,,,
1989-09-30,,,,3100000.0,3100000,,,,,,0.054472,,,,,,,,,,,,,18680660.0,,,,,,,3100000.0,,,,,,,,,0.055583,,,,,,,,,24600000,,,,,,,,,,,,,,,,,,,24600000,,24600000,,,18680660.0,,,,
1989-12-31,,,,2700000.0,2700000,,,,,,,,,,,,,,,,,,,,,,,,,,2700000.0,,,,,,,,,,,,,,,,,,21000000,,,,,,,,,,,,,,,,,,,21000000,,21000000,,,,,,,
1990-03-31,,,,1600000.0,1600000,,,,,,0.028903,,,,,,,,,,,,,18785608.0,,,,,,,1600000.0,,,,,,,,,0.028903,,,,,,,,,19400000,,,,,,,,,,,,,,,,,,,19400000,,19400000,,,18785608.0,,,,
1990-06-30,,,,1800000.0,1800000,,,,,,0.031127,,,,,,,,,,,,,18809596.0,,,,,,,1800000.0,,,,,,,,,0.031127,,,,,,,,,21500000,,,,,,,,,,,,,,,,,,,21500000,,21500000,,,18809596.0,,,,
1990-09-30,,,,3100000.0,3100000,,,,,,0.054472,,,,,,,,,,,,,18833584.0,,,,,,,3100000.0,,,,,,,,,0.054472,,,,,,,,,25800000,,,,,,,,,,,,,,,,,,,25800000,,25800000,,,18833584.0,,,,
1990-12-31,,,,2000000.0,2000000,,,,,,,,,,,,,,,,,,,,,,,,,,2000000.0,,,,,,,,,,,,,,,,,,23100000,,,,,,,,,,,,,,,,,,,23100000,,23100000,,,,,,,
1991-03-31,,,,1400000.0,1400000,,,,,,0.024457,,,,,,,,,,,,,19496252.0,,,,,,,1400000.0,,,,,,,,,0.024457,,,,,,,,,19800000,,,,,,,,,,,,,,,,,,,19800000,,19800000,,,19496252.0,,,,
1991-06-30,,,,1300000.0,1300000,,,,,,0.022233,,,,,,,,,,,,,19769116.0,,,,,,,1300000.0,,,,,,,,,0.022233,,,,,,,,,20300000,,,,,,,,,,,,,,,,,,,20300000,,20300000,,,19769116.0,,,,
1991-09-30,,,,9000000.0,9000000,,,,,,0.151187,,,,,,,,,,,,,19790104.0,,,,,,,9000000.0,,,,,,,,,0.151187,,,,,,,,,26100000,,,,,,,,,,,,,,,,,,,26100000,,26100000,,,19790104.0,,,,
1991-12-31,,,,3700000.0,3700000,,,,,,,,,,,,,,,,,,,,,,,,,,3700000.0,,,,,,,,,,,,,,,,,,24400000,,,,,,,,,,,,,,,,,,,24400000,,24400000,,,,,,,
1992-03-31,,,,1700000.0,1700000,,,,,,0.028903,,,,,,,,,,,,,19856072.0,,,,,,,1700000.0,,,,,,,,,0.028903,,,,,,,,,20900000,,,,,,,,,,,,,,,,,,,20900000,,20900000,,,19856072.0,,,,
1992-06-30,,,,2100000.0,2100000,,,,,,0.034462,,,,,,,,,,,,,19877062.0,,,,,,,2100000.0,,,,,,,,,0.034462,,,,,,,,,24100000,,,,,,,,,,,,,,,,,,,24100000,,24100000,,,19877062.0,,,,
1992-09-30,,,,3800000.0,3800000,,,,,,0.063365,,,,,,,,,,,,,19898050.0,,,,,,,3800000.0,,,,,,,,,0.063365,,,,,,,,,30200000,,,,,,,,,,,,,,,,,,,30200000,,30200000,,,19898050.0,,,,
1992-12-31,,,,3900000.0,3900000,,,,,,,,,,,,,,,,,,,,,,,,,,3900000.0,,,,,,,,,,,,,,,,,,25400000,,,,,,,,,,,,,,,,,,,25400000,,25400000,,,,,,,
1993-03-31,,,,1500000.0,1500000,,,,,,0.025568,,,,,,,,,,,,,19934032.0,,,,,,,1500000.0,,,,,,,,,0.025568,,,,,,,,,22200000,,,,,,,,,,,,,,,,,,,22200000,,22200000,,,19934032.0,,,,
1993-06-30,,,,3000000.0,3000000,,,,,,0.050025,,,,,,,,,,,,,22992504.0,,,,,,,3000000.0,,,,,,,,,0.050025,,,,,,,,,28600000,,,,,,,,,,,,,,,,,,,28600000,,28600000,,,22992504.0,,,,
1993-09-30,,,,4300000.0,4300000,,,,,,0.063365,,,,,,,,,,,,,22857572.0,,,,,,,4300000.0,,,,,,,,,0.063365,,,,,,,,,31700000,,,,,,,,,,,,,,,,,,,31700000,,31700000,,,22857572.0,,,,
1993-12-31,,,,3200000.0,3200000,,,,,,,,,,,,,,,,,,,,,,,,,,3100000.0,,,,,,,,,,,,,,,,,,26000000,,,,,,,,,,,,,,,,,,,26000000,,26000000,,,,,,,
