date,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyInvestmentsAndAdvances,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyNetIncome,quarterlyTaxProvision,quarterlyLongTermDebt,quarterlyNetPPE,quarterlyInventory,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyOtherIncomeExpense,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyChangeInCashSupplementalAsReported,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyFreeCashFlow,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyNetIncomeCommonStockholders,quarterlyTotalAssets,quarterlyTotalNonCurrentAssets,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyDilutedAverageShares,quarterlyCashAndCashEquivalents,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlySaleOfInvestment,quarterlyChangesInAccountReceivables,quarterlyDepreciationAndAmortization,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyAccountsPayable,quarterlyGrossProfit,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInAccountPayable,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossPPE,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyChangeInInventory,quarterlyInvestingCashFlow,quarterlyBasicEPS,quarterlyOtherNonCashItems,quarterlyStockBasedCompensation,quarterlyEndCashPosition,quarterlyBasicAverageShares,quarterlyEbitda,quarterlyCashDividendsPaid,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyCurrentDeferredRevenue,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyStockholdersEquity,quarterlyCurrentLiabilities,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyRepaymentOfDebt,quarterlyOtherNonCurrentLiabilities,quarterlyOtherIntangibleAssets,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlyGoodwill,quarterlyResearchAndDevelopment,quarterlyAccountsReceivable,quarterlyIncomeTaxPayable
2016-09-30,,,,,0,,,0,0,,,,,0.0,,,,3047000,,,,,0,,,,360778938.0,,,1000,,,,,,,1236000,,,,,,,1000,4283000,,,0.0,,,,360778938.0,777000,,,0,1235000,,,,,459000,,,0.0,,,,,,,,,,,,
2016-12-31,-162000.0,0.0,,335000.0,0,-175000.0,-76000.0,0,0,0.0,88831000.0,371000.0,5043000.0,0.0,0.0,,84000.0,3579000,222000.0,259000.0,,836000.0,0,90475000.0,88831000.0,920000.0,,920000.0,,1000,14000.0,,,803000.0,6332000.0,305000.0,1244000,-316000.0,,-153000.0,,,116277000.0,1000,4823000,80000.0,-76000.0,,-41000.0,,920000.0,,804000,,5308000.0,0,1243000,,52000.0,125000.0,1644000.0,440000,84143000.0,1024000.0,,0.0,0.0,-27446000.0,-13000.0,265000.0,,,,,,,
2017-09-30,,0.0,,,0,,,0,0,,88347000.0,528000.0,5043000.0,0.0,0.0,,,3008000,402000.0,,,,0,89250000.0,88347000.0,84000.0,246224886.0,84000.0,,0,0.0,,,,6255000.0,194000.0,1094000,,,,,,117520000.0,0,4102000,,,0.0,,,,246224886.0,801000,,5292000.0,0,1094000,,52000.0,51000.0,903000.0,293000,82995000.0,963000.0,0.0,,0.0,-29173000.0,,249000.0,,,,,,,
2017-12-31,42086000.0,,,129440000.0,44537000,1148446000.0,-51000.0,42662000,-1901000,,,,,-47527000.0,,963782000.0,141635000.0,23684000,,129389000.0,,55771000.0,42662000,,,,227985982.0,,,63354000,,,,751000.0,,,163925000,84523000.0,,,-1912000.0,,,153235000,187609000,,-1136251000.0,0.19,1541000.0,1385000.0,197406000.0,227828844.0,106741000,,,42636000,10690000,,,,,9939000,,,0.19,-1136200000.0,,,-2350108000.0,,,,,,,,
2018-03-31,-1671000.0,14920000.0,8281557000.0,909000.0,114103000,-1685000.0,-66000.0,112122000,384000,4119263000.0,73739000.0,,3718000.0,-23040000.0,,,-842000.0,21338000,32150000.0,843000.0,3701000.0,920000.0,112122000,10486239000.0,9554216000.0,918215000.0,343056532.0,918215000.0,,52875000,,,-109000.0,805000.0,4351339000.0,2458000.0,196938000,92000.0,,214000.0,,,75396000.0,188724000,218276000,-69000.0,-66000.0,0.33,,,78000.0,342900842.0,168268000,,4122981000.0,114487000,8214000,,95563000.0,60929000.0,932023000.0,7308000,6051900000.0,228358000.0,0.33,,,-1657000.0,-14000.0,,,,,,,,
2018-06-30,-64448000.0,18467000.0,8294753000.0,245754000.0,141359000,552627000.0,-491000.0,139044000,448000,4120141000.0,73029000.0,,3718000.0,,,,757984000.0,23445000,19276000.0,245263000.0,3701000.0,78000.0,139044000,10564703000.0,9570249000.0,980646000.0,369991738.0,940740000.0,,51440000,,,,1023000.0,4391760000.0,1317000.0,197530000,-37601000.0,71961000.0,,,-4640000.0,75608000.0,189448000,220975000,,-40397000.0,0.375863,,,954548000.0,369932843.0,194270000,,4274060000.0,141807000,8082000,39906000.0,137444000.0,,994454000.0,7160000,6089609000.0,117700000.0,0.375803,,,-2579000.0,-690044000.0,,,,,,,,
2018-09-30,-99113000.0,43220000.0,8815557000.0,81854000.0,132024000,-99113000.0,-187000.0,129912000,52000,4121153000.0,72287000.0,,4004000.0,-12334000.0,,0.0,-809267000.0,29646000,23672000.0,81667000.0,3702000.0,954548000.0,129912000,10568501000.0,10102544000.0,465899000.0,370127185.0,145223000.0,-381528000.0,54051000,,,,929000.0,4361228000.0,,203041000,-65551000.0,701000.0,,,5465000.0,75795000.0,196434000,232687000,,-792008000.0,0.35,,623000.0,145281000.0,369935055.0,187056000,,4231200000.0,132076000,6607000,320676000.0,160915000.0,,465957000.0,5678000,6123808000.0,130028000.0,0.35,,,-3508000.0,0.0,31742000.0,,,,,,,
2018-12-31,154315000.0,44037000.0,8916047000.0,175565000.0,144630000,586007000.0,-6935000.0,142541000,557000,4122264000.0,10074218000.0,,3340000.0,-393000.0,,694374000.0,453166000.0,24751000,45135000.0,168630000.0,4047000.0,145281000.0,142541000,11333368000.0,10214044000.0,1098760000.0,385847082.0,577883000.0,-1292384000.0,54298000,,320676000.0,,929000.0,4432346000.0,1057000.0,201288000,73399000.0,43605000.0,,,-22124000.0,10078655000.0,196075000,226039000,,-308406000.0,0.37,,860000.0,598447000.0,385720716.0,200414000,,4269867000.0,145187000,5213000,520877000.0,187096000.0,,1119324000.0,4284000,6817449000.0,162479000.0,0.37,670237000.0,,-4437000.0,0.0,62406000.0,,,,,,,
2019-03-31,-2031000.0,1733000.0,9186144000.0,115642000.0,152926000,9713000.0,-1676000.0,150849000,521000,4123350000.0,10355681000.0,,3292000.0,-889000.0,,128085000.0,24195000.0,4092000,30310000.0,113966000.0,4110000.0,598447000.0,150849000,11448671000.0,10462143000.0,955154000.0,406035025.0,598276000.0,-289310000.0,53586000,,188782000.0,,930000.0,4402783000.0,1227000.0,209910000,-38218000.0,355000.0,,,-39315000.0,10361046000.0,202755000,214002000,,-101160000.0,0.37,-1047000.0,1051000.0,622642000.0,405733656.0,207963000,-116341000.0,4253190000.0,153447000,7155000,356878000.0,219791000.0,,986528000.0,6225000,6962269000.0,149593000.0,0.37,,,-5365000.0,0.0,11104000.0,,,,,,,
2019-06-30,-7382000.0,4227000.0,,147300000.0,154127000,911464000.0,-910000.0,152049000,553000,4124448000.0,11065809000.0,,3011000.0,-2867000.0,,1036923000.0,610910000.0,4848000,31270000.0,146390000.0,4610000.0,622642000.0,152049000,12522046000.0,11188356000.0,1302921000.0,412821400.0,1205335000.0,-779039000.0,54819000,,332095000.0,,1018000.0,4449623000.0,451000.0,215898000,-8833000.0,5000.0,,,-70003000.0,11072194000.0,208362000,220746000,,-447854000.0,0.37,-378000.0,1366000.0,1233552000.0,412309577.0,210517000,-118077000.0,4285461000.0,154680000,7536000,97586000.0,239301000.0,,1333690000.0,6518000,7988737000.0,164162000.0,0.37,,,-6385000.0,0.0,,,,,,,,
