date,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyCapitalStock,quarterlyOperatingExpense,quarterlyBeginningCashPosition,quarterlyPretaxIncome,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyCashAndCashEquivalents,quarterlyCurrentDebt,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlySaleOfInvestment,quarterlyInterestExpense,quarterlyResearchAndDevelopment,quarterlyChangeInWorkingCapital,quarterlyAccountsPayable,quarterlyNonCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyBasicAverageShares,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyBasicEPS,quarterlyOperatingCashFlow,quarterlyTaxProvision,quarterlyNetPPE,quarterlyCommonStockIssuance,quarterlyOtherNonCashItems,quarterlyOtherCurrentLiabilities,quarterlyOtherShortTermInvestments,quarterlyEbitda,quarterlyChangeInCashSupplementalAsReported,quarterlyDepreciationAndAmortization,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyFreeCashFlow,quarterlySellingGeneralAndAdministration,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyPurchaseOfInvestment,quarterlyGrossProfit,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyNetOtherFinancingCharges,quarterlyLongTermDebt,quarterlyNetIncome,quarterlyOtherNonCurrentAssets,quarterlyNetIncomeContinuousOperations,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyInventory,quarterlyChangeInInventory,quarterlyDilutedEPS,quarterlyCostOfRevenue,quarterlyCashDividendsPaid,quarterlyAccountsReceivable,quarterlyDeferredIncomeTax,quarterlyRepurchaseOfCapitalStock,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyInvestmentsAndAdvances,quarterlyChangesInAccountReceivables,quarterlyCurrentDeferredRevenue,quarterlyAccumulatedDepreciation,quarterlyStockBasedCompensation,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherIncomeExpense,quarterlyGoodwill,quarterlyIncomeTaxPayable
1994-06-30,,,6455300000,,,,,12057342000,,,9139182000,,,,,,,,,,,,,,7459153000,,,,7459153000,,,3881228000,,,,,494737000.0,9139182000,3881228000,,1495944000,,,17434514000,,8295332000,1495944000.0,,,5377172000,,,,836179000,,,,,,,,,,,,,,,,,,,,,,,
1994-12-31,,,6455300000,,,,,10586249000,,,0,4166789000.0,1336717000.0,4166789000.0,,,,,1646755000.0,,,,,,8273913000,,,,8273913000,,,144130000,0.0,,,,334070000.0,8759216000,4755840000,,1318169000,,,18033889000,,9274673000,136874000.0,,,6074009000,,1181295000.0,,1000760000,,,,1997145000.0,,,,,1780919000.0,,,,,,,,,,,,,,
1995-06-30,,,6445300000,,,,,10626264000,,,8748150000,,,,,,,,,,,,,,8435278000,,,,8435278000,,,4837580000,,,,,,8748150000,4837580000,,1282896000,,,18120371000,,9372221000,1282896000.0,,,6120476000,,,,936943000,,,,,,,,,,,,,,,,,,,,,,,
1995-12-31,865122000.0,,6455300000,,,,,10564897000,,,-235785000,3485334000.0,1651998000.0,3485334000.0,,,,,1016398000.0,,,,,,8741262000,,,,8741262000,,,0,0.0,,,,304078000.0,7741902000,4826462000,,1005494000,,,17770484000,,10028582000,149313000.0,,,5831956000,,856181000.0,,373709000,,,,2260296000.0,,,,,1193568000.0,,,,,,,,,,,,,,
1996-06-30,,,6455300000,,,,,10599893000,,,7558986000,,,,,,,,,,,,,,9239086000,,,,9239086000,,,4896078000,,,,,332074000.0,7558986000,4896078000,,1187359000,,,18056961000,,10497975000,1187359000.0,,,6083437000,,,,1258889000,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31,847065000.0,,6455300000,,,,,10581509000,,,-226636000,2536225000.0,1909369000.0,2536225000.0,,,,,857018000.0,,,,,,9973873000,,,,9973873000,,,0,0.0,,,,304458000.0,6753157000,4549051000,,1450413000,,,17954604000,,11201447000,184649000.0,,,5999464000,,1265764000.0,,332020000,,,,2220475000.0,,,,,1248675000.0,,,,,,,,,,,,,,
1997-06-30,,,6455300000,,,,,11971432000,,,6500277000,,,,,,,,,,,,,,10261764000,,,,10261764000,,,4421928000,,,,,317490000.0,6500277000,4421928000,,1519206000,,,17912566000,,11412289000,1519206000.0,,,5941134000,,,,1150525000,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31,834663000.0,,6455300000,,,,,10643131000,,,-236636000,2090652000.0,1915586000.0,2094960000.0,,,,,791745000.0,,,,,,10572286000,,,,10572286000,,,155145000,4308000.0,,,,353756000.0,6176669000,4194343000,,1681502000,,,17892607000,,11715938000,161388000.0,,,5875845000,,1520114000.0,,268308000,,,,2309210000.0,,,,,1152374000.0,,,,,,,,,,,,,,
1998-06-30,825578000.0,,6455300000,,,,,10652235000,,,-246328000,1751755000.0,1544272000.0,1751755000.0,,,,,927651000.0,,,,,,10698074000,,,,10698074000,,,52798000,,,,,362859000.0,6387445000,3992289000,,2182213000,,,18200368000,,11812923000,173452000.0,,,6174502000,,2008761000.0,,93961000,,,,2472863000.0,,,,,1260158000.0,,,,,,,,,,,,,,
1998-12-31,816493000.0,,6455300000,,,,,10475190000,,,-278327000,1350726000.0,1926675000.0,1376830000.0,,,,,1015564000.0,,,,,,10957845000,,,,10957845000,,,140407000,26104000.0,,,,185815000.0,5765711000,4162173000,,3167802000,,,17805165000,,12039454000,1486148000.0,,,7329975000,,1681654000.0,,260121000,,,,2483570000.0,,,,,1010026000.0,,,,,,,,,,,,,,
