date,quarterlyStockholdersEquity,quarterlyCapitalStock,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyDilutedEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyOtherCurrentAssets,quarterlyAccountsPayable,quarterlyOtherCurrentLiabilities,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyBasicEPS,quarterlyGoodwill,quarterlyOtherShortTermInvestments,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyCurrentDebt,quarterlyOtherNonCurrentAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyDepreciationAndAmortization,quarterlyIncomeTaxPayable,quarterlyNetIncome,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyCommonStockIssuance,quarterlyOtherIncomeExpense,quarterlyInterestExpense,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyInvestmentsAndAdvances,quarterlyChangeInAccountPayable,quarterlyNonCurrentDeferredRevenue,quarterlyRepurchaseOfCapitalStock,quarterlyPurchaseOfBusiness,quarterlySellingGeneralAndAdministration,quarterlyDilutedAverageShares,quarterlyChangesInAccountReceivables,quarterlyOperatingExpense,quarterlyNetIncomeContinuousOperations,quarterlyCashDividendsPaid,quarterlyDeferredIncomeTax,quarterlyNetOtherInvestingChanges,quarterlyBeginningCashPosition,quarterlySaleOfInvestment,quarterlyPretaxIncome,quarterlyInvestingCashFlow,quarterlyCostOfRevenue,quarterlyRepaymentOfDebt,quarterlyOperatingIncome,quarterlyOperatingCashFlow,quarterlyEndCashPosition,quarterlyCurrentDeferredRevenue,quarterlyCapitalExpenditure,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInCashSupplementalAsReported,quarterlyStockBasedCompensation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCurrentAccruedExpenses,quarterlyTotalRevenue,quarterlyResearchAndDevelopment,quarterlyPurchaseOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyGrossProfit,quarterlyEbitda,quarterlyChangeInInventory
2009-09-30,3037227000,53211000,73756000,29154000,,1195566000,1195566000,-105246000.0,758256000,11302000.0,-1130098000.0,1592418000,,2718783000,1628061000,2722516000.0,,218607000,,3040019000,783751000,5758802000,0.0,680207000,709361000,841538000,583382000.0,2337422000,668356000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,3137065000,53211000,71470000,28583000,0.0,1258426000,1223943000,8780000.0,735447000,0.0,,1606753000,,2790336000,1331744000,,0.0,218607000,34483000.0,3076014000,832274000,5866350000,0.0,982755000,1011338000,526713000,-4390000.0,2343082000,676351000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,3371056000,53211000,70612000,28136000,,622333000,622333000,48018000.0,898866000,27041000.0,-1243161000.0,1668055000,,2557055000,1168303000,2911216000.0,,218607000,,3168267000,1103931000,5725322000,0.0,752380000,780516000,226318000,38877000.0,1948819000,776139000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-03-31,3498656000,53211000,112012000,36784000,0.0,657966000,654916000,3068000.0,945176000,0.0,,1779041000,,2795691000,1666338000,,0.0,233211000,3050000.0,3319018000,1112387000,6114709000,0.0,477013000,516936000,696359000,11341000.0,2183274000,963100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-09-30,3653768000,53211000,111882000,37475000,,705033000,704095000,2870000.0,1109451000,0.0,-1388171000.0,1849997000,2746355000.0,3056786000,1913992000,3238168000.0,,233211000,938000.0,3416478000,1149199000,6473264000,0.0,415120000,452595000,737328000,-1435000.0,2366587000,1087895000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-03-31,3835824000,53211000,147309000,44894000,0.0,930144000,930144000,4060000.0,1113580000,0.0,,1897374000,,3308406000,1787884000,,0.0,282578000,0.0,3553572000,1144261000,6861978000,18410000.0,727644000,790948000,658015000,9263000.0,2578832000,1220770000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,4161457000,53211000,131905000,45998000,,695542000,692727000,0.0,1132757000,0.0,,1995571000,,3386996000,1496048000,1995571000.0,,273962000,2815000.0,3408387000,1440763000,6795383000,0.0,673271000,738148000,338812000,33737000.0,2234196000,1206976000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,4338658000,53211000,118201000,42521000,,929203000,926054000,0.0,472291000,0.0,-1522724000.0,1935777000,3364557000.0,3646906000,1795169000,3458501000.0,,273962000,3149000.0,3345800000,1011046000,6992706000,0.0,400000000,461087000,539519000,297230000.0,2256256000,1239676000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,4255812000,53211000,117454000,39492000,0.0,898101000,897761000,0.0,1300278000,0.0,,1917231000,3303275000.0,3563473000,1871008000,1917231000.0,0.0,273962000,340000.0,3348465000,1470935000,6911938000,0.0,350000000,406953000,524436000,24644000.0,2277961000,1172104000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-12-31,4398982000,53211000,113405000,39639000,,971922000,969433000,108613000.0,459897000,0.0,-1659985000.0,1992446000,3448665000.0,3726772000,1613602000,3652431000.0,,273549000,2489000.0,3444348000,990894000,7171120000,0.0,720000000,776075000,229345000,30659000.0,2389677000,1320447000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
