date,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyPretaxIncome,quarterlyOperatingExpense,quarterlyRepaymentOfDebt,quarterlyOtherIntangibleAssets,quarterlyPurchaseOfBusiness,quarterlyTaxProvision,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCommonStockIssuance,quarterlyChangesInAccountReceivables,quarterlyNetOtherFinancingCharges,quarterlyNetPPE,quarterlyOtherNonCurrentAssets,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyDilutedAverageShares,quarterlyAccumulatedDepreciation,quarterlyCapitalExpenditure,quarterlyOperatingCashFlow,quarterlyOtherCurrentLiabilities,quarterlyGrossPPE,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyBasicEPS,quarterlyRepurchaseOfCapitalStock,quarterlyInterestExpense,quarterlyCurrentDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicAverageShares,quarterlyOtherNonCashItems,quarterlyCurrentAssets,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyNetIncomeCommonStockholders,quarterlyRetainedEarnings,quarterlyDepreciationAndAmortization,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyFreeCashFlow,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyNonCurrentDeferredRevenue,quarterlyTotalNonCurrentAssets,quarterlyChangeInWorkingCapital,quarterlyTotalAssets,quarterlyDeferredIncomeTax,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherCurrentAssets,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentAccruedExpenses,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyDilutedEPS,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyGrossProfit,quarterlyOtherIncomeExpense,quarterlyNetOtherInvestingChanges,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlySellingGeneralAndAdministration,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,quarterlyIncomeTaxPayable,quarterlyPurchaseOfInvestment,quarterlyResearchAndDevelopment,quarterlyChangeInAccountPayable,quarterlyInventory,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyChangeInInventory
2013-09-30,,,49900000,28000000,,,,15100000,,,,,,,,,,65302455.0,,,,,,,,0.543624,,13000000,,,65302455.0,,,,,35500000,,,88500000,,,72700000,417200000,,,,,,,,,,316500000,,0.543624,,,,100700000,-10400000.0,,,,,,2400000.0,35500000,34800000,,,,,,,,,
2013-12-31,7400000.0,800000.0,-3000000,1100000,0.0,20800000.0,,0,,9500000.0,7400000.0,,700000.0,,500000.0,600000.0,0.0,65302455.0,-2100000.0,-200000.0,-1900000.0,0.0,2600000.0,0.0,,-0.04594,,0,0.0,-2100000.0,65302455.0,0.0,17200000.0,0.0,20200000.0,-3000000,-50600000.0,1100000.0,-1900000,,-2100000.0,-3000000,15000000,100000.0,70900000.0,0.0,88100000.0,0.0,20300000.0,0.0,0.0,3600000.0,16900000,7400000.0,-0.04594,100000.0,7400000.0,-200000.0,-1900000,0.0,0.0,,0.0,49000000.0,,0.0,-3000000,-3000000,67800000.0,,,,,,,,
2014-03-31,,,-95600000,132900000,-373900000.0,,,-5900000,,0.0,,,-5200000.0,469000000.0,,,166200000.0,65302455.0,,-12600000.0,-83300000.0,,,,,-1.376671,,31400000,,70300000.0,65302455.0,900000.0,,-16900000.0,,-89900000,,46900000.0,-17300000,,-95900000.0,-64200000,202500000,,,-41500000.0,,300000.0,,,,,133800000,,-1.376671,,70300000.0,-12600000.0,68700000,-86000000.0,0.0,,,,,,-89900000,-89700000,,,,,,,,,
2014-06-30,,,-24400000,64100000,-19400000.0,,,200000,,70300000.0,,,14400000.0,0.0,,,-19400000.0,65302455.0,,-13800000.0,29700000.0,,,,,0.0,,32800000,,-2000000.0,65302455.0,-2000000.0,,0.0,,0,,47200000.0,55600000,,15900000.0,16400000,214300000,,,5800000.0,,0.0,,,,,133800000,,0.0,,68300000.0,-12300000.0,80500000,-8000000.0,1500000.0,,,,,,0,-24600000,,,,,,,,,
2014-09-30,52400000.0,23800000.0,-1600000,56100000,-487500000.0,944100000.0,,200000,0.0,68300000.0,52400000.0,,-31600000.0,186400000.0,131500000.0,100300000.0,-309300000.0,65302455.0,,-17700000.0,32700000.0,0.0,131500000.0,-100000.0,37000000.0,-0.038283,,32600000,48300000.0,-294300000.0,65302455.0,-500000.0,222700000.0,-8200000.0,182500000.0,-2500000,-153600000.0,49100000.0,80100000,2200000.0,15000000.0,34100000,215000000,26000000.0,3385600000.0,-14300000.0,3608300000.0,,2682900000.0,0.0,367700000.0,66800000.0,124800000,128100000.0,-0.038283,2500400000.0,52400000.0,-17700000.0,90200000,-3100000.0,0.0,,2106700000.0,2209700000.0,0.0,0.0,-2500000,-1800000,925400000.0,,,,,,,,
2014-12-31,61900000.0,28100000.0,11000000,53900000,448600000.0,904400000.0,,200000,,52400000.0,61900000.0,,-4400000.0,-186400000.0,142400000.0,96700000.0,270400000.0,,-34300000.0,-22800000.0,40300000.0,0.0,176700000.0,-100000.0,41800000.0,,,31900000,64400000.0,287900000.0,,5900000.0,230900000.0,8200000.0,202800000.0,10700000,-146700000.0,45600000.0,88600000,,17500000.0,43800000,220300000,35900000.0,3367400000.0,-16700000.0,3598300000.0,,2681300000.0,200000.0,371900000.0,68500000.0,122600000,85300000.0,,2478500000.0,61900000.0,-22800000.0,97700000,-900000.0,0.0,,2070700000.0,2223900000.0,,119300000.0,10700000,10800000,917000000.0,,,,,,,,
2015-03-31,39600000.0,29800000.0,14700000,48500000,-16100000.0,879700000.0,,100000,,61900000.0,39600000.0,,-20900000.0,-16100000.0,140300000.0,115400000.0,-16100000.0,148936170.0,,-32100000.0,25900000.0,0.0,140300000.0,-200000.0,34700000.0,0.097357,,30800000,72500000.0,-22300000.0,148936170.0,1300000.0,237200000.0,0.0,198100000.0,14500000,-132200000.0,45900000.0,91400000,,-6200000.0,45500000,227200000,47600000.0,3359300000.0,-35800000.0,3596500000.0,0.0,2671900000.0,0.0,380200000.0,61100000.0,133200000,153300000.0,0.097357,2473800000.0,39600000.0,-32100000.0,94000000,-2600000.0,-6800000.0,,2046000000.0,2223900000.0,,2600000.0,14500000,14600000,924600000.0,,,,,,,,
2015-06-30,69600000.0,27600000.0,8200000,53500000,-1719600000.0,854300000.0,,300000,0.0,39600000.0,69600000.0,,-3700000.0,-6400000.0,147700000.0,128700000.0,18900000.0,152811887.0,,-28600000.0,39700000.0,0.0,147700000.0,0.0,30600000.0,0.001963,,25500000,43400000.0,30000000.0,152811887.0,-1700000.0,288500000.0,-17300000.0,154300000.0,300000,300000.0,48800000.0,82500000,,11100000.0,38300000,232100000,54500000.0,3354600000.0,-29700000.0,3643100000.0,200000.0,1859300000.0,0.0,1200000.0,52700000.0,140300000,159600000.0,0.001963,1705000000.0,69600000.0,-28600000.0,91800000,-4600000.0,0.0,,1639000000.0,2223900000.0,10300000.0,4700000.0,300000,7900000,797900000.0,,,,,,,,
2015-09-30,129000000.0,39500000.0,36400000,48800000,-11000000.0,826300000.0,,6600000,0.0,69600000.0,129000000.0,0.0,-8600000.0,-2300000.0,148600000.0,142200000.0,-13300000.0,67700000.0,,-20600000.0,93300000.0,0.0,148600000.0,-100000.0,32000000.0,0.15,,17000000,43400000.0,59400000.0,64400000.0,500000.0,348200000.0,0.0,184400000.0,9900000,10200000.0,48700000.0,102100000,900000.0,72700000.0,53400000,233600000,55000000.0,3341000000.0,7700000.0,3689200000.0,5500000.0,1875000000.0,0.0,1300000.0,69500000.0,131400000,166900000.0,0.15,1690600000.0,129000000.0,-20600000.0,102200000,0.0,0.0,,1628300000.0,2223900000.0,6000000.0,100000.0,9900000,29800000,808200000.0,,,,,,,,
2015-12-31,186000000.0,40400000.0,36500000,51500000,-11000000.0,796700000.0,,6400000,0.0,129000000.0,186000000.0,0.0,12300000.0,0.0,152000000.0,174400000.0,-11100000.0,67900000.0,-61800000.0,-21200000.0,89300000.0,0.0,213800000.0,-100000.0,29300000.0,0.15,,16500000,43500000.0,57000000.0,64400000.0,700000.0,356700000.0,-100000.0,178200000.0,9800000,19900000.0,50900000.0,103900000,1000000.0,68100000.0,53000000,237800000,56200000.0,3347000000.0,500000.0,3703700000.0,6100000.0,1858700000.0,3200000.0,1600000.0,65000000.0,133300000,134900000.0,0.14,1680500000.0,186000000.0,-21200000.0,104500000,0.0,0.0,,1618000000.0,2223900000.0,4700000.0,600000.0,9800000,30100000,818700000.0,,,,,,,,
2016-03-31,118300000.0,39800000.0,39300000,48200000,-61000000.0,770300000.0,,6200000,0.0,186000000.0,118300000.0,,-4000000.0,-48000000.0,151900000.0,183100000.0,-109000000.0,152600000.0,,-16600000.0,57900000.0,0.0,151900000.0,-1800000.0,35500000.0,0.17,,16800000,43500000.0,-67700000.0,65800000.0,700000.0,304300000.0,-48000000.0,176300000.0,11400000,31300000.0,48200000.0,104300000,2700000.0,41300000.0,56900000,241900000,60400000.0,3329200000.0,-26600000.0,3633500000.0,-200000.0,1802600000.0,0.0,3700000.0,57500000.0,136800000,135000000.0,0.17,1626300000.0,118300000.0,-16600000.0,105100000,-800000.0,0.0,,1557700000.0,2223900000.0,4500000.0,0.0,11400000,33100000,830900000.0,,,,,,,,
