date,quarterlyGoodwill,quarterlyTotalNonCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyTotalAssets,quarterlyBasicAverageShares,quarterlyLongTermDebt,quarterlyFreeCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentDebt,quarterlyPurchaseOfInvestment,quarterlyInterestExpense,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInAccountPayable,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyGrossProfit,quarterlyNetOtherFinancingCharges,quarterlyInventory,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCurrentDeferredRevenue,quarterlyOperatingExpense,quarterlyDilutedEPS,quarterlyCashDividendsPaid,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyChangesInAccountReceivables,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyOtherIntangibleAssets,quarterlyAccountsPayable,quarterlyRepaymentOfDebt,quarterlyDilutedAverageShares,quarterlyOtherCurrentAssets,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyTotalRevenue,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCapitalExpenditure,quarterlyOperatingIncome,quarterlyAccumulatedDepreciation,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicEPS,quarterlyOperatingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyPretaxIncome,quarterlyCurrentAssets,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyChangeInWorkingCapital,quarterlyTaxProvision,quarterlyNonCurrentDeferredRevenue,quarterlyChangeInCashSupplementalAsReported,quarterlyOtherCurrentLiabilities,quarterlyNetPPE,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyOtherNonCashItems,quarterlyCommonStockIssuance,quarterlyPurchaseOfBusiness,quarterlyDeferredIncomeTax,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment
1986-02-28,,,,,,,434296000.0,,,23100000,23100000,,,,,,,,,,,,,23100000,,,,,,,,,0.015,,,,,,,,,,434296000.0,,,,,,,105200000,,105200000,,105200000,,,0.015,,,,,,,,,,,,,,,,,,,,
1986-05-31,,,,,,,434296000.0,,,23200000,23200000,,,,,,,,,,,,,23200000,,,,,,,,,0.015,,,,,,,,,,434296000.0,,,,,,,105200000,,105200000,,105200000,,,0.015,,,,,,,,,,,,,,,,,,,,
1986-08-31,,,,,,,434296000.0,,,23200000,23200000,,,,,,,,,,,,,23200000,,,,,,,,,0.015,,,,,,,,,,434296000.0,,,,,,,105200000,,105200000,,105200000,,,0.015,,,,,,,,,,,,,,,,,,,,
1986-11-30,,445600000.0,,,,528100000.0,,185200000.0,,28200000,28200000,,,185200000.0,0.0,33700000.0,,,,,320300000.0,,,28200000,4800000.0,,,8800000.0,,,,,,,207800000.0,,,,,,,,,7600000.0,,59700000.0,59700000.0,,,105200000,,-214400000,,-214400000,-60600000.0,,,,,,82500000.0,501400000.0,135100000.0,,,,,101400000.0,440800000.0,,191800000.0,,,,,,
1987-02-28,,,,,,,538892000.0,,,26100000,26100000,,,,,,,,,,,,,26100000,,,,,,,,,0.015,,,,,,,,,,538892000.0,,,,,,,121400000,,121400000,,121400000,,,0.015,,,,,,,,,,,,,,,,,,,,
1987-05-31,,,,,,,538892000.0,,,42200000,42200000,,,,,,,,,,,,,42200000,,,,,,,,,0.025,,,,,,,,,,538892000.0,,,,,,,156700000,,156700000,,156700000,,,0.025,,,,,,,,,,,,,,,,,,,,
1987-08-31,,,,,,,538892000.0,,,50100000,50100000,,,,,,,,,,,,,50100000,,,,,,,,,0.0275,,,,,,,,,,538892000.0,,,,,,,160100000,,160100000,,160100000,,,0.0275,,,,,,,,,,,,,,,,,,,,
1987-11-30,,565600000.0,,,,941000000.0,,90200000.0,,34400000,34400000,,,90200000.0,0.0,13800000.0,,,,,305500000.0,,,34400000,91400000.0,,,10600000.0,,,,,,,635500000.0,,,,,,,,,7300000.0,,349200000.0,349200000.0,,,125900000,,-286100000,,-286100000,-84500000.0,,,,,,375400000.0,558700000.0,215300000.0,,,,,201500000.0,474200000.0,,236800000.0,,,,,,
1988-02-29,,,,,,,544988000.0,,,46000000,46000000,,,,,,,,,,,,,46000000,,,,,,,,,0.0225,,,,,,,,,,544988000.0,,,,,,,152900000,,152900000,,152900000,,,0.0225,,,,,,,,,,,,,,,,,,,,
1988-05-31,,,,,,,538892000.0,,,52000000,52000000,,,,,,,,,,,,,52000000,,,,,,,,,0.025,,,,,,,,,,538892000.0,,,,,,,158700000,,158700000,,158700000,,,0.025,,,,,,,,,,,,,,,,,,,,
1988-08-31,,,,,,,538476000.0,,,56300000,56300000,,,,,,,,,,,,,56300000,,,,,,,,,0.0275,,,,,,,,,,538476000.0,,,,,,,157600000,,157600000,,157600000,,,0.0275,,,,,,,,,,,,,,,,,,,,
1988-11-30,,654500000.0,,,,1049500000.0,,76400000.0,,42100000,42100000,,,76400000.0,0.0,13700000.0,,,,,297200000.0,,,42100000,85800000.0,,,10900000.0,,,,,,,752300000.0,,,,,,,,,18500000.0,,356700000.0,356700000.0,,,130400000,,-311300000,,-311300000,-108700000.0,,,,,,395000000.0,677400000.0,220800000.0,,,,,207100000.0,568700000.0,,353700000.0,,,,,,
1989-02-28,,,,,,,538444000.0,,,46300000,46300000,,,,,,,,,,,,,46300000,,,,,,,,,0.0225,,,,,,,,,,538444000.0,,,,,,,231800000,,231800000,,231800000,,,0.0225,,,,,,,,,,,,,,,,,,,,
1989-05-31,,,,,,,538444000.0,,,41600000,41600000,,,,,,,,,,,,,41600000,,,,,,,,,0.02,,,,,,,,,,538444000.0,,,,,,,284700000,,284700000,,284700000,,,0.02,,,,,,,,,,,,,,,,,,,,
1989-08-31,,,,,,,538460000.0,,,84400000,84400000,,,,,,,,,,,,,84400000,,,,,,,,,0.04,,,,,,,,,,538460000.0,,,,,,,405200000,,405200000,,405200000,,,0.04,,,,,,,,,,,,,,,,,,,,
1989-11-30,,2008900000.0,,,,2220200000.0,,819800000.0,,21300000,21300000,,,823000000.0,3200000.0,183200000.0,,,,,1327000000.0,,,21300000,34100000.0,,,26800000.0,,,,,,,893200000.0,,,,,271600000.0,,,,36000000.0,,112700000.0,112700000.0,,,226100000,,-680800000,,-680800000,-163100000.0,,,,,,211300000.0,1866300000.0,504000000.0,,,,,320800000.0,1703200000.0,,493500000.0,,,,,,
1990-02-28,,,,,,,538712000.0,,,25200000,25200000,,,,,,,,,,,,,25200000,,,,,,,,,0.0125,,,,,,,,,,538712000.0,,,,,,,259400000,,259400000,,259400000,,,0.0125,,,,,,,,,,,,,,,,,,,,
1990-05-31,,,,,,,538712000.0,,,54600000,54600000,,,,,,,,,,,,,54600000,,,,,,,,,0.0275,,,,,,,,,,538712000.0,,,,,,,352500000,,352500000,,352500000,,,0.0275,,,,,,,,,,,,,,,,,,,,
1990-08-31,,,,,,,538988000.0,,,107200000,107200000,,,,,,,,,,,,,107200000,,,,,,,,,0.05,,,,,,,,,,538988000.0,,,,,,,482900000,,482900000,,482900000,,,0.05,,,,,,,,,,,,,,,,,,,,
1990-11-30,,2462200000.0,,,,2683500000.0,,1069000000.0,,19200000,19200000,,,1073100000.0,4100000.0,218500000.0,,,,,1647400000.0,,,19200000,45300000.0,,,36100000.0,,,,,,,1036100000.0,,,,,263500000.0,,,,35400000.0,,130400000.0,130400000.0,,,296500000,,-825300000,,-825300000,-241000000.0,,,,,,221300000.0,2394400000.0,574300000.0,,,,,355800000.0,2153400000.0,,635000000.0,,,,,,
1991-02-28,,,,,,,544988000.0,,,37400000,30500000,,,,,,,,,,,,,30500000,,,,,,,,,0.0125,,,,,,,,,,544988000.0,,,,,,,292900000,,292900000,,292900000,,,0.0125,,,,,,,,,,,,,,,,,,,,
1991-05-31,,,,,,,538792000.0,,,47200000,43400000,,,,,,,,,,,,,43400000,,,,,,,,,0.02,,,,,,,,,,538792000.0,,,,,,,307000000,,307000000,,307000000,,,0.02,,,,,,,,,,,,,,,,,,,,
1991-08-31,,,,,,,452420000.0,,,130500000,123100000,,,,,,,,,,,,,123100000,,,,,,,,,0.055,,,,,,,,,,452420000.0,,,,,,,499200000,,499200000,,499200000,,,0.055,,,,,,,,,,,,,,,,,,,,
