date,quarterlyRepurchaseOfCapitalStock,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOtherCurrentAssets,quarterlyDeferredIncomeTax,quarterlyAccountsPayable,quarterlyChangeInWorkingCapital,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyStockBasedCompensation,quarterlyNetOtherInvestingChanges,quarterlyEbitda,quarterlyStockholdersEquity,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyDilutedEPS,quarterlyOperatingExpense,quarterlyChangeInInventory,quarterlyGrossProfit,quarterlyCurrentDeferredRevenue,quarterlyOtherNonCashItems,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlySellingGeneralAndAdministration,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyRepaymentOfDebt,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyTaxProvision,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyBasicAverageShares,quarterlyOperatingIncome,quarterlyTotalRevenue,quarterlyAccumulatedDepreciation,quarterlyBasicEPS,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherCurrentLiabilities,quarterlyCommonStockIssuance,quarterlyCostOfRevenue,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyGoodwill,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlyLongTermDebt,quarterlyInvestmentsAndAdvances,quarterlyOtherIncomeExpense,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCashDividendsPaid,quarterlyDepreciationAndAmortization,quarterlyCapitalStock,quarterlyBeginningCashPosition,quarterlyPurchaseOfInvestment,quarterlyCurrentDebt,quarterlyChangesInAccountReceivables,quarterlyInterestExpense,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyNonCurrentDeferredRevenue,quarterlySaleOfInvestment,quarterlyOtherShortTermInvestments,quarterlyChangeInAccountPayable,quarterlyResearchAndDevelopment
2003-03-31,,,,,,,,,,,53100000,,,,0.68,,,53100000,,,,,,,,,29900000,,,4400000,,,35104091.0,53100000,212700000,,0.71,,,,25500000,25500000,,,159600000,,,,,,,,-11600000,36176300.0,,,,,,,,,,11900000,,,24900000,,,,,,,,,,
2003-06-30,,,,,,,,,,,18700000,,,,-0.03,,,18700000,,,,,,,,,-7200000,,,-600000,,,34663944.0,18700000,88700000,,-0.03,,,,-6600000,-6600000,,,70000000,,,,,,,,-14400000,35987434.0,,,,,,,,,,13100000,,,-14200000,,,,,,,,,,
2003-09-30,,,,,,,,,,,17900000,,,,-0.25,,,17900000,,,,,,,,,-10400000,,,-2800000,,,30029932.0,17900000,97100000,,-0.25,,,,-7600000,-7600000,,,79200000,,,,,,,,-17100000,30029932.0,,,,,,,,,,15500000,,,-7600000,,,,,,,,,,
2003-12-31,,580600000.0,,3700000.0,,72600000.0,,25500000.0,,,8300000,-144100000.0,,,,,,57300000,,,114000000.0,220400000.0,,716600000.0,,,23300000,262000000.0,-174800000.0,7400000,,,,8300000,202100000,-318600000.0,,,36400000.0,,15900000,15900000,0.0,,144800000,117400000.0,40600000.0,,77700000.0,96700000.0,602500000.0,,-16900000,,2600000.0,2600000.0,,,300000.0,,,800000.0,,15800000,830600000.0,686500000.0,15900000,31400000.0,172700000.0,466100000.0,,,,,,,
2004-03-31,,585900000.0,,2500000.0,200000.0,53400000.0,54000000.0,27300000.0,,100000.0,68700000,-117100000.0,-3800000.0,71300000.0,0.94,14400000.0,39600000.0,72000000,,,95900000.0,216600000.0,14400000.0,698000000.0,,,41700000,257200000.0,-144500000.0,11400000,-3900000.0,-29800000.0,30241662.0,57600000,250500000,-328700000.0,1.0,101700000.0,36600000.0,68700000.0,30300000,30300000,8000000.0,200000.0,178500000,86000000.0,33800000.0,,77100000.0,56800000.0,584300000.0,,-500000,32174309.0,71300000.0,71300000.0,-5700000.0,11100000.0,300000.0,2600000.0,,700000.0,,15400000,793900000.0,676800000.0,30300000,31000000.0,172000000.0,460200000.0,-100000.0,97800000.0,,,,,
2004-06-30,,583600000.0,,3200000.0,1200000.0,43900000.0,-5100000.0,24800000.0,,100000.0,17500000,-132400000.0,-4600000.0,54900000.0,-0.19,13000000.0,-26000000.0,20100000,,,84000000.0,194800000.0,12600000.0,695100000.0,,,-8200000,250300000.0,-150400000.0,-2300000,-4700000.0,-17200000.0,30516370.0,7100000,96900000,-333300000.0,-0.19,6700000.0,36400000.0,-16400000.0,-5900000,-5900000,2100000.0,600000.0,76800000,54000000.0,37400000.0,,78800000.0,82700000.0,579900000.0,,-600000,30516370.0,54900000.0,54900000.0,-7600000.0,10400000.0,300000.0,71300000.0,,600000.0,,15100000,779100000.0,646700000.0,-5900000,30300000.0,171300000.0,451900000.0,0.0,2000000.0,,,,,
2004-09-30,,758000000.0,,3400000.0,-15000000.0,57300000.0,-32400000.0,30300000.0,,100000.0,22700000,-109100000.0,-7700000.0,8300000.0,0.17,13900000.0,-29100000.0,25900000,,,90300000.0,189600000.0,13300000.0,660500000.0,,,-6700000,398200000.0,-131900000.0,-12200000,-7800000.0,-17500000.0,30785285.0,12000000,111700000,-359800000.0,0.18,-21600000.0,35500000.0,-46600000.0,5500000,5500000,0.0,400000.0,85800000,64500000.0,32500000.0,,49300000.0,113400000.0,575700000.0,,-3900000,32273436.0,8300000.0,8300000.0,-7700000.0,10700000.0,400000.0,54900000.0,,500000.0,,15400000,750800000.0,641700000.0,5500000,30000000.0,23900000.0,452100000.0,-14000000.0,-29400000.0,,,,,
2004-12-31,,777000000.0,,3300000.0,-9000000.0,79400000.0,-16600000.0,38300000.0,,-100000.0,64700000,-88400000.0,-9900000.0,9700000.0,,17600000.0,17400000.0,70900000,,,134900000.0,266000000.0,18600000.0,677400000.0,,,27900000,402900000.0,-118800000.0,8000000,-10500000.0,-6700000.0,,53300000,236000000,-374100000.0,,12900000.0,39600000.0,1400000.0,19900000,19900000,8600000.0,0.0,165100000,143000000.0,46500000.0,,55100000.0,96300000.0,582700000.0,,-14600000,,9700000.0,9700000.0,-7700000.0,11400000.0,400000.0,8300000.0,,400000.0,,15700000,812300000.0,723900000.0,19900000,31400000.0,23600000.0,457900000.0,14000000.0,2400000.0,,,,,
2005-03-31,,778500000.0,,6300000.0,1300000.0,65600000.0,44800000.0,39100000.0,,0.0,69100000,-69000000.0,-4200000.0,67000000.0,0.7,16000000.0,36900000.0,73300000,,,117500000.0,256800000.0,16000000.0,658800000.0,,,41400000,395500000.0,-103100000.0,18800000,-4200000.0,-29000000.0,31140713.0,57300000,267400000,-383000000.0,0.73,90600000.0,45600000.0,57300000.0,22600000,22600000,16600000.0,700000.0,194100000,111100000.0,35000000.0,,45300000.0,58700000.0,567900000.0,,-200000,32323129.0,67000000.0,67000000.0,-8600000.0,11800000.0,400000.0,9700000.0,,300000.0,,15700000,776300000.0,707300000.0,22600000,31600000.0,23400000.0,450500000.0,-11000000.0,86400000.0,,,,,
2005-06-30,,774200000.0,,5300000.0,-5200000.0,53200000.0,800000.0,35000000.0,,-300000.0,19300000,-81400000.0,-5900000.0,55500000.0,-0.03,13100000.0,-32700000.0,21500000,,,96200000.0,224900000.0,13100000.0,651900000.0,,,-8300000,387500000.0,-110000000.0,-7600000,-5600000.0,-18500000.0,31430900.0,8400000,110400000,-386700000.0,-0.03,12800000.0,41300000.0,-11500000.0,-700000,-700000,5300000.0,200000.0,88900000,59300000.0,37500000.0,,46300000.0,91100000.0,564300000.0,,-800000,31430900.0,55500000.0,55500000.0,-8600000.0,10900000.0,400000.0,67000000.0,,200000.0,,15900000,748100000.0,666700000.0,-700000,31200000.0,23100000.0,441800000.0,11000000.0,7200000.0,,,,,
2005-09-30,,789700000.0,,11100000.0,-5800000.0,59700000.0,-42900000.0,44300000.0,,-3200000.0,23000000,-83000000.0,-12500000.0,23800000.0,-0.14,14100000.0,-27000000.0,25900000,,,93500000.0,242800000.0,14100000.0,675500000.0,,,-7600000,388300000.0,-121200000.0,-3200000,-9300000.0,10500000.0,31593768.0,11800000,120300000,-401400000.0,-0.14,-33300000.0,41300000.0,-31700000.0,-4400000,-4400000,1400000.0,300000.0,94400000,74700000.0,32300000.0,,44200000.0,119500000.0,590000000.0,,-3400000,31593768.0,23800000.0,23800000.0,-8700000.0,11200000.0,400000.0,55500000.0,,100000.0,,16000000,769000000.0,686000000.0,-4400000,32100000.0,22800000.0,443200000.0,-100000.0,-42600000.0,,,,,
2005-12-31,,745300000.0,,10100000.0,900000.0,88300000.0,-46500000.0,41700000.0,,-100000.0,77400000,-79100000.0,23400000.0,47100000.0,,13200000.0,35800000.0,78600000,,400000.0,139400000.0,334400000.0,13200000.0,690000000.0,,,17100000,366100000.0,-115500000.0,7800000,-12700000.0,-16800000.0,,65400000,244200000,-379200000.0,,17800000.0,33900000.0,23300000.0,13400000,9300000,7800000.0,300000.0,165600000,183000000.0,39800000.0,,43700000.0,81500000.0,612400000.0,,-34300000,,47100000.0,47100000.0,-8800000.0,12000000.0,400000.0,23800000.0,,3500000.0,,14000000,829400000.0,750300000.0,13400000,27300000.0,22500000.0,415900000.0,-3300000.0,5100000.0,,,,,
2006-03-31,,754900000.0,,6400000.0,-3500000.0,66200000.0,69700000.0,40900000.0,,-1000000.0,61200000,-59400000.0,-10300000.0,100800000.0,0.88,14200000.0,2300000.0,65000000,,300000.0,114400000.0,285800000.0,14200000.0,646700000.0,,,37700000,365700000.0,-95100000.0,9100000,-9300000.0,-50400000.0,32121621.0,50800000,217900000,-389200000.0,0.89,112600000.0,30600000.0,53700000.0,28600000,28600000,13000000.0,200000.0,152900000,86700000.0,31800000.0,,38300000.0,79200000.0,577800000.0,,400000,32375610.0,100800000.0,100800000.0,-9800000.0,10400000.0,400000.0,47100000.0,,3400000.0,,13500000,761100000.0,701700000.0,28600000,27900000.0,22300000.0,415900000.0,1100000.0,103300000.0,,,,,
