date,quarterlyInvestmentsAndAdvances,quarterlyCashAndCashEquivalents,quarterlyCapitalStock,quarterlyTotalAssets,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyGrossPPE,quarterlyAccountsPayable,quarterlyStockholdersEquity,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyRetainedEarnings,quarterlyCapitalExpenditure,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInventory,quarterlyCommonStockIssuance,quarterlyNonCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyFreeCashFlow,quarterlyLongTermDebt,quarterlyChangeInWorkingCapital,quarterlyStockBasedCompensation,quarterlyCurrentDeferredRevenue,quarterlyOperatingCashFlow,quarterlyNetOtherFinancingCharges,quarterlyCurrentDebt,quarterlyInvestingCashFlow,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingExpense,quarterlyCurrentLiabilities,quarterlySaleOfInvestment,quarterlyNetIncomeCommonStockholders,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,quarterlyOtherNonCashItems,quarterlyChangesInAccountReceivables,quarterlyCostOfRevenue,quarterlyPurchaseOfBusiness,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyPretaxIncome,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyOtherIncomeExpense,quarterlyDeferredIncomeTax,quarterlyOtherIntangibleAssets,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashDividendsPaid,quarterlyOtherNonCurrentLiabilities,quarterlyTotalRevenue,quarterlyNetIncome,quarterlyTaxProvision,quarterlyChangeInInventory,quarterlyEndCashPosition,quarterlyOtherCurrentAssets,quarterlyOperatingIncome,quarterlyChangeInAccountPayable,quarterlyEbitda,quarterlyOtherNonCurrentAssets,quarterlyResearchAndDevelopment,quarterlyCurrentAccruedExpenses,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyNetIncomeContinuousOperations,quarterlyGoodwill,quarterlyOtherCurrentLiabilities,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyOtherShortTermInvestments,quarterlyIncomeTaxPayable,quarterlyGrossProfit,quarterlyDepreciationAndAmortization,quarterlyTotalNonCurrentAssets,quarterlyRepaymentOfDebt,quarterlyDilutedEPS,quarterlyCurrentAssets,quarterlyNetOtherInvestingChanges,quarterlyDilutedAverageShares
2009-12-31,414460000000,221070000000,52864000000,1212791000000,1107156000000,30232000000,29930000000,102902000000,-3946000000.0,26286000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,444912000000,205512000000,52864000000,1302176000000,1192639000000,32401000000,34690000000,106711000000,-4166000000.0,28235000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,501116000000,455311000000,52864000000,1661040000000,1542751000000,35440000000,35480000000,115181000000,-4391000000.0,31049000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-06-30,524201000000,508849000000,52864000000,1830379000000,1700756000000,40766000000,47842000000,126163000000,-4656000000.0,36110000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-12-31,518511000000,386705000000,52864000000,1738510000000,1605327000000,39650000000,41811000000,129765000000,,39650000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-06-30,538652000000,267590000000,52864000000,1684722000000,1540310000000,48884000000,43119000000,140714000000,-5088000000.0,43796000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,646224000000,264773000000,0,1830763000000,1675689000000,53971000000,47639000000,150969000000,-5228000000.0,48743000000,52811000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,608016000000,236961000000,0,1834661000000,1678959000000,55100000000,47768000000,151806000000,-5416000000.0,49684000000,56345000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,609043000000,400435000000,0,2046936000000,1883928000000,58066000000,47803000000,158813000000,-5708000000.0,52358000000,60734000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-06-30,586886000000,374013000000,0,2085236000000,1911858000000,59593000000,46286000000,168865000000,-6020000000.0,53573000000,67093000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
