date,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyDilutedEPS,quarterlyRepaymentOfDebt,quarterlyTaxProvision,quarterlyOperatingExpense,quarterlyPretaxIncome,quarterlyNetPPE,quarterlyOtherIntangibleAssets,quarterlyCurrentDebt,quarterlyInterestExpense,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyCapitalExpenditure,quarterlyResearchAndDevelopment,quarterlyCommonStockIssuance,quarterlyNetOtherFinancingCharges,quarterlyPurchaseOfBusiness,quarterlyOtherNonCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOperatingCashFlow,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyChangeInAccountPayable,quarterlyGrossProfit,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyNetOtherInvestingChanges,quarterlyOtherIncomeExpense,quarterlyGoodwill,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyOtherNonCashItems,quarterlyNetIncomeCommonStockholders,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyPurchaseOfInvestment,quarterlyOperatingIncome,quarterlyOtherShortTermInvestments,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyRetainedEarnings,quarterlyGrossPPE,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyTotalRevenue,quarterlyDilutedAverageShares,quarterlyOtherCurrentLiabilities,quarterlyChangeInCashSupplementalAsReported,quarterlyBasicAverageShares,quarterlyTotalAssets,quarterlyBasicEPS,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyTotalNonCurrentAssets,quarterlyChangesInAccountReceivables,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyAccountsPayable,quarterlyChangeInInventory,quarterlyIncomeTaxPayable,quarterlyInvestmentsAndAdvances,quarterlyCashDividendsPaid,quarterlyInventory,quarterlyNonCurrentDeferredRevenue
2011-03-31,,,,,0.064803,-279000000.0,165000000,176000000,398000000,,,,7000000.0,798000000,-153000000,57000000,998000000.0,70000000,-1000000.0,,,345000000,,,,,167000000,,-3000000,564000000,,1000000,17000000,,233000000,233000000,,119000000,233000000,153000000,2776000000,-153000000,51000000,456000000,7000000,0,388000000,,192000000,,53000000,69000000,,,,,731000000,2361000000.0,,991000000,2126000000.0,,0.071966,,,27000000,0,,1785000000,,,,,,,,
2011-06-30,,,,,0.067344,-53000000.0,159000000,278000000,399000000,,,,9000000.0,255000000,-132000000,99000000,0.0,293000000,-3000000.0,,,129000000,,,,,210000000,,10000000,685000000,,-4000000,1000000,,240000000,240000000,,179000000,64000000,159000000,1131000000,-2032000000,72000000,480000000,64000000,-1893000000,407000000,,-3000000,,-236000000,272000000,,,,,895000000,2361000000.0,,-1645000000,2126000000.0,,0.074788,,,-55000000,0,,2776000000,,,,,,,,
2011-09-30,,,,,0.063532,-46000000.0,152000000,304000000,379000000,,,,10000000.0,14000000,-136000000,108000000,0.0,57000000,-1000000.0,,,565000000,,,,,236000000,,29000000,718000000,,8000000,-25000000,,227000000,227000000,,196000000,70000000,150000000,906000000,-795000000,97000000,486000000,70000000,-851000000,414000000,,429000000,,186000000,35000000,,,,,954000000,2361000000.0,,-225000000,2126000000.0,,0.070555,,,-44000000,185000000,,1131000000,,,,,,,,
2011-12-31,,3908000000.0,1512000000.0,90000000.0,,-53000000.0,217000000,337000000,519000000,1475000000.0,80000000.0,,16000000.0,131000000,-185000000,124000000,0.0,183000000,-19000000.0,90000000.0,-450000000.0,510000000,135000000.0,0.0,0.0,547000000.0,247000000,296000000.0,-30000000,884000000,533000000.0,1000000,-12000000,82000000.0,302000000,302000000,4899000000.0,213000000,76000000,205000000,1512000000,-43000000,103000000,638000000,76000000,-284000000,547000000,2396000000.0,325000000,1432000000.0,2000000,57000000,1606000000.0,1925000000.0,899000000.0,4604000000.0,1131000000,,0.0,606000000,,6331000000.0,,-6000000.0,1727000000.0,-102000000,444000000,,906000000,615000000.0,63000000.0,,,,,,
2012-03-31,,3910000000.0,1282000000.0,93000000.0,0.09,-71000000.0,177000000,400000000,382000000,1855000000.0,107000000.0,,13000000.0,50000000,-453000000,153000000,0.0,116000000,-25000000.0,121000000.0,-537000000.0,441000000,144000000.0,0.0,0.0,482000000.0,277000000,337000000.0,-3000000,781000000,548000000.0,-1000000,14000000,82000000.0,205000000,205000000,5597000000.0,247000000,205000000,137000000,1282000000,-720000000,110000000,505000000,103000000,-877000000,381000000,2628000000.0,-12000000,1587000000.0,22000000,54000000,1171000000.0,2392000000.0,1039000000.0,5019000000.0,1058000000,2361000000.0,0.0,-230000000,2126000000.0,7184000000.0,0.1,-7000000.0,2165000000.0,65000000,636000000,,1512000000,0.0,129000000.0,,,,,,
2012-06-30,,10188000000.0,2098000000.0,85000000.0,-0.08,-72000000.0,-608000000,1560000000,-765000000,2105000000.0,709000000.0,,10000000.0,7040000000,-413000000,705000000,6761000000.0,347000000,-550000000.0,47000000.0,-629000000.0,242000000,191000000.0,,0.0,578000000.0,367000000,441000000.0,-5000000,817000000,585000000.0,-2000000,-12000000,100000000.0,-157000000,-157000000,13309000000.0,855000000,1106000000,-157000000,2098000000,-6450000000,139000000,-616000000,1106000000,-6083000000,-743000000,8090000000.0,-171000000,1619000000.0,-475000000,-47000000,1654000000.0,2734000000.0,1034000000.0,11967000000.0,1184000000,1879000000.0,0.0,816000000,1879000000.0,14928000000.0,-0.08,-29000000.0,2961000000.0,-106000000,598000000,,1282000000,0.0,43000000.0,,,,,,
2012-09-30,,10452000000.0,2478000000.0,85000000.0,-0.02,-88000000.0,431000000,563000000,372000000,2289000000.0,833000000.0,,11000000.0,507000000,-171000000,244000000,-1000000.0,596000000,-336000000.0,41000000.0,-734000000.0,248000000,254000000.0,,0.0,635000000.0,322000000,409000000.0,28000000,940000000,784000000.0,1000000,6000000,590000000.0,-59000000,-59000000,14174000000.0,319000000,179000000,-59000000,2478000000,-389000000,176000000,559000000,179000000,-1633000000,377000000,7974000000.0,77000000,1864000000.0,8000000,413000000,1595000000.0,3023000000.0,1080000000.0,12285000000.0,1262000000,2420000000.0,0.0,380000000,2420000000.0,16038000000.0,-0.02,-6000000.0,3753000000.0,-49000000,1750000000,,2098000000,0.0,59000000.0,,,,,,
2012-12-31,,9626000000.0,2384000000.0,30000000.0,0.03,-135000000.0,441000000,665000000,505000000,2391000000.0,801000000.0,,16000000.0,-1314000000,-198000000,297000000,0.0,-2888000000,0.0,57000000.0,-882000000.0,681000000,305000000.0,1500000000.0,0.0,719000000.0,397000000,423000000.0,-19000000,1188000000,2296000000.0,0,-16000000,587000000.0,64000000,64000000,11755000000.0,368000000,184000000,43000000,2384000000,535000000,224000000,745000000,184000000,-1716000000,523000000,7242000000.0,483000000,3348000000.0,-46000000,-606000000,1659000000.0,3273000000.0,1052000000.0,11267000000.0,1585000000,2506000000.0,277000000.0,-94000000,2368000000.0,15103000000.0,0.03,2000000.0,3836000000.0,-80000000,2449000000,,2478000000,0.0,65000000.0,,,,,,
2013-03-31,,9472000000.0,2325000000.0,30000000.0,0.09,-109000000.0,134000000,672000000,353000000,2533000000.0,847000000.0,,15000000.0,-444000000,-327000000,293000000,,-343000000,-99000000.0,87000000.0,-1002000000.0,719000000,356000000.0,1500000000.0,0.0,659000000.0,413000000,430000000.0,1000000,1045000000,2276000000.0,6000000,-5000000,654000000.0,219000000,219000000,11824000000.0,379000000,167000000,217000000,2325000000,-326000000,241000000,609000000,170000000,-1508000000,373000000,7147000000.0,392000000,3339000000.0,90000000,-7000000,1878000000.0,3535000000.0,1063000000.0,11042000000.0,1458000000,2499000000.0,0.0,-59000000,2386000000.0,15163000000.0,0.09,-15000000.0,4121000000.0,54000000,1602000000,,2384000000,0.0,75000000.0,,,,,,
2013-06-30,,10252000000.0,3001000000.0,32000000.0,0.13,-91000000.0,212000000,786000000,545000000,2577000000.0,869000000.0,,14000000.0,-149000000,-268000000,344000000,0.0,-60000000,-122000000.0,95000000.0,-1014000000.0,1322000000,444000000.0,1500000000.0,0.0,775000000.0,465000000,505000000.0,1000000,1348000000,2295000000.0,-2000000,-3000000,762000000.0,333000000,333000000,12349000000.0,442000000,57000000,331000000,3001000000,-498000000,222000000,781000000,224000000,-1953000000,562000000,7251000000.0,1054000000,3375000000.0,445000000,26000000,2211000000.0,3591000000.0,1080000000.0,11421000000.0,1813000000,2502000000.0,0.0,676000000,2407000000.0,15724000000.0,0.14,-29000000.0,4303000000.0,-116000000,1847000000,,2325000000,0.0,55000000.0,,,,,,
