date,quarterlyDilutedAverageShares,quarterlyTotalAssets,quarterlyOtherNonCurrentLiabilities,quarterlyLongTermDebt,quarterlyOtherCurrentLiabilities,quarterlyCostOfRevenue,quarterlyTotalNonCurrentAssets,quarterlyChangeInCashSupplementalAsReported,quarterlyAccountsReceivable,quarterlyCurrentAccruedExpenses,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyInvestmentsAndAdvances,quarterlyNetIncomeContinuousOperations,quarterlyNetIncome,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyNetIncomeCommonStockholders,quarterlyOtherIncomeExpense,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyBasicEPS,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyInventory,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyPurchaseOfInvestment,quarterlyOperatingExpense,quarterlyCurrentDebt,quarterlyEndCashPosition,quarterlyOtherIntangibleAssets,quarterlyInterestExpense,quarterlyInvestingCashFlow,quarterlyDepreciationAndAmortization,quarterlyCashDividendsPaid,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyOtherNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyFreeCashFlow,quarterlyOtherCurrentAssets,quarterlyChangeInInventory,quarterlySaleOfInvestment,quarterlyRepurchaseOfCapitalStock,quarterlyChangesInAccountReceivables,quarterlyAccountsPayable,quarterlyCapitalStock,quarterlyChangeInAccountPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyGrossProfit,quarterlyBasicAverageShares,quarterlyBeginningCashPosition,quarterlyStockholdersEquity,quarterlyNetOtherInvestingChanges,quarterlyRepaymentOfDebt,quarterlyAccumulatedDepreciation,quarterlyNetPPE,quarterlyTaxProvision,quarterlyOtherNonCashItems,quarterlyEbitda,quarterlyStockBasedCompensation,quarterlyChangeInWorkingCapital,quarterlyDeferredIncomeTax,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherShortTermInvestments,quarterlyRetainedEarnings,quarterlyCommonStockIssuance,quarterlyResearchAndDevelopment,quarterlyTotalRevenue,quarterlyOperatingCashFlow,quarterlyCapitalExpenditure,quarterlyPretaxIncome,quarterlyDilutedEPS,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyCurrentLiabilities,quarterlyGrossPPE,quarterlyIncomeTaxPayable,quarterlyOperatingIncome,quarterlyNonCurrentDeferredRevenue
1992-06-30,,31800000.0,100000.0,700000.0,3300000.0,1600000.0,26000000.0,0.0,,,800000.0,,,,2400000.0,,,,,,1100000.0,1500000.0,1100000.0,,,2800000.0,,0.0,24100000.0,,500000.0,400000.0,,6200000.0,1000000.0,,-900000.0,800000.0,100000.0,,,,2100000.0,25300000.0,,,2900000.0,,1100000.0,25600000.0,600000.0,,-100000.0,900000.0,,,500000,,-1200000.0,,0.0,,100000.0,,,4500000,-800000.0,-100000.0,,,,5800000.0,5400000.0,1000000.0,,100000,
1992-09-30,718895927.0,31300000.0,,,2600000.0,1600000.0,25400000.0,300000.0,,,1600000.0,,-700000.0,-700000.0,2900000.0,,-700000.0,-100000.0,,-0.000974,1400000.0,1700000.0,1400000.0,,,3300000.0,,0.0,23800000.0,,0.0,500000.0,,6400000.0,800000.0,,300000.0,1000000.0,-200000.0,,,,2200000.0,25300000.0,,,2600000.0,718895927.0,0.0,24900000.0,100000.0,,-100000.0,800000.0,,,-200000,,600000.0,,0.0,,-600000.0,,,4200000,400000.0,-100000.0,,-0.000974,,5900000.0,4800000.0,900000.0,,-700000,
1992-12-31,239614202.0,,,,,,,,,,,,-100000.0,-500000.0,,,-500000.0,,,-0.002087,,,,,,,,,,,,,,,,,,,,,,,,,,,,239614202.0,,,,,,,,,5500000,,,,,,,,,5500000,,,,-0.002087,,,,,,5500000,
1993-03-31,,34600000.0,,,2400000.0,,24200000.0,,,,400000.0,,-100000.0,-500000.0,,,-500000.0,,,,1900000.0,900000.0,1900000.0,,,,300000.0,,23200000.0,,,,,5600000.0,400000.0,,,800000.0,,,,,2500000.0,25200000.0,,,,,,29000000.0,,,-300000.0,600000.0,,,-15600000,,,,,,-1300000.0,,,5600000,,,,,,10400000.0,5200000.0,900000.0,,-15600000,
1993-06-30,808766570.0,33500000.0,,,1800000.0,3100000.0,23800000.0,3200000.0,,,400000.0,,-900000.0,-900000.0,2500000.0,,-900000.0,,,-0.001113,5000000.0,800000.0,5000000.0,,,2900000.0,100000.0,0.0,22900000.0,,-100000.0,400000.0,,5400000.0,300000.0,0.0,3300000.0,1100000.0,100000.0,,,,3100000.0,25200000.0,,,1900000.0,808766570.0,1900000.0,28100000.0,0.0,,-300000.0,600000.0,,100000.0,-600000,,-1200000.0,,-100000.0,,-2200000.0,,,5000000,3400000.0,-100000.0,,-0.001113,,9700000.0,5000000.0,900000.0,,-1000000,
1993-09-30,808766570.0,34600000.0,,,2700000.0,3700000.0,23500000.0,-4400000.0,,,400000.0,,500000.0,500000.0,3300000.0,,500000.0,,,-0.000556,600000.0,1600000.0,600000.0,,,3700000.0,,0.0,22600000.0,,-100000.0,400000.0,,6200000.0,300000.0,3500000.0,-7500000.0,2700000.0,-800000.0,,,,3100000.0,25200000.0,,,4200000.0,808766570.0,0.0,28400000.0,0.0,,-300000.0,600000.0,,0.0,900000,,-3300000.0,,3300000.0,,-1700000.0,,,7900000,-7400000.0,-100000.0,,-0.000556,,11100000.0,5800000.0,900000.0,,500000,
1993-12-31,269578762.0,35600000.0,,,2900000.0,5000000.0,23500000.0,-600000.0,,,400000.0,,400000.0,400000.0,3600000.0,,-600000.0,0.0,,-0.002226,100000.0,2300000.0,100000.0,,,3900000.0,900000.0,0.0,22300000.0,,-300000.0,200000.0,,6800000.0,400000.0,100000.0,-1500000.0,2600000.0,,,,,2600000.0,25200000.0,,,4400000.0,269578762.0,0.0,28800000.0,0.0,,-300000.0,800000.0,100000.0,,800000,,-1700000.0,,1000000.0,,-1300000.0,0.0,,9400000,-1200000.0,-300000.0,500000.0,-0.002226,,12100000.0,6400000.0,1100000.0,,500000,
1994-03-31,,68700000.0,,,2300000.0,2400000.0,23300000.0,38000000.0,,,500000.0,,-2000000.0,-2000000.0,-1000000.0,,-2300000.0,200000.0,,,38100000.0,2500000.0,38100000.0,,,4100000.0,,0.0,22000000.0,,-1900000.0,700000.0,,4700000.0,300000.0,6400000.0,1700000.0,2900000.0,,,,,1900000.0,,,,1900000.0,,0.0,64000000.0,-1500000.0,,-700000.0,1000000.0,0.0,,-1500000,,3300000.0,,37800000.0,,-3300000.0,34400000.0,,4300000,2100000.0,-400000.0,-2000000.0,,,45400000.0,4200000.0,1700000.0,,-2200000,
1994-06-30,975644472.0,66200000.0,,,2200000.0,1800000.0,23100000.0,-1400000.0,,,500000.0,,-1900000.0,-1900000.0,2000000.0,,-1900000.0,300000.0,,-0.001947,36700000.0,1900000.0,36700000.0,,,3700000.0,,0.0,21700000.0,,-300000.0,300000.0,,4100000.0,200000.0,,-1300000.0,3100000.0,,,,,1400000.0,,,,1400000.0,975644472.0,38100000.0,62100000.0,0.0,,-300000.0,1200000.0,,,-2000000,,600000.0,,0.0,,-5200000.0,,1400000.0,3200000,-1000000.0,-300000.0,,-0.001947,,43100000.0,3600000.0,1500000.0,,-2300000,
1994-09-30,975644472.0,65700000.0,,,2400000.0,1500000.0,22800000.0,-400000.0,,,500000.0,,-600000.0,-600000.0,2000000.0,,-600000.0,400000.0,,-0.000696,36300000.0,1600000.0,36300000.0,,,4100000.0,,0.0,21400000.0,,-100000.0,300000.0,,4200000.0,200000.0,,-2000000.0,3100000.0,,,,,1300000.0,,,,3100000.0,975644472.0,0.0,61500000.0,0.0,,-300000.0,1200000.0,,,-700000,,-1600000.0,,1500000.0,,-5800000.0,,1800000.0,4600000,-1900000.0,-100000.0,,-0.000696,,42900000.0,3700000.0,1500000.0,,-1000000,
