date,quarterlyInvestmentsAndAdvances,quarterlyNetIncome,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyOtherNonCurrentAssets,quarterlyCommonStockIssuance,quarterlyCapitalExpenditure,quarterlyOtherCurrentLiabilities,quarterlyOperatingCashFlow,quarterlyNetIncomeContinuousOperations,quarterlyTaxProvision,quarterlyBasicEPS,quarterlyOtherIncomeExpense,quarterlyInventory,quarterlyNetPPE,quarterlyLongTermDebt,quarterlyChangeInCashSupplementalAsReported,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyAccountsReceivable,quarterlyOperatingExpense,quarterlyCostOfRevenue,quarterlyCurrentAccruedExpenses,quarterlyDepreciationAndAmortization,quarterlyBeginningCashPosition,quarterlyCapitalStock,quarterlyCashAndCashEquivalents,quarterlyTotalAssets,quarterlyPurchaseOfInvestment,quarterlyDilutedAverageShares,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyCurrentDebt,quarterlyFreeCashFlow,quarterlyInterestExpense,quarterlySaleOfInvestment,quarterlyTotalNonCurrentAssets,quarterlyNetOtherFinancingCharges,quarterlyChangesInAccountReceivables,quarterlyNetIncomeCommonStockholders,quarterlyOtherIntangibleAssets,quarterlyGrossProfit,quarterlyDeferredIncomeTax,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyAccountsPayable,quarterlyRepurchaseOfCapitalStock,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyOperatingIncome,quarterlyGrossPPE,quarterlyNonCurrentDeferredRevenue,quarterlyIncomeTaxPayable,quarterlyChangeInWorkingCapital,quarterlyDilutedEPS,quarterlyNetOtherInvestingChanges,quarterlyChangeInInventory,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyOtherNonCashItems,quarterlyCashDividendsPaid,quarterlyChangeInAccountPayable,quarterlyEndCashPosition,quarterlyInvestingCashFlow,quarterlyBasicAverageShares,quarterlyRetainedEarnings,quarterlyOtherShortTermInvestments,quarterlyStockholdersEquity,quarterlySellingGeneralAndAdministration,quarterlyGoodwill,quarterlyCurrentLiabilities,quarterlyPretaxIncome,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyPurchaseOfBusiness,quarterlyCurrentAssets,quarterlyRepaymentOfDebt,quarterlyOtherCurrentAssets,quarterlyAccumulatedDepreciation,quarterlyOtherNonCurrentLiabilities,quarterlyCurrentDeferredRevenue,quarterlyResearchAndDevelopment
1992-03-31,,-4200000,,,,,,,-4200000,,-0.0225,,,,,,,,,,,,,,,,,186666667.0,,,,,,,,,-4200000,,,,,,,,210300000,210300000,,,,,-0.0225,,,,210300000,,,,,,186666667.0,,,,,,,,,,,,,,,,
1992-06-30,,-1300000,,,,,,,-1300000,,-0.0075,,,,,,,,,,,,,,,,,173333333.0,,,,,,,,,-1300000,,,,,,,,230700000,230700000,,,,,-0.0075,,,,230700000,,,,,,173333333.0,,,,,,,,,,,,,,,,
1992-09-30,,-4200000,,,,,,,-4200000,,-0.0225,,,,,,,,,,,,,,,,,186666667.0,,,,,,,,,-4200000,,,,,,,,226500000,226500000,,,,,-0.0225,,,,226500000,,,,,,186666667.0,,,,,,,,,,,,,,,,
1992-12-31,,-2400000,,156100000.0,,,10100000.0,,-2400000,,,,64800000.0,412900000.0,107500000.0,,43400000.0,,,,,,,,9400000.0,1074200000.0,,,9400000.0,,,,,900900000.0,,,-2400000,331900000.0,,,,156900000.0,,344000000.0,258500000,-640300000,691600000.0,,,,,,,,-640300000,,,,,,,,,728200000.0,,,167000000.0,,177000000.0,,173300000.0,,15900000.0,-278700000.0,26100000.0,,
1993-03-31,,-127600000,,,,,,,3200000,,-0.69625,,,,,,,,,,,,,,,,,183267504.0,,,,,,,,,-127600000,,,,,,,,238500000,238500000,,,,,-0.69625,,,,238500000,,,,,,183267504.0,,,,,,,,,,,,,,,,
1993-06-30,,8700000,,208400000.0,,,83300000.0,,8700000,6700000.0,0.0475,1600000.0,63400000.0,411900000.0,227000000.0,,,,37200000.0,194100000.0,,,,,16100000.0,1136700000.0,,183157895.0,16100000.0,35700000.0,,4300000.0,,947400000.0,,,8700000,327100000.0,55300000.0,,,74900000.0,,768200000.0,249400000,18100000,707800000.0,,,,0.0475,,,,35000000,,,,,,183157895.0,,,368500000.0,20300000.0,,193900000.0,15400000.0,574300000.0,,189300000.0,,24100000.0,-295900000.0,347300000.0,,
1993-09-30,,6400000,8300000.0,213200000.0,,-17400000.0,74100000.0,7000000.0,6400000,3200000.0,0.035,3900000.0,72900000.0,415900000.0,167100000.0,1100000.0,,,38900000.0,171700000.0,,18100000.0,0.0,,17200000.0,1154500000.0,,182857143.0,17200000.0,21900000.0,-10400000.0,4100000.0,,953800000.0,83700000.0,,6400000,324700000.0,48700000.0,,,77600000.0,,690400000.0,220400000,9800000,721800000.0,,,-14300000.0,0.035,0.0,-9200000.0,,27900000,-3200000.0,,,0.0,-14500000.0,182857143.0,,,464100000.0,20800000.0,,173600000.0,9600000.0,516800000.0,,200700000.0,,23900000.0,-305900000.0,349700000.0,,
1993-12-31,,14500000,-25900000.0,225400000.0,,-21600000.0,20200000.0,44600000.0,14500000,10700000.0,,2700000.0,68100000.0,418300000.0,139900000.0,-7800000.0,,,37800000.0,212800000.0,,15700000.0,0.0,,9400000.0,1159400000.0,,,9400000.0,19700000.0,23000000.0,3700000.0,,966000000.0,-84200000.0,,14500000,322300000.0,64300000.0,,,147400000.0,-100000.0,698600000.0,277100000,26500000,752500000.0,,,17900000.0,,-5600000.0,4200000.0,,42200000,-3500000.0,,,0.0,-26200000.0,,-98000000.0,,459100000.0,22100000.0,,187300000.0,25200000.0,511300000.0,,193400000.0,,17000000.0,-334200000.0,371400000.0,,
1994-03-31,,13700000,-3500000.0,231200000.0,3000000.0,-20400000.0,22200000.0,31900000.0,13700000,10900000.0,0.0725,2900000.0,69000000.0,426200000.0,130900000.0,8100000.0,,,40600000.0,221200000.0,,17600000.0,9400000.0,,17500000.0,1199500000.0,,188965517.0,17500000.0,26100000.0,11500000.0,3500000.0,,977200000.0,0.0,,13700000,319800000.0,66000000.0,,,168600000.0,,721000000.0,287200000,25400000,772400000.0,,,3500000.0,0.0725,-100000.0,-700000.0,,43000000,-2900000.0,-2900000.0,,0.0,-20300000.0,188965517.0,-84300000.0,,476500000.0,23000000.0,,216900000.0,24600000.0,504100000.0,,222300000.0,,28200000.0,-346200000.0,373200000.0,,
1994-06-30,,18800000,-8200000.0,236300000.0,300000.0,-20700000.0,21600000.0,28500000.0,18800000,12800000.0,0.10125,3900000.0,67500000.0,434400000.0,140800000.0,600000.0,,,40000000.0,240500000.0,,18000000.0,0.0,,18100000.0,1221900000.0,,185679012.0,18100000.0,13200000.0,7800000.0,3400000.0,,988100000.0,0.0,,18800000,317400000.0,71600000.0,,,165700000.0,,720600000.0,312100000,31600000,798700000.0,,,-4800000.0,0.10125,800000.0,2200000.0,,49600000,-3500000.0,-3400000.0,,0.0,-20100000.0,185679012.0,-65500000.0,,498700000.0,22000000.0,,200500000.0,31600000.0,520100000.0,,233800000.0,,34400000.0,-364300000.0,379300000.0,,
