date,quarterlyOperatingExpense,quarterlyCashAndCashEquivalents,quarterlyCurrentDeferredRevenue,quarterlyCashCashEquivalentsAndMarketableSecurities,quarterlyBeginningCashPosition,quarterlyRepaymentOfDebt,quarterlyCapitalStock,quarterlyPurchaseOfBusiness,quarterlyNetPPE,quarterlyPretaxIncome,quarterlyChangesInAccountReceivables,quarterlyCapitalExpenditure,quarterlyCashFlowFromContinuingFinancingActivities,quarterlyInterestExpense,quarterlyAccumulatedDepreciation,quarterlyNetOtherFinancingCharges,quarterlyOtherNonCurrentAssets,quarterlyOtherIntangibleAssets,quarterlyNetIncome,quarterlyNetIncomeContinuousOperations,quarterlyOtherNonCurrentLiabilities,quarterlyOtherCurrentAssets,quarterlyAccountsReceivable,quarterlyNetOtherInvestingChanges,quarterlyCostOfRevenue,quarterlyStockholdersEquity,quarterlyInvestmentsAndAdvances,quarterlyLongTermDebt,quarterlyGrossProfit,quarterlyDilutedEPS,quarterlyOtherIncomeExpense,quarterlyInvestingCashFlow,quarterlyEndCashPosition,quarterlyChangeInAccountPayable,quarterlyCashDividendsPaid,quarterlyCurrentLiabilities,quarterlyCurrentAssets,quarterlyDepreciationAndAmortization,quarterlyOtherNonCashItems,quarterlySellingGeneralAndAdministration,quarterlyBasicEPS,quarterlyRetainedEarnings,quarterlyTotalNonCurrentLiabilitiesNetMinorityInterest,quarterlyTotalRevenue,quarterlyBasicAverageShares,quarterlyPurchaseOfInvestment,quarterlyFreeCashFlow,quarterlyTotalLiabilitiesNetMinorityInterest,quarterlyTotalAssets,quarterlyNetIncomeCommonStockholders,quarterlyTotalNonCurrentAssets,quarterlyGrossPPE,quarterlyOperatingCashFlow,quarterlyChangeInCashSupplementalAsReported,quarterlyRepurchaseOfCapitalStock,quarterlyOperatingIncome,quarterlyOtherCurrentLiabilities,quarterlyDilutedAverageShares,quarterlyAccountsPayable,quarterlyGainsLossesNotAffectingRetainedEarnings,quarterlyChangeInWorkingCapital,quarterlyNonCurrentDeferredRevenue,quarterlyStockBasedCompensation,quarterlyEbitda,quarterlyCommonStockIssuance,quarterlyOtherShortTermInvestments,quarterlyCurrentAccruedExpenses,quarterlyIncomeTaxPayable,quarterlyResearchAndDevelopment,quarterlyDeferredIncomeTax,quarterlyNonCurrentDeferredTaxesLiabilities,quarterlyInventory,quarterlySaleOfInvestment,quarterlyTaxProvision,quarterlyCurrentDebt,quarterlyChangeInInventory,quarterlyGoodwill
2009-03-31,16874000,,,,128331000,-8922000,,,,,-1731000.0,-2030000,159764000,7500000,,-25345000,,,-6870000,-6800000,,,,-304000,11801000,,,,18015000,-0.059898,-569000,-38922000,255068000,-67000.0,,,,12400000,-937000.0,3575000,-0.059898,,,29816000,114695500.0,-36588000.0,3865000,,,-6870000,,,5895000,126737000,-1310000,1141000,,114784000.0,,,825000,,58000.0,14440000,193645000.0,,,,,,,,,,,,
2009-06-30,16750000,,,,255068000,-720000,,,,,-292000.0,-81037000,171612000,7428000,,-30368000,,,-3637000,-3535000,,,,-107000,10560000,,,,19918000,-0.03171,681000,-44556000,390479000,416000.0,,,,11711000,-2350000.0,4105000,-0.03171,,,30478000,114695500.0,,-72682000,,,-3637000,,,8355000,135411000,-2542000,3168000,,114784000.0,,,1891000,,59000.0,15813000,205242000.0,,,,,,,,,,,,
2009-09-30,18462000,,,,390479000,-982000,,,,,-783000.0,-164921000,101372000,7072000,,-28386000,,,-10144000,-10074000,,,,-6857000,10494000,,,,21254000,-0.088443,-5854000,-171778000,321791000,-142000.0,,,,11977000,-64000.0,5175000,-0.088443,,,31748000,114695500.0,,-163203000,,,-10144000,,,1718000,-68688000,-3676000,2792000,,114784000.0,,,-833000,,543000.0,16079000,134416000.0,,,,,,,,,,,,
2009-12-31,17577000,219001000.0,,219001000.0,321791000,-1047000,1405000.0,,1149789000.0,,-2361000.0,-163340000,91776000,7346000,-56689000.0,-23788000,4276000.0,203222000.0,-4427000,-4364000,14769000.0,0.0,10820000.0,-36259000,12170000,1071317000.0,,540028000.0,25274000,,-4731000,-199599000,219001000,3424000.0,,35247000.0,243886000.0,12720000,-2166000.0,3213000,,-182084000.0,563422000.0,37444000,,,-158307000,598669000.0,1673535000.0,-4427000,1429649000.0,1206478000.0,5033000,-102790000,-8738000,7697000,0.0,,4776000.0,,-1181000,,156000.0,22061000,89349000.0,,,,,,,,,,,,
2010-03-31,20499000,128404000.0,,128404000.0,219001000,-26205000,1515000.0,,1258896000.0,,-312000.0,-4828000,52459000,9142000,-67423000.0,-30411000,4653000.0,221163000.0,-546000,-482000,15716000.0,0.0,10802000.0,-17135000,15088000,1140197000.0,,533339000.0,30665000,-0.00476,-1522000,-155602000,128404000,-3769000.0,,32821000.0,170265000.0,19880000,-1702000.0,3188000,-0.00476,-208361000.0,555783000.0,45753000,114695500.0,-133639000.0,7718000,588604000.0,1728997000.0,-546000,1558732000.0,1326319000.0,12546000,-90597000,-8533000,10166000,0.0,114784000.0,1007000.0,,-5365000,,156000.0,30046000,104608000.0,,,,,,,,,,,,
2010-06-30,22089000,176886000.0,,176886000.0,128404000,-1521000,1626000.0,,1342915000.0,,-928000.0,-199540000,100072000,8849000,-79127000.0,-25408000,5290000.0,232531000.0,244000,245000,26715000.0,0.0,11259000.0,-4919000,15672000,1208808000.0,,598567000.0,31656000,0.002126,-507000,-70820000,176886000,0.0,,38816000.0,221280000.0,12674000,-2941000.0,3487000,0.002127,-236385000.0,629687000.0,47328000,114695500.0,,-180310000,668503000.0,1881514000.0,244000,1660234000.0,1422042000.0,19230000,48482000,-10625000,9567000,0.0,114784000.0,1007000.0,,9005000,,209000.0,28169000,104751000.0,,,,,,,,,,,,
2010-09-30,24950000,221186000.0,,221186000.0,176886000,-56084000,1807000.0,,1410137000.0,,-1451000.0,-87331000,104144000,8480000,-91641000.0,-31903000,5381000.0,240303000.0,1133000,1008000,16018000.0,0.0,12590000.0,9640000,17837000,1336905000.0,,594428000.0,34659000,0.009871,-245000,-77691000,221186000,0.0,,42881000.0,258182000.0,18560000,72000.0,5096000,0.009878,-266387000.0,613072000.0,52496000,114695500.0,,-69484000,655953000.0,1996907000.0,1133000,1738725000.0,1501778000.0,17847000,44300000,-12015000,9709000,0.0,114784000.0,1007000.0,,-2589000,,514000.0,29563000,170896000.0,,,,,,,,,,,,
2010-12-31,34828000,29270000.0,,29270000.0,221186000,-39307000,2026000.0,,1797463000.0,,-4411000.0,-320286000,121940000,8865000,-102962000.0,-39492000,9327000.0,300587000.0,-8734000,-10186000,29596000.0,0.0,16385000.0,-2450000,17751000,1487246000.0,,706526000.0,36551000,,-3089000,-322736000,29270000,-1007000.0,,43033000.0,72334000.0,21564000,-1524000.0,13257000,,-310193000.0,737649000.0,54302000,,,-311406000,780682000.0,2271795000.0,-8734000,2199461000.0,1900425000.0,8880000,-191916000,-20683000,1723000,0.0,,,,-3547000,,434000.0,23294000,214422000.0,,,,,,,,,,,,
2011-03-31,34058000,207405000.0,,207405000.0,29270000,-110496000,2251000.0,,1811307000.0,,866000.0,-32281000,181497000,10346000,-118851000.0,-35801000,10390000.0,298330000.0,2150000,1446000,29609000.0,0.0,15221000.0,3809000,23772000,1656705000.0,,728101000.0,46290000,0.018731,-558000,-28472000,207405000,,,44555000.0,247996000.0,23998000,-504000.0,7308000,0.018745,-346574000.0,758921000.0,70062000,114695500.0,,-7171000,803476000.0,2464070000.0,2150000,2216074000.0,1930158000.0,25110000,178135000,-7916000,12232000,0.0,114784000.0,,,-1808000,,897000.0,38982000,210210000.0,,,,,,,,,,,,
2011-06-30,33456000,154287000.0,,154287000.0,207405000,-60411000,2267000.0,,1774259000.0,,1932000.0,-3338000,-94720000,10319000,-135012000.0,-25961000,35361000.0,286957000.0,1171000,467000,32426000.0,0.0,13190000.0,9264000,21629000,1628393000.0,,667540000.0,45655000,0.010202,-1439000,5926000,154287000,,,46509000.0,182583000.0,27075000,1078000.0,6755000,0.01021,-386322000.0,701651000.0,67284000,114695500.0,,32338000,748160000.0,2380328000.0,1171000,2197745000.0,1909271000.0,35676000,-53118000,-9768000,12199000,0.0,114784000.0,,,5599000,,645000.0,39274000,1420000.0,,,,,,,,,,,,
